date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,645.95,645.95,633.00,634.40,634.40,"1,949,136","Aug 25, 2023"
24-08-2023,666.50,669.15,647.00,649.10,649.10,"2,462,684","Aug 24, 2023"
23-08-2023,658.00,665.80,654.00,660.75,660.75,"1,270,336","Aug 23, 2023"
22-08-2023,655.00,658.70,649.25,655.85,655.85,"1,267,288","Aug 22, 2023"
21-08-2023,647.00,655.00,643.40,653.60,653.60,"1,537,449","Aug 21, 2023"
18-08-2023,645.95,647.10,637.40,641.05,641.05,"1,506,231","Aug 18, 2023"
18-08-2023,2 Dividend,,,,,,"Aug 18, 2023"
17-08-2023,647.95,653.50,640.55,645.20,643.20,"1,552,598","Aug 17, 2023"
16-08-2023,662.25,662.30,642.00,647.95,645.94,"1,988,425","Aug 16, 2023"
14-08-2023,690.00,691.20,658.15,662.25,660.20,"4,487,444","Aug 14, 2023"
11-08-2023,675.50,700.00,664.05,698.20,696.04,"4,115,696","Aug 11, 2023"
10-08-2023,677.55,682.70,673.00,676.35,674.25,"1,931,514","Aug 10, 2023"
09-08-2023,659.50,680.95,658.05,678.95,676.85,"4,279,101","Aug 09, 2023"
08-08-2023,655.30,665.00,655.25,658.00,655.96,"1,698,850","Aug 08, 2023"
07-08-2023,657.85,660.00,649.70,657.45,655.41,"1,173,349","Aug 07, 2023"
04-08-2023,648.00,664.30,647.55,652.70,650.68,"1,791,378","Aug 04, 2023"
03-08-2023,647.00,649.95,638.40,646.60,644.60,"1,198,816","Aug 03, 2023"
02-08-2023,669.90,669.95,636.05,644.00,642.00,"2,217,769","Aug 02, 2023"
01-08-2023,670.00,675.55,668.00,671.45,669.37,"1,671,929","Aug 01, 2023"
31-07-2023,665.70,674.20,662.50,668.75,666.68,"3,576,640","Jul 31, 2023"
28-07-2023,659.80,667.35,646.05,665.30,663.24,"1,822,173","Jul 28, 2023"
27-07-2023,661.55,665.80,656.65,659.80,657.75,"1,613,361","Jul 27, 2023"
26-07-2023,668.00,668.00,652.20,657.60,655.56,"3,382,159","Jul 26, 2023"
25-07-2023,635.70,667.95,633.65,664.70,662.64,"4,624,289","Jul 25, 2023"
24-07-2023,630.95,633.15,625.00,629.35,627.40,"997,795","Jul 24, 2023"
21-07-2023,636.45,640.40,627.00,628.10,626.15,"2,470,457","Jul 21, 2023"
20-07-2023,642.05,642.85,636.10,637.35,635.37,"1,074,533","Jul 20, 2023"
19-07-2023,637.00,643.60,634.45,640.05,638.07,"1,669,578","Jul 19, 2023"
18-07-2023,638.00,640.40,625.95,634.10,632.13,"3,150,574","Jul 18, 2023"
17-07-2023,642.40,650.50,634.60,637.90,635.92,"2,360,840","Jul 17, 2023"
14-07-2023,641.00,645.00,634.00,641.60,639.61,"3,141,648","Jul 14, 2023"
13-07-2023,632.00,637.00,621.90,633.55,631.59,"4,206,123","Jul 13, 2023"
12-07-2023,631.95,634.00,617.00,621.70,619.77,"8,106,836","Jul 12, 2023"
11-07-2023,629.90,634.00,625.00,626.50,624.56,"3,174,731","Jul 11, 2023"
10-07-2023,611.00,633.50,609.50,626.35,624.41,"3,732,186","Jul 10, 2023"
07-07-2023,608.95,614.70,602.40,610.20,608.31,"2,427,780","Jul 07, 2023"
06-07-2023,622.85,622.85,607.75,613.40,611.50,"4,171,562","Jul 06, 2023"
05-07-2023,614.95,636.00,610.45,624.65,622.71,"7,048,198","Jul 05, 2023"
04-07-2023,598.05,614.20,591.00,609.10,607.21,"3,730,616","Jul 04, 2023"
03-07-2023,584.00,598.50,581.15,595.05,593.21,"2,585,602","Jul 03, 2023"
