date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,647.90,659.80,628.00,644.35,644.35,"41,467","Aug 25, 2023"
24-08-2023,635.25,648.00,632.50,644.25,644.25,"30,524","Aug 24, 2023"
23-08-2023,640.10,654.90,627.05,630.85,630.85,"50,887","Aug 23, 2023"
22-08-2023,662.00,662.00,635.10,640.10,640.10,"38,711","Aug 22, 2023"
21-08-2023,659.50,670.00,635.85,660.55,660.55,"55,450","Aug 21, 2023"
18-08-2023,708.00,708.00,653.00,658.90,658.90,"118,639","Aug 18, 2023"
17-08-2023,637.00,687.45,637.00,678.85,678.85,"320,181","Aug 17, 2023"
16-08-2023,604.25,635.00,601.05,627.35,627.35,"154,546","Aug 16, 2023"
14-08-2023,590.00,611.00,573.20,601.30,601.30,"279,268","Aug 14, 2023"
11-08-2023,537.00,589.40,537.00,584.85,584.85,"114,633","Aug 11, 2023"
10-08-2023,557.95,558.15,531.50,537.60,537.60,"21,538","Aug 10, 2023"
09-08-2023,567.85,584.20,552.10,555.45,555.45,"36,663","Aug 09, 2023"
08-08-2023,557.70,574.85,540.25,564.05,564.05,"48,884","Aug 08, 2023"
07-08-2023,566.60,572.75,549.35,557.45,557.45,"32,433","Aug 07, 2023"
04-08-2023,568.80,575.70,560.25,566.60,566.60,"44,830","Aug 04, 2023"
03-08-2023,555.45,577.80,551.20,563.70,563.70,"91,653","Aug 03, 2023"
02-08-2023,544.00,577.85,530.00,550.45,550.45,"181,517","Aug 02, 2023"
01-08-2023,525.00,540.00,522.90,533.55,533.55,"21,587","Aug 01, 2023"
31-07-2023,525.00,529.95,518.10,523.80,523.80,"14,861","Jul 31, 2023"
28-07-2023,509.50,521.95,506.70,520.65,520.65,"15,625","Jul 28, 2023"
27-07-2023,499.95,514.25,498.55,509.50,509.50,"11,612","Jul 27, 2023"
26-07-2023,506.00,507.60,494.15,499.95,499.95,"21,907","Jul 26, 2023"
25-07-2023,509.20,515.15,501.00,502.90,502.90,"7,978","Jul 25, 2023"
24-07-2023,510.00,514.40,500.30,509.20,509.20,"11,930","Jul 24, 2023"
21-07-2023,515.00,519.00,506.00,508.65,508.65,"15,853","Jul 21, 2023"
20-07-2023,519.35,522.80,514.00,518.80,518.80,"7,246","Jul 20, 2023"
19-07-2023,521.55,524.45,515.70,519.20,519.20,"13,700","Jul 19, 2023"
18-07-2023,529.00,529.00,516.00,520.80,520.80,"29,132","Jul 18, 2023"
17-07-2023,513.00,530.00,508.30,524.35,524.35,"38,667","Jul 17, 2023"
14-07-2023,515.55,523.50,505.85,511.60,511.60,"22,731","Jul 14, 2023"
13-07-2023,530.70,532.20,517.75,519.15,519.15,"20,452","Jul 13, 2023"
12-07-2023,538.40,540.00,521.10,526.65,526.65,"17,229","Jul 12, 2023"
11-07-2023,537.00,543.90,533.50,535.60,535.60,"10,556","Jul 11, 2023"
10-07-2023,546.00,553.90,531.05,534.60,534.60,"21,983","Jul 10, 2023"
07-07-2023,547.00,552.20,535.90,542.20,542.20,"37,518","Jul 07, 2023"
06-07-2023,556.90,562.50,551.00,552.30,552.30,"35,802","Jul 06, 2023"
05-07-2023,556.90,562.00,545.00,553.50,553.50,"47,418","Jul 05, 2023"
04-07-2023,539.10,562.95,539.10,553.50,553.50,"58,627","Jul 04, 2023"
03-07-2023,532.00,556.00,520.00,540.30,540.30,"50,098","Jul 03, 2023"
30-06-2023,530.00,537.65,525.10,529.25,529.25,"13,280","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,532.95,541.70,525.55,534.70,534.70,"35,496","Jun 27, 2023"
26-06-2023,528.00,535.65,518.00,527.65,527.65,"21,395","Jun 26, 2023"
23-06-2023,527.00,567.70,525.05,527.85,527.85,"230,002","Jun 23, 2023"
22-06-2023,531.40,535.95,518.50,523.00,523.00,"30,399","Jun 22, 2023"
21-06-2023,530.05,549.90,523.05,530.40,530.40,"43,323","Jun 21, 2023"
20-06-2023,540.00,553.95,532.00,534.10,534.10,"29,278","Jun 20, 2023"
19-06-2023,560.00,561.00,538.35,542.05,542.05,"53,094","Jun 19, 2023"
16-06-2023,590.00,590.00,550.65,553.00,553.00,"250,219","Jun 16, 2023"
15-06-2023,478.40,574.05,478.40,574.05,574.05,"742,367","Jun 15, 2023"
14-06-2023,480.95,484.35,475.00,478.40,478.40,"17,946","Jun 14, 2023"
13-06-2023,480.00,484.30,476.05,480.65,480.65,"12,421","Jun 13, 2023"
12-06-2023,470.70,478.95,466.00,475.30,475.30,"10,573","Jun 12, 2023"
09-06-2023,475.60,488.00,467.75,470.70,470.70,"15,016","Jun 09, 2023"
08-06-2023,482.00,492.00,475.50,479.70,479.70,"21,024","Jun 08, 2023"
07-06-2023,478.80,486.50,473.90,480.75,480.75,"20,577","Jun 07, 2023"
06-06-2023,467.00,484.00,466.10,472.80,472.80,"21,871","Jun 06, 2023"
05-06-2023,463.10,472.00,463.00,464.25,464.25,"12,660","Jun 05, 2023"
02-06-2023,463.85,468.00,460.55,463.80,463.80,"8,894","Jun 02, 2023"
01-06-2023,467.30,469.00,454.75,458.00,458.00,"9,884","Jun 01, 2023"
31-05-2023,464.95,475.00,460.00,462.65,462.65,"8,819","May 31, 2023"
30-05-2023,470.00,480.05,464.45,469.65,469.65,"23,474","May 30, 2023"
29-05-2023,488.00,494.65,461.50,467.45,467.45,"47,978","May 29, 2023"
26-05-2023,496.90,504.90,478.00,483.30,483.30,"203,562","May 26, 2023"
25-05-2023,452.20,485.00,450.00,466.20,466.20,"47,795","May 25, 2023"
24-05-2023,464.60,466.45,450.85,452.20,452.20,"10,560","May 24, 2023"
23-05-2023,475.75,475.75,451.10,455.70,455.70,"23,700","May 23, 2023"
22-05-2023,476.00,483.00,463.20,470.30,470.30,"19,263","May 22, 2023"
19-05-2023,484.35,491.00,470.10,472.65,472.65,"59,210","May 19, 2023"
18-05-2023,428.00,494.30,423.05,472.50,472.50,"184,679","May 18, 2023"
17-05-2023,429.00,434.35,425.20,427.30,427.30,"5,335","May 17, 2023"
16-05-2023,430.05,441.00,426.05,427.95,427.95,"12,737","May 16, 2023"
15-05-2023,440.00,446.90,426.70,428.75,428.75,"17,121","May 15, 2023"
12-05-2023,447.00,447.00,433.55,437.80,437.80,"3,935","May 12, 2023"
11-05-2023,428.00,441.45,428.00,436.15,436.15,"8,403","May 11, 2023"
10-05-2023,434.90,435.40,427.85,430.35,430.35,"10,293","May 10, 2023"
09-05-2023,434.70,443.70,430.55,435.95,435.95,"15,981","May 09, 2023"
08-05-2023,414.70,446.45,414.70,430.50,430.50,"25,124","May 08, 2023"
05-05-2023,422.00,424.70,416.35,417.90,417.90,"7,489","May 05, 2023"
04-05-2023,424.70,424.70,410.75,417.20,417.20,"12,120","May 04, 2023"
03-05-2023,418.95,422.95,411.15,420.30,420.30,"11,393","May 03, 2023"
02-05-2023,411.00,423.30,408.55,417.05,417.05,"17,212","May 02, 2023"
28-04-2023,413.90,417.50,408.10,410.90,410.90,"4,311","Apr 28, 2023"
27-04-2023,408.00,414.75,403.40,411.75,411.75,"8,759","Apr 27, 2023"
26-04-2023,402.50,407.40,402.10,402.75,402.75,"4,689","Apr 26, 2023"
25-04-2023,403.80,405.10,399.00,401.20,401.20,"5,902","Apr 25, 2023"
24-04-2023,409.60,411.40,398.45,401.50,401.50,"13,239","Apr 24, 2023"
21-04-2023,390.80,412.00,390.80,409.60,409.60,"12,457","Apr 21, 2023"
20-04-2023,399.10,402.95,395.00,396.55,396.55,"2,182","Apr 20, 2023"
19-04-2023,402.15,402.90,395.00,398.40,398.40,"3,584","Apr 19, 2023"
18-04-2023,403.90,403.90,395.50,397.20,397.20,"2,627","Apr 18, 2023"
17-04-2023,395.00,404.40,391.60,401.05,401.05,"5,494","Apr 17, 2023"
13-04-2023,404.40,404.40,395.10,399.20,399.20,"6,806","Apr 13, 2023"
12-04-2023,405.00,419.75,389.90,402.25,402.25,"30,869","Apr 12, 2023"
11-04-2023,401.85,407.25,391.35,393.55,393.55,"8,399","Apr 11, 2023"
10-04-2023,415.00,417.00,397.90,399.35,399.35,"11,778","Apr 10, 2023"
06-04-2023,402.95,417.05,402.95,408.45,408.45,"6,472","Apr 06, 2023"
05-04-2023,389.70,413.95,389.60,409.30,409.30,"13,161","Apr 05, 2023"
03-04-2023,388.05,397.30,387.85,389.85,389.85,"19,684","Apr 03, 2023"
31-03-2023,390.90,398.00,385.10,388.05,388.05,"20,121","Mar 31, 2023"
29-03-2023,386.90,394.90,378.65,383.10,383.10,"17,127","Mar 29, 2023"
28-03-2023,396.00,396.00,381.90,383.60,383.60,"13,197","Mar 28, 2023"
27-03-2023,405.50,405.85,384.00,387.60,387.60,"17,548","Mar 27, 2023"
24-03-2023,418.90,418.90,393.65,402.30,402.30,"12,652","Mar 24, 2023"
23-03-2023,388.55,424.50,388.20,416.75,416.75,"38,110","Mar 23, 2023"
22-03-2023,389.95,396.20,388.10,391.20,391.20,"8,123","Mar 22, 2023"
21-03-2023,389.40,394.20,388.05,390.70,390.70,"2,829","Mar 21, 2023"
20-03-2023,390.00,394.65,381.10,389.40,389.40,"12,474","Mar 20, 2023"
17-03-2023,410.00,410.00,385.55,395.70,395.70,"12,507","Mar 17, 2023"
16-03-2023,399.15,402.55,386.55,391.70,391.70,"8,425","Mar 16, 2023"
15-03-2023,404.00,409.15,397.05,399.15,399.15,"4,688","Mar 15, 2023"
14-03-2023,404.20,412.50,399.00,400.70,400.70,"11,580","Mar 14, 2023"
13-03-2023,406.50,414.90,400.00,404.20,404.20,"18,559","Mar 13, 2023"
10-03-2023,398.95,424.50,398.95,406.50,406.50,"26,116","Mar 10, 2023"
09-03-2023,401.00,409.50,396.65,403.50,403.50,"19,102","Mar 09, 2023"
08-03-2023,405.00,405.00,385.55,399.55,399.55,"18,873","Mar 08, 2023"
06-03-2023,395.00,406.00,393.00,395.60,395.60,"7,788","Mar 06, 2023"
03-03-2023,390.00,414.95,382.65,393.95,393.95,"36,379","Mar 03, 2023"
02-03-2023,368.85,385.00,360.55,382.65,382.65,"7,066","Mar 02, 2023"
01-03-2023,360.60,371.80,360.00,369.65,369.65,"6,431","Mar 01, 2023"
28-02-2023,377.50,377.50,361.00,361.90,361.90,"3,441","Feb 28, 2023"
27-02-2023,379.00,379.00,361.80,370.65,370.65,"5,088","Feb 27, 2023"
24-02-2023,378.75,381.50,365.80,367.65,367.65,"2,750","Feb 24, 2023"
23-02-2023,370.05,380.35,370.05,372.15,372.15,"4,180","Feb 23, 2023"
22-02-2023,379.00,382.10,372.00,375.95,375.95,"2,610","Feb 22, 2023"
21-02-2023,379.00,384.50,374.20,382.80,382.80,"2,948","Feb 21, 2023"
20-02-2023,383.10,384.00,370.00,374.65,374.65,"3,662","Feb 20, 2023"
17-02-2023,388.70,388.85,374.55,381.30,381.30,"4,272","Feb 17, 2023"
16-02-2023,389.75,389.75,379.95,381.30,381.30,"1,859","Feb 16, 2023"
15-02-2023,383.00,389.00,373.60,385.65,385.65,"3,102","Feb 15, 2023"
14-02-2023,385.65,388.90,367.20,374.25,374.25,"19,262","Feb 14, 2023"
13-02-2023,391.80,398.00,385.00,385.65,385.65,"3,182","Feb 13, 2023"
10-02-2023,397.25,400.60,387.05,391.80,391.80,"6,923","Feb 10, 2023"
09-02-2023,391.00,402.00,391.00,399.05,399.05,"3,685","Feb 09, 2023"
08-02-2023,394.50,400.00,392.85,395.20,395.20,"7,782","Feb 08, 2023"
07-02-2023,402.00,407.95,385.95,394.35,394.35,"21,271","Feb 07, 2023"
06-02-2023,407.85,407.85,397.10,400.90,400.90,"9,193","Feb 06, 2023"
03-02-2023,395.00,411.90,394.95,401.50,401.50,"20,322","Feb 03, 2023"
02-02-2023,409.60,415.00,389.20,392.30,392.30,"8,919","Feb 02, 2023"
01-02-2023,419.00,419.90,406.35,409.55,409.55,"13,830","Feb 01, 2023"
31-01-2023,409.90,412.00,398.90,407.90,407.90,"6,976","Jan 31, 2023"
30-01-2023,374.00,396.10,374.00,395.25,395.25,"7,582","Jan 30, 2023"
27-01-2023,397.10,397.75,371.25,377.25,377.25,"8,805","Jan 27, 2023"
25-01-2023,400.30,400.30,380.05,390.20,390.20,"8,588","Jan 25, 2023"
24-01-2023,402.90,403.75,395.50,397.10,397.10,"2,111","Jan 24, 2023"
23-01-2023,405.00,405.00,397.50,399.90,399.90,"5,681","Jan 23, 2023"
20-01-2023,402.60,408.90,401.60,402.90,402.90,"3,964","Jan 20, 2023"
19-01-2023,409.65,409.70,401.25,402.65,402.65,"3,443","Jan 19, 2023"
18-01-2023,404.95,408.50,400.90,404.90,404.90,"2,490","Jan 18, 2023"
17-01-2023,406.75,406.75,400.30,404.95,404.95,"4,118","Jan 17, 2023"
16-01-2023,407.60,413.95,400.00,401.75,401.75,"6,762","Jan 16, 2023"
13-01-2023,415.40,418.95,402.10,408.45,408.45,"7,774","Jan 13, 2023"
12-01-2023,424.00,424.00,407.30,413.55,413.55,"5,978","Jan 12, 2023"
11-01-2023,414.00,423.30,399.25,420.40,420.40,"17,966","Jan 11, 2023"
10-01-2023,415.00,415.00,400.60,403.15,403.15,"2,718","Jan 10, 2023"
09-01-2023,413.00,415.00,403.85,408.65,408.65,"5,397","Jan 09, 2023"
06-01-2023,399.10,407.00,396.50,403.65,403.65,"6,082","Jan 06, 2023"
05-01-2023,401.50,404.10,396.85,399.95,399.95,"4,633","Jan 05, 2023"
04-01-2023,404.05,407.90,400.30,402.10,402.10,"3,654","Jan 04, 2023"
03-01-2023,399.95,407.05,396.40,403.15,403.15,"5,284","Jan 03, 2023"
02-01-2023,399.00,407.05,393.15,397.60,397.60,"6,221","Jan 02, 2023"
30-12-2022,394.00,408.20,385.00,397.25,397.25,"4,842","Dec 30, 2022"
29-12-2022,395.90,397.95,385.50,393.90,393.90,"5,215","Dec 29, 2022"
28-12-2022,392.15,400.15,391.85,394.55,394.55,"7,264","Dec 28, 2022"
27-12-2022,391.90,400.00,381.15,394.45,394.45,"11,849","Dec 27, 2022"
26-12-2022,385.00,402.10,367.50,381.80,381.80,"15,036","Dec 26, 2022"
23-12-2022,402.10,405.05,386.25,386.25,386.25,"11,100","Dec 23, 2022"
22-12-2022,408.00,416.00,396.05,406.55,406.55,"8,215","Dec 22, 2022"
21-12-2022,431.95,432.05,408.05,409.55,409.55,"11,241","Dec 21, 2022"
20-12-2022,422.05,430.00,422.05,429.50,429.50,"2,224","Dec 20, 2022"
19-12-2022,435.50,435.50,422.30,429.80,429.80,"7,973","Dec 19, 2022"
16-12-2022,426.55,430.00,422.00,425.25,425.25,"5,589","Dec 16, 2022"
15-12-2022,431.00,434.00,422.35,428.60,428.60,"3,818","Dec 15, 2022"
14-12-2022,439.45,439.45,429.00,431.10,431.10,"4,489","Dec 14, 2022"
13-12-2022,446.00,446.00,433.60,436.30,436.30,"4,525","Dec 13, 2022"
12-12-2022,449.40,449.40,430.55,437.10,437.10,"3,452","Dec 12, 2022"
09-12-2022,451.00,451.30,437.50,443.05,443.05,"4,903","Dec 09, 2022"
08-12-2022,433.00,450.00,432.05,443.95,443.95,"3,284","Dec 08, 2022"
07-12-2022,449.90,449.90,426.00,439.30,439.30,"4,494","Dec 07, 2022"
06-12-2022,440.00,450.00,430.85,443.45,443.45,"7,376","Dec 06, 2022"
05-12-2022,443.85,445.00,425.00,443.65,443.65,"5,281","Dec 05, 2022"
02-12-2022,435.95,445.00,434.10,443.85,443.85,"4,278","Dec 02, 2022"
01-12-2022,429.00,440.00,429.00,435.95,435.95,"5,199","Dec 01, 2022"
30-11-2022,434.00,434.90,422.10,425.80,425.80,"1,436","Nov 30, 2022"
29-11-2022,430.00,432.95,422.05,427.05,427.05,"1,674","Nov 29, 2022"
28-11-2022,430.00,435.95,420.00,426.70,426.70,"4,412","Nov 28, 2022"
25-11-2022,427.15,440.00,422.00,430.85,430.85,"7,036","Nov 25, 2022"
24-11-2022,431.00,431.00,421.00,427.15,427.15,"3,758","Nov 24, 2022"
23-11-2022,431.45,431.45,420.00,423.15,423.15,"3,604","Nov 23, 2022"
22-11-2022,435.00,435.00,418.00,420.90,420.90,"2,111","Nov 22, 2022"
21-11-2022,424.40,429.85,420.25,423.15,423.15,"2,980","Nov 21, 2022"
18-11-2022,426.80,432.40,421.05,424.40,424.40,"1,754","Nov 18, 2022"
17-11-2022,430.00,433.00,420.60,426.80,426.80,"1,436","Nov 17, 2022"
16-11-2022,439.55,441.90,425.00,438.50,438.50,"11,634","Nov 16, 2022"
15-11-2022,439.95,439.95,425.00,431.65,431.65,"2,809","Nov 15, 2022"
14-11-2022,446.95,446.95,430.00,434.10,434.10,"9,447","Nov 14, 2022"
11-11-2022,462.00,462.00,431.60,441.55,441.55,"5,493","Nov 11, 2022"
10-11-2022,449.00,469.95,426.95,451.70,451.70,"6,949","Nov 10, 2022"
09-11-2022,449.00,456.95,436.00,449.05,449.05,"12,481","Nov 09, 2022"
07-11-2022,450.40,464.00,444.00,448.30,448.30,"10,733","Nov 07, 2022"
04-11-2022,466.35,472.00,458.05,461.95,461.95,"2,777","Nov 04, 2022"
03-11-2022,460.95,473.00,460.00,464.05,464.05,"3,235","Nov 03, 2022"
02-11-2022,469.70,481.30,450.30,462.65,462.65,"7,269","Nov 02, 2022"
01-11-2022,470.00,478.00,456.05,465.05,465.05,"6,029","Nov 01, 2022"
31-10-2022,465.05,487.20,464.00,465.55,465.55,"3,882","Oct 31, 2022"
28-10-2022,474.85,477.90,461.00,469.80,469.80,"4,523","Oct 28, 2022"
27-10-2022,486.00,486.00,452.15,475.10,475.10,"2,677","Oct 27, 2022"
25-10-2022,475.00,489.00,465.00,474.85,474.85,"3,881","Oct 25, 2022"
24-10-2022,490.00,490.00,473.00,475.00,475.00,"3,198","Oct 24, 2022"
21-10-2022,476.00,498.00,476.00,480.90,480.90,"2,153","Oct 21, 2022"
20-10-2022,491.00,498.00,479.80,485.15,485.15,"2,342","Oct 20, 2022"
19-10-2022,488.85,490.00,475.80,488.15,488.15,"8,519","Oct 19, 2022"
18-10-2022,475.00,484.90,467.00,477.90,477.90,"2,646","Oct 18, 2022"
17-10-2022,494.95,494.95,468.00,471.60,471.60,"5,472","Oct 17, 2022"
14-10-2022,488.70,498.00,478.70,481.85,481.85,"1,864","Oct 14, 2022"
13-10-2022,483.00,483.00,468.00,476.45,476.45,"1,706","Oct 13, 2022"
12-10-2022,499.00,499.00,473.25,481.95,481.95,"22,531","Oct 12, 2022"
11-10-2022,515.00,515.00,491.10,498.15,498.15,"10,470","Oct 11, 2022"
10-10-2022,490.10,516.00,490.10,506.90,506.90,"3,547","Oct 10, 2022"
07-10-2022,502.75,515.00,502.75,505.85,505.85,"5,728","Oct 07, 2022"
06-10-2022,519.50,519.50,499.05,501.75,501.75,"20,763","Oct 06, 2022"
04-10-2022,498.90,519.50,491.80,506.70,506.70,"5,417","Oct 04, 2022"
03-10-2022,501.95,501.95,471.60,494.80,494.80,"4,230","Oct 03, 2022"
30-09-2022,507.95,507.95,491.10,496.40,496.40,"2,158","Sep 30, 2022"
29-09-2022,519.25,519.25,493.00,495.35,495.35,"3,929","Sep 29, 2022"
28-09-2022,493.50,504.90,492.55,498.40,498.40,"3,620","Sep 28, 2022"
27-09-2022,501.00,515.00,495.00,507.30,507.30,"4,283","Sep 27, 2022"
26-09-2022,521.90,521.90,492.50,501.35,501.35,"6,347","Sep 26, 2022"
23-09-2022,524.95,525.45,509.00,516.00,516.00,"7,071","Sep 23, 2022"
22-09-2022,518.00,529.90,510.00,517.25,517.25,"5,283","Sep 22, 2022"
21-09-2022,530.00,530.50,516.90,519.95,519.95,"9,763","Sep 21, 2022"
20-09-2022,523.00,539.45,515.55,530.50,530.50,"6,069","Sep 20, 2022"
19-09-2022,530.00,530.00,515.60,523.00,523.00,"11,505","Sep 19, 2022"
16-09-2022,540.00,545.00,513.85,531.05,531.05,"15,932","Sep 16, 2022"
15-09-2022,539.40,554.00,530.00,540.85,540.85,"22,569","Sep 15, 2022"
14-09-2022,536.00,546.05,530.10,539.50,539.50,"24,289","Sep 14, 2022"
13-09-2022,550.00,554.25,530.00,546.05,546.05,"15,982","Sep 13, 2022"
12-09-2022,549.90,553.85,536.10,544.45,544.45,"40,259","Sep 12, 2022"
09-09-2022,558.00,570.00,539.90,544.90,544.90,"64,006","Sep 09, 2022"
08-09-2022,563.00,565.00,550.25,553.65,553.65,"36,156","Sep 08, 2022"
07-09-2022,536.05,566.60,536.05,559.45,559.45,"176,385","Sep 07, 2022"
06-09-2022,522.00,544.90,522.00,540.25,540.25,"74,377","Sep 06, 2022"
05-09-2022,531.35,533.90,511.20,517.60,517.60,"54,486","Sep 05, 2022"
02-09-2022,538.70,550.65,524.60,529.00,529.00,"91,364","Sep 02, 2022"
01-09-2022,491.00,546.00,491.00,533.85,533.85,"279,800","Sep 01, 2022"
30-08-2022,511.95,515.90,497.00,500.70,500.70,"21,847","Aug 30, 2022"
29-08-2022,485.10,512.00,485.10,506.45,506.45,"55,371","Aug 29, 2022"
26-08-2022,507.00,512.00,496.05,501.30,501.30,"23,794","Aug 26, 2022"
25-08-2022,507.95,519.00,498.45,501.65,501.65,"48,086","Aug 25, 2022"
24-08-2022,495.00,507.25,485.00,498.45,498.45,"34,147","Aug 24, 2022"
23-08-2022,491.00,515.00,491.00,496.05,496.05,"37,022","Aug 23, 2022"
22-08-2022,498.00,502.40,483.60,496.50,496.50,"48,423","Aug 22, 2022"
19-08-2022,519.45,523.35,496.95,501.60,501.60,"58,701","Aug 19, 2022"
18-08-2022,510.60,527.35,503.30,513.15,513.15,"117,807","Aug 18, 2022"
17-08-2022,508.00,547.00,505.10,513.30,513.30,"620,707","Aug 17, 2022"
16-08-2022,422.25,494.70,422.25,494.70,494.70,"295,062","Aug 16, 2022"
12-08-2022,405.90,414.90,402.95,412.25,412.25,"22,167","Aug 12, 2022"
11-08-2022,411.00,412.00,399.80,402.30,402.30,"26,813","Aug 11, 2022"
10-08-2022,409.00,415.00,401.00,405.30,405.30,"28,975","Aug 10, 2022"
08-08-2022,415.00,415.00,405.50,410.45,410.45,"22,843","Aug 08, 2022"
05-08-2022,415.15,420.00,405.00,410.10,410.10,"35,169","Aug 05, 2022"
04-08-2022,426.00,433.90,401.45,411.30,411.30,"59,196","Aug 04, 2022"
03-08-2022,416.50,427.00,409.25,425.75,425.75,"61,083","Aug 03, 2022"
02-08-2022,415.95,427.95,405.50,409.65,409.65,"34,170","Aug 02, 2022"
01-08-2022,407.15,417.05,404.85,411.95,411.95,"36,533","Aug 01, 2022"
29-07-2022,411.25,417.50,399.15,401.20,401.20,"36,286","Jul 29, 2022"
28-07-2022,406.15,410.00,397.10,407.55,407.55,"19,898","Jul 28, 2022"
27-07-2022,407.00,407.00,395.20,402.10,402.10,"11,157","Jul 27, 2022"
26-07-2022,405.00,414.35,395.60,399.85,399.85,"29,429","Jul 26, 2022"
25-07-2022,418.00,418.00,403.00,405.70,405.70,"13,929","Jul 25, 2022"
22-07-2022,418.20,419.90,412.20,413.50,413.50,"10,115","Jul 22, 2022"
21-07-2022,426.40,426.40,411.65,414.25,414.25,"27,148","Jul 21, 2022"
20-07-2022,424.00,435.15,420.00,421.00,421.00,"19,940","Jul 20, 2022"
19-07-2022,414.00,437.95,410.40,421.35,421.35,"59,655","Jul 19, 2022"
18-07-2022,405.00,414.40,403.80,409.35,409.35,"12,177","Jul 18, 2022"
15-07-2022,406.00,409.50,400.30,403.85,403.85,"7,049","Jul 15, 2022"
14-07-2022,414.00,414.95,398.50,401.00,401.00,"12,214","Jul 14, 2022"
13-07-2022,417.45,418.50,405.20,409.35,409.35,"15,850","Jul 13, 2022"
12-07-2022,399.00,420.95,399.00,411.30,411.30,"38,728","Jul 12, 2022"
