date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,768.00,769.95,752.30,756.35,756.35,"128,006","Aug 25, 2023"
24-08-2023,765.90,795.40,760.00,765.55,765.55,"366,644","Aug 24, 2023"
23-08-2023,774.60,774.60,758.00,760.25,760.25,"90,731","Aug 23, 2023"
22-08-2023,763.00,772.00,762.95,770.10,770.10,"79,999","Aug 22, 2023"
21-08-2023,764.95,769.45,758.05,759.85,759.85,"64,633","Aug 21, 2023"
18-08-2023,767.70,774.75,759.90,763.95,763.95,"145,556","Aug 18, 2023"
17-08-2023,770.10,776.75,766.00,767.55,767.55,"62,107","Aug 17, 2023"
16-08-2023,775.00,788.65,769.05,773.30,773.30,"90,258","Aug 16, 2023"
14-08-2023,770.40,779.60,747.05,776.05,776.05,"106,540","Aug 14, 2023"
11-08-2023,775.00,777.70,769.00,770.35,770.35,"37,199","Aug 11, 2023"
10-08-2023,779.75,785.30,770.90,774.75,774.75,"66,546","Aug 10, 2023"
09-08-2023,789.00,789.65,780.00,781.10,781.10,"50,991","Aug 09, 2023"
08-08-2023,785.30,797.70,783.85,787.85,787.85,"161,259","Aug 08, 2023"
07-08-2023,780.00,790.00,778.40,785.30,785.30,"105,249","Aug 07, 2023"
04-08-2023,765.00,794.00,765.00,778.20,778.20,"214,561","Aug 04, 2023"
03-08-2023,763.00,773.15,760.00,764.35,764.35,"92,552","Aug 03, 2023"
02-08-2023,778.00,785.35,756.00,763.15,763.15,"160,454","Aug 02, 2023"
01-08-2023,774.70,788.00,770.00,779.70,779.70,"157,998","Aug 01, 2023"
31-07-2023,782.00,782.65,769.00,771.15,771.15,"119,914","Jul 31, 2023"
28-07-2023,779.70,786.45,770.00,780.50,780.50,"138,544","Jul 28, 2023"
27-07-2023,792.00,793.15,775.90,777.85,777.85,"134,453","Jul 27, 2023"
26-07-2023,796.50,803.95,786.10,789.40,789.40,"123,017","Jul 26, 2023"
25-07-2023,805.70,806.60,790.00,792.55,792.55,"131,094","Jul 25, 2023"
24-07-2023,799.00,806.95,795.05,799.25,799.25,"167,752","Jul 24, 2023"
