date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,327.80,339.50,326.00,337.00,337.00,"1,158,742","Aug 25, 2023"
24-08-2023,334.65,334.65,323.35,327.65,327.65,"1,029,201","Aug 24, 2023"
23-08-2023,330.20,337.70,328.05,330.05,330.05,"429,662","Aug 23, 2023"
22-08-2023,336.70,342.05,327.10,328.80,328.80,"902,357","Aug 22, 2023"
21-08-2023,340.00,347.25,332.00,334.05,334.05,"1,417,044","Aug 21, 2023"
18-08-2023,320.00,341.00,316.00,336.05,336.05,"1,292,730","Aug 18, 2023"
17-08-2023,325.35,338.50,320.05,322.55,322.55,"1,768,582","Aug 17, 2023"
16-08-2023,321.80,328.00,321.00,325.35,325.35,"667,988","Aug 16, 2023"
14-08-2023,319.90,324.85,310.20,321.70,321.70,"925,055","Aug 14, 2023"
11-08-2023,322.00,329.85,315.20,317.90,317.90,"1,006,908","Aug 11, 2023"
10-08-2023,321.80,324.55,318.10,319.80,319.80,"486,953","Aug 10, 2023"
09-08-2023,320.00,325.35,319.00,319.80,319.80,"836,724","Aug 09, 2023"
08-08-2023,320.40,322.75,315.00,319.90,319.90,"2,640,502","Aug 08, 2023"
07-08-2023,327.00,327.00,317.50,319.75,319.75,"719,434","Aug 07, 2023"
04-08-2023,305.15,332.00,305.15,324.30,324.30,"4,667,598","Aug 04, 2023"
03-08-2023,303.95,314.50,300.65,303.45,303.45,"905,154","Aug 03, 2023"
02-08-2023,308.00,308.50,298.00,303.15,303.15,"568,242","Aug 02, 2023"
01-08-2023,312.00,313.85,301.00,305.10,305.10,"574,427","Aug 01, 2023"
31-07-2023,308.00,314.70,302.45,311.80,311.80,"1,510,196","Jul 31, 2023"
28-07-2023,305.00,312.00,292.10,306.90,306.90,"2,275,369","Jul 28, 2023"
27-07-2023,315.00,317.10,302.00,305.55,305.55,"5,450,741","Jul 27, 2023"
26-07-2023,306.00,321.80,297.35,313.95,313.95,"28,084,918","Jul 26, 2023"
25-07-2023,244.35,290.90,243.55,290.90,290.90,"21,627,397","Jul 25, 2023"
24-07-2023,244.20,244.90,237.75,242.45,242.45,"594,891","Jul 24, 2023"
21-07-2023,248.00,248.00,240.05,242.90,242.90,"600,648","Jul 21, 2023"
20-07-2023,237.25,252.00,236.30,248.40,248.40,"2,961,277","Jul 20, 2023"
19-07-2023,238.35,239.40,236.00,237.70,237.70,"392,651","Jul 19, 2023"
18-07-2023,236.80,241.40,234.25,236.00,236.00,"915,056","Jul 18, 2023"
17-07-2023,234.80,247.95,233.55,235.85,235.85,"1,091,999","Jul 17, 2023"
14-07-2023,232.35,235.85,232.35,233.60,233.60,"259,184","Jul 14, 2023"
13-07-2023,235.50,237.70,228.15,231.85,231.85,"587,643","Jul 13, 2023"
12-07-2023,235.50,236.55,233.55,235.30,235.30,"645,511","Jul 12, 2023"
11-07-2023,240.00,240.25,233.50,236.15,236.15,"1,080,471","Jul 11, 2023"
10-07-2023,238.05,240.00,232.40,238.00,238.00,"493,609","Jul 10, 2023"
07-07-2023,236.95,242.70,234.45,238.15,238.15,"515,404","Jul 07, 2023"
06-07-2023,233.95,240.15,232.05,237.75,237.75,"999,504","Jul 06, 2023"
05-07-2023,232.00,237.50,229.25,235.95,235.95,"1,153,032","Jul 05, 2023"
04-07-2023,222.90,241.25,219.45,231.60,231.60,"2,745,813","Jul 04, 2023"
03-07-2023,215.45,227.40,214.95,223.15,223.15,"2,152,189","Jul 03, 2023"
03-07-2023,3 Dividend,,,,,,"Jul 03, 2023"
30-06-2023,212.80,219.00,212.00,215.85,212.85,"960,231","Jun 30, 2023"
28-06-2023,216.10,216.10,216.10,216.10,213.10,-,"Jun 28, 2023"
27-06-2023,217.00,219.50,212.65,216.10,213.10,"296,466","Jun 27, 2023"
