date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,216.00,217.60,210.05,211.00,211.00,"1,737,399","Aug 25, 2023"
24-08-2023,222.50,224.00,216.20,216.75,216.75,"1,815,997","Aug 24, 2023"
23-08-2023,225.50,227.00,221.40,222.50,222.50,"2,720,524","Aug 23, 2023"
22-08-2023,221.35,226.35,215.50,223.60,223.60,"5,627,528","Aug 22, 2023"
21-08-2023,216.00,227.00,210.60,219.85,219.85,"4,994,560","Aug 21, 2023"
18-08-2023,222.50,222.50,211.05,214.60,214.60,"4,346,093","Aug 18, 2023"
17-08-2023,223.75,228.35,217.05,222.75,222.75,"11,898,690","Aug 17, 2023"
16-08-2023,207.70,225.00,204.70,222.80,222.80,"18,590,171","Aug 16, 2023"
14-08-2023,202.30,211.15,194.05,208.80,208.80,"10,405,291","Aug 14, 2023"
11-08-2023,182.35,204.95,182.05,202.40,202.40,"23,808,053","Aug 11, 2023"
10-08-2023,185.90,186.70,178.50,181.50,181.50,"3,083,265","Aug 10, 2023"
09-08-2023,177.65,189.00,177.65,182.60,182.60,"8,345,363","Aug 09, 2023"
08-08-2023,175.30,179.70,171.70,177.65,177.65,"1,411,140","Aug 08, 2023"
07-08-2023,171.70,176.00,170.35,174.35,174.35,"1,287,160","Aug 07, 2023"
04-08-2023,171.30,173.25,169.00,170.60,170.60,"693,006","Aug 04, 2023"
04-08-2023,0.5 Dividend,,,,,,"Aug 04, 2023"
03-08-2023,166.00,173.00,164.20,170.45,169.95,"1,613,804","Aug 03, 2023"
02-08-2023,172.55,173.05,162.65,168.25,167.76,"1,290,121","Aug 02, 2023"
01-08-2023,175.70,175.80,171.40,172.55,172.04,"1,310,903","Aug 01, 2023"
31-07-2023,175.75,176.90,174.00,174.70,174.19,"984,248","Jul 31, 2023"
28-07-2023,175.25,177.70,174.00,175.25,174.74,"1,321,521","Jul 28, 2023"
27-07-2023,173.10,176.95,173.05,175.70,175.18,"1,662,491","Jul 27, 2023"
26-07-2023,173.90,175.00,172.45,174.30,173.79,"1,114,571","Jul 26, 2023"
25-07-2023,173.75,176.50,172.00,174.25,173.74,"2,295,348","Jul 25, 2023"
24-07-2023,174.80,174.80,170.35,172.80,172.29,"1,750,139","Jul 24, 2023"
21-07-2023,170.50,175.50,168.00,174.05,173.54,"4,768,332","Jul 21, 2023"
20-07-2023,173.55,174.40,170.10,170.85,170.35,"3,375,360","Jul 20, 2023"
19-07-2023,174.45,177.70,170.10,172.75,172.24,"5,962,791","Jul 19, 2023"
18-07-2023,182.25,182.30,171.00,174.25,173.74,"7,832,169","Jul 18, 2023"
17-07-2023,183.90,187.50,179.10,181.00,180.47,"13,001,344","Jul 17, 2023"
14-07-2023,176.25,184.20,175.10,182.65,182.11,"18,929,192","Jul 14, 2023"
13-07-2023,180.75,182.70,170.50,173.35,172.84,"14,880,566","Jul 13, 2023"
12-07-2023,177.60,184.35,177.05,179.60,179.07,"27,263,371","Jul 12, 2023"
11-07-2023,164.90,175.90,164.25,174.20,173.69,"23,760,974","Jul 11, 2023"
10-07-2023,163.75,165.00,157.20,163.80,163.32,"9,240,089","Jul 10, 2023"
07-07-2023,158.00,166.50,157.70,162.55,162.07,"42,109,534","Jul 07, 2023"
06-07-2023,148.90,154.90,147.30,153.85,153.40,"7,038,245","Jul 06, 2023"
05-07-2023,147.90,149.50,146.30,148.45,148.01,"4,481,338","Jul 05, 2023"
04-07-2023,150.00,150.50,140.50,147.05,146.62,"7,829,385","Jul 04, 2023"
03-07-2023,147.05,152.80,145.65,150.45,150.01,"11,776,920","Jul 03, 2023"
30-06-2023,141.70,148.60,139.50,147.05,146.62,"10,312,196","Jun 30, 2023"
28-06-2023,135.65,135.65,135.65,135.65,135.25,-,"Jun 28, 2023"
27-06-2023,130.85,136.95,130.00,135.65,135.25,"6,259,305","Jun 27, 2023"
26-06-2023,127.35,130.90,127.15,130.20,129.82,"4,186,141","Jun 26, 2023"
23-06-2023,123.50,127.70,123.50,126.60,126.23,"8,273,467","Jun 23, 2023"
22-06-2023,128.20,128.35,121.50,123.00,122.64,"5,317,492","Jun 22, 2023"
21-06-2023,128.50,129.70,125.80,128.65,128.27,"5,610,434","Jun 21, 2023"
20-06-2023,133.00,133.45,126.80,127.90,127.52,"8,357,824","Jun 20, 2023"
