date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,371.20,375.50,366.45,369.35,369.35,"11,234","Aug 25, 2023"
24-08-2023,379.60,381.50,370.10,371.20,371.20,"8,529","Aug 24, 2023"
23-08-2023,376.50,384.40,371.80,374.00,374.00,"15,987","Aug 23, 2023"
22-08-2023,386.90,393.95,375.00,376.40,376.40,"41,930","Aug 22, 2023"
21-08-2023,363.30,386.00,363.30,378.50,378.50,"40,022","Aug 21, 2023"
18-08-2023,361.90,376.45,356.80,365.90,365.90,"48,626","Aug 18, 2023"
17-08-2023,353.55,362.50,353.05,359.35,359.35,"19,888","Aug 17, 2023"
16-08-2023,361.10,367.15,352.95,355.75,355.75,"17,226","Aug 16, 2023"
14-08-2023,366.70,370.45,360.00,363.95,363.95,"18,997","Aug 14, 2023"
11-08-2023,377.80,380.45,364.00,366.95,366.95,"28,282","Aug 11, 2023"
10-08-2023,395.00,398.55,370.00,372.95,372.95,"30,968","Aug 10, 2023"
09-08-2023,368.00,392.25,368.00,387.60,387.60,"50,842","Aug 09, 2023"
08-08-2023,385.70,385.70,370.05,371.45,371.45,"24,989","Aug 08, 2023"
07-08-2023,379.75,397.20,377.65,384.20,384.20,"121,442","Aug 07, 2023"
04-08-2023,359.25,387.00,357.20,377.25,377.25,"151,825","Aug 04, 2023"
03-08-2023,358.55,362.40,349.35,359.25,359.25,"32,386","Aug 03, 2023"
02-08-2023,358.45,367.10,350.10,355.10,355.10,"35,387","Aug 02, 2023"
01-08-2023,358.55,358.55,350.00,354.15,354.15,"22,408","Aug 01, 2023"
31-07-2023,348.00,363.00,345.95,358.30,358.30,"28,884","Jul 31, 2023"
28-07-2023,365.90,365.90,337.25,347.20,347.20,"58,887","Jul 28, 2023"
27-07-2023,352.00,369.50,351.95,361.50,361.50,"78,497","Jul 27, 2023"
26-07-2023,345.10,363.00,341.00,351.00,351.00,"50,514","Jul 26, 2023"
25-07-2023,350.70,354.40,340.00,345.10,345.10,"17,898","Jul 25, 2023"
24-07-2023,350.25,350.25,344.00,348.10,348.10,"21,742","Jul 24, 2023"
21-07-2023,347.80,358.45,345.95,350.25,350.25,"47,879","Jul 21, 2023"
20-07-2023,370.00,373.40,345.15,351.25,351.25,"85,831","Jul 20, 2023"
19-07-2023,346.95,375.20,339.00,367.10,367.10,"186,548","Jul 19, 2023"
18-07-2023,351.10,353.80,342.55,347.30,347.30,"15,171","Jul 18, 2023"
17-07-2023,346.00,359.50,345.60,350.45,350.45,"22,562","Jul 17, 2023"
14-07-2023,344.70,358.90,338.25,349.80,349.80,"58,910","Jul 14, 2023"
13-07-2023,336.40,344.00,334.45,340.05,340.05,"14,793","Jul 13, 2023"
12-07-2023,339.90,344.45,330.00,334.40,334.40,"11,217","Jul 12, 2023"
11-07-2023,330.10,338.45,330.10,336.80,336.80,"10,414","Jul 11, 2023"
10-07-2023,340.00,348.85,327.55,331.15,331.15,"7,713","Jul 10, 2023"
07-07-2023,335.45,346.45,335.45,340.20,340.20,"27,377","Jul 07, 2023"
06-07-2023,329.95,338.00,327.80,333.95,333.95,"10,554","Jul 06, 2023"
05-07-2023,325.00,336.00,318.65,329.50,329.50,"30,135","Jul 05, 2023"
04-07-2023,336.45,336.45,317.55,321.35,321.35,"15,392","Jul 04, 2023"
03-07-2023,330.15,336.90,327.50,328.75,328.75,"17,490","Jul 03, 2023"
30-06-2023,331.30,338.40,330.05,332.10,332.10,"8,195","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,335.00,340.85,335.00,336.70,336.70,"5,444","Jun 27, 2023"
26-06-2023,332.40,341.70,332.00,337.85,337.85,"4,902","Jun 26, 2023"
23-06-2023,344.00,348.50,335.05,336.75,336.75,"6,631","Jun 23, 2023"
22-06-2023,346.85,354.70,342.50,344.00,344.00,"28,753","Jun 22, 2023"
21-06-2023,343.05,352.45,343.00,343.90,343.90,"10,234","Jun 21, 2023"
20-06-2023,353.00,354.95,343.00,344.20,344.20,"18,327","Jun 20, 2023"
19-06-2023,366.50,366.50,350.15,353.15,353.15,"14,503","Jun 19, 2023"
