date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,116.45,116.90,113.05,113.50,113.50,"193,362","Aug 25, 2023"
24-08-2023,118.05,119.35,114.50,115.60,115.60,"257,544","Aug 24, 2023"
23-08-2023,118.00,120.20,115.10,117.60,117.60,"744,333","Aug 23, 2023"
22-08-2023,110.50,114.50,109.40,114.50,114.50,"194,722","Aug 22, 2023"
21-08-2023,109.00,111.00,107.05,109.05,109.05,"237,396","Aug 21, 2023"
18-08-2023,107.45,112.00,105.65,108.80,108.80,"237,952","Aug 18, 2023"
17-08-2023,113.90,114.90,107.75,108.15,108.15,"479,623","Aug 17, 2023"
16-08-2023,113.50,116.00,111.30,113.25,113.25,"255,940","Aug 16, 2023"
14-08-2023,118.45,123.00,113.10,116.35,116.35,"337,837","Aug 14, 2023"
11-08-2023,120.95,122.00,117.15,118.50,118.50,"115,864","Aug 11, 2023"
10-08-2023,118.95,120.50,115.00,118.70,118.70,"129,773","Aug 10, 2023"
09-08-2023,114.05,120.00,114.00,118.95,118.95,"125,252","Aug 09, 2023"
08-08-2023,115.10,117.60,114.00,115.15,115.15,"69,897","Aug 08, 2023"
07-08-2023,121.80,121.80,114.30,115.50,115.50,"203,807","Aug 07, 2023"
04-08-2023,119.00,120.30,116.00,120.30,120.30,"206,220","Aug 04, 2023"
03-08-2023,110.25,114.60,106.00,114.60,114.60,"134,849","Aug 03, 2023"
02-08-2023,110.90,113.00,107.05,109.15,109.15,"305,019","Aug 02, 2023"
01-08-2023,117.25,118.10,111.45,112.65,112.65,"280,749","Aug 01, 2023"
31-07-2023,120.60,121.00,112.50,117.25,117.25,"267,818","Jul 31, 2023"
28-07-2023,119.20,120.00,118.00,118.40,118.40,"66,635","Jul 28, 2023"
27-07-2023,122.85,122.85,118.00,118.25,118.25,"119,190","Jul 27, 2023"
26-07-2023,122.80,123.95,120.00,122.20,122.20,"83,659","Jul 26, 2023"
25-07-2023,123.25,124.70,122.00,122.80,122.80,"75,516","Jul 25, 2023"
24-07-2023,121.65,124.00,119.95,121.80,121.80,"93,226","Jul 24, 2023"
21-07-2023,120.90,121.95,118.55,119.35,119.35,"101,393","Jul 21, 2023"
20-07-2023,121.50,123.00,119.00,120.15,120.15,"141,820","Jul 20, 2023"
19-07-2023,122.50,124.90,119.00,121.50,121.50,"112,296","Jul 19, 2023"
18-07-2023,124.20,126.50,121.40,122.40,122.40,"112,714","Jul 18, 2023"
17-07-2023,128.00,128.50,121.30,124.20,124.20,"121,515","Jul 17, 2023"
14-07-2023,122.50,127.05,122.10,124.85,124.85,"83,760","Jul 14, 2023"
13-07-2023,128.85,129.45,120.25,122.05,122.05,"388,933","Jul 13, 2023"
12-07-2023,132.00,132.40,126.00,126.55,126.55,"169,659","Jul 12, 2023"
11-07-2023,125.70,131.35,125.00,130.50,130.50,"218,364","Jul 11, 2023"
10-07-2023,127.90,131.50,121.00,125.10,125.10,"146,175","Jul 10, 2023"
07-07-2023,127.20,129.75,122.00,126.40,126.40,"155,374","Jul 07, 2023"
06-07-2023,130.00,133.50,127.00,127.20,127.20,"183,442","Jul 06, 2023"
05-07-2023,133.00,133.85,129.15,131.15,131.15,"307,501","Jul 05, 2023"
04-07-2023,140.00,141.00,128.40,135.95,135.95,"582,282","Jul 04, 2023"
03-07-2023,133.90,135.15,130.75,135.15,135.15,"493,413","Jul 03, 2023"
30-06-2023,122.95,128.75,122.65,128.75,128.75,"471,901","Jun 30, 2023"
28-06-2023,117.15,117.15,117.15,117.15,117.15,-,"Jun 28, 2023"
27-06-2023,123.00,123.50,116.00,117.15,117.15,"298,464","Jun 27, 2023"
