date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"2,600.00","2,630.00","2,556.10","2,614.60","2,614.60","196,170","Aug 25, 2023"
24-08-2023,"2,598.80","2,627.00","2,590.00","2,618.25","2,618.25","290,762","Aug 24, 2023"
23-08-2023,"2,545.00","2,593.45","2,526.05","2,580.00","2,580.00","147,239","Aug 23, 2023"
22-08-2023,"2,550.00","2,562.00","2,533.45","2,545.55","2,545.55","157,055","Aug 22, 2023"
21-08-2023,"2,485.15","2,529.00","2,474.60","2,522.90","2,522.90","441,391","Aug 21, 2023"
18-08-2023,"2,428.95","2,485.95","2,422.00","2,454.75","2,454.75","573,159","Aug 18, 2023"
17-08-2023,"2,356.90","2,454.15","2,350.00","2,415.30","2,415.30","361,173","Aug 17, 2023"
16-08-2023,"2,280.15","2,366.80","2,223.00","2,345.65","2,345.65","212,987","Aug 16, 2023"
14-08-2023,"2,325.00","2,328.70","2,268.65","2,278.95","2,278.95","151,844","Aug 14, 2023"
11-08-2023,"2,377.80","2,381.95","2,321.00","2,328.70","2,328.70","129,798","Aug 11, 2023"
10-08-2023,"2,419.50","2,439.50","2,350.20","2,366.05","2,366.05","122,585","Aug 10, 2023"
09-08-2023,"2,425.00","2,441.90","2,400.00","2,412.80","2,412.80","119,973","Aug 09, 2023"
08-08-2023,"2,428.00","2,473.90","2,403.10","2,421.45","2,421.45","392,503","Aug 08, 2023"
07-08-2023,"2,455.40","2,462.35","2,362.00","2,374.35","2,374.35","216,418","Aug 07, 2023"
04-08-2023,"2,340.00","2,444.50","2,337.00","2,425.05","2,425.05","462,360","Aug 04, 2023"
03-08-2023,"2,356.00","2,402.70","2,314.25","2,337.70","2,337.70","275,212","Aug 03, 2023"
02-08-2023,"2,275.05","2,411.90","2,275.05","2,372.75","2,372.75","1,136,598","Aug 02, 2023"
01-08-2023,"2,300.00","2,406.25","2,225.10","2,270.35","2,270.35","2,364,777","Aug 01, 2023"
31-07-2023,"2,460.00","2,487.90","2,405.50","2,429.55","2,429.55","279,900","Jul 31, 2023"
28-07-2023,"2,496.95","2,506.80","2,430.00","2,437.60","2,437.60","164,773","Jul 28, 2023"
27-07-2023,"2,499.30","2,518.85","2,451.00","2,497.50","2,497.50","193,278","Jul 27, 2023"
26-07-2023,"2,606.00","2,606.00","2,406.25","2,477.55","2,477.55","415,893","Jul 26, 2023"
25-07-2023,"2,636.15","2,644.00","2,566.20","2,587.80","2,587.80","136,068","Jul 25, 2023"
24-07-2023,"2,582.90","2,654.50","2,563.65","2,623.00","2,623.00","221,077","Jul 24, 2023"
21-07-2023,"2,569.95","2,640.00","2,550.00","2,568.75","2,568.75","425,969","Jul 21, 2023"
20-07-2023,"2,591.95","2,624.00","2,544.90","2,570.75","2,570.75","440,085","Jul 20, 2023"
19-07-2023,"2,449.45","2,815.15","2,441.20","2,563.10","2,563.10","2,730,713","Jul 19, 2023"
18-07-2023,"2,440.25","2,474.70","2,365.40","2,439.45","2,439.45","404,636","Jul 18, 2023"
17-07-2023,"2,450.00","2,459.00","2,410.45","2,422.05","2,422.05","77,156","Jul 17, 2023"
14-07-2023,"2,445.85","2,464.90","2,427.65","2,446.45","2,446.45","93,974","Jul 14, 2023"
13-07-2023,"2,444.80","2,462.95","2,418.25","2,433.65","2,433.65","130,802","Jul 13, 2023"
12-07-2023,"2,377.85","2,433.70","2,342.65","2,420.95","2,420.95","228,569","Jul 12, 2023"
11-07-2023,"2,300.40","2,385.00","2,292.55","2,364.50","2,364.50","128,198","Jul 11, 2023"
10-07-2023,"2,325.00","2,340.00","2,290.05","2,299.55","2,299.55","75,541","Jul 10, 2023"
07-07-2023,"2,305.00","2,334.95","2,292.05","2,308.75","2,308.75","56,078","Jul 07, 2023"
06-07-2023,"2,337.95","2,352.50","2,292.15","2,311.60","2,311.60","137,876","Jul 06, 2023"
05-07-2023,"2,347.95","2,347.95","2,325.05","2,328.85","2,328.85","97,318","Jul 05, 2023"
04-07-2023,"2,303.95","2,359.00","2,303.40","2,329.45","2,329.45","156,280","Jul 04, 2023"
03-07-2023,"2,323.95","2,334.75","2,276.50","2,293.40","2,293.40","86,057","Jul 03, 2023"
30-06-2023,"2,333.95","2,334.85","2,285.00","2,315.60","2,315.60","90,608","Jun 30, 2023"
28-06-2023,"2,345.55","2,345.55","2,345.55","2,345.55","2,345.55",-,"Jun 28, 2023"
27-06-2023,"2,349.25","2,362.00","2,329.00","2,345.55","2,345.55","110,812","Jun 27, 2023"
26-06-2023,"2,358.55","2,358.55","2,315.00","2,349.25","2,349.25","133,192","Jun 26, 2023"
23-06-2023,"2,366.85","2,370.00","2,320.05","2,343.25","2,343.25","300,328","Jun 23, 2023"
22-06-2023,"2,242.60","2,392.00","2,242.60","2,353.60","2,353.60","1,188,034","Jun 22, 2023"
21-06-2023,"2,244.00","2,260.00","2,222.10","2,240.50","2,240.50","133,110","Jun 21, 2023"
20-06-2023,"2,258.80","2,258.80","2,216.00","2,234.30","2,234.30","95,112","Jun 20, 2023"
19-06-2023,"2,261.40","2,261.50","2,201.05","2,238.80","2,238.80","168,537","Jun 19, 2023"
16-06-2023,"2,300.00","2,311.95","2,238.85","2,242.90","2,242.90","239,670","Jun 16, 2023"
15-06-2023,"2,219.00","2,375.00","2,182.05","2,312.55","2,312.55","398,499","Jun 15, 2023"
14-06-2023,"2,121.35","2,233.15","2,115.00","2,205.70","2,205.70","911,788","Jun 14, 2023"
13-06-2023,"2,085.00","2,114.00","2,048.30","2,104.55","2,104.55","137,294","Jun 13, 2023"
12-06-2023,"2,120.65","2,125.15","2,051.20","2,069.95","2,069.95","174,327","Jun 12, 2023"
09-06-2023,"2,135.10","2,161.00","2,088.00","2,103.55","2,103.55","103,735","Jun 09, 2023"
08-06-2023,"2,177.00","2,183.45","2,120.05","2,131.50","2,131.50","106,095","Jun 08, 2023"
07-06-2023,"2,092.55","2,179.00","2,092.50","2,166.05","2,166.05","269,961","Jun 07, 2023"
06-06-2023,"2,125.00","2,144.70","2,085.00","2,091.90","2,091.90","316,724","Jun 06, 2023"
05-06-2023,"2,114.00","2,144.70","2,095.25","2,115.05","2,115.05","153,265","Jun 05, 2023"
02-06-2023,"2,068.90","2,122.40","2,050.25","2,094.30","2,094.30","301,987","Jun 02, 2023"
01-06-2023,"1,997.15","2,068.00","1,997.00","2,058.00","2,058.00","306,978","Jun 01, 2023"
31-05-2023,"2,004.00","2,030.00","1,987.00","1,997.15","1,997.15","156,500","May 31, 2023"
30-05-2023,"1,993.10","2,020.00","1,989.85","1,997.25","1,997.25","74,776","May 30, 2023"
29-05-2023,"2,000.00","2,028.45","1,984.20","1,993.10","1,993.10","183,379","May 29, 2023"
26-05-2023,"1,996.90","2,015.00","1,980.00","2,001.75","2,001.75","99,750","May 26, 2023"
25-05-2023,"1,968.80","2,009.00","1,950.05","1,988.60","1,988.60","139,853","May 25, 2023"
24-05-2023,"1,999.80","2,026.00","1,950.00","1,959.95","1,959.95","146,761","May 24, 2023"
23-05-2023,"2,015.25","2,046.00","1,982.30","1,994.30","1,994.30","129,360","May 23, 2023"
22-05-2023,"2,036.80","2,036.80","1,980.00","2,000.70","2,000.70","94,315","May 22, 2023"
19-05-2023,"1,934.95","2,035.00","1,930.05","2,024.95","2,024.95","856,971","May 19, 2023"
18-05-2023,"1,975.20","1,988.95","1,912.00","1,920.80","1,920.80","296,751","May 18, 2023"
17-05-2023,"2,007.90","2,012.95","1,965.10","1,971.80","1,971.80","105,380","May 17, 2023"
16-05-2023,"2,022.00","2,060.30","1,993.20","2,005.40","2,005.40","238,651","May 16, 2023"
15-05-2023,"2,045.00","2,047.45","1,994.55","2,003.15","2,003.15","115,021","May 15, 2023"
12-05-2023,"2,080.00","2,080.00","2,025.05","2,034.00","2,034.00","219,143","May 12, 2023"
11-05-2023,"1,997.65","2,097.00","1,965.50","2,074.55","2,074.55","276,335","May 11, 2023"
10-05-2023,"2,075.05","2,090.00","1,925.00","1,979.20","1,979.20","281,618","May 10, 2023"
09-05-2023,"2,004.10","2,095.00","1,992.35","2,069.95","2,069.95","381,103","May 09, 2023"
08-05-2023,"1,953.00","2,009.00","1,931.00","1,986.90","1,986.90","447,623","May 08, 2023"
05-05-2023,"1,913.05","1,999.00","1,910.85","1,936.40","1,936.40","540,972","May 05, 2023"
04-05-2023,"1,836.15","1,931.60","1,817.50","1,911.35","1,911.35","277,814","May 04, 2023"
03-05-2023,"1,935.00","1,935.00","1,825.50","1,836.15","1,836.15","434,582","May 03, 2023"
02-05-2023,"1,924.00","1,940.00","1,860.00","1,883.50","1,883.50","222,312","May 02, 2023"
28-04-2023,"1,900.45","1,922.55","1,883.05","1,895.05","1,895.05","275,394","Apr 28, 2023"
27-04-2023,"1,890.00","1,901.00","1,865.00","1,898.35","1,898.35","165,034","Apr 27, 2023"
26-04-2023,"1,785.00","1,900.00","1,773.20","1,890.65","1,890.65","1,097,431","Apr 26, 2023"
25-04-2023,"1,799.00","1,800.00","1,775.40","1,789.50","1,789.50","194,735","Apr 25, 2023"
24-04-2023,"1,761.00","1,795.00","1,748.50","1,790.10","1,790.10","193,396","Apr 24, 2023"
21-04-2023,"1,759.00","1,764.20","1,739.35","1,749.15","1,749.15","66,898","Apr 21, 2023"
20-04-2023,"1,763.25","1,763.25","1,715.20","1,738.00","1,738.00","182,620","Apr 20, 2023"
19-04-2023,"1,775.10","1,775.25","1,745.10","1,751.55","1,751.55","110,504","Apr 19, 2023"
18-04-2023,"1,790.00","1,792.55","1,768.10","1,779.75","1,779.75","79,674","Apr 18, 2023"
17-04-2023,"1,770.00","1,787.05","1,742.10","1,779.65","1,779.65","108,128","Apr 17, 2023"
13-04-2023,"1,755.00","1,779.10","1,745.85","1,753.95","1,753.95","70,383","Apr 13, 2023"
12-04-2023,"1,752.00","1,766.90","1,742.00","1,753.15","1,753.15","53,868","Apr 12, 2023"
11-04-2023,"1,719.90","1,769.85","1,715.15","1,751.90","1,751.90","391,364","Apr 11, 2023"
10-04-2023,"1,777.95","1,777.95","1,702.60","1,709.95","1,709.95","157,893","Apr 10, 2023"
06-04-2023,"1,750.00","1,798.10","1,716.05","1,762.85","1,762.85","277,338","Apr 06, 2023"
05-04-2023,"1,727.95","1,820.00","1,708.60","1,744.35","1,744.35","720,665","Apr 05, 2023"
03-04-2023,"1,704.95","1,719.20","1,685.00","1,696.70","1,696.70","59,470","Apr 03, 2023"
31-03-2023,"1,713.95","1,744.00","1,670.00","1,698.65","1,698.65","361,340","Mar 31, 2023"
29-03-2023,"1,662.00","1,729.00","1,661.10","1,701.60","1,701.60","359,298","Mar 29, 2023"
28-03-2023,"1,680.95","1,692.30","1,648.00","1,661.55","1,661.55","69,701","Mar 28, 2023"
27-03-2023,"1,669.90","1,679.95","1,626.15","1,675.40","1,675.40","76,450","Mar 27, 2023"
24-03-2023,"1,652.15","1,681.90","1,652.15","1,662.30","1,662.30","123,028","Mar 24, 2023"
23-03-2023,"1,640.00","1,657.90","1,630.05","1,652.15","1,652.15","72,027","Mar 23, 2023"
22-03-2023,"1,615.00","1,652.30","1,611.50","1,641.20","1,641.20","75,408","Mar 22, 2023"
21-03-2023,"1,596.35","1,629.70","1,591.25","1,614.90","1,614.90","78,279","Mar 21, 2023"
20-03-2023,"1,599.85","1,608.45","1,557.05","1,596.35","1,596.35","93,270","Mar 20, 2023"
17-03-2023,"1,617.40","1,623.25","1,603.00","1,619.95","1,619.95","73,572","Mar 17, 2023"
16-03-2023,"1,599.80","1,616.00","1,591.05","1,598.65","1,598.65","109,251","Mar 16, 2023"
15-03-2023,"1,609.70","1,623.60","1,589.00","1,599.10","1,599.10","83,380","Mar 15, 2023"
14-03-2023,"1,581.25","1,609.10","1,561.25","1,595.45","1,595.45","99,081","Mar 14, 2023"
13-03-2023,"1,600.20","1,634.00","1,554.05","1,580.20","1,580.20","454,437","Mar 13, 2023"
10-03-2023,"1,664.10","1,664.85","1,626.45","1,646.90","1,646.90","88,218","Mar 10, 2023"
09-03-2023,"1,710.00","1,712.90","1,664.00","1,671.65","1,671.65","80,285","Mar 09, 2023"
08-03-2023,"1,710.05","1,740.00","1,697.15","1,709.50","1,709.50","166,029","Mar 08, 2023"
06-03-2023,"1,704.00","1,738.00","1,690.00","1,718.15","1,718.15","204,449","Mar 06, 2023"
03-03-2023,"1,627.95","1,694.85","1,622.25","1,684.70","1,684.70","175,273","Mar 03, 2023"
02-03-2023,"1,650.00","1,659.85","1,618.00","1,625.30","1,625.30","134,739","Mar 02, 2023"
01-03-2023,"1,625.25","1,684.80","1,625.25","1,672.35","1,672.35","338,616","Mar 01, 2023"
28-02-2023,"1,637.90","1,649.95","1,607.10","1,625.25","1,625.25","69,568","Feb 28, 2023"
27-02-2023,"1,633.00","1,653.95","1,602.55","1,629.75","1,629.75","275,238","Feb 27, 2023"
24-02-2023,"1,657.15","1,677.00","1,648.30","1,657.80","1,657.80","118,865","Feb 24, 2023"
23-02-2023,"1,662.65","1,677.95","1,626.15","1,649.25","1,649.25","90,795","Feb 23, 2023"
22-02-2023,"1,672.35","1,677.15","1,648.00","1,654.35","1,654.35","86,941","Feb 22, 2023"
21-02-2023,"1,701.85","1,708.95","1,664.00","1,668.80","1,668.80","68,177","Feb 21, 2023"
20-02-2023,"1,705.00","1,725.00","1,663.55","1,701.90","1,701.90","134,760","Feb 20, 2023"
17-02-2023,"1,676.80","1,717.95","1,665.05","1,699.95","1,699.95","178,331","Feb 17, 2023"
16-02-2023,"1,619.00","1,685.00","1,613.00","1,677.70","1,677.70","117,120","Feb 16, 2023"
15-02-2023,"1,581.85","1,631.00","1,558.00","1,612.55","1,612.55","220,188","Feb 15, 2023"
14-02-2023,"1,633.00","1,642.05","1,600.20","1,605.75","1,605.75","50,555","Feb 14, 2023"
13-02-2023,"1,685.05","1,689.95","1,612.00","1,629.85","1,629.85","82,352","Feb 13, 2023"
10-02-2023,"1,638.90","1,690.00","1,630.00","1,676.65","1,676.65","112,926","Feb 10, 2023"
09-02-2023,"1,650.00","1,668.95","1,630.00","1,639.75","1,639.75","209,045","Feb 09, 2023"
08-02-2023,"1,707.25","1,708.80","1,642.30","1,652.80","1,652.80","127,115","Feb 08, 2023"
07-02-2023,"1,724.75","1,728.95","1,700.00","1,707.25","1,707.25","117,805","Feb 07, 2023"
06-02-2023,"1,708.00","1,726.00","1,695.35","1,713.40","1,713.40","252,684","Feb 06, 2023"
03-02-2023,"1,682.90","1,698.00","1,655.05","1,677.90","1,677.90","169,881","Feb 03, 2023"
03-02-2023,3 Dividend,,,,,,"Feb 03, 2023"
02-02-2023,"1,657.85","1,730.95","1,652.05","1,668.70","1,665.70","282,330","Feb 02, 2023"
01-02-2023,"1,640.00","1,696.00","1,621.15","1,660.90","1,657.91","357,478","Feb 01, 2023"
31-01-2023,"1,620.00","1,653.50","1,590.00","1,615.65","1,612.75","337,973","Jan 31, 2023"
30-01-2023,"1,573.00","1,620.35","1,560.80","1,608.55","1,605.66","278,805","Jan 30, 2023"
27-01-2023,"1,558.00","1,585.00","1,542.00","1,573.20","1,570.37","332,045","Jan 27, 2023"
25-01-2023,"1,508.00","1,554.85","1,508.00","1,550.55","1,547.76","247,475","Jan 25, 2023"
24-01-2023,"1,550.00","1,569.95","1,503.00","1,514.10","1,511.38","285,093","Jan 24, 2023"
23-01-2023,"1,517.25","1,541.00","1,513.25","1,531.05","1,528.30","65,678","Jan 23, 2023"
20-01-2023,"1,558.00","1,563.95","1,501.45","1,517.15","1,514.42","182,891","Jan 20, 2023"
19-01-2023,"1,468.70","1,556.65","1,466.00","1,539.75","1,536.98","456,510","Jan 19, 2023"
18-01-2023,"1,465.00","1,484.15","1,452.00","1,466.85","1,464.21","151,142","Jan 18, 2023"
17-01-2023,"1,432.00","1,462.00","1,421.40","1,448.70","1,446.10","158,052","Jan 17, 2023"
16-01-2023,"1,435.70","1,447.75","1,425.00","1,433.00","1,430.42","37,011","Jan 16, 2023"
13-01-2023,"1,443.95","1,454.55","1,428.75","1,435.70","1,433.12","43,741","Jan 13, 2023"
12-01-2023,"1,426.75","1,446.00","1,422.15","1,436.75","1,434.17","127,395","Jan 12, 2023"
11-01-2023,"1,469.25","1,469.30","1,411.10","1,426.35","1,423.79","293,841","Jan 11, 2023"
10-01-2023,"1,489.95","1,489.95","1,438.00","1,462.00","1,459.37","129,373","Jan 10, 2023"
09-01-2023,"1,497.35","1,507.00","1,458.00","1,489.95","1,487.27","64,639","Jan 09, 2023"
06-01-2023,"1,519.05","1,519.95","1,470.00","1,489.90","1,487.22","90,755","Jan 06, 2023"
05-01-2023,"1,516.90","1,526.00","1,493.00","1,519.05","1,516.32","261,215","Jan 05, 2023"
04-01-2023,"1,515.55","1,529.80","1,501.10","1,516.90","1,514.17","99,376","Jan 04, 2023"
03-01-2023,"1,488.00","1,525.00","1,466.35","1,515.40","1,512.68","115,418","Jan 03, 2023"
02-01-2023,"1,470.45","1,510.00","1,465.00","1,480.75","1,478.09","440,094","Jan 02, 2023"
30-12-2022,"1,455.90","1,499.95","1,451.15","1,464.70","1,462.07","76,950","Dec 30, 2022"
29-12-2022,"1,460.40","1,463.30","1,436.95","1,448.85","1,446.25","633,951","Dec 29, 2022"
28-12-2022,"1,487.00","1,495.90","1,450.00","1,466.25","1,463.61","120,738","Dec 28, 2022"
27-12-2022,"1,500.00","1,525.15","1,474.20","1,498.15","1,495.46","108,102","Dec 27, 2022"
26-12-2022,"1,410.00","1,501.00","1,385.25","1,493.10","1,490.42","183,410","Dec 26, 2022"
23-12-2022,"1,449.00","1,449.00","1,352.95","1,409.00","1,406.47","279,056","Dec 23, 2022"
22-12-2022,"1,475.50","1,502.50","1,443.05","1,462.55","1,459.92","257,157","Dec 22, 2022"
21-12-2022,"1,515.00","1,524.40","1,465.50","1,477.20","1,474.54","98,678","Dec 21, 2022"
