date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,278.10,283.30,272.25,281.90,281.90,"127,697","Aug 25, 2023"
24-08-2023,278.00,280.90,268.80,275.90,275.90,"162,634","Aug 24, 2023"
23-08-2023,286.40,288.30,275.00,276.25,276.25,"182,567","Aug 23, 2023"
22-08-2023,277.50,289.95,275.00,285.85,285.85,"423,909","Aug 22, 2023"
21-08-2023,273.15,286.00,266.70,277.40,277.40,"512,105","Aug 21, 2023"
18-08-2023,261.80,277.00,261.30,270.80,270.80,"492,949","Aug 18, 2023"
17-08-2023,259.15,266.75,252.15,259.50,259.50,"193,427","Aug 17, 2023"
16-08-2023,259.00,265.00,255.20,259.15,259.15,"197,472","Aug 16, 2023"
14-08-2023,234.80,266.50,231.70,255.50,255.50,"1,187,228","Aug 14, 2023"
11-08-2023,231.90,235.00,222.50,232.10,232.10,"160,985","Aug 11, 2023"
10-08-2023,239.90,239.90,234.30,239.40,239.40,"29,582","Aug 10, 2023"
09-08-2023,234.00,240.75,234.00,236.75,236.75,"29,583","Aug 09, 2023"
08-08-2023,239.60,244.00,236.40,238.30,238.30,"43,166","Aug 08, 2023"
07-08-2023,239.95,241.65,236.10,239.60,239.60,"23,528","Aug 07, 2023"
04-08-2023,239.00,242.00,236.30,239.10,239.10,"56,581","Aug 04, 2023"
03-08-2023,230.95,241.40,230.80,236.90,236.90,"126,264","Aug 03, 2023"
02-08-2023,226.20,232.85,226.20,231.70,231.70,"55,517","Aug 02, 2023"
01-08-2023,229.85,231.40,225.05,226.20,226.20,"60,861","Aug 01, 2023"
31-07-2023,229.60,235.00,226.00,229.60,229.60,"38,181","Jul 31, 2023"
28-07-2023,231.00,233.85,227.70,228.70,228.70,"32,367","Jul 28, 2023"
27-07-2023,234.90,236.25,230.50,230.90,230.90,"33,383","Jul 27, 2023"
26-07-2023,230.65,239.85,229.70,233.50,233.50,"73,139","Jul 26, 2023"
25-07-2023,228.80,234.00,227.55,230.65,230.65,"49,601","Jul 25, 2023"
