date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"2,439.00","2,467.45","2,365.30","2,393.55","2,393.55","6,285","Aug 25, 2023"
24-08-2023,"2,520.00","2,535.00","2,425.00","2,441.85","2,441.85","8,402","Aug 24, 2023"
23-08-2023,"2,493.30","2,545.00","2,474.80","2,505.60","2,505.60","8,866","Aug 23, 2023"
22-08-2023,"2,511.00","2,524.00","2,452.00","2,477.50","2,477.50","9,865","Aug 22, 2023"
21-08-2023,"2,382.15","2,529.00","2,341.00","2,492.10","2,492.10","13,495","Aug 21, 2023"
18-08-2023,"2,430.20","2,550.00","2,325.45","2,358.55","2,358.55","33,665","Aug 18, 2023"
17-08-2023,"2,236.00","2,446.80","2,236.00","2,407.10","2,407.10","38,534","Aug 17, 2023"
16-08-2023,"2,164.95","2,269.90","2,135.00","2,231.85","2,231.85","8,370","Aug 16, 2023"
14-08-2023,"2,200.05","2,215.20","2,125.20","2,164.40","2,164.40","5,086","Aug 14, 2023"
11-08-2023,"2,174.80","2,230.90","2,174.80","2,215.20","2,215.20","8,503","Aug 11, 2023"
10-08-2023,"2,176.00","2,227.80","2,157.35","2,195.90","2,195.90","8,205","Aug 10, 2023"
09-08-2023,"2,155.00","2,219.80","2,120.00","2,195.15","2,195.15","10,215","Aug 09, 2023"
08-08-2023,"2,165.10","2,200.00","2,100.05","2,158.05","2,158.05","11,366","Aug 08, 2023"
07-08-2023,"2,100.00","2,207.45","2,100.00","2,147.95","2,147.95","24,847","Aug 07, 2023"
04-08-2023,"2,036.00","2,075.85","2,020.10","2,059.00","2,059.00","5,134","Aug 04, 2023"
03-08-2023,"2,040.00","2,074.95","2,014.65","2,029.35","2,029.35","4,981","Aug 03, 2023"
02-08-2023,"2,049.00","2,100.00","1,985.80","2,030.30","2,030.30","21,241","Aug 02, 2023"
01-08-2023,"1,967.40","2,024.00","1,950.00","2,015.70","2,015.70","7,037","Aug 01, 2023"
31-07-2023,"1,859.40","1,960.00","1,857.60","1,935.75","1,935.75","11,149","Jul 31, 2023"
28-07-2023,"1,851.00","1,878.00","1,830.05","1,849.20","1,849.20","2,505","Jul 28, 2023"
27-07-2023,"1,810.00","1,830.00","1,794.05","1,823.80","1,823.80","3,159","Jul 27, 2023"
26-07-2023,"1,804.00","1,818.00","1,803.95","1,811.60","1,811.60",993,"Jul 26, 2023"
25-07-2023,"1,810.85","1,810.85","1,788.45","1,789.90","1,789.90","2,575","Jul 25, 2023"
24-07-2023,"1,820.95","1,820.95","1,785.05","1,789.25","1,789.25","3,505","Jul 24, 2023"
21-07-2023,"1,800.15","1,825.00","1,788.60","1,799.75","1,799.75","4,636","Jul 21, 2023"
20-07-2023,"1,835.00","1,872.85","1,792.50","1,800.15","1,800.15","6,123","Jul 20, 2023"
19-07-2023,"1,891.00","1,899.00","1,825.00","1,849.15","1,849.15","2,583","Jul 19, 2023"
18-07-2023,"1,907.50","1,944.70","1,862.05","1,888.35","1,888.35","1,241","Jul 18, 2023"
17-07-2023,"1,913.95","1,950.05","1,880.10","1,927.00","1,927.00","2,912","Jul 17, 2023"
14-07-2023,"1,871.30","1,915.00","1,844.20","1,887.05","1,887.05","3,135","Jul 14, 2023"
13-07-2023,"1,871.00","1,902.40","1,840.05","1,850.60","1,850.60","1,526","Jul 13, 2023"
12-07-2023,"1,885.05","1,889.25","1,872.00","1,882.30","1,882.30",284,"Jul 12, 2023"
11-07-2023,"1,880.00","1,913.85","1,860.00","1,883.25","1,883.25","1,817","Jul 11, 2023"
10-07-2023,"1,875.00","1,900.00","1,875.00","1,892.30","1,892.30",322,"Jul 10, 2023"
07-07-2023,"1,901.35","1,901.35","1,856.75","1,885.30","1,885.30","1,287","Jul 07, 2023"
06-07-2023,"1,899.40","1,899.40","1,865.15","1,883.45","1,883.45",662,"Jul 06, 2023"
05-07-2023,"1,833.15","1,891.70","1,826.00","1,864.50","1,864.50","1,517","Jul 05, 2023"
04-07-2023,"1,830.10","1,899.00","1,830.10","1,872.35","1,872.35","1,966","Jul 04, 2023"
03-07-2023,"1,847.05","1,855.00","1,825.00","1,843.45","1,843.45","1,767","Jul 03, 2023"
30-06-2023,"1,845.00","1,864.00","1,810.85","1,825.95","1,825.95","2,172","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,"1,820.30","1,890.00","1,820.30","1,845.40","1,845.40","1,521","Jun 27, 2023"
26-06-2023,"1,864.00","1,864.00","1,813.05","1,835.40","1,835.40",558,"Jun 26, 2023"
