date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,998.80","2,012.55","1,980.95","1,999.10","1,999.10","79,309","Aug 25, 2023"
24-08-2023,"1,971.00","2,020.00","1,950.10","2,002.10","2,002.10","109,823","Aug 24, 2023"
23-08-2023,"1,982.00","1,998.30","1,961.35","1,971.00","1,971.00","37,175","Aug 23, 2023"
22-08-2023,"1,932.20","2,020.00","1,918.05","1,982.00","1,982.00","169,979","Aug 22, 2023"
21-08-2023,"1,945.00","1,948.00","1,910.45","1,924.35","1,924.35","51,503","Aug 21, 2023"
18-08-2023,"1,910.00","1,945.00","1,900.45","1,930.05","1,930.05","50,726","Aug 18, 2023"
17-08-2023,"1,909.70","1,929.00","1,890.00","1,902.05","1,902.05","15,990","Aug 17, 2023"
16-08-2023,"1,885.00","1,928.30","1,882.00","1,899.70","1,899.70","92,700","Aug 16, 2023"
14-08-2023,"1,885.00","1,895.00","1,844.10","1,878.80","1,878.80","53,124","Aug 14, 2023"
11-08-2023,"1,834.65","1,881.05","1,834.65","1,863.80","1,863.80","56,214","Aug 11, 2023"
10-08-2023,"1,889.95","1,916.00","1,823.50","1,834.65","1,834.65","365,440","Aug 10, 2023"
09-08-2023,"1,833.40","1,890.00","1,823.00","1,879.80","1,879.80","191,110","Aug 09, 2023"
08-08-2023,"1,856.30","1,861.85","1,806.30","1,823.85","1,823.85","500,813","Aug 08, 2023"
07-08-2023,"1,865.00","1,892.95","1,834.30","1,856.30","1,856.30","40,200","Aug 07, 2023"
04-08-2023,"1,860.30","1,894.90","1,833.90","1,846.75","1,846.75","28,502","Aug 04, 2023"
03-08-2023,"1,874.90","1,919.80","1,841.55","1,850.60","1,850.60","32,216","Aug 03, 2023"
02-08-2023,"1,909.40","1,945.00","1,836.50","1,852.50","1,852.50","68,279","Aug 02, 2023"
01-08-2023,"1,918.00","1,938.00","1,890.00","1,899.45","1,899.45","48,775","Aug 01, 2023"
31-07-2023,"1,945.00","1,945.00","1,900.05","1,913.80","1,913.80","48,617","Jul 31, 2023"
28-07-2023,"1,922.00","1,935.00","1,900.00","1,929.25","1,929.25","27,432","Jul 28, 2023"
27-07-2023,"1,952.90","1,954.55","1,904.95","1,911.90","1,911.90","27,679","Jul 27, 2023"
26-07-2023,"1,973.65","1,986.00","1,940.05","1,942.65","1,942.65","90,625","Jul 26, 2023"
25-07-2023,"1,925.50","2,075.00","1,917.85","1,973.65","1,973.65","307,774","Jul 25, 2023"
24-07-2023,"1,875.00","1,934.95","1,845.00","1,906.50","1,906.50","44,896","Jul 24, 2023"
21-07-2023,"1,911.70","1,940.00","1,860.45","1,882.95","1,882.95","26,993","Jul 21, 2023"
20-07-2023,"1,930.00","1,933.40","1,903.20","1,911.65","1,911.65","17,259","Jul 20, 2023"
19-07-2023,"1,920.00","1,944.80","1,919.60","1,936.10","1,936.10","33,607","Jul 19, 2023"
18-07-2023,"1,939.00","1,939.00","1,893.05","1,920.85","1,920.85","53,600","Jul 18, 2023"
17-07-2023,"1,933.75","1,940.00","1,880.95","1,930.05","1,930.05","122,114","Jul 17, 2023"
14-07-2023,"1,850.00","1,940.00","1,836.00","1,922.40","1,922.40","595,836","Jul 14, 2023"
13-07-2023,"1,890.00","1,904.75","1,810.00","1,843.25","1,843.25","86,472","Jul 13, 2023"
12-07-2023,"1,856.05","1,896.70","1,830.00","1,880.80","1,880.80","178,369","Jul 12, 2023"
11-07-2023,"1,780.00","1,899.95","1,775.00","1,840.05","1,840.05","635,725","Jul 11, 2023"
10-07-2023,"1,799.00","1,804.00","1,765.20","1,784.85","1,784.85","325,686","Jul 10, 2023"
07-07-2023,"1,778.00","1,810.00","1,775.50","1,788.55","1,788.55","59,406","Jul 07, 2023"
06-07-2023,"1,748.00","1,810.00","1,745.15","1,781.90","1,781.90","467,516","Jul 06, 2023"
05-07-2023,"1,756.05","1,764.95","1,720.00","1,747.70","1,747.70","128,111","Jul 05, 2023"
04-07-2023,"1,762.95","1,774.95","1,745.50","1,756.05","1,756.05","83,631","Jul 04, 2023"
03-07-2023,"1,787.50","1,805.00","1,745.20","1,756.30","1,756.30","198,422","Jul 03, 2023"
30-06-2023,"1,794.30","1,806.00","1,780.30","1,787.50","1,787.50","69,161","Jun 30, 2023"
28-06-2023,"1,801.05","1,801.05","1,801.05","1,801.05","1,801.05",-,"Jun 28, 2023"
