date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,464.90,470.00,460.10,466.65,466.65,"569,535","Aug 25, 2023"
24-08-2023,470.40,476.80,461.20,464.90,464.90,"896,176","Aug 24, 2023"
23-08-2023,468.10,487.05,466.00,468.20,468.20,"1,396,023","Aug 23, 2023"
22-08-2023,480.00,489.90,460.10,466.05,466.05,"1,130,842","Aug 22, 2023"
21-08-2023,520.00,528.60,475.05,478.80,478.80,"1,864,780","Aug 21, 2023"
18-08-2023,513.70,528.50,513.00,519.85,519.85,"575,620","Aug 18, 2023"
17-08-2023,495.30,534.00,493.60,509.15,509.15,"1,310,614","Aug 17, 2023"
16-08-2023,501.70,514.45,483.05,492.05,492.05,"751,585","Aug 16, 2023"
14-08-2023,487.00,519.00,485.10,499.05,499.05,"1,948,193","Aug 14, 2023"
11-08-2023,493.00,493.00,465.00,480.10,480.10,"3,232,722","Aug 11, 2023"
10-08-2023,445.60,451.45,437.95,443.45,443.45,"321,154","Aug 10, 2023"
09-08-2023,454.00,454.40,441.15,445.60,445.60,"426,706","Aug 09, 2023"
08-08-2023,437.75,455.00,432.70,451.30,451.30,"424,401","Aug 08, 2023"
07-08-2023,449.00,449.00,433.15,436.00,436.00,"165,824","Aug 07, 2023"
04-08-2023,458.00,460.00,442.25,448.65,448.65,"174,787","Aug 04, 2023"
04-08-2023,2.5 Dividend,,,,,,"Aug 04, 2023"
03-08-2023,442.00,457.50,440.00,455.25,452.75,"333,848","Aug 03, 2023"
02-08-2023,453.90,455.75,429.05,439.25,436.84,"360,922","Aug 02, 2023"
01-08-2023,454.80,462.30,442.05,447.65,445.19,"557,724","Aug 01, 2023"
31-07-2023,442.80,467.00,441.10,450.80,448.32,"2,089,124","Jul 31, 2023"
28-07-2023,424.70,449.35,422.00,439.65,437.24,"1,511,101","Jul 28, 2023"
27-07-2023,420.00,427.50,418.00,422.80,420.48,"186,410","Jul 27, 2023"
26-07-2023,416.00,422.10,413.15,417.10,414.81,"130,013","Jul 26, 2023"
25-07-2023,420.45,424.45,408.00,413.55,411.28,"173,285","Jul 25, 2023"
24-07-2023,412.50,423.05,411.00,418.35,416.05,"118,346","Jul 24, 2023"
21-07-2023,417.90,426.45,407.80,410.95,408.69,"194,498","Jul 21, 2023"
20-07-2023,419.00,424.85,416.35,418.40,416.10,"158,317","Jul 20, 2023"
19-07-2023,420.95,429.00,418.30,421.90,419.58,"257,178","Jul 19, 2023"
18-07-2023,415.00,434.95,409.90,419.40,417.10,"542,481","Jul 18, 2023"
17-07-2023,403.15,414.60,396.05,408.10,405.86,"278,381","Jul 17, 2023"
14-07-2023,402.75,407.00,388.40,403.15,400.94,"284,713","Jul 14, 2023"
13-07-2023,402.90,414.90,395.10,400.85,398.65,"284,888","Jul 13, 2023"
12-07-2023,415.00,418.40,397.00,400.00,397.80,"347,861","Jul 12, 2023"
11-07-2023,388.00,413.00,387.30,411.90,409.64,"427,417","Jul 11, 2023"
10-07-2023,392.00,398.85,388.10,390.30,388.16,"99,379","Jul 10, 2023"
07-07-2023,400.00,408.05,389.05,391.25,389.10,"138,819","Jul 07, 2023"
06-07-2023,401.50,402.35,397.10,401.00,398.80,"99,765","Jul 06, 2023"
05-07-2023,403.90,410.00,399.25,399.95,397.75,"169,025","Jul 05, 2023"
04-07-2023,397.60,409.00,393.30,402.05,399.84,"176,591","Jul 04, 2023"
