date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,450.10,454.90,441.10,447.85,447.85,"87,389","Aug 25, 2023"
24-08-2023,457.95,465.80,450.45,454.10,454.10,"321,675","Aug 24, 2023"
23-08-2023,459.15,464.60,450.25,455.45,455.45,"224,964","Aug 23, 2023"
22-08-2023,440.40,457.70,437.20,455.90,455.90,"253,698","Aug 22, 2023"
21-08-2023,445.00,447.65,430.05,438.45,438.45,"126,509","Aug 21, 2023"
18-08-2023,447.65,451.05,443.00,445.75,445.75,"117,791","Aug 18, 2023"
17-08-2023,437.10,456.00,437.10,446.20,446.20,"162,117","Aug 17, 2023"
16-08-2023,444.70,451.45,429.05,439.35,439.35,"107,887","Aug 16, 2023"
14-08-2023,439.95,448.40,426.80,445.60,445.60,"183,630","Aug 14, 2023"
11-08-2023,465.30,466.95,443.05,447.25,447.25,"191,721","Aug 11, 2023"
11-08-2023,4 Dividend,,,,,,"Aug 11, 2023"
10-08-2023,459.00,467.00,456.55,462.95,458.95,"196,555","Aug 10, 2023"
09-08-2023,449.15,463.70,447.30,459.00,455.03,"309,443","Aug 09, 2023"
08-08-2023,454.45,459.00,445.00,450.80,446.90,"324,730","Aug 08, 2023"
07-08-2023,429.80,457.95,427.15,454.45,450.52,"890,287","Aug 07, 2023"
04-08-2023,429.00,438.10,421.10,426.55,422.86,"724,277","Aug 04, 2023"
03-08-2023,426.95,433.95,422.75,429.40,425.69,"284,168","Aug 03, 2023"
02-08-2023,435.00,446.00,423.00,426.10,422.42,"786,515","Aug 02, 2023"
01-08-2023,436.80,444.00,423.85,435.70,431.94,"871,854","Aug 01, 2023"
31-07-2023,427.30,438.00,412.70,433.55,429.80,"1,397,720","Jul 31, 2023"
28-07-2023,386.55,423.50,385.30,420.25,416.62,"1,570,890","Jul 28, 2023"
27-07-2023,383.25,392.00,380.55,385.30,381.97,"172,234","Jul 27, 2023"
26-07-2023,382.00,387.95,378.00,379.85,376.57,"69,234","Jul 26, 2023"
25-07-2023,375.00,388.50,373.30,383.55,380.24,"218,147","Jul 25, 2023"
24-07-2023,371.40,379.65,370.45,375.00,371.76,"138,530","Jul 24, 2023"
21-07-2023,369.00,381.00,368.10,370.30,367.10,"166,621","Jul 21, 2023"
20-07-2023,375.00,380.30,373.10,373.50,370.27,"94,276","Jul 20, 2023"
19-07-2023,379.75,381.60,374.55,377.65,374.39,"81,644","Jul 19, 2023"
18-07-2023,385.05,387.60,361.80,376.55,373.30,"321,417","Jul 18, 2023"
17-07-2023,376.00,388.45,373.00,385.05,381.72,"351,533","Jul 17, 2023"
14-07-2023,380.00,385.45,375.10,376.70,373.45,"150,619","Jul 14, 2023"
13-07-2023,388.40,399.00,375.75,377.90,374.63,"408,633","Jul 13, 2023"
12-07-2023,395.10,398.35,382.50,385.55,382.22,"514,413","Jul 12, 2023"
11-07-2023,384.60,399.90,378.15,393.80,390.40,"789,057","Jul 11, 2023"
10-07-2023,364.05,402.80,363.85,382.10,378.80,"945,229","Jul 10, 2023"
07-07-2023,370.00,380.40,362.35,364.55,361.40,"301,962","Jul 07, 2023"
06-07-2023,358.50,375.00,358.20,370.25,367.05,"557,883","Jul 06, 2023"
05-07-2023,354.95,360.95,353.30,358.35,355.25,"178,169","Jul 05, 2023"
04-07-2023,347.50,362.10,347.45,354.50,351.44,"542,984","Jul 04, 2023"
03-07-2023,339.95,351.90,338.00,346.45,343.46,"394,736","Jul 03, 2023"
30-06-2023,337.95,339.95,334.05,338.65,335.72,"180,028","Jun 30, 2023"
28-06-2023,334.15,334.15,334.15,334.15,331.26,-,"Jun 28, 2023"
27-06-2023,332.30,339.95,329.50,334.15,331.26,"191,837","Jun 27, 2023"
26-06-2023,326.60,334.10,320.85,332.50,329.63,"145,964","Jun 26, 2023"
23-06-2023,327.75,332.95,321.70,326.95,324.13,"177,489","Jun 23, 2023"
22-06-2023,333.55,334.30,325.05,327.00,324.17,"92,876","Jun 22, 2023"
21-06-2023,339.85,342.75,331.50,333.55,330.67,"142,686","Jun 21, 2023"
20-06-2023,335.85,342.45,334.90,339.85,336.91,"268,856","Jun 20, 2023"
19-06-2023,341.00,343.85,334.45,336.10,333.20,"249,675","Jun 19, 2023"
16-06-2023,338.30,345.90,337.90,340.95,338.00,"159,624","Jun 16, 2023"
15-06-2023,339.10,340.95,335.00,336.90,333.99,"271,696","Jun 15, 2023"
14-06-2023,336.40,341.10,334.25,339.10,336.17,"194,525","Jun 14, 2023"
13-06-2023,335.60,341.25,331.20,335.45,332.55,"329,224","Jun 13, 2023"
12-06-2023,329.00,338.90,329.00,335.25,332.35,"181,997","Jun 12, 2023"
09-06-2023,331.30,333.70,327.70,331.00,328.14,"155,472","Jun 09, 2023"
08-06-2023,345.85,346.00,327.55,330.90,328.04,"646,925","Jun 08, 2023"
07-06-2023,344.50,349.85,340.00,346.00,343.01,"389,997","Jun 07, 2023"
06-06-2023,341.90,350.55,337.40,342.40,339.44,"611,589","Jun 06, 2023"
05-06-2023,330.20,347.30,326.10,344.05,341.08,"1,022,353","Jun 05, 2023"
02-06-2023,323.00,333.90,321.05,328.40,325.56,"467,567","Jun 02, 2023"
01-06-2023,326.30,332.65,319.00,323.10,320.31,"314,746","Jun 01, 2023"
31-05-2023,311.45,331.45,307.60,326.30,323.48,"1,145,970","May 31, 2023"
30-05-2023,305.30,313.55,300.00,310.65,307.97,"341,678","May 30, 2023"
29-05-2023,308.40,311.40,303.00,304.20,301.57,"839,913","May 29, 2023"
26-05-2023,307.00,321.00,303.00,305.75,303.11,"2,501,960","May 26, 2023"
25-05-2023,291.00,314.30,291.00,297.30,294.73,"2,376,583","May 25, 2023"
24-05-2023,282.00,294.20,281.85,289.05,286.55,"389,888","May 24, 2023"
23-05-2023,280.00,285.25,278.00,283.45,281.00,"156,598","May 23, 2023"
22-05-2023,283.50,287.70,279.10,280.60,278.18,"171,436","May 22, 2023"
19-05-2023,279.70,285.00,274.80,284.00,281.55,"161,956","May 19, 2023"
18-05-2023,283.00,291.50,276.35,278.20,275.80,"345,753","May 18, 2023"
17-05-2023,281.00,285.90,273.90,284.20,281.74,"233,400","May 17, 2023"
16-05-2023,281.95,288.10,280.20,282.00,279.56,"362,579","May 16, 2023"
15-05-2023,270.80,286.40,267.30,280.60,278.18,"995,886","May 15, 2023"
12-05-2023,268.00,275.30,266.05,269.85,267.52,"244,815","May 12, 2023"
11-05-2023,270.90,270.90,266.80,268.90,266.58,"152,376","May 11, 2023"
10-05-2023,263.80,274.00,259.30,269.00,266.68,"713,398","May 10, 2023"
09-05-2023,262.20,266.20,258.65,262.75,260.48,"226,181","May 09, 2023"
08-05-2023,258.00,267.30,255.00,261.75,259.49,"447,959","May 08, 2023"
05-05-2023,263.15,263.70,255.60,257.45,255.23,"170,986","May 05, 2023"
04-05-2023,265.00,267.20,261.20,262.80,260.53,"354,957","May 04, 2023"
03-05-2023,248.80,273.00,245.00,264.05,261.77,"4,519,169","May 03, 2023"
02-05-2023,253.45,256.15,247.15,247.75,245.61,"343,803","May 02, 2023"
28-04-2023,254.45,261.60,251.50,252.35,250.17,"437,619","Apr 28, 2023"
27-04-2023,244.05,255.00,243.55,253.15,250.96,"315,692","Apr 27, 2023"
26-04-2023,245.20,247.05,242.60,243.40,241.30,"130,554","Apr 26, 2023"
25-04-2023,245.30,249.90,244.15,245.25,243.13,"157,117","Apr 25, 2023"
24-04-2023,248.00,249.90,244.10,244.85,242.73,"140,528","Apr 24, 2023"
21-04-2023,252.20,252.30,245.00,246.85,244.72,"182,264","Apr 21, 2023"
20-04-2023,254.80,258.05,250.50,251.00,248.83,"193,390","Apr 20, 2023"
19-04-2023,255.00,259.95,251.65,253.70,251.51,"278,568","Apr 19, 2023"
18-04-2023,255.90,261.20,253.00,254.90,252.70,"426,273","Apr 18, 2023"
17-04-2023,256.00,263.80,253.10,254.60,252.40,"381,436","Apr 17, 2023"
13-04-2023,260.10,262.40,253.20,254.20,252.00,"688,728","Apr 13, 2023"
12-04-2023,262.65,266.70,259.05,260.30,258.05,"223,993","Apr 12, 2023"
11-04-2023,271.30,273.00,260.60,261.50,259.24,"458,682","Apr 11, 2023"
10-04-2023,259.30,293.00,259.30,271.30,268.96,"1,748,666","Apr 10, 2023"
06-04-2023,246.80,261.05,246.00,258.00,255.77,"357,011","Apr 06, 2023"
05-04-2023,250.60,254.60,245.30,245.55,243.43,"109,233","Apr 05, 2023"
03-04-2023,252.30,252.30,245.25,249.65,247.49,"69,228","Apr 03, 2023"
31-03-2023,243.00,254.90,243.00,249.25,247.10,"220,421","Mar 31, 2023"
29-03-2023,235.00,250.50,232.90,243.70,241.59,"138,029","Mar 29, 2023"
28-03-2023,248.05,251.00,231.00,232.20,230.19,"263,310","Mar 28, 2023"
27-03-2023,256.70,256.70,248.05,249.05,246.90,"98,048","Mar 27, 2023"
24-03-2023,254.30,258.90,251.35,256.70,254.48,"171,574","Mar 24, 2023"
23-03-2023,256.60,257.80,254.60,255.55,253.34,"82,031","Mar 23, 2023"
22-03-2023,251.85,258.00,251.10,256.60,254.38,"71,390","Mar 22, 2023"
21-03-2023,250.40,259.60,249.20,250.55,248.39,"319,345","Mar 21, 2023"
20-03-2023,255.45,256.00,246.40,249.15,247.00,"194,384","Mar 20, 2023"
17-03-2023,257.15,261.20,254.10,255.60,253.39,"103,412","Mar 17, 2023"
16-03-2023,262.60,263.00,255.10,255.85,253.64,"110,750","Mar 16, 2023"
15-03-2023,263.95,267.30,260.00,261.35,259.09,"39,971","Mar 15, 2023"
14-03-2023,267.00,268.90,259.25,261.40,259.14,"59,790","Mar 14, 2023"
13-03-2023,272.80,274.20,264.35,265.65,263.35,"79,928","Mar 13, 2023"
10-03-2023,273.00,273.90,268.55,272.80,270.44,"42,134","Mar 10, 2023"
09-03-2023,277.55,278.90,273.95,274.45,272.08,"56,136","Mar 09, 2023"
08-03-2023,280.00,281.25,276.05,277.05,274.66,"44,297","Mar 08, 2023"
06-03-2023,282.95,284.90,280.00,281.25,278.82,"65,414","Mar 06, 2023"
03-03-2023,279.25,286.20,275.40,281.75,279.32,"174,931","Mar 03, 2023"
02-03-2023,273.80,284.00,270.00,277.45,275.05,"248,519","Mar 02, 2023"
01-03-2023,270.40,277.00,269.90,273.80,271.43,"58,025","Mar 01, 2023"
28-02-2023,272.00,272.60,265.95,269.10,266.77,"85,011","Feb 28, 2023"
27-02-2023,272.10,275.75,270.05,272.60,270.24,"115,477","Feb 27, 2023"
24-02-2023,276.50,282.15,271.00,272.60,270.24,"112,325","Feb 24, 2023"
23-02-2023,268.40,288.15,268.00,277.75,275.35,"421,112","Feb 23, 2023"
22-02-2023,280.00,280.00,267.05,269.60,267.27,"98,262","Feb 22, 2023"
21-02-2023,275.50,283.65,275.50,280.20,277.78,"326,602","Feb 21, 2023"
20-02-2023,267.00,277.00,265.25,275.50,273.12,"142,987","Feb 20, 2023"
17-02-2023,264.10,269.35,264.10,268.25,265.93,"85,539","Feb 17, 2023"
16-02-2023,263.75,267.85,262.45,264.10,261.82,"69,047","Feb 16, 2023"
15-02-2023,261.15,265.25,260.50,263.75,261.47,"90,097","Feb 15, 2023"
