date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,55.55,56.90,51.75,54.00,54.00,"486,796","Aug 25, 2023"
24-08-2023,49.55,54.45,49.45,54.45,54.45,"299,794","Aug 24, 2023"
23-08-2023,53.00,53.00,51.90,51.90,51.90,"349,827","Aug 23, 2023"
22-08-2023,57.45,58.90,54.60,54.60,54.60,"238,662","Aug 22, 2023"
21-08-2023,61.90,62.35,56.65,57.45,57.45,"1,188,720","Aug 21, 2023"
18-08-2023,59.90,63.80,59.55,61.05,61.05,"2,946,845","Aug 18, 2023"
17-08-2023,57.20,62.70,57.05,59.25,59.25,"5,534,112","Aug 17, 2023"
16-08-2023,49.90,58.30,48.95,56.05,56.05,"6,478,276","Aug 16, 2023"
14-08-2023,47.90,49.00,45.60,48.90,48.90,"830,654","Aug 14, 2023"
11-08-2023,47.10,47.60,46.10,46.90,46.90,"681,063","Aug 11, 2023"
10-08-2023,46.35,50.35,45.70,47.85,47.85,"1,849,727","Aug 10, 2023"
09-08-2023,45.35,46.35,44.60,45.60,45.60,"441,904","Aug 09, 2023"
08-08-2023,45.95,45.95,44.55,45.00,45.00,"201,959","Aug 08, 2023"
07-08-2023,45.30,47.10,45.25,45.65,45.65,"263,235","Aug 07, 2023"
04-08-2023,45.30,45.70,44.80,45.30,45.30,"203,533","Aug 04, 2023"
03-08-2023,44.45,45.65,43.55,45.05,45.05,"414,274","Aug 03, 2023"
03-08-2023,0.5 Dividend,,,,,,"Aug 03, 2023"
02-08-2023,44.95,45.70,43.00,43.80,43.30,"233,514","Aug 02, 2023"
01-08-2023,44.75,45.50,44.40,44.80,44.29,"203,526","Aug 01, 2023"
31-07-2023,43.60,45.20,43.55,44.55,44.04,"290,009","Jul 31, 2023"
28-07-2023,45.10,45.10,43.15,43.40,42.90,"188,890","Jul 28, 2023"
27-07-2023,44.95,46.45,44.15,44.35,43.84,"153,482","Jul 27, 2023"
26-07-2023,45.30,45.70,44.25,44.70,44.19,"233,751","Jul 26, 2023"
25-07-2023,46.35,47.00,44.25,44.70,44.19,"362,550","Jul 25, 2023"
24-07-2023,45.90,47.25,45.55,46.10,45.57,"640,091","Jul 24, 2023"
21-07-2023,44.15,45.70,43.80,45.25,44.73,"468,331","Jul 21, 2023"
20-07-2023,44.15,45.60,43.45,44.80,44.29,"748,422","Jul 20, 2023"
19-07-2023,42.85,43.95,42.80,43.35,42.86,"152,547","Jul 19, 2023"
18-07-2023,44.95,44.95,42.40,42.85,42.36,"373,374","Jul 18, 2023"
17-07-2023,43.00,44.55,43.00,44.05,43.55,"699,797","Jul 17, 2023"
14-07-2023,41.25,42.90,41.25,42.55,42.06,"561,477","Jul 14, 2023"
13-07-2023,40.65,41.90,40.60,40.95,40.48,"286,640","Jul 13, 2023"
12-07-2023,40.10,41.00,40.10,40.40,39.94,"160,698","Jul 12, 2023"
11-07-2023,40.55,40.85,40.00,40.15,39.69,"95,115","Jul 11, 2023"
10-07-2023,40.40,40.80,40.15,40.35,39.89,"147,596","Jul 10, 2023"
07-07-2023,40.00,41.05,40.00,40.15,39.69,"144,692","Jul 07, 2023"
06-07-2023,40.05,40.75,40.00,40.30,39.84,"121,358","Jul 06, 2023"
05-07-2023,40.15,40.50,40.00,40.20,39.74,"76,901","Jul 05, 2023"
04-07-2023,40.50,40.70,40.00,40.10,39.64,"65,816","Jul 04, 2023"
03-07-2023,40.20,40.65,39.90,40.25,39.79,"129,250","Jul 03, 2023"
30-06-2023,40.20,40.65,39.70,39.90,39.44,"170,288","Jun 30, 2023"
28-06-2023,39.85,39.85,39.85,39.85,39.40,-,"Jun 28, 2023"
27-06-2023,40.15,40.30,39.55,39.85,39.40,"99,085","Jun 27, 2023"
26-06-2023,40.85,40.85,39.75,39.95,39.49,"78,268","Jun 26, 2023"
23-06-2023,41.75,41.80,39.85,40.25,39.79,"262,552","Jun 23, 2023"
22-06-2023,40.75,43.25,40.75,41.35,40.88,"981,248","Jun 22, 2023"
21-06-2023,40.00,40.70,39.80,40.50,40.04,"151,918","Jun 21, 2023"
20-06-2023,39.70,40.25,39.05,39.70,39.25,"119,476","Jun 20, 2023"
19-06-2023,40.20,40.50,39.60,39.70,39.25,"70,212","Jun 19, 2023"
16-06-2023,39.55,40.85,39.55,40.05,39.59,"161,868","Jun 16, 2023"
15-06-2023,40.00,40.15,39.70,39.80,39.35,"75,804","Jun 15, 2023"
14-06-2023,39.75,40.15,39.65,39.90,39.44,"67,715","Jun 14, 2023"
13-06-2023,40.70,41.05,38.90,39.55,39.10,"188,052","Jun 13, 2023"
12-06-2023,40.80,41.35,40.50,40.60,40.14,"202,354","Jun 12, 2023"
09-06-2023,40.40,41.50,40.05,40.65,40.19,"301,421","Jun 09, 2023"
08-06-2023,40.65,40.85,39.75,39.95,39.49,"122,991","Jun 08, 2023"
07-06-2023,39.35,40.90,39.20,40.40,39.94,"461,633","Jun 07, 2023"
06-06-2023,39.75,39.90,38.85,39.25,38.80,"113,511","Jun 06, 2023"
05-06-2023,39.75,40.20,39.25,39.40,38.95,"121,740","Jun 05, 2023"
02-06-2023,40.05,40.40,39.50,39.70,39.25,"99,654","Jun 02, 2023"
01-06-2023,39.05,41.00,39.00,39.95,39.49,"238,072","Jun 01, 2023"
31-05-2023,39.95,40.00,38.65,38.90,38.46,"121,924","May 31, 2023"
30-05-2023,39.40,40.00,39.05,39.55,39.10,"163,148","May 30, 2023"
29-05-2023,37.70,40.05,37.65,39.20,38.75,"353,947","May 29, 2023"
26-05-2023,37.15,38.05,37.15,37.65,37.22,"46,782","May 26, 2023"
25-05-2023,37.55,37.80,37.35,37.65,37.22,"30,389","May 25, 2023"
24-05-2023,36.80,38.00,36.80,37.55,37.12,"63,007","May 24, 2023"
23-05-2023,37.45,37.75,37.10,37.15,36.73,"48,637","May 23, 2023"
22-05-2023,37.75,38.05,37.30,37.45,37.02,"68,092","May 22, 2023"
19-05-2023,38.20,38.20,37.25,37.75,37.32,"69,923","May 19, 2023"
18-05-2023,38.30,38.35,37.70,37.85,37.42,"50,140","May 18, 2023"
17-05-2023,38.35,38.80,38.00,38.05,37.62,"39,708","May 17, 2023"
16-05-2023,38.15,38.65,37.80,38.40,37.96,"64,097","May 16, 2023"
15-05-2023,38.05,38.40,37.70,38.15,37.71,"54,792","May 15, 2023"
12-05-2023,38.00,38.40,37.70,37.90,37.47,"64,237","May 12, 2023"
11-05-2023,38.45,38.80,37.80,38.00,37.57,"92,885","May 11, 2023"
10-05-2023,38.25,39.60,38.10,38.45,38.01,"94,068","May 10, 2023"
09-05-2023,38.80,39.50,38.05,38.40,37.96,"78,641","May 09, 2023"
08-05-2023,39.05,39.50,38.80,39.10,38.65,"60,509","May 08, 2023"
05-05-2023,39.90,40.20,38.90,39.00,38.55,"92,772","May 05, 2023"
04-05-2023,39.90,41.10,39.75,39.90,39.44,"244,491","May 04, 2023"
