date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,110.00,111.80,105.95,107.85,107.85,"156,766","Aug 25, 2023"
24-08-2023,108.85,113.35,108.80,109.85,109.85,"274,544","Aug 24, 2023"
23-08-2023,109.00,110.15,107.00,107.85,107.85,"102,591","Aug 23, 2023"
22-08-2023,105.95,110.40,105.40,108.25,108.25,"252,105","Aug 22, 2023"
21-08-2023,107.80,110.80,103.65,104.80,104.80,"169,898","Aug 21, 2023"
18-08-2023,108.55,110.65,106.20,107.80,107.80,"139,831","Aug 18, 2023"
17-08-2023,112.20,113.90,107.55,109.05,109.05,"377,814","Aug 17, 2023"
16-08-2023,107.45,115.00,105.10,110.95,110.95,"499,062","Aug 16, 2023"
14-08-2023,108.45,108.95,100.20,106.65,106.65,"517,574","Aug 14, 2023"
11-08-2023,112.70,114.15,106.60,107.70,107.70,"319,984","Aug 11, 2023"
10-08-2023,109.95,114.00,109.00,111.20,111.20,"774,528","Aug 10, 2023"
09-08-2023,101.40,111.00,101.40,108.75,108.75,"1,577,578","Aug 09, 2023"
08-08-2023,99.45,105.40,98.75,101.40,101.40,"853,564","Aug 08, 2023"
07-08-2023,98.55,101.00,97.30,98.70,98.70,"179,627","Aug 07, 2023"
04-08-2023,98.95,101.00,97.70,98.55,98.55,"162,613","Aug 04, 2023"
03-08-2023,96.95,100.00,95.25,98.40,98.40,"179,377","Aug 03, 2023"
02-08-2023,99.10,101.45,93.10,96.35,96.35,"289,550","Aug 02, 2023"
02-08-2023,0.75 Dividend,,,,,,"Aug 02, 2023"
01-08-2023,100.30,103.75,99.10,99.50,98.75,"246,864","Aug 01, 2023"
31-07-2023,102.25,104.50,98.45,99.40,98.65,"322,667","Jul 31, 2023"
28-07-2023,101.35,104.70,100.35,102.25,101.48,"549,547","Jul 28, 2023"
27-07-2023,94.00,102.00,93.70,100.35,99.59,"1,218,684","Jul 27, 2023"
26-07-2023,93.80,96.00,93.05,93.60,92.89,"157,521","Jul 26, 2023"
25-07-2023,92.45,95.10,91.25,92.75,92.05,"160,114","Jul 25, 2023"
24-07-2023,94.30,96.75,90.80,91.45,90.76,"191,433","Jul 24, 2023"
21-07-2023,94.00,95.70,93.00,93.30,92.60,"118,967","Jul 21, 2023"
20-07-2023,95.85,96.05,92.30,93.95,93.24,"217,338","Jul 20, 2023"
19-07-2023,96.45,99.85,95.60,95.85,95.13,"305,953","Jul 19, 2023"
18-07-2023,99.50,101.35,93.30,95.40,94.68,"467,724","Jul 18, 2023"
17-07-2023,92.40,99.50,92.00,97.40,96.67,"965,085","Jul 17, 2023"
14-07-2023,87.20,97.00,86.65,91.45,90.76,"1,119,060","Jul 14, 2023"
13-07-2023,93.90,94.40,86.00,86.30,85.65,"653,210","Jul 13, 2023"
12-07-2023,81.00,95.15,79.95,92.35,91.65,"2,061,088","Jul 12, 2023"
11-07-2023,78.65,81.00,78.55,79.30,78.70,"200,930","Jul 11, 2023"
10-07-2023,77.65,79.50,76.55,78.65,78.06,"95,901","Jul 10, 2023"
07-07-2023,78.70,78.70,76.10,76.70,76.12,"52,999","Jul 07, 2023"
06-07-2023,78.05,79.35,77.00,77.50,76.92,"86,608","Jul 06, 2023"
05-07-2023,78.95,79.90,77.75,78.75,78.16,"120,059","Jul 05, 2023"
04-07-2023,78.95,81.40,77.55,77.70,77.11,"245,228","Jul 04, 2023"
03-07-2023,75.15,80.65,75.05,78.55,77.96,"321,221","Jul 03, 2023"
30-06-2023,76.40,76.60,75.00,75.10,74.53,"38,661","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,75.70,77.90,75.50,76.15,75.58,"98,627","Jun 27, 2023"
26-06-2023,74.75,76.95,74.20,74.35,73.79,"49,485","Jun 26, 2023"
