date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,400.00,407.40,396.15,399.20,399.20,"432,822","Aug 25, 2023"
25-08-2023,1 Dividend,,,,,,"Aug 25, 2023"
24-08-2023,413.00,415.95,412.00,413.70,412.70,"474,827","Aug 24, 2023"
23-08-2023,409.80,412.80,407.20,411.70,410.70,"386,809","Aug 23, 2023"
22-08-2023,405.20,409.00,404.25,408.55,407.56,"449,672","Aug 22, 2023"
21-08-2023,403.00,404.70,400.10,403.80,402.82,"310,474","Aug 21, 2023"
18-08-2023,400.50,403.00,395.30,400.70,399.73,"331,874","Aug 18, 2023"
17-08-2023,400.00,406.75,399.00,399.95,398.98,"342,940","Aug 17, 2023"
16-08-2023,399.00,403.30,396.70,399.30,398.33,"325,613","Aug 16, 2023"
14-08-2023,407.60,407.60,393.85,399.15,398.19,"450,396","Aug 14, 2023"
11-08-2023,417.45,417.70,402.80,404.15,403.17,"920,827","Aug 11, 2023"
10-08-2023,404.90,419.00,400.20,412.90,411.90,"1,734,303","Aug 10, 2023"
09-08-2023,395.95,403.75,391.10,399.15,398.19,"456,302","Aug 09, 2023"
08-08-2023,397.00,399.30,391.15,394.75,393.80,"271,462","Aug 08, 2023"
07-08-2023,404.00,409.00,391.00,394.75,393.80,"1,064,223","Aug 07, 2023"
04-08-2023,385.95,391.20,383.85,386.10,385.17,"284,581","Aug 04, 2023"
03-08-2023,379.70,385.90,377.50,385.00,384.07,"306,839","Aug 03, 2023"
02-08-2023,389.00,391.90,370.55,379.80,378.88,"639,427","Aug 02, 2023"
01-08-2023,391.25,397.00,386.15,389.65,388.71,"846,575","Aug 01, 2023"
31-07-2023,375.00,390.50,375.00,389.20,388.26,"1,057,329","Jul 31, 2023"
28-07-2023,375.80,377.45,369.00,374.75,373.84,"324,931","Jul 28, 2023"
27-07-2023,377.90,378.85,371.40,374.55,373.64,"427,941","Jul 27, 2023"
26-07-2023,380.70,385.85,375.05,377.40,376.49,"538,501","Jul 26, 2023"
25-07-2023,381.70,386.90,376.50,380.20,379.28,"620,312","Jul 25, 2023"
24-07-2023,380.00,390.00,377.85,379.90,378.98,"1,167,511","Jul 24, 2023"
21-07-2023,369.10,374.90,365.70,370.00,369.11,"741,123","Jul 21, 2023"
20-07-2023,376.50,382.20,374.15,378.15,377.24,"1,000,211","Jul 20, 2023"
19-07-2023,356.90,379.20,356.00,373.60,372.70,"3,455,108","Jul 19, 2023"
18-07-2023,354.00,356.90,347.10,355.20,354.34,"427,742","Jul 18, 2023"
17-07-2023,354.05,356.65,352.10,353.15,352.30,"555,467","Jul 17, 2023"
14-07-2023,355.40,355.60,345.00,350.55,349.70,"428,271","Jul 14, 2023"
13-07-2023,351.85,353.50,335.45,352.40,351.55,"996,294","Jul 13, 2023"
12-07-2023,353.55,353.55,345.00,348.30,347.46,"481,227","Jul 12, 2023"
11-07-2023,350.00,354.00,346.05,349.75,348.90,"596,514","Jul 11, 2023"
10-07-2023,350.65,354.20,344.05,345.45,344.61,"338,440","Jul 10, 2023"
07-07-2023,351.80,354.95,346.80,349.15,348.31,"260,456","Jul 07, 2023"
06-07-2023,357.45,358.90,351.00,351.75,350.90,"360,946","Jul 06, 2023"
05-07-2023,356.65,362.00,355.15,357.40,356.54,"578,202","Jul 05, 2023"
