date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,432.00,436.90,425.10,426.85,426.85,"47,257","Aug 25, 2023"
24-08-2023,439.90,444.80,430.25,432.10,432.10,"23,476","Aug 24, 2023"
23-08-2023,433.45,438.85,433.45,435.45,435.45,"16,639","Aug 23, 2023"
22-08-2023,442.00,442.00,428.00,430.40,430.40,"28,314","Aug 22, 2023"
21-08-2023,447.95,447.95,436.50,437.30,437.30,"37,317","Aug 21, 2023"
18-08-2023,430.70,445.00,424.55,438.90,438.90,"154,259","Aug 18, 2023"
17-08-2023,433.00,433.95,426.50,429.70,429.70,"86,580","Aug 17, 2023"
16-08-2023,430.60,436.85,428.55,430.85,430.85,"43,204","Aug 16, 2023"
14-08-2023,434.60,447.40,430.10,438.05,438.05,"98,141","Aug 14, 2023"
11-08-2023,470.00,470.00,432.00,438.10,438.10,"99,772","Aug 11, 2023"
10-08-2023,464.90,466.95,459.00,461.00,461.00,"48,258","Aug 10, 2023"
09-08-2023,462.45,463.00,453.05,460.05,460.05,"73,179","Aug 09, 2023"
08-08-2023,464.90,477.00,458.00,464.90,464.90,"155,080","Aug 08, 2023"
07-08-2023,437.00,466.90,430.10,455.55,455.55,"431,743","Aug 07, 2023"
04-08-2023,437.90,437.90,428.60,430.90,430.90,"26,538","Aug 04, 2023"
03-08-2023,439.70,439.70,427.10,430.60,430.60,"21,114","Aug 03, 2023"
02-08-2023,441.65,450.00,430.75,433.35,433.35,"22,232","Aug 02, 2023"
01-08-2023,427.15,443.95,427.15,441.65,441.65,"21,555","Aug 01, 2023"
31-07-2023,430.05,432.90,425.05,427.15,427.15,"15,530","Jul 31, 2023"
28-07-2023,431.50,438.90,413.10,427.90,427.90,"23,514","Jul 28, 2023"
27-07-2023,439.80,442.00,431.55,434.70,434.70,"13,184","Jul 27, 2023"
26-07-2023,437.00,450.00,431.05,433.60,433.60,"55,422","Jul 26, 2023"
25-07-2023,448.90,448.90,437.00,439.45,439.45,"6,507","Jul 25, 2023"
24-07-2023,440.10,447.90,436.30,445.60,445.60,"9,625","Jul 24, 2023"
21-07-2023,440.00,440.05,434.55,435.95,435.95,"5,632","Jul 21, 2023"
20-07-2023,439.00,446.35,437.00,438.90,438.90,"16,947","Jul 20, 2023"
19-07-2023,441.55,444.85,435.00,438.80,438.80,"12,423","Jul 19, 2023"
18-07-2023,445.25,447.90,440.00,441.30,441.30,"41,258","Jul 18, 2023"
17-07-2023,443.70,449.80,442.10,445.25,445.25,"22,150","Jul 17, 2023"
14-07-2023,449.90,449.90,443.00,445.40,445.40,"17,365","Jul 14, 2023"
13-07-2023,443.30,449.00,441.90,445.05,445.05,"41,742","Jul 13, 2023"
12-07-2023,447.80,450.65,440.00,441.45,441.45,"43,716","Jul 12, 2023"
11-07-2023,441.30,449.60,439.05,444.25,444.25,"42,038","Jul 11, 2023"
10-07-2023,437.55,447.00,437.55,442.45,442.45,"5,275","Jul 10, 2023"
07-07-2023,440.95,444.40,440.00,442.35,442.35,"13,235","Jul 07, 2023"
06-07-2023,439.05,444.90,439.00,440.95,440.95,"11,922","Jul 06, 2023"
05-07-2023,446.10,449.90,437.10,439.05,439.05,"28,873","Jul 05, 2023"
04-07-2023,444.45,449.90,440.00,446.15,446.15,"11,792","Jul 04, 2023"
03-07-2023,450.00,452.45,444.00,444.25,444.25,"6,995","Jul 03, 2023"
30-06-2023,451.90,451.90,441.00,443.95,443.95,"13,286","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,452.00,452.45,443.50,450.00,450.00,"54,145","Jun 27, 2023"
26-06-2023,435.15,451.90,435.15,445.60,445.60,"56,861","Jun 26, 2023"
23-06-2023,448.95,448.95,440.00,441.05,441.05,"9,083","Jun 23, 2023"
22-06-2023,442.55,449.95,440.00,445.80,445.80,"31,874","Jun 22, 2023"
21-06-2023,448.25,449.05,440.50,442.30,442.30,"10,936","Jun 21, 2023"
20-06-2023,449.00,449.00,442.00,443.85,443.85,"31,758","Jun 20, 2023"
19-06-2023,450.00,451.45,445.00,445.55,445.55,"21,009","Jun 19, 2023"
16-06-2023,451.75,454.85,448.50,450.00,450.00,"32,741","Jun 16, 2023"
15-06-2023,455.45,456.60,447.95,449.25,449.25,"48,653","Jun 15, 2023"
14-06-2023,453.05,454.00,442.00,451.25,451.25,"58,484","Jun 14, 2023"
13-06-2023,452.90,455.40,447.50,448.10,448.10,"45,742","Jun 13, 2023"
12-06-2023,452.90,457.60,449.40,451.30,451.30,"54,059","Jun 12, 2023"
09-06-2023,452.90,458.00,449.05,450.95,450.95,"28,904","Jun 09, 2023"
08-06-2023,452.05,455.00,447.40,448.70,448.70,"15,014","Jun 08, 2023"
07-06-2023,451.60,459.45,449.45,450.95,450.95,"39,652","Jun 07, 2023"
06-06-2023,458.75,460.60,449.50,451.25,451.25,"50,050","Jun 06, 2023"
05-06-2023,452.15,459.50,452.15,455.75,455.75,"67,558","Jun 05, 2023"
02-06-2023,459.50,459.85,453.80,456.40,456.40,"51,840","Jun 02, 2023"
01-06-2023,463.80,466.00,457.00,460.35,460.35,"83,695","Jun 01, 2023"
31-05-2023,475.00,475.00,459.20,462.10,462.10,"36,023","May 31, 2023"
30-05-2023,467.00,468.95,457.00,458.20,458.20,"43,784","May 30, 2023"
29-05-2023,473.95,473.95,461.00,465.90,465.90,"62,995","May 29, 2023"
26-05-2023,470.05,491.00,457.80,467.55,467.55,"89,013","May 26, 2023"
25-05-2023,464.50,471.00,458.00,470.00,470.00,"60,742","May 25, 2023"
24-05-2023,467.00,467.00,456.80,461.60,461.60,"57,634","May 24, 2023"
23-05-2023,465.95,465.95,451.00,460.10,460.10,"15,916","May 23, 2023"
22-05-2023,460.95,464.00,448.10,454.40,454.40,"33,699","May 22, 2023"
19-05-2023,468.95,468.95,447.05,450.80,450.80,"44,986","May 19, 2023"
18-05-2023,464.00,464.95,453.35,462.05,462.05,"45,654","May 18, 2023"
17-05-2023,453.10,459.20,448.05,457.40,457.40,"32,490","May 17, 2023"
16-05-2023,454.90,456.00,442.00,452.95,452.95,"23,529","May 16, 2023"
15-05-2023,446.25,457.50,442.15,447.80,447.80,"35,139","May 15, 2023"
12-05-2023,453.90,454.70,444.00,450.00,450.00,"37,762","May 12, 2023"
11-05-2023,455.10,460.60,452.55,453.85,453.85,"8,030","May 11, 2023"
10-05-2023,460.00,463.80,454.00,455.30,455.30,"8,233","May 10, 2023"
09-05-2023,460.15,464.90,456.00,457.75,457.75,"15,558","May 09, 2023"
08-05-2023,465.00,471.75,459.55,461.20,461.20,"15,410","May 08, 2023"
05-05-2023,474.70,474.70,460.70,464.30,464.30,"22,442","May 05, 2023"
04-05-2023,472.95,475.00,465.00,466.70,466.70,"12,067","May 04, 2023"
03-05-2023,473.00,473.00,469.20,470.40,470.40,"8,777","May 03, 2023"
02-05-2023,470.40,477.60,469.00,469.75,469.75,"17,738","May 02, 2023"
28-04-2023,475.75,479.00,468.60,470.40,470.40,"31,393","Apr 28, 2023"
27-04-2023,472.00,477.00,467.00,472.00,472.00,"39,410","Apr 27, 2023"
26-04-2023,477.90,477.90,465.75,470.60,470.60,"25,577","Apr 26, 2023"
25-04-2023,480.00,480.00,469.00,469.40,469.40,"23,686","Apr 25, 2023"
24-04-2023,472.00,475.50,469.00,470.05,470.05,"33,166","Apr 24, 2023"
21-04-2023,480.20,486.00,475.00,477.45,477.45,"47,100","Apr 21, 2023"
20-04-2023,483.90,483.90,473.00,475.90,475.90,"25,940","Apr 20, 2023"
19-04-2023,483.85,483.90,474.05,477.00,477.00,"30,416","Apr 19, 2023"
18-04-2023,480.55,487.55,479.05,480.60,480.60,"18,595","Apr 18, 2023"
17-04-2023,486.30,493.90,478.20,480.55,480.55,"33,232","Apr 17, 2023"
13-04-2023,487.85,491.40,480.55,486.30,486.30,"17,054","Apr 13, 2023"
12-04-2023,489.85,489.85,482.35,482.85,482.85,"15,628","Apr 12, 2023"
11-04-2023,487.75,490.00,484.00,485.35,485.35,"14,593","Apr 11, 2023"
10-04-2023,499.90,499.90,484.00,487.75,487.75,"21,030","Apr 10, 2023"
06-04-2023,492.90,499.95,490.00,493.95,493.95,"18,744","Apr 06, 2023"
