date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,544.55,556.65,544.55,550.90,550.90,"114,381","Aug 25, 2023"
24-08-2023,555.00,559.30,541.05,543.85,543.85,"102,126","Aug 24, 2023"
23-08-2023,548.00,561.75,543.10,546.10,546.10,"192,115","Aug 23, 2023"
22-08-2023,546.60,562.75,540.70,542.15,542.15,"238,268","Aug 22, 2023"
21-08-2023,549.00,562.15,535.40,543.70,543.70,"116,110","Aug 21, 2023"
18-08-2023,567.35,569.80,550.00,552.25,552.25,"269,709","Aug 18, 2023"
17-08-2023,578.70,584.80,561.10,564.50,564.50,"150,647","Aug 17, 2023"
16-08-2023,550.00,594.40,550.00,577.80,577.80,"408,380","Aug 16, 2023"
14-08-2023,576.80,585.00,541.00,555.25,555.25,"268,691","Aug 14, 2023"
11-08-2023,584.90,587.80,570.50,573.90,573.90,"124,361","Aug 11, 2023"
10-08-2023,565.00,586.90,562.20,581.95,581.95,"203,888","Aug 10, 2023"
09-08-2023,573.90,576.80,559.95,562.50,562.50,"84,745","Aug 09, 2023"
08-08-2023,582.95,589.00,572.10,573.90,573.90,"88,772","Aug 08, 2023"
07-08-2023,573.30,594.00,570.10,580.30,580.30,"278,397","Aug 07, 2023"
04-08-2023,564.20,584.00,564.20,573.30,573.30,"205,897","Aug 04, 2023"
03-08-2023,558.00,572.00,556.90,564.20,564.20,"133,994","Aug 03, 2023"
02-08-2023,568.10,575.00,554.10,558.65,558.65,"79,713","Aug 02, 2023"
01-08-2023,580.50,586.00,568.00,570.90,570.90,"54,030","Aug 01, 2023"
31-07-2023,569.90,586.30,569.90,582.75,582.75,"131,630","Jul 31, 2023"
28-07-2023,566.00,575.00,561.05,569.80,569.80,"64,296","Jul 28, 2023"
27-07-2023,570.00,572.15,564.85,566.15,566.15,"67,417","Jul 27, 2023"
26-07-2023,563.75,574.90,559.10,565.90,565.90,"63,361","Jul 26, 2023"
25-07-2023,565.00,568.35,559.00,563.75,563.75,"54,417","Jul 25, 2023"
24-07-2023,570.00,574.95,562.00,564.35,564.35,"77,448","Jul 24, 2023"
21-07-2023,566.10,574.90,565.90,571.55,571.55,"57,203","Jul 21, 2023"
20-07-2023,585.00,585.00,569.25,571.25,571.25,"41,191","Jul 20, 2023"
19-07-2023,568.45,586.90,568.45,577.15,577.15,"121,758","Jul 19, 2023"
18-07-2023,577.55,580.60,566.15,568.45,568.45,"58,349","Jul 18, 2023"
17-07-2023,581.00,585.75,573.95,577.55,577.55,"163,321","Jul 17, 2023"
14-07-2023,575.00,589.00,574.95,580.00,580.00,"252,384","Jul 14, 2023"
13-07-2023,558.00,591.95,557.05,570.30,570.30,"368,274","Jul 13, 2023"
12-07-2023,565.65,571.95,556.60,559.90,559.90,"82,224","Jul 12, 2023"
11-07-2023,553.55,574.50,551.35,568.50,568.50,"164,531","Jul 11, 2023"
10-07-2023,563.20,564.45,546.05,550.75,550.75,"74,815","Jul 10, 2023"
07-07-2023,561.80,571.90,551.90,560.35,560.35,"117,814","Jul 07, 2023"
06-07-2023,577.00,577.95,556.00,563.75,563.75,"170,928","Jul 06, 2023"
05-07-2023,567.00,580.00,556.00,576.90,576.90,"530,888","Jul 05, 2023"
04-07-2023,510.10,582.95,510.10,573.85,573.85,"3,080,076","Jul 04, 2023"
03-07-2023,513.00,514.45,508.10,511.05,511.05,"39,628","Jul 03, 2023"
30-06-2023,509.65,513.00,507.75,509.85,509.85,"56,372","Jun 30, 2023"
28-06-2023,503.45,503.45,503.45,503.45,503.45,-,"Jun 28, 2023"
27-06-2023,515.95,516.90,499.00,503.45,503.45,"88,405","Jun 27, 2023"
26-06-2023,504.65,517.70,502.75,513.55,513.55,"52,787","Jun 26, 2023"
23-06-2023,509.45,511.30,500.00,502.10,502.10,"51,316","Jun 23, 2023"
22-06-2023,511.40,513.60,508.50,509.40,509.40,"34,337","Jun 22, 2023"
21-06-2023,511.00,519.85,508.20,511.40,511.40,"45,878","Jun 21, 2023"
20-06-2023,511.00,512.45,505.95,509.15,509.15,"84,327","Jun 20, 2023"
19-06-2023,512.85,514.85,508.25,508.80,508.80,"39,792","Jun 19, 2023"
16-06-2023,509.00,512.45,507.00,510.85,510.85,"35,744","Jun 16, 2023"
15-06-2023,509.20,512.00,506.10,508.40,508.40,"33,220","Jun 15, 2023"
14-06-2023,518.05,518.05,505.00,506.70,506.70,"81,312","Jun 14, 2023"
13-06-2023,516.35,519.40,505.00,516.40,516.40,"62,854","Jun 13, 2023"
12-06-2023,521.15,521.70,512.30,513.75,513.75,"34,482","Jun 12, 2023"
09-06-2023,523.95,527.40,516.25,518.60,518.60,"60,508","Jun 09, 2023"
08-06-2023,515.00,524.70,513.95,516.25,516.25,"76,210","Jun 08, 2023"
07-06-2023,513.50,516.30,509.00,513.95,513.95,"62,901","Jun 07, 2023"
06-06-2023,515.00,515.00,508.00,512.35,512.35,"46,253","Jun 06, 2023"
05-06-2023,513.50,518.50,508.00,514.65,514.65,"53,258","Jun 05, 2023"
02-06-2023,506.30,512.45,502.25,511.80,511.80,"67,677","Jun 02, 2023"
