date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,5.0000,5.0000,5.0000,5.0000,5.0000,"110,628","Aug 25, 2023"
24-08-2023,5.1000,5.1000,5.1000,5.1000,5.1000,"62,329","Aug 24, 2023"
23-08-2023,5.2000,5.2000,5.2000,5.2000,5.2000,"48,990","Aug 23, 2023"
22-08-2023,5.3000,5.3000,5.3000,5.3000,5.3000,"83,525","Aug 22, 2023"
21-08-2023,5.4000,5.4000,5.4000,5.4000,5.4000,"75,117","Aug 21, 2023"
18-08-2023,5.5000,5.5000,5.5000,5.5000,5.5000,"163,617","Aug 18, 2023"
17-08-2023,5.6000,5.6000,5.6000,5.6000,5.6000,"42,703","Aug 17, 2023"
16-08-2023,5.7000,5.7000,5.7000,5.7000,5.7000,"85,582","Aug 16, 2023"
14-08-2023,5.8000,5.8000,5.8000,5.8000,5.8000,"71,755","Aug 14, 2023"
11-08-2023,5.9000,5.9000,5.9000,5.9000,5.9000,"110,002","Aug 11, 2023"
10-08-2023,6.0000,6.0000,6.0000,6.0000,6.0000,"90,226","Aug 10, 2023"
09-08-2023,6.1000,6.1000,6.1000,6.1000,6.1000,"19,231","Aug 09, 2023"
08-08-2023,6.2000,6.2000,6.2000,6.2000,6.2000,"35,260","Aug 08, 2023"
07-08-2023,6.3000,6.3000,6.3000,6.3000,6.3000,"52,518","Aug 07, 2023"
04-08-2023,6.4000,6.4000,6.4000,6.4000,6.4000,"71,456","Aug 04, 2023"
03-08-2023,6.5000,6.5000,6.5000,6.5000,6.5000,"31,822","Aug 03, 2023"
02-08-2023,-,-,-,-,-,-,"Aug 02, 2023"
01-08-2023,-,-,-,-,-,-,"Aug 01, 2023"
31-07-2023,-,-,-,-,-,-,"Jul 31, 2023"
28-07-2023,6.9000,6.9000,6.9000,6.9000,6.9000,"110,452","Jul 28, 2023"
27-07-2023,-,-,-,-,-,-,"Jul 27, 2023"
26-07-2023,7.1500,7.1500,7.1500,7.1500,7.1500,"108,112","Jul 26, 2023"
25-07-2023,-,-,-,-,-,-,"Jul 25, 2023"
24-07-2023,7.4500,7.4500,7.4500,7.4500,7.4500,"22,857","Jul 24, 2023"
21-07-2023,-,-,-,-,-,-,"Jul 21, 2023"
20-07-2023,-,-,-,-,-,-,"Jul 20, 2023"
19-07-2023,-,-,-,-,-,-,"Jul 19, 2023"
18-07-2023,-,-,-,-,-,-,"Jul 18, 2023"
17-07-2023,7.2500,7.2500,7.2500,7.2500,7.2500,"186,114","Jul 17, 2023"
14-07-2023,6.9500,6.9500,6.9000,6.9500,6.9500,"565,077","Jul 14, 2023"
13-07-2023,-,-,-,-,-,-,"Jul 13, 2023"
12-07-2023,-,-,-,-,-,-,"Jul 12, 2023"
11-07-2023,-,-,-,-,-,-,"Jul 11, 2023"
10-07-2023,5.8000,5.8000,5.8000,5.8000,5.8000,"295,564","Jul 10, 2023"
07-07-2023,6.1000,6.1000,6.1000,6.1000,6.1000,"307,560","Jul 07, 2023"
06-07-2023,-,-,-,-,-,-,"Jul 06, 2023"
05-07-2023,-,-,-,-,-,-,"Jul 05, 2023"
04-07-2023,-,-,-,-,-,-,"Jul 04, 2023"
03-07-2023,-,-,-,-,-,-,"Jul 03, 2023"
30-06-2023,7.6500,7.8500,7.3000,7.7500,7.7500,"3,047,735","Jun 30, 2023"
28-06-2023,7.5000,7.7000,7.1500,7.6500,7.6500,"370,819","Jun 28, 2023"
27-06-2023,7.4500,7.7500,7.4500,7.4500,7.4500,"617,286","Jun 27, 2023"
