date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,220.65,223.90,211.40,213.70,213.70,"634,448","Aug 25, 2023"
24-08-2023,218.00,225.85,208.80,221.40,221.40,"1,313,745","Aug 24, 2023"
23-08-2023,211.00,219.00,209.55,214.65,214.65,"1,093,502","Aug 23, 2023"
22-08-2023,203.60,213.30,203.15,209.85,209.85,"927,143","Aug 22, 2023"
21-08-2023,199.45,204.00,197.55,202.25,202.25,"227,973","Aug 21, 2023"
18-08-2023,197.00,208.50,197.00,198.25,198.25,"587,668","Aug 18, 2023"
17-08-2023,202.30,206.00,196.15,197.50,197.50,"372,782","Aug 17, 2023"
16-08-2023,195.90,203.45,194.70,201.30,201.30,"294,546","Aug 16, 2023"
14-08-2023,198.00,199.75,192.40,196.50,196.50,"164,457","Aug 14, 2023"
11-08-2023,199.40,204.90,195.65,197.00,197.00,"582,599","Aug 11, 2023"
10-08-2023,205.95,216.45,195.70,197.45,197.45,"1,113,338","Aug 10, 2023"
09-08-2023,199.00,211.00,197.40,205.50,205.50,"1,175,212","Aug 09, 2023"
08-08-2023,188.20,201.90,188.20,198.20,198.20,"949,382","Aug 08, 2023"
07-08-2023,185.00,195.50,183.20,188.40,188.40,"528,503","Aug 07, 2023"
04-08-2023,182.25,187.00,179.00,184.05,184.05,"174,849","Aug 04, 2023"
03-08-2023,185.05,187.50,179.00,182.15,182.15,"146,002","Aug 03, 2023"
02-08-2023,189.85,190.90,182.45,184.95,184.95,"324,341","Aug 02, 2023"
01-08-2023,191.20,194.00,187.90,189.25,189.25,"388,557","Aug 01, 2023"
31-07-2023,185.55,191.00,181.05,189.10,189.10,"217,179","Jul 31, 2023"
28-07-2023,189.85,193.00,185.05,185.55,185.55,"213,008","Jul 28, 2023"
27-07-2023,189.65,195.20,187.30,189.25,189.25,"435,697","Jul 27, 2023"
26-07-2023,192.00,198.50,186.25,188.55,188.55,"828,321","Jul 26, 2023"
25-07-2023,187.95,192.55,187.00,191.60,191.60,"193,199","Jul 25, 2023"
24-07-2023,192.50,194.70,185.35,187.95,187.95,"375,739","Jul 24, 2023"
21-07-2023,193.40,197.70,189.75,190.25,190.25,"333,744","Jul 21, 2023"
20-07-2023,192.90,197.50,189.55,195.15,195.15,"484,184","Jul 20, 2023"
19-07-2023,193.00,201.00,188.70,192.10,192.10,"505,262","Jul 19, 2023"
18-07-2023,192.80,194.50,187.50,191.30,191.30,"141,481","Jul 18, 2023"
17-07-2023,187.75,195.70,185.10,191.05,191.05,"375,201","Jul 17, 2023"
14-07-2023,193.95,194.85,185.95,187.75,187.75,"316,651","Jul 14, 2023"
13-07-2023,189.55,194.70,187.05,192.40,192.40,"153,502","Jul 13, 2023"
12-07-2023,194.00,197.80,188.00,189.05,189.05,"465,177","Jul 12, 2023"
11-07-2023,197.00,202.40,191.00,192.85,192.85,"492,374","Jul 11, 2023"
10-07-2023,194.40,204.55,191.30,196.75,196.75,"587,906","Jul 10, 2023"
07-07-2023,200.00,206.35,190.00,193.00,193.00,"910,322","Jul 07, 2023"
06-07-2023,199.95,214.65,196.60,202.20,202.20,"1,005,280","Jul 06, 2023"
05-07-2023,189.60,200.80,185.05,199.80,199.80,"371,204","Jul 05, 2023"
04-07-2023,197.70,206.00,186.30,189.15,189.15,"946,115","Jul 04, 2023"
03-07-2023,201.30,207.40,191.00,195.95,195.95,"1,763,777","Jul 03, 2023"
30-06-2023,179.50,194.00,178.15,192.05,192.05,"1,115,605","Jun 30, 2023"
30-06-2023,3 Dividend,,,,,,"Jun 30, 2023"
29-06-2023,3 Dividend,,,,,,"Jun 29, 2023"
28-06-2023,171.65,171.65,171.65,171.65,165.70,-,"Jun 28, 2023"
27-06-2023,173.40,178.00,170.55,171.65,165.70,"332,578","Jun 27, 2023"
26-06-2023,174.75,174.75,169.05,171.80,165.85,"46,131","Jun 26, 2023"
23-06-2023,175.50,175.50,169.00,170.30,164.40,"229,405","Jun 23, 2023"
22-06-2023,172.80,179.00,171.00,174.15,168.12,"228,917","Jun 22, 2023"
21-06-2023,171.60,172.75,168.95,170.75,164.83,"217,478","Jun 21, 2023"
20-06-2023,171.60,174.50,169.00,171.00,165.07,"462,873","Jun 20, 2023"
19-06-2023,171.85,173.65,167.65,170.45,164.54,"171,580","Jun 19, 2023"
16-06-2023,168.40,172.00,167.30,170.30,164.40,"135,231","Jun 16, 2023"
15-06-2023,165.20,171.00,164.90,167.30,161.50,"113,842","Jun 15, 2023"
