date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,124.95,125.80,121.05,121.50,121.50,"5,523,700","Aug 25, 2023"
24-08-2023,125.95,127.95,125.55,125.95,125.95,"6,345,930","Aug 24, 2023"
23-08-2023,124.35,125.95,123.15,125.20,125.20,"5,158,372","Aug 23, 2023"
22-08-2023,120.15,125.80,119.80,123.70,123.70,"7,781,781","Aug 22, 2023"
21-08-2023,118.00,120.55,116.50,120.05,120.05,"5,942,622","Aug 21, 2023"
18-08-2023,120.25,120.50,117.60,118.05,118.05,"4,631,742","Aug 18, 2023"
17-08-2023,121.55,122.05,120.00,120.60,120.60,"4,299,209","Aug 17, 2023"
16-08-2023,123.00,123.00,120.65,121.55,121.55,"5,221,090","Aug 16, 2023"
14-08-2023,124.20,125.25,122.00,123.40,123.40,"3,935,130","Aug 14, 2023"
11-08-2023,125.80,127.00,123.35,124.20,124.20,"3,789,072","Aug 11, 2023"
10-08-2023,126.35,127.40,124.80,125.65,125.65,"5,631,237","Aug 10, 2023"
09-08-2023,127.45,127.60,124.75,126.20,126.20,"5,073,262","Aug 09, 2023"
08-08-2023,128.95,129.45,126.00,127.05,127.05,"4,181,141","Aug 08, 2023"
07-08-2023,128.20,129.05,127.40,128.80,128.80,"3,713,012","Aug 07, 2023"
04-08-2023,126.85,128.35,125.05,127.65,127.65,"7,790,543","Aug 04, 2023"
03-08-2023,129.40,130.25,124.60,125.95,125.95,"23,844,689","Aug 03, 2023"
02-08-2023,132.60,132.65,128.10,129.90,129.90,"7,025,353","Aug 02, 2023"
01-08-2023,132.00,134.70,131.80,132.60,132.60,"6,683,569","Aug 01, 2023"
31-07-2023,133.00,133.15,131.35,131.90,131.90,"4,076,519","Jul 31, 2023"
28-07-2023,131.75,133.65,129.20,132.45,132.45,"9,262,262","Jul 28, 2023"
27-07-2023,130.50,132.00,129.80,130.90,130.90,"7,591,187","Jul 27, 2023"
26-07-2023,127.60,130.35,127.40,129.80,129.80,"10,002,880","Jul 26, 2023"
25-07-2023,132.45,133.05,126.05,127.00,127.00,"16,394,365","Jul 25, 2023"
24-07-2023,129.20,132.80,128.10,131.70,131.70,"12,729,166","Jul 24, 2023"
21-07-2023,131.00,131.00,127.40,129.45,129.45,"14,175,269","Jul 21, 2023"
21-07-2023,2 Dividend,,,,,,"Jul 21, 2023"
20-07-2023,137.95,138.50,129.50,131.15,129.15,"29,265,269","Jul 20, 2023"
19-07-2023,130.90,135.15,130.60,133.50,131.46,"14,029,702","Jul 19, 2023"
18-07-2023,132.70,133.00,128.25,130.35,128.36,"11,208,712","Jul 18, 2023"
17-07-2023,133.60,134.40,130.85,132.20,130.18,"5,573,798","Jul 17, 2023"
14-07-2023,133.30,135.00,131.75,133.05,131.02,"7,512,151","Jul 14, 2023"
13-07-2023,135.65,135.95,131.60,132.80,130.77,"6,700,977","Jul 13, 2023"
12-07-2023,133.30,135.50,132.15,134.95,132.89,"8,059,398","Jul 12, 2023"
11-07-2023,133.40,135.00,132.40,133.05,131.02,"8,313,266","Jul 11, 2023"
10-07-2023,131.20,133.20,130.20,132.60,130.58,"7,379,858","Jul 10, 2023"
07-07-2023,130.95,131.40,127.90,130.85,128.85,"10,960,851","Jul 07, 2023"
06-07-2023,132.10,132.80,129.65,131.05,129.05,"8,275,486","Jul 06, 2023"
05-07-2023,132.50,136.20,130.70,131.55,129.54,"13,036,099","Jul 05, 2023"
04-07-2023,135.35,136.90,130.60,133.35,131.32,"23,295,804","Jul 04, 2023"
03-07-2023,130.05,140.20,128.20,137.35,135.26,"63,434,497","Jul 03, 2023"
30-06-2023,124.40,128.20,123.85,127.70,125.75,"16,713,331","Jun 30, 2023"
28-06-2023,123.10,123.10,123.10,123.10,121.22,-,"Jun 28, 2023"
27-06-2023,119.35,124.15,116.05,123.10,121.22,"28,941,272","Jun 27, 2023"
26-06-2023,117.80,119.25,114.95,118.65,116.84,"15,173,431","Jun 26, 2023"
23-06-2023,120.40,120.40,116.25,118.00,116.20,"13,252,964","Jun 23, 2023"
22-06-2023,124.05,124.10,116.20,120.45,118.61,"18,745,422","Jun 22, 2023"
21-06-2023,122.10,126.90,122.10,123.65,121.76,"21,790,055","Jun 21, 2023"
20-06-2023,118.80,121.90,116.25,121.60,119.75,"12,135,931","Jun 20, 2023"
19-06-2023,118.85,121.20,117.55,118.15,116.35,"10,312,897","Jun 19, 2023"
16-06-2023,118.40,119.50,117.20,118.25,116.45,"11,296,782","Jun 16, 2023"
15-06-2023,112.40,121.45,111.80,117.50,115.71,"46,023,828","Jun 15, 2023"
14-06-2023,109.80,112.75,108.55,112.20,110.49,"10,386,005","Jun 14, 2023"
13-06-2023,107.95,110.40,107.60,109.90,108.22,"12,266,306","Jun 13, 2023"
12-06-2023,105.55,107.75,104.75,107.45,105.81,"4,261,650","Jun 12, 2023"
09-06-2023,105.65,106.60,104.65,105.15,103.55,"4,708,088","Jun 09, 2023"
08-06-2023,107.95,108.30,104.45,105.65,104.04,"7,198,164","Jun 08, 2023"
07-06-2023,107.00,108.25,106.85,107.55,105.91,"6,636,364","Jun 07, 2023"
06-06-2023,105.70,107.00,105.10,106.75,105.12,"7,331,338","Jun 06, 2023"
05-06-2023,106.00,107.00,103.90,105.05,103.45,"24,492,750","Jun 05, 2023"
