date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,26.65,26.95,25.40,25.95,25.95,"213,551","Aug 25, 2023"
24-08-2023,28.90,29.00,26.55,26.70,26.70,"466,882","Aug 24, 2023"
23-08-2023,24.95,29.15,24.25,28.70,28.70,"2,286,730","Aug 23, 2023"
22-08-2023,24.00,24.50,24.00,24.30,24.30,"34,931","Aug 22, 2023"
21-08-2023,24.40,25.00,23.80,24.05,24.05,"72,601","Aug 21, 2023"
18-08-2023,24.35,25.20,24.20,24.40,24.40,"65,917","Aug 18, 2023"
17-08-2023,24.15,24.70,24.15,24.40,24.40,"46,686","Aug 17, 2023"
16-08-2023,25.20,25.20,23.55,24.20,24.20,"72,671","Aug 16, 2023"
14-08-2023,24.10,25.00,24.10,24.75,24.75,"59,477","Aug 14, 2023"
11-08-2023,24.60,25.55,24.00,24.75,24.75,"104,845","Aug 11, 2023"
10-08-2023,25.00,25.45,24.25,24.30,24.30,"76,890","Aug 10, 2023"
09-08-2023,25.75,26.10,24.75,24.95,24.95,"92,474","Aug 09, 2023"
08-08-2023,25.75,25.75,24.80,25.55,25.55,"90,541","Aug 08, 2023"
07-08-2023,25.50,25.95,24.85,25.10,25.10,"122,592","Aug 07, 2023"
04-08-2023,23.80,25.25,23.10,24.85,24.85,"171,248","Aug 04, 2023"
03-08-2023,22.85,23.95,22.85,23.30,23.30,"41,255","Aug 03, 2023"
02-08-2023,23.05,24.35,22.80,23.45,23.45,"71,257","Aug 02, 2023"
01-08-2023,23.30,23.80,23.10,23.25,23.25,"55,061","Aug 01, 2023"
31-07-2023,23.00,24.15,23.00,23.55,23.55,"50,556","Jul 31, 2023"
28-07-2023,23.70,24.00,22.45,22.95,22.95,"110,930","Jul 28, 2023"
27-07-2023,24.65,24.80,23.50,23.80,23.80,"70,660","Jul 27, 2023"
26-07-2023,26.25,26.80,24.15,24.25,24.25,"432,626","Jul 26, 2023"
25-07-2023,21.90,26.10,21.50,25.80,25.80,"860,129","Jul 25, 2023"
24-07-2023,21.65,21.95,21.40,21.75,21.75,"26,564","Jul 24, 2023"
21-07-2023,21.55,21.85,21.05,21.65,21.65,"26,866","Jul 21, 2023"
20-07-2023,21.10,21.80,21.10,21.55,21.55,"30,053","Jul 20, 2023"
19-07-2023,21.40,21.70,21.00,21.40,21.40,"45,722","Jul 19, 2023"
18-07-2023,21.35,21.55,21.05,21.25,21.25,"27,670","Jul 18, 2023"
17-07-2023,21.65,21.85,21.00,21.20,21.20,"45,118","Jul 17, 2023"
14-07-2023,21.35,21.60,21.00,21.25,21.25,"53,813","Jul 14, 2023"
13-07-2023,21.95,22.10,20.65,21.00,21.00,"68,847","Jul 13, 2023"
12-07-2023,22.05,22.45,21.50,21.60,21.60,"50,423","Jul 12, 2023"
11-07-2023,22.35,22.70,22.00,22.05,22.05,"31,952","Jul 11, 2023"
10-07-2023,22.50,22.90,22.30,22.35,22.35,"17,665","Jul 10, 2023"
07-07-2023,22.80,23.20,22.00,22.60,22.60,"68,492","Jul 07, 2023"
06-07-2023,23.00,23.00,22.50,22.65,22.65,"42,035","Jul 06, 2023"
05-07-2023,22.70,23.30,22.60,22.70,22.70,"21,720","Jul 05, 2023"
04-07-2023,23.35,23.40,22.75,23.10,23.10,"70,787","Jul 04, 2023"
03-07-2023,22.35,23.35,22.35,22.80,22.80,"89,635","Jul 03, 2023"
30-06-2023,21.40,22.60,21.40,22.00,22.00,"83,375","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,21.15,21.60,20.60,20.75,20.75,"52,694","Jun 27, 2023"
26-06-2023,21.65,22.15,21.10,21.15,21.15,"49,231","Jun 26, 2023"
23-06-2023,21.65,22.00,21.40,21.65,21.65,"35,604","Jun 23, 2023"
22-06-2023,22.90,22.90,20.90,21.65,21.65,"157,992","Jun 22, 2023"
21-06-2023,22.95,22.95,22.30,22.40,22.40,"36,741","Jun 21, 2023"
20-06-2023,23.00,23.05,22.10,22.45,22.45,"71,813","Jun 20, 2023"
19-06-2023,23.40,23.40,22.30,22.55,22.55,"45,629","Jun 19, 2023"
16-06-2023,23.05,23.10,22.60,22.90,22.90,"62,346","Jun 16, 2023"
15-06-2023,22.85,22.90,22.30,22.65,22.65,"47,421","Jun 15, 2023"
14-06-2023,22.40,23.00,22.40,22.65,22.65,"80,189","Jun 14, 2023"
13-06-2023,23.55,23.70,22.00,22.35,22.35,"140,344","Jun 13, 2023"
12-06-2023,23.00,23.80,22.20,23.00,23.00,"157,651","Jun 12, 2023"
09-06-2023,24.25,24.35,23.70,23.80,23.80,"44,279","Jun 09, 2023"
08-06-2023,24.30,24.55,23.65,23.95,23.95,"71,952","Jun 08, 2023"
07-06-2023,23.95,24.40,23.70,24.00,24.00,"103,840","Jun 07, 2023"
06-06-2023,23.90,24.90,23.30,23.70,23.70,"73,480","Jun 06, 2023"
05-06-2023,24.65,24.75,23.55,23.90,23.90,"48,718","Jun 05, 2023"
02-06-2023,24.00,24.30,23.85,24.05,24.05,"49,659","Jun 02, 2023"
01-06-2023,24.00,24.00,23.55,23.80,23.80,"17,197","Jun 01, 2023"
31-05-2023,23.05,24.20,22.90,23.75,23.75,"51,303","May 31, 2023"
30-05-2023,24.20,24.20,23.10,23.25,23.25,"30,044","May 30, 2023"
29-05-2023,23.20,24.10,23.20,23.70,23.70,"14,532","May 29, 2023"
26-05-2023,23.90,23.90,23.10,23.25,23.25,"48,190","May 26, 2023"
25-05-2023,23.75,24.40,23.10,23.55,23.55,"64,690","May 25, 2023"
24-05-2023,23.25,24.00,23.25,23.75,23.75,"44,684","May 24, 2023"
23-05-2023,24.60,24.60,23.10,23.35,23.35,"43,373","May 23, 2023"
22-05-2023,23.70,24.30,23.30,23.45,23.45,"30,611","May 22, 2023"
19-05-2023,24.30,24.70,23.15,23.65,23.65,"44,797","May 19, 2023"
18-05-2023,24.80,25.00,24.50,24.75,24.75,"61,192","May 18, 2023"
