date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,998.55,"1,009.50",995.75,999.65,999.65,"27,986","Aug 25, 2023"
24-08-2023,"1,009.50","1,013.20",990.00,998.50,998.50,"50,679","Aug 24, 2023"
23-08-2023,"1,004.95","1,015.30",995.05,"1,001.05","1,001.05","28,513","Aug 23, 2023"
22-08-2023,"1,008.00","1,017.40",991.90,999.10,999.10,"89,599","Aug 22, 2023"
21-08-2023,986.10,"1,010.00",976.25,"1,000.15","1,000.15","86,695","Aug 21, 2023"
18-08-2023,"1,000.00","1,019.90",984.40,990.75,990.75,"51,932","Aug 18, 2023"
17-08-2023,"1,006.75","1,016.30",990.00,998.65,998.65,"64,293","Aug 17, 2023"
16-08-2023,"1,000.00","1,008.90",996.55,"1,003.00","1,003.00","36,180","Aug 16, 2023"
14-08-2023,"1,009.00","1,031.85",980.50,"1,000.55","1,000.55","73,914","Aug 14, 2023"
11-08-2023,"1,011.00","1,023.80",986.15,997.35,997.35,"111,093","Aug 11, 2023"
10-08-2023,"1,022.00","1,044.45","1,011.00","1,012.80","1,012.80","68,804","Aug 10, 2023"
09-08-2023,"1,029.00","1,040.45","1,011.05","1,021.95","1,021.95","41,261","Aug 09, 2023"
08-08-2023,"1,030.00","1,035.95","1,019.15","1,028.90","1,028.90","34,779","Aug 08, 2023"
07-08-2023,"1,023.80","1,060.00","1,011.00","1,014.95","1,014.95","66,959","Aug 07, 2023"
04-08-2023,"1,044.00","1,077.00","1,011.45","1,023.80","1,023.80","80,080","Aug 04, 2023"
03-08-2023,"1,073.85","1,090.00","1,030.10","1,040.85","1,040.85","78,279","Aug 03, 2023"
02-08-2023,"1,081.30","1,104.00","1,062.05","1,068.05","1,068.05","74,790","Aug 02, 2023"
01-08-2023,"1,060.00","1,110.00","1,056.80","1,077.90","1,077.90","102,403","Aug 01, 2023"
31-07-2023,"1,041.60","1,092.00","1,034.00","1,066.80","1,066.80","95,887","Jul 31, 2023"
28-07-2023,"1,097.90","1,100.00","1,020.00","1,051.40","1,051.40","267,022","Jul 28, 2023"
27-07-2023,"1,159.95","1,164.85","1,115.00","1,120.25","1,120.25","56,729","Jul 27, 2023"
26-07-2023,"1,194.45","1,194.45","1,150.00","1,153.40","1,153.40","46,231","Jul 26, 2023"
25-07-2023,"1,160.70","1,210.00","1,160.70","1,183.85","1,183.85","39,194","Jul 25, 2023"
24-07-2023,"1,154.00","1,184.95","1,154.00","1,160.70","1,160.70","22,371","Jul 24, 2023"
21-07-2023,"1,168.45","1,183.45","1,152.80","1,171.35","1,171.35","15,883","Jul 21, 2023"
20-07-2023,"1,198.90","1,207.90","1,160.00","1,166.90","1,166.90","25,918","Jul 20, 2023"
19-07-2023,"1,192.80","1,209.80","1,183.00","1,198.90","1,198.90","17,615","Jul 19, 2023"
18-07-2023,"1,215.00","1,224.10","1,171.55","1,182.95","1,182.95","28,804","Jul 18, 2023"
17-07-2023,"1,235.00","1,237.60","1,190.00","1,214.45","1,214.45","41,853","Jul 17, 2023"
14-07-2023,"1,160.00","1,230.00","1,160.00","1,225.35","1,225.35","58,514","Jul 14, 2023"
13-07-2023,"1,205.00","1,210.00","1,149.40","1,161.75","1,161.75","47,229","Jul 13, 2023"
12-07-2023,"1,190.05","1,203.60","1,183.00","1,192.75","1,192.75","20,789","Jul 12, 2023"
11-07-2023,"1,209.00","1,219.00","1,160.00","1,194.55","1,194.55","67,930","Jul 11, 2023"
10-07-2023,"1,133.35","1,209.55","1,132.95","1,202.45","1,202.45","98,952","Jul 10, 2023"
07-07-2023,"1,135.70","1,154.00","1,117.00","1,133.35","1,133.35","37,393","Jul 07, 2023"
06-07-2023,"1,123.05","1,143.40","1,123.05","1,136.45","1,136.45","26,661","Jul 06, 2023"
05-07-2023,"1,097.00","1,154.00","1,097.00","1,130.20","1,130.20","45,906","Jul 05, 2023"
04-07-2023,"1,117.90","1,134.00","1,110.00","1,127.05","1,127.05","38,931","Jul 04, 2023"
03-07-2023,"1,150.00","1,152.00","1,084.00","1,108.70","1,108.70","98,206","Jul 03, 2023"
30-06-2023,"1,130.90","1,155.00","1,125.00","1,142.60","1,142.60","99,824","Jun 30, 2023"
28-06-2023,"1,113.50","1,113.50","1,113.50","1,113.50","1,113.50",-,"Jun 28, 2023"
27-06-2023,"1,042.00","1,125.00","1,037.95","1,113.50","1,113.50","417,238","Jun 27, 2023"
26-06-2023,"1,049.00","1,088.40","1,017.05","1,052.70","1,052.70","356,229","Jun 26, 2023"
23-06-2023,957.95,"1,063.85",933.65,"1,040.10","1,040.10","974,656","Jun 23, 2023"
22-06-2023,969.30,974.80,933.65,940.40,940.40,"119,772","Jun 22, 2023"
21-06-2023,941.95,"1,009.80",940.00,973.35,973.35,"479,685","Jun 21, 2023"
20-06-2023,863.95,939.80,856.05,927.35,927.35,"431,537","Jun 20, 2023"
19-06-2023,857.90,874.45,848.00,859.65,859.65,"182,084","Jun 19, 2023"
16-06-2023,853.40,875.00,835.25,842.55,842.55,"102,812","Jun 16, 2023"
15-06-2023,846.00,867.00,835.00,857.75,857.75,"217,290","Jun 15, 2023"
14-06-2023,812.00,863.85,805.60,844.20,844.20,"340,211","Jun 14, 2023"
13-06-2023,811.30,814.90,799.60,811.05,811.05,"32,214","Jun 13, 2023"
12-06-2023,804.90,813.90,801.00,807.30,807.30,"51,710","Jun 12, 2023"
09-06-2023,798.00,808.25,791.40,800.85,800.85,"69,590","Jun 09, 2023"
08-06-2023,791.00,817.15,791.00,801.05,801.05,"63,606","Jun 08, 2023"
07-06-2023,789.30,797.85,786.00,790.95,790.95,"53,113","Jun 07, 2023"
06-06-2023,790.90,796.50,785.10,789.30,789.30,"37,356","Jun 06, 2023"
05-06-2023,794.90,797.35,783.00,790.85,790.85,"58,923","Jun 05, 2023"
02-06-2023,800.00,801.50,778.05,790.15,790.15,"80,589","Jun 02, 2023"
01-06-2023,802.75,811.10,796.50,798.25,798.25,"21,024","Jun 01, 2023"
31-05-2023,815.90,818.95,798.05,802.75,802.75,"27,704","May 31, 2023"
30-05-2023,823.85,823.95,805.00,811.80,811.80,"28,247","May 30, 2023"
29-05-2023,805.95,830.45,793.15,821.25,821.25,"137,485","May 29, 2023"
26-05-2023,790.60,808.00,784.95,797.10,797.10,"35,180","May 26, 2023"
25-05-2023,785.75,792.05,783.10,790.60,790.60,"15,107","May 25, 2023"
24-05-2023,797.15,797.15,783.60,785.75,785.75,"17,900","May 24, 2023"
23-05-2023,798.55,799.45,790.95,793.20,793.20,"14,508","May 23, 2023"
22-05-2023,790.05,798.80,779.00,794.85,794.85,"27,850","May 22, 2023"
19-05-2023,788.75,799.00,782.95,791.35,791.35,"27,146","May 19, 2023"
18-05-2023,805.20,807.30,781.00,785.65,785.65,"30,546","May 18, 2023"
17-05-2023,789.00,812.00,789.00,801.15,801.15,"53,978","May 17, 2023"
16-05-2023,791.25,801.00,785.00,788.30,788.30,"38,643","May 16, 2023"
15-05-2023,790.00,801.00,790.00,797.00,797.00,"46,823","May 15, 2023"
12-05-2023,795.55,799.90,787.00,791.45,791.45,"89,585","May 12, 2023"
11-05-2023,802.50,812.55,793.05,795.15,795.15,"37,817","May 11, 2023"
10-05-2023,797.90,807.95,793.00,798.65,798.65,"34,334","May 10, 2023"
09-05-2023,813.95,830.00,787.00,793.95,793.95,"77,427","May 09, 2023"
08-05-2023,789.00,817.55,787.95,809.95,809.95,"53,219","May 08, 2023"
05-05-2023,805.70,813.50,780.90,796.95,796.95,"82,162","May 05, 2023"
04-05-2023,808.00,819.30,798.20,809.85,809.85,"52,011","May 04, 2023"
03-05-2023,811.10,820.90,803.00,805.70,805.70,"65,266","May 03, 2023"
02-05-2023,831.00,835.00,800.00,820.95,820.95,"249,910","May 02, 2023"
28-04-2023,864.00,877.95,863.00,869.75,869.75,"46,315","Apr 28, 2023"
27-04-2023,857.25,867.00,852.85,862.40,862.40,"36,086","Apr 27, 2023"
26-04-2023,859.00,871.40,852.00,852.95,852.95,"37,272","Apr 26, 2023"
25-04-2023,857.00,867.00,855.00,859.95,859.95,"49,419","Apr 25, 2023"
24-04-2023,868.75,872.35,853.05,856.70,856.70,"24,813","Apr 24, 2023"
21-04-2023,875.00,887.00,853.35,860.15,860.15,"69,420","Apr 21, 2023"
20-04-2023,852.00,872.60,850.00,867.30,867.30,"32,795","Apr 20, 2023"
19-04-2023,861.00,874.90,850.00,857.05,857.05,"43,608","Apr 19, 2023"
18-04-2023,845.05,873.00,830.55,859.35,859.35,"115,588","Apr 18, 2023"
17-04-2023,814.00,869.40,812.05,847.55,847.55,"250,626","Apr 17, 2023"
13-04-2023,795.00,821.00,788.60,816.35,816.35,"57,392","Apr 13, 2023"
12-04-2023,806.35,818.85,790.10,794.75,794.75,"33,973","Apr 12, 2023"
11-04-2023,816.95,816.95,800.00,802.30,802.30,"38,747","Apr 11, 2023"
10-04-2023,804.00,817.95,804.00,808.70,808.70,"53,364","Apr 10, 2023"
06-04-2023,798.90,821.45,785.55,801.25,801.25,"127,894","Apr 06, 2023"
05-04-2023,759.20,799.80,759.20,796.35,796.35,"191,332","Apr 05, 2023"
03-04-2023,746.60,762.00,744.00,756.25,756.25,"33,180","Apr 03, 2023"
31-03-2023,756.05,765.25,737.05,742.30,742.30,"45,517","Mar 31, 2023"
29-03-2023,732.90,750.00,728.00,744.90,744.90,"32,343","Mar 29, 2023"
28-03-2023,740.30,742.75,723.25,732.90,732.90,"29,621","Mar 28, 2023"
27-03-2023,749.90,750.60,735.10,740.30,740.30,"24,047","Mar 27, 2023"
24-03-2023,742.60,757.65,740.00,745.60,745.60,"35,721","Mar 24, 2023"
23-03-2023,762.00,766.00,745.25,747.80,747.80,"24,490","Mar 23, 2023"
22-03-2023,757.40,765.90,755.00,760.60,760.60,"31,835","Mar 22, 2023"
21-03-2023,758.00,762.50,744.60,753.60,753.60,"65,211","Mar 21, 2023"
20-03-2023,747.25,762.30,727.30,758.85,758.85,"94,160","Mar 20, 2023"
17-03-2023,723.00,755.00,720.05,747.15,747.15,"101,156","Mar 17, 2023"
16-03-2023,718.00,726.65,709.55,720.20,720.20,"27,362","Mar 16, 2023"
15-03-2023,712.00,727.40,711.70,715.25,715.25,"29,556","Mar 15, 2023"
14-03-2023,720.55,734.40,702.00,704.45,704.45,"51,830","Mar 14, 2023"
13-03-2023,745.00,745.00,711.50,716.95,716.95,"63,635","Mar 13, 2023"
10-03-2023,730.05,771.90,730.05,742.20,742.20,"234,923","Mar 10, 2023"
09-03-2023,705.00,742.40,705.00,737.20,737.20,"164,392","Mar 09, 2023"
08-03-2023,711.10,719.45,710.10,711.60,711.60,"23,529","Mar 08, 2023"
06-03-2023,708.00,727.70,707.90,719.65,719.65,"71,672","Mar 06, 2023"
03-03-2023,693.75,705.10,692.90,702.05,702.05,"38,934","Mar 03, 2023"
02-03-2023,688.45,699.00,687.75,694.85,694.85,"35,819","Mar 02, 2023"
01-03-2023,678.55,698.95,672.80,688.45,688.45,"44,958","Mar 01, 2023"
28-02-2023,664.40,685.10,660.00,675.20,675.20,"51,722","Feb 28, 2023"
27-02-2023,655.00,667.00,648.05,661.80,661.80,"35,790","Feb 27, 2023"
24-02-2023,667.05,674.35,650.50,652.50,652.50,"34,753","Feb 24, 2023"
23-02-2023,676.00,677.30,665.50,673.80,673.80,"21,901","Feb 23, 2023"
22-02-2023,670.05,675.00,665.50,672.80,672.80,"35,805","Feb 22, 2023"
21-02-2023,668.60,682.40,665.45,671.50,671.50,"48,526","Feb 21, 2023"
20-02-2023,671.90,672.00,662.05,668.20,668.20,"31,198","Feb 20, 2023"
17-02-2023,665.05,673.95,660.10,666.90,666.90,"22,165","Feb 17, 2023"
16-02-2023,666.05,668.30,657.00,661.70,661.70,"22,894","Feb 16, 2023"
15-02-2023,663.00,665.00,658.00,662.70,662.70,"19,704","Feb 15, 2023"
14-02-2023,668.95,668.95,660.95,663.95,663.95,"13,732","Feb 14, 2023"
13-02-2023,665.50,669.45,660.10,666.15,666.15,"25,223","Feb 13, 2023"
10-02-2023,663.60,667.00,657.45,663.50,663.50,"26,729","Feb 10, 2023"
09-02-2023,675.00,675.00,657.00,660.70,660.70,"59,742","Feb 09, 2023"
08-02-2023,668.95,675.00,661.00,667.25,667.25,"35,949","Feb 08, 2023"
07-02-2023,662.15,669.40,657.60,662.60,662.60,"33,847","Feb 07, 2023"
06-02-2023,661.10,672.40,660.10,662.10,662.10,"31,434","Feb 06, 2023"
03-02-2023,666.00,674.65,664.00,670.45,670.45,"46,026","Feb 03, 2023"
02-02-2023,670.00,677.15,661.25,672.25,672.25,"44,011","Feb 02, 2023"
01-02-2023,686.35,689.60,645.10,667.50,667.50,"191,995","Feb 01, 2023"
31-01-2023,681.00,695.00,665.50,693.10,693.10,"43,659","Jan 31, 2023"
30-01-2023,690.10,700.95,680.10,683.90,683.90,"78,439","Jan 30, 2023"
27-01-2023,693.10,700.35,690.50,697.45,697.45,"58,152","Jan 27, 2023"
25-01-2023,699.90,702.00,685.00,696.85,696.85,"36,998","Jan 25, 2023"
24-01-2023,697.80,704.80,692.10,694.65,694.65,"46,974","Jan 24, 2023"
23-01-2023,702.05,705.50,697.55,698.85,698.85,"28,318","Jan 23, 2023"
20-01-2023,703.00,708.00,697.00,698.55,698.55,"28,929","Jan 20, 2023"
19-01-2023,707.85,709.00,701.00,705.85,705.85,"22,758","Jan 19, 2023"
18-01-2023,697.30,708.00,697.30,704.60,704.60,"18,003","Jan 18, 2023"
17-01-2023,690.00,706.50,682.55,703.40,703.40,"61,001","Jan 17, 2023"
16-01-2023,696.50,697.05,686.10,694.00,694.00,"51,483","Jan 16, 2023"
