date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,13.00,13.25,12.75,12.90,12.90,"169,632","Aug 25, 2023"
24-08-2023,13.20,13.35,13.10,13.25,13.25,"79,118","Aug 24, 2023"
23-08-2023,13.25,13.55,13.20,13.25,13.25,"129,748","Aug 23, 2023"
22-08-2023,13.55,13.80,13.20,13.25,13.25,"233,776","Aug 22, 2023"
21-08-2023,13.85,14.25,13.25,13.55,13.55,"530,092","Aug 21, 2023"
18-08-2023,12.10,14.40,12.10,13.85,13.85,"1,637,890","Aug 18, 2023"
17-08-2023,11.45,12.20,11.45,12.10,12.10,"174,177","Aug 17, 2023"
16-08-2023,12.85,13.10,11.05,11.65,11.65,"1,397,594","Aug 16, 2023"
14-08-2023,13.80,13.80,13.20,13.30,13.30,"238,274","Aug 14, 2023"
11-08-2023,13.90,13.90,13.60,13.65,13.65,"65,538","Aug 11, 2023"
10-08-2023,13.85,14.00,13.65,13.70,13.70,"158,837","Aug 10, 2023"
09-08-2023,13.75,13.90,13.60,13.70,13.70,"76,294","Aug 09, 2023"
08-08-2023,13.75,13.75,13.55,13.65,13.65,"79,854","Aug 08, 2023"
07-08-2023,13.80,13.80,13.55,13.75,13.75,"143,063","Aug 07, 2023"
04-08-2023,13.90,14.00,13.45,13.60,13.60,"280,558","Aug 04, 2023"
03-08-2023,14.20,14.20,13.65,13.70,13.70,"61,339","Aug 03, 2023"
02-08-2023,14.00,14.15,13.70,13.80,13.80,"73,946","Aug 02, 2023"
01-08-2023,13.45,13.95,13.45,13.70,13.70,"59,831","Aug 01, 2023"
31-07-2023,13.70,13.85,13.45,13.60,13.60,"103,683","Jul 31, 2023"
28-07-2023,13.40,13.60,13.35,13.50,13.50,"53,952","Jul 28, 2023"
27-07-2023,13.50,13.50,13.35,13.45,13.45,"53,890","Jul 27, 2023"
26-07-2023,13.65,13.65,13.30,13.40,13.40,"74,057","Jul 26, 2023"
25-07-2023,13.50,13.80,13.40,13.45,13.45,"68,239","Jul 25, 2023"
24-07-2023,13.85,13.85,13.40,13.45,13.45,"81,126","Jul 24, 2023"
21-07-2023,13.95,13.95,13.50,13.60,13.60,"151,872","Jul 21, 2023"
20-07-2023,14.10,14.10,13.75,13.80,13.80,"91,480","Jul 20, 2023"
19-07-2023,14.15,14.15,13.80,13.95,13.95,"48,415","Jul 19, 2023"
18-07-2023,13.75,14.15,13.75,13.90,13.90,"67,540","Jul 18, 2023"
17-07-2023,14.00,14.15,13.70,13.80,13.80,"127,448","Jul 17, 2023"
14-07-2023,14.00,14.15,13.75,13.90,13.90,"89,270","Jul 14, 2023"
13-07-2023,14.25,14.25,13.85,14.00,14.00,"288,615","Jul 13, 2023"
12-07-2023,14.00,14.30,14.00,14.00,14.00,"68,786","Jul 12, 2023"
11-07-2023,14.20,14.40,13.95,14.10,14.10,"72,431","Jul 11, 2023"
10-07-2023,14.40,14.50,13.75,14.05,14.05,"81,659","Jul 10, 2023"
07-07-2023,14.00,14.25,13.95,14.10,14.10,"79,613","Jul 07, 2023"
06-07-2023,14.45,14.45,14.10,14.15,14.15,"56,007","Jul 06, 2023"
05-07-2023,14.35,14.60,13.85,14.05,14.05,"175,807","Jul 05, 2023"
04-07-2023,14.40,14.60,14.15,14.35,14.35,"107,230","Jul 04, 2023"
03-07-2023,14.60,14.80,13.90,14.00,14.00,"207,328","Jul 03, 2023"
30-06-2023,14.85,14.95,14.55,14.60,14.60,"281,842","Jun 30, 2023"
28-06-2023,14.40,14.40,14.40,14.40,14.40,-,"Jun 28, 2023"
27-06-2023,14.00,15.30,13.95,14.40,14.40,"1,525,531","Jun 27, 2023"
26-06-2023,13.40,13.40,12.60,12.95,12.95,"189,218","Jun 26, 2023"
23-06-2023,13.80,13.80,12.60,13.00,13.00,"272,785","Jun 23, 2023"
22-06-2023,15.00,15.00,13.55,13.85,13.85,"201,134","Jun 22, 2023"
21-06-2023,14.70,15.25,14.45,14.60,14.60,"177,739","Jun 21, 2023"
20-06-2023,15.30,15.50,14.75,14.95,14.95,"206,508","Jun 20, 2023"
19-06-2023,15.20,15.65,14.85,14.95,14.95,"358,636","Jun 19, 2023"
16-06-2023,15.20,15.20,13.35,14.20,14.20,"500,250","Jun 16, 2023"
15-06-2023,14.60,15.10,14.35,14.65,14.65,"652,277","Jun 15, 2023"
14-06-2023,13.45,14.90,13.10,14.20,14.20,"745,244","Jun 14, 2023"
13-06-2023,12.65,13.20,12.60,13.00,13.00,"176,112","Jun 13, 2023"
12-06-2023,12.80,13.05,12.55,12.65,12.65,"79,326","Jun 12, 2023"
09-06-2023,12.65,12.80,12.45,12.55,12.55,"76,156","Jun 09, 2023"
08-06-2023,13.10,13.10,12.50,12.65,12.65,"130,777","Jun 08, 2023"
07-06-2023,13.30,13.50,12.90,12.95,12.95,"180,610","Jun 07, 2023"
06-06-2023,13.05,13.40,12.40,13.20,13.20,"277,821","Jun 06, 2023"
05-06-2023,12.40,12.80,12.20,12.60,12.60,"77,928","Jun 05, 2023"
02-06-2023,12.40,12.70,12.20,12.40,12.40,"117,965","Jun 02, 2023"
01-06-2023,12.85,12.85,12.40,12.55,12.55,"49,282","Jun 01, 2023"
31-05-2023,12.40,12.95,12.40,12.70,12.70,"35,726","May 31, 2023"
30-05-2023,13.00,13.20,12.40,12.80,12.80,"114,587","May 30, 2023"
29-05-2023,13.35,13.35,12.30,12.70,12.70,"120,070","May 29, 2023"
26-05-2023,12.55,14.50,12.55,12.90,12.90,"1,075,407","May 26, 2023"
25-05-2023,12.65,12.90,12.45,12.70,12.70,"78,830","May 25, 2023"
24-05-2023,12.45,12.60,12.10,12.40,12.40,"47,835","May 24, 2023"
23-05-2023,12.05,12.65,12.00,12.45,12.45,"123,662","May 23, 2023"
22-05-2023,12.00,12.30,12.00,12.10,12.10,"25,405","May 22, 2023"
19-05-2023,12.35,12.35,11.95,12.00,12.00,"21,687","May 19, 2023"
18-05-2023,12.10,12.35,12.00,12.10,12.10,"29,061","May 18, 2023"
17-05-2023,12.35,12.35,11.95,12.10,12.10,"47,676","May 17, 2023"
16-05-2023,12.45,12.45,12.10,12.25,12.25,"22,180","May 16, 2023"
15-05-2023,12.55,12.55,11.70,12.10,12.10,"58,454","May 15, 2023"
12-05-2023,12.60,12.60,11.35,12.25,12.25,"124,901","May 12, 2023"
11-05-2023,12.45,12.45,12.20,12.35,12.35,"27,792","May 11, 2023"
10-05-2023,12.45,12.45,12.05,12.25,12.25,"30,060","May 10, 2023"
09-05-2023,12.65,12.65,12.10,12.15,12.15,"110,891","May 09, 2023"
08-05-2023,12.65,12.80,12.10,12.65,12.65,"40,867","May 08, 2023"
05-05-2023,12.75,12.75,11.90,12.40,12.40,"52,350","May 05, 2023"
04-05-2023,12.70,12.70,12.10,12.45,12.45,"69,001","May 04, 2023"
03-05-2023,12.75,12.85,12.40,12.50,12.50,"117,433","May 03, 2023"
