date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,288.00,294.70,283.80,291.45,291.45,"246,115","Aug 25, 2023"
24-08-2023,292.90,294.75,285.00,286.15,286.15,"74,504","Aug 24, 2023"
23-08-2023,289.45,294.40,287.20,291.35,291.35,"142,005","Aug 23, 2023"
22-08-2023,284.50,291.50,283.30,288.20,288.20,"138,315","Aug 22, 2023"
21-08-2023,273.00,285.00,272.00,283.20,283.20,"184,120","Aug 21, 2023"
18-08-2023,278.65,282.40,267.10,273.35,273.35,"208,977","Aug 18, 2023"
17-08-2023,285.50,285.50,276.80,278.70,278.70,"119,629","Aug 17, 2023"
16-08-2023,278.00,288.00,275.05,284.20,284.20,"147,305","Aug 16, 2023"
14-08-2023,284.35,286.15,273.20,277.30,277.30,"180,325","Aug 14, 2023"
11-08-2023,283.20,293.45,283.00,284.25,284.25,"323,594","Aug 11, 2023"
10-08-2023,308.50,310.00,280.80,282.65,282.65,"1,225,905","Aug 10, 2023"
09-08-2023,319.50,323.15,310.80,315.95,315.95,"243,823","Aug 09, 2023"
08-08-2023,317.00,327.50,315.10,317.80,317.80,"780,443","Aug 08, 2023"
07-08-2023,300.00,317.00,299.00,314.40,314.40,"704,534","Aug 07, 2023"
04-08-2023,294.50,300.00,292.75,298.60,298.60,"229,890","Aug 04, 2023"
03-08-2023,290.10,298.80,289.85,295.10,295.10,"277,464","Aug 03, 2023"
02-08-2023,296.60,301.00,283.50,289.50,289.50,"347,136","Aug 02, 2023"
01-08-2023,293.00,299.50,292.80,296.60,296.60,"150,723","Aug 01, 2023"
31-07-2023,294.80,300.50,289.60,291.80,291.80,"322,268","Jul 31, 2023"
28-07-2023,287.35,293.85,285.15,292.25,292.25,"160,320","Jul 28, 2023"
27-07-2023,282.50,289.40,282.00,286.20,286.20,"130,814","Jul 27, 2023"
26-07-2023,287.65,288.75,278.05,281.10,281.10,"248,340","Jul 26, 2023"
25-07-2023,297.95,298.50,285.00,286.75,286.75,"190,346","Jul 25, 2023"
