date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,552.95,558.30,537.00,550.15,550.15,"212,618","Aug 25, 2023"
24-08-2023,567.20,578.00,549.50,551.90,551.90,"201,980","Aug 24, 2023"
23-08-2023,543.00,573.95,543.00,561.90,561.90,"369,198","Aug 23, 2023"
22-08-2023,529.10,549.50,498.05,537.70,537.70,"1,031,761","Aug 22, 2023"
21-08-2023,584.00,589.00,523.25,530.40,530.40,"524,212","Aug 21, 2023"
18-08-2023,571.00,592.35,560.55,570.40,570.40,"313,662","Aug 18, 2023"
17-08-2023,595.35,596.15,560.00,568.50,568.50,"531,748","Aug 17, 2023"
16-08-2023,618.80,618.80,590.10,595.35,595.35,"136,791","Aug 16, 2023"
14-08-2023,625.00,625.00,597.50,602.50,602.50,"278,336","Aug 14, 2023"
11-08-2023,621.40,629.00,597.05,625.60,625.60,"350,860","Aug 11, 2023"
10-08-2023,655.00,669.95,580.30,619.10,619.10,"765,173","Aug 10, 2023"
09-08-2023,681.70,686.70,655.20,659.30,659.30,"366,373","Aug 09, 2023"
08-08-2023,644.35,678.00,627.55,667.30,667.30,"710,071","Aug 08, 2023"
07-08-2023,644.85,683.00,634.80,651.60,651.60,"805,742","Aug 07, 2023"
04-08-2023,643.40,646.15,631.75,641.50,641.50,"195,597","Aug 04, 2023"
03-08-2023,628.00,639.80,609.00,635.45,635.45,"385,344","Aug 03, 2023"
02-08-2023,648.70,650.00,599.70,621.50,621.50,"647,800","Aug 02, 2023"
01-08-2023,636.00,652.00,612.85,647.60,647.60,"758,470","Aug 01, 2023"
31-07-2023,599.75,632.20,599.50,629.05,629.05,"716,078","Jul 31, 2023"
28-07-2023,578.00,599.00,573.00,596.90,596.90,"553,490","Jul 28, 2023"
27-07-2023,580.00,580.00,574.00,575.50,575.50,"374,132","Jul 27, 2023"
26-07-2023,572.00,579.70,572.00,574.50,574.50,"439,499","Jul 26, 2023"
25-07-2023,578.00,584.70,560.75,574.90,574.90,"1,710,743","Jul 25, 2023"
24-07-2023,567.00,580.00,560.05,575.10,575.10,"6,245,467","Jul 24, 2023"
21-07-2023,564.50,564.50,550.05,558.70,558.70,"189,224","Jul 21, 2023"
20-07-2023,572.70,572.70,557.00,564.05,564.05,"108,284","Jul 20, 2023"
19-07-2023,564.70,572.00,541.25,566.25,566.25,"208,966","Jul 19, 2023"
18-07-2023,573.90,573.90,531.00,544.30,544.30,"284,708","Jul 18, 2023"
17-07-2023,554.00,582.70,550.50,563.30,563.30,"417,232","Jul 17, 2023"
