date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,382.75,384.45,375.00,378.70,378.70,"93,925","Aug 25, 2023"
24-08-2023,386.00,393.85,378.35,381.85,381.85,"243,851","Aug 24, 2023"
23-08-2023,381.15,387.75,372.95,380.35,380.35,"450,657","Aug 23, 2023"
22-08-2023,389.00,392.20,373.80,380.05,380.05,"289,913","Aug 22, 2023"
21-08-2023,394.00,396.45,385.25,388.75,388.75,"180,146","Aug 21, 2023"
18-08-2023,391.95,402.25,390.05,393.35,393.35,"198,378","Aug 18, 2023"
17-08-2023,394.20,421.70,386.05,389.10,389.10,"749,142","Aug 17, 2023"
16-08-2023,374.55,395.20,372.10,386.45,386.45,"186,431","Aug 16, 2023"
14-08-2023,391.20,393.15,367.30,375.10,375.10,"292,351","Aug 14, 2023"
11-08-2023,401.00,412.75,387.05,391.05,391.05,"372,905","Aug 11, 2023"
10-08-2023,443.80,451.30,388.00,403.15,403.15,"568,181","Aug 10, 2023"
10-08-2023,4.5 Dividend,,,,,,"Aug 10, 2023"
09-08-2023,445.95,455.00,433.00,440.35,435.85,"248,302","Aug 09, 2023"
08-08-2023,423.30,469.95,415.00,441.80,437.29,"842,115","Aug 08, 2023"
07-08-2023,423.85,425.40,410.05,423.35,419.02,"138,996","Aug 07, 2023"
07-08-2023,4.5 Dividend,,,,,,"Aug 07, 2023"
04-08-2023,400.50,424.95,397.00,421.05,412.29,"686,777","Aug 04, 2023"
03-08-2023,385.90,403.75,381.05,398.60,390.31,"180,603","Aug 03, 2023"
02-08-2023,392.10,394.85,375.15,384.15,376.16,"159,657","Aug 02, 2023"
01-08-2023,376.00,395.00,375.50,390.20,382.08,"262,371","Aug 01, 2023"
31-07-2023,374.50,380.10,370.85,375.15,367.35,"66,304","Jul 31, 2023"
28-07-2023,362.50,374.80,362.15,372.80,365.05,"88,361","Jul 28, 2023"
27-07-2023,368.50,372.10,355.30,360.90,353.39,"57,893","Jul 27, 2023"
26-07-2023,370.40,372.75,366.00,366.90,359.27,"38,315","Jul 26, 2023"
25-07-2023,364.80,374.45,362.00,368.85,361.18,"65,738","Jul 25, 2023"
24-07-2023,363.80,368.60,362.00,363.10,355.55,"44,028","Jul 24, 2023"
21-07-2023,365.00,371.55,362.05,364.40,356.82,"51,815","Jul 21, 2023"
20-07-2023,373.45,375.20,368.00,368.90,361.23,"67,787","Jul 20, 2023"
19-07-2023,373.55,378.00,369.45,372.15,364.41,"57,209","Jul 19, 2023"
18-07-2023,378.25,382.70,367.95,371.95,364.21,"74,799","Jul 18, 2023"
17-07-2023,386.00,387.45,373.00,376.75,368.91,"124,666","Jul 17, 2023"
14-07-2023,360.80,394.00,360.80,385.75,377.73,"521,487","Jul 14, 2023"
13-07-2023,366.70,374.80,361.10,363.80,356.23,"77,786","Jul 13, 2023"
12-07-2023,373.60,374.00,362.00,366.50,358.88,"107,714","Jul 12, 2023"
11-07-2023,368.90,378.00,364.55,371.90,364.17,"91,895","Jul 11, 2023"
10-07-2023,367.65,372.85,365.60,367.40,359.76,"70,402","Jul 10, 2023"
07-07-2023,359.35,377.55,358.00,366.00,358.39,"391,704","Jul 07, 2023"
06-07-2023,358.75,363.10,356.00,360.30,352.81,"74,315","Jul 06, 2023"
05-07-2023,352.85,361.70,352.05,359.10,351.63,"131,085","Jul 05, 2023"
04-07-2023,352.00,374.90,350.00,352.45,345.12,"631,060","Jul 04, 2023"
03-07-2023,354.05,356.95,344.30,353.45,346.10,"77,001","Jul 03, 2023"
30-06-2023,354.70,364.80,352.00,353.10,345.76,"103,462","Jun 30, 2023"
28-06-2023,343.85,343.85,343.85,343.85,336.70,-,"Jun 28, 2023"
27-06-2023,340.65,346.35,340.65,343.85,336.70,"50,262","Jun 27, 2023"
26-06-2023,339.00,344.15,333.10,339.60,332.54,"97,953","Jun 26, 2023"
23-06-2023,348.50,348.50,333.15,336.20,329.21,"111,958","Jun 23, 2023"
22-06-2023,351.00,356.30,340.00,345.05,337.87,"129,847","Jun 22, 2023"
