date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,116.00,124.00,115.20,121.60,121.60,"387,421","Aug 25, 2023"
24-08-2023,114.95,117.45,114.30,116.10,116.10,"100,135","Aug 24, 2023"
23-08-2023,116.00,116.00,113.20,114.00,114.00,"47,642","Aug 23, 2023"
22-08-2023,118.40,118.50,114.00,114.75,114.75,"57,231","Aug 22, 2023"
21-08-2023,118.00,121.95,117.05,117.40,117.40,"210,533","Aug 21, 2023"
18-08-2023,112.45,119.00,110.50,116.70,116.70,"340,681","Aug 18, 2023"
17-08-2023,113.50,113.50,111.80,112.00,112.00,"32,757","Aug 17, 2023"
16-08-2023,114.70,114.70,111.65,112.10,112.10,"39,578","Aug 16, 2023"
14-08-2023,115.40,115.40,111.65,113.10,113.10,"63,316","Aug 14, 2023"
11-08-2023,113.00,116.00,111.15,114.25,114.25,"137,725","Aug 11, 2023"
10-08-2023,110.90,112.65,110.50,111.00,111.00,"72,252","Aug 10, 2023"
09-08-2023,112.75,112.90,110.50,110.95,110.95,"33,866","Aug 09, 2023"
08-08-2023,112.80,113.00,110.35,112.25,112.25,"42,124","Aug 08, 2023"
07-08-2023,113.50,113.80,110.60,111.40,111.40,"94,902","Aug 07, 2023"
04-08-2023,111.20,113.50,110.65,113.15,113.15,"83,040","Aug 04, 2023"
03-08-2023,112.25,113.90,111.50,112.35,112.35,"62,666","Aug 03, 2023"
02-08-2023,117.40,119.00,109.00,112.25,112.25,"174,366","Aug 02, 2023"
01-08-2023,113.05,121.35,111.70,117.85,117.85,"399,977","Aug 01, 2023"
31-07-2023,111.30,113.90,109.35,112.35,112.35,"106,711","Jul 31, 2023"
28-07-2023,108.95,111.80,108.10,111.10,111.10,"116,994","Jul 28, 2023"
27-07-2023,109.65,111.45,107.50,108.15,108.15,"58,396","Jul 27, 2023"
26-07-2023,107.75,111.00,107.70,109.10,109.10,"66,014","Jul 26, 2023"
25-07-2023,107.95,108.90,106.00,106.80,106.80,"36,385","Jul 25, 2023"
24-07-2023,110.00,111.20,106.10,107.20,107.20,"77,784","Jul 24, 2023"
21-07-2023,110.95,112.50,108.15,108.90,108.90,"54,401","Jul 21, 2023"
20-07-2023,110.50,114.00,108.60,111.20,111.20,"69,675","Jul 20, 2023"
19-07-2023,110.40,113.25,108.75,110.30,110.30,"41,553","Jul 19, 2023"
18-07-2023,108.15,114.80,108.15,111.25,111.25,"76,804","Jul 18, 2023"
17-07-2023,107.80,111.55,107.40,109.90,109.90,"54,351","Jul 17, 2023"
14-07-2023,107.40,109.55,106.50,107.05,107.05,"66,948","Jul 14, 2023"
13-07-2023,110.25,111.50,107.05,107.40,107.40,"46,806","Jul 13, 2023"
12-07-2023,110.35,111.35,109.05,109.70,109.70,"61,177","Jul 12, 2023"
11-07-2023,111.05,112.00,110.05,110.45,110.45,"27,537","Jul 11, 2023"
10-07-2023,113.25,114.65,109.70,110.20,110.20,"90,411","Jul 10, 2023"
07-07-2023,111.00,114.95,111.00,113.70,113.70,"144,242","Jul 07, 2023"
06-07-2023,111.85,113.15,110.50,110.95,110.95,"65,865","Jul 06, 2023"
05-07-2023,111.95,113.60,110.50,111.40,111.40,"39,915","Jul 05, 2023"
04-07-2023,112.40,115.15,110.50,111.25,111.25,"121,160","Jul 04, 2023"
03-07-2023,111.90,113.45,110.70,111.35,111.35,"46,084","Jul 03, 2023"
30-06-2023,115.50,115.90,111.05,111.85,111.85,"65,848","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,115.85,115.90,111.70,113.20,113.20,"94,148","Jun 27, 2023"
26-06-2023,115.75,117.00,112.05,113.50,113.50,"79,817","Jun 26, 2023"
23-06-2023,118.00,119.25,114.00,114.95,114.95,"85,734","Jun 23, 2023"
22-06-2023,120.85,122.60,115.00,118.45,118.45,"143,298","Jun 22, 2023"
21-06-2023,124.15,125.00,118.70,120.10,120.10,"174,557","Jun 21, 2023"
20-06-2023,122.85,127.85,122.50,124.95,124.95,"599,003","Jun 20, 2023"
19-06-2023,118.65,128.80,114.20,123.80,123.80,"800,331","Jun 19, 2023"
16-06-2023,114.90,121.80,114.50,117.85,117.85,"1,056,077","Jun 16, 2023"
15-06-2023,104.40,115.40,103.60,113.85,113.85,"1,142,654","Jun 15, 2023"
14-06-2023,102.95,104.45,101.75,103.60,103.60,"173,929","Jun 14, 2023"
13-06-2023,104.45,106.15,101.30,102.00,102.00,"159,939","Jun 13, 2023"
12-06-2023,106.50,106.85,103.75,104.10,104.10,"79,034","Jun 12, 2023"
09-06-2023,105.05,107.60,103.80,105.75,105.75,"166,343","Jun 09, 2023"
08-06-2023,109.00,111.30,103.20,104.50,104.50,"293,543","Jun 08, 2023"
07-06-2023,112.10,112.95,108.25,108.85,108.85,"484,220","Jun 07, 2023"
06-06-2023,104.55,112.70,102.65,111.90,111.90,"1,167,948","Jun 06, 2023"
05-06-2023,105.25,106.30,101.50,104.55,104.55,"553,840","Jun 05, 2023"
02-06-2023,96.10,105.40,96.10,104.70,104.70,"1,216,329","Jun 02, 2023"
01-06-2023,94.95,97.00,94.75,95.95,95.95,"257,057","Jun 01, 2023"
31-05-2023,97.30,97.30,94.00,94.95,94.95,"147,596","May 31, 2023"
30-05-2023,94.80,96.60,92.60,95.85,95.85,"342,038","May 30, 2023"
29-05-2023,94.35,95.00,92.45,93.90,93.90,"342,349","May 29, 2023"
26-05-2023,89.95,94.00,89.80,92.95,92.95,"574,171","May 26, 2023"
25-05-2023,92.55,92.55,88.65,89.75,89.75,"80,394","May 25, 2023"
24-05-2023,95.95,97.70,90.75,91.05,91.05,"161,852","May 24, 2023"
23-05-2023,97.05,97.30,88.50,94.55,94.55,"184,606","May 23, 2023"
