date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,301.20,303.85,293.20,294.25,294.25,"4,371,079","Aug 25, 2023"
24-08-2023,299.40,306.00,298.50,304.05,304.05,"7,104,548","Aug 24, 2023"
23-08-2023,289.00,300.45,288.15,298.05,298.05,"8,999,270","Aug 23, 2023"
22-08-2023,278.80,289.60,275.65,288.65,288.65,"5,888,819","Aug 22, 2023"
21-08-2023,275.00,278.55,274.00,277.45,277.45,"1,839,863","Aug 21, 2023"
18-08-2023,279.50,279.60,273.55,275.05,275.05,"3,171,919","Aug 18, 2023"
17-08-2023,277.00,280.95,274.75,279.50,279.50,"2,551,659","Aug 17, 2023"
16-08-2023,279.95,279.95,272.70,277.40,277.40,"3,623,254","Aug 16, 2023"
14-08-2023,282.50,283.65,276.75,280.90,280.90,"2,676,604","Aug 14, 2023"
11-08-2023,286.90,288.65,282.40,283.05,283.05,"1,627,043","Aug 11, 2023"
10-08-2023,289.65,290.50,283.15,285.25,285.25,"3,876,215","Aug 10, 2023"
09-08-2023,292.30,292.70,286.30,288.80,288.80,"2,992,539","Aug 09, 2023"
08-08-2023,296.95,296.95,288.15,291.45,291.45,"2,293,929","Aug 08, 2023"
07-08-2023,291.00,296.25,290.65,295.55,295.55,"1,939,304","Aug 07, 2023"
04-08-2023,286.10,293.25,286.10,290.15,290.15,"3,691,521","Aug 04, 2023"
03-08-2023,291.50,295.75,281.80,285.75,285.75,"5,460,039","Aug 03, 2023"
02-08-2023,296.50,297.25,291.45,293.40,293.40,"4,269,669","Aug 02, 2023"
01-08-2023,296.90,298.00,290.15,295.85,295.85,"6,278,603","Aug 01, 2023"
31-07-2023,299.60,300.70,289.60,297.45,297.45,"11,913,383","Jul 31, 2023"
28-07-2023,313.90,315.50,289.00,299.60,299.60,"18,492,738","Jul 28, 2023"
27-07-2023,322.50,323.95,308.40,311.95,311.95,"5,102,718","Jul 27, 2023"
26-07-2023,316.45,323.10,316.45,320.05,320.05,"4,149,938","Jul 26, 2023"
25-07-2023,324.85,325.35,313.75,315.75,315.75,"3,692,523","Jul 25, 2023"
24-07-2023,313.00,322.00,312.75,321.25,321.25,"3,377,575","Jul 24, 2023"
21-07-2023,313.85,320.85,312.00,312.55,312.55,"3,360,114","Jul 21, 2023"
21-07-2023,6 Dividend,,,,,,"Jul 21, 2023"
20-07-2023,321.15,323.50,318.60,321.35,315.35,"3,823,838","Jul 20, 2023"
20-07-2023,6 Dividend,,,,,,"Jul 20, 2023"
19-07-2023,317.80,324.00,317.00,319.85,307.99,"3,192,450","Jul 19, 2023"
18-07-2023,321.00,322.55,314.40,316.80,305.05,"2,114,778","Jul 18, 2023"
17-07-2023,318.45,323.70,315.40,319.75,307.89,"2,748,349","Jul 17, 2023"
14-07-2023,321.90,322.65,312.45,316.35,304.62,"5,460,515","Jul 14, 2023"
13-07-2023,325.90,328.40,316.25,320.40,308.52,"3,333,057","Jul 13, 2023"
12-07-2023,327.40,329.30,323.00,324.30,312.28,"2,948,518","Jul 12, 2023"
11-07-2023,329.90,336.00,324.70,325.90,313.82,"4,021,608","Jul 11, 2023"
10-07-2023,330.00,333.15,325.50,328.50,316.32,"3,804,278","Jul 10, 2023"
07-07-2023,339.95,339.95,321.90,328.80,316.61,"9,659,639","Jul 07, 2023"
06-07-2023,340.75,345.00,338.50,340.95,328.31,"3,812,609","Jul 06, 2023"
05-07-2023,342.20,345.30,339.30,343.20,330.47,"1,779,259","Jul 05, 2023"
04-07-2023,344.00,346.55,333.00,343.00,330.28,"8,040,275","Jul 04, 2023"
03-07-2023,336.95,346.20,336.60,343.75,331.00,"3,590,814","Jul 03, 2023"
30-06-2023,327.90,342.55,325.65,336.45,323.97,"8,552,332","Jun 30, 2023"
28-06-2023,317.35,317.35,317.35,317.35,305.58,-,"Jun 28, 2023"
27-06-2023,309.80,317.85,308.90,317.35,305.58,"2,731,047","Jun 27, 2023"
26-06-2023,304.70,309.70,302.15,308.75,297.30,"2,558,108","Jun 26, 2023"
23-06-2023,311.50,311.50,301.15,305.70,294.36,"5,823,056","Jun 23, 2023"
22-06-2023,326.00,328.00,309.10,312.85,301.25,"5,512,725","Jun 22, 2023"
21-06-2023,321.05,328.10,320.60,325.85,313.77,"4,335,563","Jun 21, 2023"
20-06-2023,317.85,322.45,315.15,320.30,308.42,"3,674,134","Jun 20, 2023"
19-06-2023,306.50,321.70,305.75,316.25,304.52,"13,305,248","Jun 19, 2023"
16-06-2023,294.80,305.90,293.45,305.00,293.69,"3,920,275","Jun 16, 2023"
15-06-2023,295.00,298.00,292.25,294.10,283.19,"2,214,533","Jun 15, 2023"
14-06-2023,298.00,299.15,293.70,295.00,284.06,"1,158,372","Jun 14, 2023"
13-06-2023,293.00,298.00,292.20,297.20,286.18,"3,575,730","Jun 13, 2023"
12-06-2023,283.95,291.50,281.20,290.10,279.34,"4,203,744","Jun 12, 2023"
09-06-2023,285.00,286.30,278.70,283.40,272.89,"4,710,042","Jun 09, 2023"
08-06-2023,291.90,293.70,282.60,284.95,274.38,"5,399,010","Jun 08, 2023"
07-06-2023,294.00,294.90,290.15,291.65,280.84,"3,112,434","Jun 07, 2023"
06-06-2023,301.00,301.70,292.40,294.20,283.29,"1,996,746","Jun 06, 2023"
05-06-2023,300.00,305.00,299.10,301.00,289.84,"5,712,184","Jun 05, 2023"
02-06-2023,295.90,299.30,294.20,298.10,287.05,"5,606,661","Jun 02, 2023"
01-06-2023,283.20,295.00,283.20,294.05,283.15,"5,065,861","Jun 01, 2023"
31-05-2023,285.00,286.70,282.85,284.30,273.76,"3,906,848","May 31, 2023"
30-05-2023,288.45,288.45,284.85,286.15,275.54,"2,764,028","May 30, 2023"
29-05-2023,281.40,287.30,280.40,286.55,275.92,"2,839,519","May 29, 2023"
26-05-2023,283.05,284.85,279.25,280.05,269.67,"1,370,444","May 26, 2023"
25-05-2023,283.00,285.30,279.30,283.15,272.65,"3,191,662","May 25, 2023"
24-05-2023,284.50,287.75,283.10,283.60,273.08,"914,356","May 24, 2023"
23-05-2023,284.00,288.00,281.00,285.65,275.06,"2,921,703","May 23, 2023"
22-05-2023,278.70,284.75,278.55,283.15,272.65,"3,415,424","May 22, 2023"
19-05-2023,285.15,285.85,278.70,281.80,271.35,"2,246,742","May 19, 2023"
18-05-2023,285.25,290.40,284.10,285.10,274.53,"2,200,543","May 18, 2023"
17-05-2023,283.90,285.90,281.70,285.05,274.48,"2,426,292","May 17, 2023"
16-05-2023,284.00,286.80,282.55,283.90,273.37,"3,698,602","May 16, 2023"
15-05-2023,282.00,285.55,280.65,283.60,273.08,"3,266,357","May 15, 2023"
12-05-2023,286.00,286.40,280.60,281.80,271.35,"3,456,702","May 12, 2023"
11-05-2023,287.20,288.35,284.15,285.55,274.96,"1,768,199","May 11, 2023"
10-05-2023,289.50,289.50,279.55,285.85,275.25,"5,653,139","May 10, 2023"
09-05-2023,294.60,296.45,287.55,288.70,278.00,"5,692,145","May 09, 2023"
08-05-2023,286.40,294.85,284.60,294.15,283.24,"8,335,654","May 08, 2023"
05-05-2023,288.20,289.20,284.65,286.40,275.78,"6,894,981","May 05, 2023"
04-05-2023,272.50,289.15,269.70,288.35,277.66,"18,427,087","May 04, 2023"
03-05-2023,262.05,272.40,261.80,271.50,261.43,"11,013,256","May 03, 2023"
02-05-2023,262.25,278.00,262.00,266.30,256.43,"21,415,225","May 02, 2023"
28-04-2023,257.95,259.70,253.10,259.00,249.40,"4,029,363","Apr 28, 2023"
27-04-2023,251.10,257.25,250.50,256.85,247.33,"4,029,796","Apr 27, 2023"
26-04-2023,251.80,255.50,249.20,251.15,241.84,"2,343,850","Apr 26, 2023"
25-04-2023,255.25,255.85,248.10,251.05,241.74,"3,489,516","Apr 25, 2023"
24-04-2023,255.00,257.15,253.10,255.15,245.69,"2,411,516","Apr 24, 2023"
21-04-2023,260.95,262.20,255.95,257.35,247.81,"3,039,303","Apr 21, 2023"
20-04-2023,260.85,263.60,260.00,260.95,251.27,"1,591,120","Apr 20, 2023"
19-04-2023,258.30,262.50,258.30,261.00,251.32,"1,718,529","Apr 19, 2023"
18-04-2023,259.95,262.10,257.30,259.70,250.07,"2,399,337","Apr 18, 2023"
17-04-2023,259.40,262.60,257.50,260.65,250.99,"1,511,223","Apr 17, 2023"
13-04-2023,254.50,260.00,253.80,259.40,249.78,"3,000,995","Apr 13, 2023"
12-04-2023,252.00,256.15,250.55,255.15,245.69,"2,031,855","Apr 12, 2023"
11-04-2023,251.15,253.25,247.75,251.40,242.08,"2,431,374","Apr 11, 2023"
10-04-2023,250.05,254.10,249.10,250.90,241.60,"3,309,804","Apr 10, 2023"
06-04-2023,239.45,253.45,236.50,252.15,242.80,"9,379,084","Apr 06, 2023"
05-04-2023,241.80,247.00,236.65,239.50,230.62,"5,335,299","Apr 05, 2023"
03-04-2023,233.85,241.00,233.00,238.00,229.18,"2,099,024","Apr 03, 2023"
31-03-2023,227.85,233.00,227.50,231.65,223.06,"3,604,611","Mar 31, 2023"
29-03-2023,222.25,230.75,221.70,226.70,218.29,"4,363,754","Mar 29, 2023"
28-03-2023,219.25,222.15,217.50,221.40,213.19,"2,064,126","Mar 28, 2023"
27-03-2023,220.90,222.15,215.65,218.15,210.06,"2,570,039","Mar 27, 2023"
24-03-2023,226.65,226.65,219.50,220.50,212.32,"5,643,816","Mar 24, 2023"
23-03-2023,228.65,233.75,226.00,227.70,219.26,"3,661,062","Mar 23, 2023"
22-03-2023,230.40,236.80,229.15,230.45,221.90,"12,562,286","Mar 22, 2023"
21-03-2023,226.00,230.30,222.25,229.55,221.04,"6,134,655","Mar 21, 2023"
20-03-2023,235.80,235.80,223.65,225.50,217.14,"5,000,513","Mar 20, 2023"
17-03-2023,243.00,250.65,234.50,235.80,227.06,"4,248,503","Mar 17, 2023"
16-03-2023,240.50,244.35,239.30,242.15,233.17,"2,168,829","Mar 16, 2023"
15-03-2023,244.25,248.05,240.55,241.95,232.98,"2,071,780","Mar 15, 2023"
14-03-2023,237.00,244.70,237.00,243.10,234.09,"3,523,767","Mar 14, 2023"
13-03-2023,245.05,247.10,237.15,238.50,229.66,"1,966,255","Mar 13, 2023"
10-03-2023,249.95,249.95,242.00,245.05,235.96,"3,766,796","Mar 10, 2023"
09-03-2023,254.05,255.70,249.20,250.85,241.55,"2,302,996","Mar 09, 2023"
08-03-2023,254.95,255.50,252.05,253.90,244.49,"2,996,434","Mar 08, 2023"
06-03-2023,254.45,260.25,253.55,256.20,246.70,"2,717,677","Mar 06, 2023"
03-03-2023,258.30,258.30,249.80,253.95,244.53,"3,046,022","Mar 03, 2023"
02-03-2023,256.40,257.35,251.95,252.55,243.19,"970,352","Mar 02, 2023"
01-03-2023,252.00,257.10,251.60,255.10,245.64,"1,795,772","Mar 01, 2023"
28-02-2023,253.45,255.65,250.20,251.80,242.46,"2,767,720","Feb 28, 2023"
27-02-2023,256.00,257.95,248.35,251.95,242.61,"2,114,590","Feb 27, 2023"
24-02-2023,256.85,260.00,255.10,256.85,247.33,"1,368,009","Feb 24, 2023"
23-02-2023,255.80,257.90,251.60,255.55,246.07,"2,220,221","Feb 23, 2023"
22-02-2023,254.00,256.85,251.60,255.25,245.79,"2,053,486","Feb 22, 2023"
21-02-2023,259.85,263.95,254.65,256.10,246.60,"1,693,900","Feb 21, 2023"
