date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,76.30,77.50,74.70,76.15,76.15,"615,168","Aug 25, 2023"
24-08-2023,75.15,77.70,74.60,76.50,76.50,"1,476,555","Aug 24, 2023"
23-08-2023,74.35,77.50,74.00,74.55,74.55,"1,622,578","Aug 23, 2023"
22-08-2023,72.80,74.35,72.55,73.85,73.85,"305,014","Aug 22, 2023"
21-08-2023,72.95,73.20,71.90,72.35,72.35,"148,139","Aug 21, 2023"
18-08-2023,73.75,74.10,72.45,72.65,72.65,"265,698","Aug 18, 2023"
17-08-2023,73.90,75.00,73.00,73.75,73.75,"563,659","Aug 17, 2023"
16-08-2023,71.70,73.75,71.45,73.40,73.40,"376,773","Aug 16, 2023"
14-08-2023,73.00,73.00,70.65,71.45,71.45,"303,611","Aug 14, 2023"
11-08-2023,74.20,74.45,72.70,73.00,73.00,"269,021","Aug 11, 2023"
10-08-2023,74.25,74.85,73.15,73.95,73.95,"414,658","Aug 10, 2023"
09-08-2023,75.00,75.00,73.30,73.75,73.75,"862,112","Aug 09, 2023"
08-08-2023,78.35,79.25,76.75,76.90,76.90,"528,734","Aug 08, 2023"
07-08-2023,78.35,79.40,77.15,77.75,77.75,"690,946","Aug 07, 2023"
04-08-2023,78.60,78.95,77.65,78.25,78.25,"395,385","Aug 04, 2023"
03-08-2023,78.25,78.75,77.00,77.80,77.80,"470,811","Aug 03, 2023"
02-08-2023,80.00,80.50,77.40,78.75,78.75,"742,532","Aug 02, 2023"
01-08-2023,78.95,81.90,78.55,80.00,80.00,"1,253,319","Aug 01, 2023"
31-07-2023,80.00,80.65,77.55,78.05,78.05,"1,211,902","Jul 31, 2023"
28-07-2023,82.95,83.00,79.10,79.55,79.55,"844,421","Jul 28, 2023"
27-07-2023,82.30,84.75,81.80,82.70,82.70,"791,817","Jul 27, 2023"
26-07-2023,81.60,83.95,80.80,81.80,81.80,"1,411,738","Jul 26, 2023"
25-07-2023,82.10,82.65,80.80,81.05,81.05,"548,809","Jul 25, 2023"
24-07-2023,81.95,82.80,80.50,82.10,82.10,"983,266","Jul 24, 2023"
21-07-2023,81.80,82.95,80.55,81.70,81.70,"1,185,550","Jul 21, 2023"
20-07-2023,84.00,84.15,80.50,81.95,81.95,"2,461,047","Jul 20, 2023"
19-07-2023,82.00,91.90,81.75,83.45,83.45,"9,737,677","Jul 19, 2023"
18-07-2023,81.50,83.60,78.25,81.45,81.45,"1,684,518","Jul 18, 2023"
17-07-2023,81.25,82.50,80.05,80.90,80.90,"686,096","Jul 17, 2023"
14-07-2023,78.70,81.70,78.25,81.25,81.25,"1,318,607","Jul 14, 2023"
13-07-2023,79.95,82.70,76.95,78.15,78.15,"1,739,605","Jul 13, 2023"
12-07-2023,81.05,81.10,78.45,79.35,79.35,"1,028,743","Jul 12, 2023"
11-07-2023,82.40,83.40,79.50,80.50,80.50,"1,860,573","Jul 11, 2023"
10-07-2023,77.70,85.50,77.55,82.00,82.00,"7,210,609","Jul 10, 2023"
07-07-2023,76.20,78.00,74.50,77.10,77.10,"1,199,207","Jul 07, 2023"
06-07-2023,75.85,77.60,75.60,76.05,76.05,"1,512,546","Jul 06, 2023"
05-07-2023,72.45,76.60,72.25,75.55,75.55,"2,203,284","Jul 05, 2023"
04-07-2023,73.00,73.55,71.85,72.45,72.45,"502,505","Jul 04, 2023"
03-07-2023,72.25,74.95,71.60,72.80,72.80,"1,189,999","Jul 03, 2023"
30-06-2023,73.00,73.75,71.75,71.85,71.85,"465,945","Jun 30, 2023"
28-06-2023,73.45,73.45,73.45,73.45,73.45,-,"Jun 28, 2023"
27-06-2023,72.40,75.25,72.15,73.45,73.45,"1,376,842","Jun 27, 2023"
26-06-2023,74.00,74.65,71.45,72.00,72.00,"894,075","Jun 26, 2023"
23-06-2023,77.20,77.95,73.40,74.05,74.05,"750,255","Jun 23, 2023"
22-06-2023,76.00,79.20,76.00,77.20,77.20,"1,420,110","Jun 22, 2023"
21-06-2023,78.50,78.85,75.80,76.35,76.35,"1,155,314","Jun 21, 2023"
20-06-2023,75.70,79.40,74.25,78.20,78.20,"3,702,512","Jun 20, 2023"
19-06-2023,75.90,76.65,74.85,75.30,75.30,"587,457","Jun 19, 2023"
16-06-2023,75.40,76.40,74.25,75.50,75.50,"847,610","Jun 16, 2023"
15-06-2023,76.35,77.70,74.15,75.05,75.05,"2,099,441","Jun 15, 2023"
14-06-2023,74.50,79.90,73.40,76.15,76.15,"7,963,914","Jun 14, 2023"
