date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,025.25","1,043.95","1,011.00","1,018.85","1,018.85","21,663","Aug 25, 2023"
24-08-2023,"1,056.10","1,066.65","1,028.25","1,035.20","1,035.20","23,110","Aug 24, 2023"
23-08-2023,"1,034.65","1,062.00","1,030.10","1,050.90","1,050.90","38,630","Aug 23, 2023"
22-08-2023,"1,018.10","1,035.00","1,015.00","1,030.50","1,030.50","28,342","Aug 22, 2023"
21-08-2023,"1,029.00","1,032.45","1,015.05","1,018.65","1,018.65","19,737","Aug 21, 2023"
18-08-2023,"1,024.70","1,036.00",996.95,"1,028.70","1,028.70","36,350","Aug 18, 2023"
17-08-2023,"1,025.00","1,030.00","1,002.80","1,010.40","1,010.40","32,163","Aug 17, 2023"
16-08-2023,995.85,"1,036.30",971.05,"1,032.60","1,032.60","76,958","Aug 16, 2023"
14-08-2023,"1,005.05","1,016.80",968.15,990.85,990.85,"105,760","Aug 14, 2023"
11-08-2023,"1,083.85","1,084.70","1,040.00","1,052.75","1,052.75","53,771","Aug 11, 2023"
10-08-2023,"1,090.60","1,091.90","1,076.55","1,082.20","1,082.20","14,715","Aug 10, 2023"
09-08-2023,"1,085.95","1,092.45","1,078.85","1,087.55","1,087.55","30,371","Aug 09, 2023"
08-08-2023,"1,100.00","1,115.05","1,076.30","1,081.75","1,081.75","34,842","Aug 08, 2023"
07-08-2023,"1,105.00","1,115.20","1,084.55","1,099.30","1,099.30","35,236","Aug 07, 2023"
04-08-2023,"1,100.00","1,127.00","1,093.05","1,098.75","1,098.75","46,266","Aug 04, 2023"
03-08-2023,"1,133.15","1,163.10","1,074.15","1,090.45","1,090.45","102,299","Aug 03, 2023"
02-08-2023,"1,165.00","1,181.15","1,114.00","1,136.20","1,136.20","94,230","Aug 02, 2023"
01-08-2023,"1,178.00","1,206.95","1,145.95","1,159.80","1,159.80","144,885","Aug 01, 2023"
31-07-2023,"1,091.65","1,185.00","1,090.00","1,174.30","1,174.30","336,148","Jul 31, 2023"
28-07-2023,"1,106.00","1,113.00","1,081.05","1,088.95","1,088.95","35,870","Jul 28, 2023"
27-07-2023,"1,113.00","1,123.45","1,095.00","1,108.00","1,108.00","43,525","Jul 27, 2023"
26-07-2023,"1,098.90","1,122.00","1,092.00","1,098.90","1,098.90","42,211","Jul 26, 2023"
25-07-2023,"1,107.00","1,107.00","1,080.00","1,093.40","1,093.40","23,107","Jul 25, 2023"
24-07-2023,"1,103.60","1,106.45","1,081.00","1,089.60","1,089.60","26,949","Jul 24, 2023"
21-07-2023,"1,126.30","1,126.30","1,091.30","1,103.60","1,103.60","34,686","Jul 21, 2023"
20-07-2023,"1,082.00","1,124.40","1,080.00","1,118.15","1,118.15","75,227","Jul 20, 2023"
19-07-2023,"1,084.00","1,095.95","1,075.50","1,079.70","1,079.70","16,377","Jul 19, 2023"
18-07-2023,"1,108.90","1,109.10","1,075.05","1,080.30","1,080.30","26,309","Jul 18, 2023"
17-07-2023,"1,111.00","1,120.00","1,098.70","1,103.35","1,103.35","42,107","Jul 17, 2023"
14-07-2023,"1,075.00","1,107.70","1,075.00","1,099.85","1,099.85","34,554","Jul 14, 2023"
13-07-2023,"1,110.00","1,121.00","1,070.00","1,074.95","1,074.95","53,057","Jul 13, 2023"
12-07-2023,"1,090.00","1,123.95","1,090.00","1,105.15","1,105.15","60,409","Jul 12, 2023"
11-07-2023,"1,089.00","1,099.00","1,076.60","1,088.75","1,088.75","39,661","Jul 11, 2023"
10-07-2023,"1,119.95","1,130.35","1,071.00","1,078.05","1,078.05","84,346","Jul 10, 2023"
