date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,095.00","1,095.00","1,050.50","1,059.70","1,059.70","3,683","Aug 25, 2023"
24-08-2023,"1,016.00","1,095.00","1,016.00","1,087.45","1,087.45","10,347","Aug 24, 2023"
23-08-2023,"1,070.00","1,085.00","1,025.00","1,041.65","1,041.65","4,824","Aug 23, 2023"
22-08-2023,"1,008.20","1,067.80","1,008.20","1,055.25","1,055.25","4,469","Aug 22, 2023"
21-08-2023,"1,029.90","1,029.90",975.05,"1,014.00","1,014.00","9,278","Aug 21, 2023"
18-08-2023,"1,014.85","1,042.45",990.00,999.15,999.15,"7,866","Aug 18, 2023"
17-08-2023,"1,031.75","1,040.00","1,001.70","1,014.45","1,014.45","8,568","Aug 17, 2023"
16-08-2023,"1,040.00","1,071.00","1,022.10","1,025.95","1,025.95","6,396","Aug 16, 2023"
14-08-2023,"1,070.00","1,070.00","1,034.20","1,041.95","1,041.95","3,818","Aug 14, 2023"
11-08-2023,"1,033.60","1,071.95","1,033.60","1,053.40","1,053.40","4,418","Aug 11, 2023"
10-08-2023,"1,070.00","1,073.45","1,043.00","1,049.70","1,049.70","3,965","Aug 10, 2023"
09-08-2023,"1,072.80","1,076.00","1,044.05","1,058.60","1,058.60","3,624","Aug 09, 2023"
08-08-2023,"1,077.60","1,089.35","1,052.10","1,062.20","1,062.20","8,066","Aug 08, 2023"
07-08-2023,"1,100.00","1,141.25","1,082.15","1,094.00","1,094.00","7,676","Aug 07, 2023"
04-08-2023,"1,079.75","1,100.00","1,066.20","1,096.85","1,096.85","4,993","Aug 04, 2023"
03-08-2023,"1,098.80","1,103.40","1,050.00","1,071.25","1,071.25","5,741","Aug 03, 2023"
02-08-2023,"1,100.40","1,119.00","1,061.30","1,087.90","1,087.90","7,054","Aug 02, 2023"
01-08-2023,"1,116.65","1,150.00","1,075.30","1,089.50","1,089.50","24,457","Aug 01, 2023"
31-07-2023,"1,119.95","1,129.00","1,050.00","1,055.05","1,055.05","11,974","Jul 31, 2023"
28-07-2023,"1,032.00","1,146.90",993.60,"1,096.55","1,096.55","68,347","Jul 28, 2023"
27-07-2023,"1,025.20","1,050.00","1,006.05","1,016.50","1,016.50","5,490","Jul 27, 2023"
26-07-2023,"1,044.10","1,070.95","1,025.00","1,029.10","1,029.10","5,974","Jul 26, 2023"
25-07-2023,"1,051.90","1,063.45","1,032.10","1,039.05","1,039.05","5,082","Jul 25, 2023"
24-07-2023,"1,070.00","1,070.00","1,025.00","1,031.40","1,031.40","4,581","Jul 24, 2023"
21-07-2023,"1,055.25","1,055.25","1,041.10","1,050.30","1,050.30","1,915","Jul 21, 2023"
20-07-2023,"1,062.00","1,063.90","1,035.00","1,044.80","1,044.80","4,284","Jul 20, 2023"
19-07-2023,"1,055.25","1,066.20","1,035.00","1,046.30","1,046.30","3,124","Jul 19, 2023"
18-07-2023,"1,069.75","1,069.80","1,044.00","1,047.80","1,047.80","2,949","Jul 18, 2023"
17-07-2023,"1,060.35","1,074.45","1,031.40","1,055.35","1,055.35","8,396","Jul 17, 2023"
14-07-2023,"1,023.15","1,124.95","1,023.15","1,044.70","1,044.70","35,241","Jul 14, 2023"
13-07-2023,"1,068.00","1,084.45",991.00,"1,008.05","1,008.05","14,389","Jul 13, 2023"
12-07-2023,"1,088.00","1,089.90","1,035.25","1,047.15","1,047.15","9,148","Jul 12, 2023"
11-07-2023,"1,065.30","1,087.00","1,057.60","1,084.00","1,084.00","4,476","Jul 11, 2023"
10-07-2023,"1,100.00","1,105.00","1,050.80","1,062.50","1,062.50","7,759","Jul 10, 2023"
07-07-2023,"1,079.85","1,119.95","1,075.55","1,091.05","1,091.05","14,800","Jul 07, 2023"
06-07-2023,"1,083.00","1,146.95","1,068.00","1,078.10","1,078.10","15,187","Jul 06, 2023"
05-07-2023,"1,096.65","1,120.00","1,051.00","1,076.40","1,076.40","12,763","Jul 05, 2023"
04-07-2023,"1,101.00","1,136.95","1,082.00","1,096.65","1,096.65","12,835","Jul 04, 2023"
03-07-2023,"1,140.00","1,197.00","1,090.00","1,101.00","1,101.00","30,678","Jul 03, 2023"
30-06-2023,"1,010.00","1,194.00","1,010.00","1,146.65","1,146.65","101,204","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,960.00,961.10,945.10,948.40,948.40,"5,501","Jun 27, 2023"
26-06-2023,984.95,984.95,942.00,951.50,951.50,"6,902","Jun 26, 2023"
23-06-2023,921.00,"1,000.00",921.00,956.60,956.60,"28,913","Jun 23, 2023"
22-06-2023,922.00,924.70,911.55,919.65,919.65,"3,011","Jun 22, 2023"
21-06-2023,939.95,939.95,910.00,913.05,913.05,"3,312","Jun 21, 2023"
20-06-2023,921.10,926.95,910.05,918.45,918.45,"3,798","Jun 20, 2023"
19-06-2023,925.40,947.00,907.05,917.40,917.40,"5,634","Jun 19, 2023"
16-06-2023,926.00,944.00,882.10,914.15,914.15,"11,926","Jun 16, 2023"
15-06-2023,910.00,946.10,910.00,928.20,928.20,"3,290","Jun 15, 2023"
14-06-2023,942.05,942.90,893.00,909.65,909.65,"6,964","Jun 14, 2023"
13-06-2023,946.30,962.00,936.10,940.30,940.30,"2,340","Jun 13, 2023"
12-06-2023,940.65,969.90,919.95,943.85,943.85,"8,573","Jun 12, 2023"
09-06-2023,938.20,967.90,925.20,931.35,931.35,"5,743","Jun 09, 2023"
08-06-2023,962.95,968.40,928.50,936.65,936.65,"7,463","Jun 08, 2023"
07-06-2023,930.75,985.00,930.00,953.40,953.40,"15,781","Jun 07, 2023"
06-06-2023,942.30,947.90,917.05,933.65,933.65,"4,904","Jun 06, 2023"
05-06-2023,955.00,957.90,915.00,938.15,938.15,"13,812","Jun 05, 2023"
02-06-2023,930.00,940.00,902.05,932.60,932.60,"5,492","Jun 02, 2023"
01-06-2023,900.10,925.00,889.60,902.05,902.05,"6,015","Jun 01, 2023"
31-05-2023,911.35,928.00,875.00,900.10,900.10,"20,938","May 31, 2023"
30-05-2023,"1,000.65","1,010.00",905.00,911.35,911.35,"32,995","May 30, 2023"
29-05-2023,851.05,"1,030.55",851.05,"1,000.65","1,000.65","148,736","May 29, 2023"
26-05-2023,881.90,881.90,821.00,858.80,858.80,"15,663","May 26, 2023"
25-05-2023,875.20,886.85,856.90,868.85,868.85,"2,287","May 25, 2023"
24-05-2023,872.15,887.00,850.00,859.65,859.65,"3,755","May 24, 2023"
23-05-2023,880.00,912.70,852.00,864.95,864.95,"4,447","May 23, 2023"
22-05-2023,880.00,924.90,875.00,879.80,879.80,"4,535","May 22, 2023"
19-05-2023,945.00,945.00,900.00,906.90,906.90,"3,031","May 19, 2023"
18-05-2023,955.00,955.65,920.05,924.35,924.35,"2,548","May 18, 2023"
17-05-2023,958.75,965.80,915.05,939.80,939.80,"43,354","May 17, 2023"
16-05-2023,962.80,999.80,940.05,953.40,953.40,"27,803","May 16, 2023"
15-05-2023,949.00,990.00,948.45,956.15,956.15,"18,610","May 15, 2023"
12-05-2023,944.95,944.95,910.10,922.95,922.95,"4,189","May 12, 2023"
11-05-2023,910.40,932.15,901.50,918.20,918.20,"3,318","May 11, 2023"
10-05-2023,920.00,941.85,910.00,910.60,910.60,"6,938","May 10, 2023"
09-05-2023,874.90,947.95,870.00,906.15,906.15,"17,111","May 09, 2023"
08-05-2023,835.00,893.40,834.40,863.80,863.80,"22,217","May 08, 2023"
05-05-2023,823.70,835.85,807.00,824.35,824.35,"3,437","May 05, 2023"
04-05-2023,810.05,845.95,801.00,809.45,809.45,"5,645","May 04, 2023"
03-05-2023,833.00,850.00,812.20,823.45,823.45,"10,626","May 03, 2023"
02-05-2023,840.00,850.45,820.80,828.40,828.40,"4,737","May 02, 2023"
28-04-2023,786.00,849.00,786.00,823.90,823.90,"4,226","Apr 28, 2023"
27-04-2023,782.45,809.80,772.85,805.85,805.85,"3,092","Apr 27, 2023"
26-04-2023,794.40,802.30,761.10,773.95,773.95,"6,095","Apr 26, 2023"
25-04-2023,800.10,815.10,789.00,799.60,799.60,"5,441","Apr 25, 2023"
24-04-2023,816.55,821.15,798.45,815.80,815.80,"6,104","Apr 24, 2023"
21-04-2023,816.65,834.35,815.00,820.55,820.55,"12,596","Apr 21, 2023"
20-04-2023,796.15,850.00,796.15,824.85,824.85,"13,844","Apr 20, 2023"
19-04-2023,801.00,820.00,780.25,791.85,791.85,"6,114","Apr 19, 2023"
18-04-2023,819.10,830.00,805.55,809.80,809.80,"3,138","Apr 18, 2023"
17-04-2023,819.90,836.65,804.85,819.90,819.90,"10,239","Apr 17, 2023"
13-04-2023,816.05,841.45,808.65,819.35,819.35,"10,209","Apr 13, 2023"
12-04-2023,830.00,838.95,810.25,821.75,821.75,"9,608","Apr 12, 2023"
11-04-2023,800.05,839.95,792.30,820.15,820.15,"22,234","Apr 11, 2023"
10-04-2023,781.60,840.00,780.80,802.70,802.70,"15,983","Apr 10, 2023"
06-04-2023,797.90,817.45,768.10,784.70,784.70,"6,220","Apr 06, 2023"
05-04-2023,759.25,796.95,747.10,790.15,790.15,"8,127","Apr 05, 2023"
03-04-2023,753.00,755.00,738.30,744.35,744.35,"4,042","Apr 03, 2023"
31-03-2023,745.70,750.30,724.30,733.90,733.90,888,"Mar 31, 2023"
29-03-2023,725.50,759.85,725.50,742.20,742.20,"1,277","Mar 29, 2023"
28-03-2023,732.55,735.00,718.00,728.90,728.90,"1,095","Mar 28, 2023"
27-03-2023,724.55,760.00,721.55,727.05,727.05,"5,298","Mar 27, 2023"
24-03-2023,724.70,736.75,718.00,720.80,720.80,"1,779","Mar 24, 2023"
23-03-2023,739.00,739.95,715.40,723.25,723.25,"1,151","Mar 23, 2023"
