date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,19.40,19.40,18.50,18.80,18.80,"35,367","Aug 25, 2023"
24-08-2023,19.55,19.90,18.85,19.00,19.00,"134,957","Aug 24, 2023"
23-08-2023,20.35,20.45,19.10,19.25,19.25,"174,974","Aug 23, 2023"
22-08-2023,19.95,20.45,18.75,19.95,19.95,"782,366","Aug 22, 2023"
22-08-2023,0.03 Dividend,,,,,,"Aug 22, 2023"
21-08-2023,17.10,20.00,17.10,19.55,19.52,"499,251","Aug 21, 2023"
18-08-2023,17.10,17.50,16.85,16.90,16.87,"84,336","Aug 18, 2023"
17-08-2023,17.25,17.25,16.85,16.90,16.87,"28,970","Aug 17, 2023"
16-08-2023,17.30,17.30,16.80,16.90,16.87,"18,580","Aug 16, 2023"
14-08-2023,16.85,17.30,16.75,16.80,16.77,"198,423","Aug 14, 2023"
11-08-2023,16.90,17.35,16.85,17.05,17.02,"46,682","Aug 11, 2023"
10-08-2023,17.20,17.25,16.85,17.00,16.97,"49,445","Aug 10, 2023"
09-08-2023,17.65,17.65,16.80,16.95,16.92,"178,129","Aug 09, 2023"
08-08-2023,17.25,17.90,16.70,17.35,17.32,"439,066","Aug 08, 2023"
07-08-2023,17.05,17.55,16.75,16.90,16.87,"150,296","Aug 07, 2023"
04-08-2023,16.90,17.50,16.65,16.75,16.72,"165,389","Aug 04, 2023"
03-08-2023,17.00,17.30,16.75,16.90,16.87,"99,408","Aug 03, 2023"
02-08-2023,17.00,17.20,16.75,16.85,16.82,"26,417","Aug 02, 2023"
01-08-2023,16.85,17.70,16.85,16.90,16.87,"63,310","Aug 01, 2023"
31-07-2023,17.25,17.45,16.55,16.95,16.92,"85,394","Jul 31, 2023"
28-07-2023,17.65,17.65,17.20,17.25,17.22,"41,076","Jul 28, 2023"
27-07-2023,17.25,17.95,17.25,17.50,17.47,"71,922","Jul 27, 2023"
26-07-2023,17.35,17.55,17.00,17.25,17.22,"32,553","Jul 26, 2023"
25-07-2023,17.30,17.65,16.95,17.10,17.07,"77,732","Jul 25, 2023"
24-07-2023,16.60,18.20,16.45,16.95,16.92,"258,311","Jul 24, 2023"
21-07-2023,16.80,16.95,16.25,16.80,16.77,"63,370","Jul 21, 2023"
20-07-2023,16.50,16.90,16.40,16.55,16.52,"75,457","Jul 20, 2023"
19-07-2023,17.25,17.75,15.40,16.35,16.32,"265,974","Jul 19, 2023"
18-07-2023,17.60,17.70,17.20,17.25,17.22,"63,538","Jul 18, 2023"
17-07-2023,17.80,18.35,17.25,17.70,17.67,"95,738","Jul 17, 2023"
14-07-2023,17.40,17.75,17.10,17.55,17.52,"52,045","Jul 14, 2023"
13-07-2023,17.30,17.85,17.00,17.10,17.07,"98,888","Jul 13, 2023"
