date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,62.50,63.45,62.25,62.55,62.55,"280,902","Aug 25, 2023"
24-08-2023,63.40,63.45,62.50,62.65,62.65,"244,191","Aug 24, 2023"
23-08-2023,63.00,63.90,62.55,62.80,62.80,"261,825","Aug 23, 2023"
22-08-2023,63.80,64.70,62.65,62.85,62.85,"348,864","Aug 22, 2023"
21-08-2023,61.90,64.95,61.70,63.50,63.50,"543,999","Aug 21, 2023"
18-08-2023,61.10,61.85,60.90,61.60,61.60,"277,265","Aug 18, 2023"
17-08-2023,61.50,61.90,60.90,61.10,61.10,"326,495","Aug 17, 2023"
16-08-2023,61.45,62.00,61.10,61.60,61.60,"212,788","Aug 16, 2023"
14-08-2023,62.95,62.95,61.40,61.60,61.60,"311,070","Aug 14, 2023"
11-08-2023,63.60,63.85,62.60,62.90,62.90,"379,008","Aug 11, 2023"
10-08-2023,64.10,64.40,63.05,63.45,63.45,"750,639","Aug 10, 2023"
09-08-2023,65.85,66.40,65.05,65.35,65.35,"270,965","Aug 09, 2023"
08-08-2023,65.10,65.80,65.00,65.65,65.65,"237,777","Aug 08, 2023"
07-08-2023,65.05,65.90,64.50,64.95,64.95,"295,438","Aug 07, 2023"
04-08-2023,65.35,66.20,65.00,65.10,65.10,"216,081","Aug 04, 2023"
03-08-2023,65.55,66.30,65.00,65.15,65.15,"236,846","Aug 03, 2023"
02-08-2023,67.20,67.50,65.30,65.90,65.90,"300,404","Aug 02, 2023"
01-08-2023,65.50,67.70,65.50,66.80,66.80,"564,857","Aug 01, 2023"
31-07-2023,65.20,66.00,65.10,65.50,65.50,"254,700","Jul 31, 2023"
28-07-2023,65.55,65.95,65.00,65.15,65.15,"208,019","Jul 28, 2023"
27-07-2023,66.00,66.70,65.30,65.55,65.55,"235,085","Jul 27, 2023"
26-07-2023,65.00,66.45,64.50,65.60,65.60,"487,857","Jul 26, 2023"
25-07-2023,65.75,65.80,64.50,64.80,64.80,"267,538","Jul 25, 2023"
24-07-2023,66.25,66.25,65.20,65.35,65.35,"215,111","Jul 24, 2023"
21-07-2023,66.25,66.60,64.95,65.50,65.50,"311,493","Jul 21, 2023"
20-07-2023,65.95,66.50,65.80,66.20,66.20,"203,512","Jul 20, 2023"
19-07-2023,66.00,66.70,65.75,65.95,65.95,"217,402","Jul 19, 2023"
18-07-2023,66.70,67.00,65.50,65.95,65.95,"335,660","Jul 18, 2023"
17-07-2023,66.50,67.30,65.90,66.15,66.15,"358,312","Jul 17, 2023"
14-07-2023,66.20,66.80,66.10,66.50,66.50,"169,649","Jul 14, 2023"
13-07-2023,66.70,67.30,65.60,66.20,66.20,"261,893","Jul 13, 2023"
12-07-2023,67.30,67.30,66.10,66.30,66.30,"273,482","Jul 12, 2023"
11-07-2023,67.15,68.10,66.25,66.85,66.85,"204,978","Jul 11, 2023"
10-07-2023,67.65,68.10,66.50,66.80,66.80,"266,494","Jul 10, 2023"
07-07-2023,67.50,68.30,67.15,67.65,67.65,"272,412","Jul 07, 2023"
06-07-2023,68.50,69.65,67.65,67.90,67.90,"661,502","Jul 06, 2023"
05-07-2023,67.40,70.30,66.80,68.30,68.30,"1,108,420","Jul 05, 2023"
04-07-2023,67.10,68.20,66.90,67.10,67.10,"259,766","Jul 04, 2023"
