date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,347.00,347.00,332.00,333.80,333.80,"95,860","Aug 25, 2023"
24-08-2023,338.05,353.00,337.70,347.15,347.15,"158,805","Aug 24, 2023"
23-08-2023,334.65,337.10,332.65,334.70,334.70,"36,856","Aug 23, 2023"
22-08-2023,331.00,340.25,331.00,334.65,334.65,"69,762","Aug 22, 2023"
21-08-2023,337.05,347.00,326.50,329.50,329.50,"137,342","Aug 21, 2023"
18-08-2023,343.40,347.05,337.10,338.15,338.15,"88,704","Aug 18, 2023"
17-08-2023,343.90,350.50,336.00,338.85,338.85,"47,274","Aug 17, 2023"
16-08-2023,345.00,345.00,339.00,340.30,340.30,"33,832","Aug 16, 2023"
14-08-2023,352.50,352.50,336.50,340.95,340.95,"56,688","Aug 14, 2023"
11-08-2023,353.00,355.20,343.75,348.90,348.90,"99,472","Aug 11, 2023"
10-08-2023,359.90,364.90,348.65,352.05,352.05,"259,617","Aug 10, 2023"
09-08-2023,334.75,360.00,322.55,355.10,355.10,"384,587","Aug 09, 2023"
08-08-2023,344.00,349.95,328.35,330.70,330.70,"139,475","Aug 08, 2023"
07-08-2023,330.00,346.50,329.00,341.70,341.70,"212,198","Aug 07, 2023"
04-08-2023,323.20,334.95,320.05,332.20,332.20,"153,827","Aug 04, 2023"
03-08-2023,301.85,324.00,298.75,318.95,318.95,"208,666","Aug 03, 2023"
02-08-2023,301.00,308.00,298.00,300.25,300.25,"64,978","Aug 02, 2023"
01-08-2023,303.80,306.20,300.10,300.75,300.75,"20,305","Aug 01, 2023"
31-07-2023,296.75,306.75,296.70,302.50,302.50,"51,805","Jul 31, 2023"
28-07-2023,304.70,304.70,294.10,295.50,295.50,"33,410","Jul 28, 2023"
28-07-2023,1.5 Dividend,,,,,,"Jul 28, 2023"
27-07-2023,305.35,307.70,297.00,300.65,299.15,"26,831","Jul 27, 2023"
27-07-2023,1.5 Dividend,,,,,,"Jul 27, 2023"
26-07-2023,304.95,307.95,300.00,302.35,299.35,"118,640","Jul 26, 2023"
