date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,366.80,370.70,360.10,366.00,366.00,"37,780","Aug 25, 2023"
24-08-2023,373.20,373.20,365.00,366.80,366.80,"187,349","Aug 24, 2023"
23-08-2023,369.85,373.50,365.25,369.50,369.50,"112,735","Aug 23, 2023"
22-08-2023,371.25,373.00,363.00,368.85,368.85,"259,840","Aug 22, 2023"
21-08-2023,365.00,372.25,362.55,368.25,368.25,"137,190","Aug 21, 2023"
18-08-2023,371.75,371.75,361.15,362.20,362.20,"37,601","Aug 18, 2023"
17-08-2023,384.45,384.45,370.00,371.70,371.70,"45,764","Aug 17, 2023"
16-08-2023,378.00,385.45,375.65,379.80,379.80,"55,946","Aug 16, 2023"
14-08-2023,374.00,389.00,362.05,380.25,380.25,"171,281","Aug 14, 2023"
11-08-2023,363.80,381.00,353.55,370.80,370.80,"391,722","Aug 11, 2023"
10-08-2023,372.40,372.50,360.05,362.20,362.20,"36,543","Aug 10, 2023"
09-08-2023,357.40,370.10,357.40,367.00,367.00,"65,087","Aug 09, 2023"
08-08-2023,352.50,360.30,350.40,359.25,359.25,"38,243","Aug 08, 2023"
07-08-2023,349.85,357.55,348.00,353.35,353.35,"73,133","Aug 07, 2023"
04-08-2023,346.05,355.15,339.80,345.00,345.00,"45,870","Aug 04, 2023"
03-08-2023,346.00,352.00,338.00,344.10,344.10,"37,833","Aug 03, 2023"
02-08-2023,347.80,349.90,337.10,344.90,344.90,"49,828","Aug 02, 2023"
01-08-2023,347.60,350.40,340.20,344.65,344.65,"71,663","Aug 01, 2023"
31-07-2023,333.35,347.10,333.35,342.25,342.25,"72,673","Jul 31, 2023"
28-07-2023,338.00,339.40,331.00,333.30,333.30,"45,497","Jul 28, 2023"
27-07-2023,329.80,337.00,324.95,333.50,333.50,"68,624","Jul 27, 2023"
26-07-2023,325.75,332.90,323.10,329.60,329.60,"59,621","Jul 26, 2023"
25-07-2023,319.00,327.45,317.00,326.30,326.30,"37,549","Jul 25, 2023"
24-07-2023,320.70,327.45,314.10,319.00,319.00,"26,368","Jul 24, 2023"
21-07-2023,319.75,324.00,316.90,320.65,320.65,"21,725","Jul 21, 2023"
20-07-2023,321.00,326.10,319.10,320.00,320.00,"17,947","Jul 20, 2023"
19-07-2023,322.10,325.85,318.25,320.95,320.95,"34,688","Jul 19, 2023"
18-07-2023,323.80,325.65,317.95,319.90,319.90,"29,694","Jul 18, 2023"
17-07-2023,321.60,329.40,311.95,321.05,321.05,"30,231","Jul 17, 2023"
14-07-2023,323.80,324.95,315.00,321.25,321.25,"43,877","Jul 14, 2023"
13-07-2023,332.00,339.00,317.35,320.30,320.30,"68,724","Jul 13, 2023"
12-07-2023,323.85,342.00,323.15,331.55,331.55,"400,118","Jul 12, 2023"
11-07-2023,329.50,329.50,321.10,325.85,325.85,"56,226","Jul 11, 2023"
10-07-2023,320.00,332.00,320.00,329.25,329.25,"30,379","Jul 10, 2023"
07-07-2023,335.00,335.00,319.95,325.15,325.15,"74,890","Jul 07, 2023"
06-07-2023,320.00,339.00,314.95,325.70,325.70,"243,473","Jul 06, 2023"
05-07-2023,315.00,318.55,312.85,315.85,315.85,"62,301","Jul 05, 2023"
04-07-2023,312.15,322.80,312.15,315.30,315.30,"27,672","Jul 04, 2023"
03-07-2023,325.00,329.75,316.00,316.85,316.85,"46,117","Jul 03, 2023"
30-06-2023,320.85,323.70,302.40,317.65,317.65,"1,840,623","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,320.55,325.40,317.00,319.70,319.70,"14,140","Jun 27, 2023"
26-06-2023,316.35,323.50,316.10,322.15,322.15,"12,918","Jun 26, 2023"
23-06-2023,322.60,324.95,315.05,318.50,318.50,"27,785","Jun 23, 2023"
22-06-2023,322.00,339.00,318.10,322.60,322.60,"77,145","Jun 22, 2023"
21-06-2023,327.80,327.80,321.65,326.75,326.75,"13,342","Jun 21, 2023"
20-06-2023,327.10,329.05,320.45,326.65,326.65,"21,012","Jun 20, 2023"
19-06-2023,325.00,329.55,324.65,327.10,327.10,"23,942","Jun 19, 2023"
16-06-2023,323.85,324.70,317.20,324.00,324.00,"35,462","Jun 16, 2023"
15-06-2023,321.05,325.00,315.00,320.65,320.65,"42,844","Jun 15, 2023"
14-06-2023,319.00,325.20,318.35,320.75,320.75,"20,052","Jun 14, 2023"
13-06-2023,322.50,327.00,320.20,321.30,321.30,"18,144","Jun 13, 2023"
12-06-2023,317.50,325.90,317.50,322.50,322.50,"23,364","Jun 12, 2023"
09-06-2023,328.00,331.00,318.00,322.20,322.20,"25,007","Jun 09, 2023"
08-06-2023,329.95,332.25,319.05,328.35,328.35,"42,885","Jun 08, 2023"
07-06-2023,333.00,334.40,326.15,329.35,329.35,"45,360","Jun 07, 2023"
06-06-2023,329.00,332.90,325.00,329.75,329.75,"92,028","Jun 06, 2023"
05-06-2023,302.50,325.00,301.00,320.05,320.05,"174,835","Jun 05, 2023"
02-06-2023,304.85,305.45,297.85,300.35,300.35,"24,476","Jun 02, 2023"
01-06-2023,294.90,307.00,294.60,301.35,301.35,"37,358","Jun 01, 2023"
31-05-2023,293.90,301.00,292.45,294.60,294.60,"33,049","May 31, 2023"
30-05-2023,294.55,299.90,291.15,293.90,293.90,"38,516","May 30, 2023"
29-05-2023,294.05,301.70,293.00,295.25,295.25,"35,073","May 29, 2023"
26-05-2023,289.95,299.85,282.35,297.50,297.50,"73,685","May 26, 2023"
25-05-2023,277.00,299.00,273.10,287.30,287.30,"129,562","May 25, 2023"
24-05-2023,301.50,306.00,299.85,301.00,301.00,"73,909","May 24, 2023"
23-05-2023,300.00,304.45,294.85,302.30,302.30,"79,474","May 23, 2023"
22-05-2023,306.70,308.05,300.10,300.55,300.55,"87,995","May 22, 2023"
19-05-2023,300.75,306.00,299.95,303.15,303.15,"107,777","May 19, 2023"
18-05-2023,296.75,310.30,296.75,300.75,300.75,"87,334","May 18, 2023"
17-05-2023,299.65,304.00,295.50,296.75,296.75,"64,924","May 17, 2023"
16-05-2023,299.45,307.00,294.05,299.80,299.80,"110,117","May 16, 2023"
15-05-2023,295.00,302.00,291.00,297.55,297.55,"132,434","May 15, 2023"
12-05-2023,290.90,294.90,287.90,292.30,292.30,"59,433","May 12, 2023"
11-05-2023,293.90,293.90,283.60,287.15,287.15,"65,878","May 11, 2023"
10-05-2023,282.90,288.90,280.00,286.60,286.60,"22,367","May 10, 2023"
09-05-2023,277.00,283.50,275.30,280.35,280.35,"33,049","May 09, 2023"
08-05-2023,290.70,291.00,277.20,279.40,279.40,"64,409","May 08, 2023"
05-05-2023,289.85,292.00,282.50,286.95,286.95,"26,729","May 05, 2023"
04-05-2023,288.60,293.95,286.45,287.75,287.75,"38,625","May 04, 2023"
03-05-2023,302.00,305.30,285.00,286.75,286.75,"147,829","May 03, 2023"
02-05-2023,306.80,312.65,300.00,302.25,302.25,"67,637","May 02, 2023"
28-04-2023,311.70,313.90,305.00,305.55,305.55,"32,127","Apr 28, 2023"
