date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,68.00,69.20,66.10,67.80,67.80,"156,996","Aug 25, 2023"
24-08-2023,72.00,72.00,67.50,68.40,68.40,"239,592","Aug 24, 2023"
23-08-2023,69.95,71.40,68.10,69.80,69.80,"437,021","Aug 23, 2023"
22-08-2023,65.90,68.25,63.00,68.25,68.25,"311,446","Aug 22, 2023"
21-08-2023,66.00,67.35,62.50,65.00,65.00,"227,567","Aug 21, 2023"
18-08-2023,67.35,69.00,65.10,65.75,65.75,"224,663","Aug 18, 2023"
17-08-2023,68.00,69.80,65.50,67.45,67.45,"364,413","Aug 17, 2023"
16-08-2023,63.00,66.50,62.00,66.50,66.50,"199,017","Aug 16, 2023"
14-08-2023,66.20,66.60,61.20,63.35,63.35,"1,178,016","Aug 14, 2023"
11-08-2023,73.40,73.40,66.20,67.15,67.15,"1,483,663","Aug 11, 2023"
10-08-2023,72.25,73.85,70.70,71.35,71.35,"930,759","Aug 10, 2023"
09-08-2023,69.50,73.50,69.40,71.10,71.10,"1,976,555","Aug 09, 2023"
08-08-2023,67.90,70.00,67.30,69.05,69.05,"1,031,185","Aug 08, 2023"
07-08-2023,66.00,69.00,65.55,67.25,67.25,"1,501,180","Aug 07, 2023"
04-08-2023,66.30,68.40,64.50,64.85,64.85,"890,181","Aug 04, 2023"
03-08-2023,60.85,66.25,60.25,65.60,65.60,"1,149,822","Aug 03, 2023"
02-08-2023,62.50,63.90,59.25,60.25,60.25,"640,582","Aug 02, 2023"
01-08-2023,64.10,65.05,62.80,63.30,63.30,"426,433","Aug 01, 2023"
31-07-2023,65.40,65.90,63.70,64.00,64.00,"441,074","Jul 31, 2023"
28-07-2023,64.20,65.50,64.20,64.85,64.85,"324,417","Jul 28, 2023"
27-07-2023,66.00,66.50,63.70,64.05,64.05,"532,241","Jul 27, 2023"
26-07-2023,65.30,67.10,64.55,65.15,65.15,"724,141","Jul 26, 2023"
25-07-2023,64.65,67.50,63.90,65.30,65.30,"1,579,972","Jul 25, 2023"
24-07-2023,64.00,65.40,63.20,63.95,63.95,"771,591","Jul 24, 2023"
21-07-2023,62.50,64.40,60.00,63.45,63.45,"1,504,550","Jul 21, 2023"
20-07-2023,64.05,64.80,62.05,62.30,62.30,"1,036,761","Jul 20, 2023"
