date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,57.40,57.40,55.05,55.45,55.45,"27,732","Aug 25, 2023"
24-08-2023,58.35,58.35,57.00,57.25,57.25,"23,417","Aug 24, 2023"
23-08-2023,58.95,58.95,57.20,57.95,57.95,"57,618","Aug 23, 2023"
22-08-2023,58.40,59.65,57.40,59.00,59.00,"34,934","Aug 22, 2023"
21-08-2023,58.60,58.80,57.05,58.00,58.00,"25,321","Aug 21, 2023"
18-08-2023,60.15,60.50,58.00,58.10,58.10,"45,283","Aug 18, 2023"
17-08-2023,61.40,61.45,59.50,59.75,59.75,"18,863","Aug 17, 2023"
16-08-2023,62.95,62.95,60.00,61.50,61.50,"34,930","Aug 16, 2023"
14-08-2023,62.85,62.85,60.35,61.20,61.20,"25,226","Aug 14, 2023"
11-08-2023,59.70,63.70,59.10,62.90,62.90,"63,224","Aug 11, 2023"
10-08-2023,60.55,62.50,56.80,61.70,61.70,"161,901","Aug 10, 2023"
09-08-2023,59.20,60.70,59.15,59.70,59.70,"11,449","Aug 09, 2023"
08-08-2023,61.60,61.60,59.50,59.85,59.85,"14,892","Aug 08, 2023"
07-08-2023,61.00,61.95,60.10,60.60,60.60,"27,511","Aug 07, 2023"
04-08-2023,62.70,62.70,60.10,61.45,61.45,"19,711","Aug 04, 2023"
03-08-2023,62.30,63.60,61.10,61.15,61.15,"27,389","Aug 03, 2023"
02-08-2023,63.00,64.40,61.50,61.80,61.80,"68,043","Aug 02, 2023"
01-08-2023,62.60,64.00,61.10,63.65,63.65,"50,759","Aug 01, 2023"
31-07-2023,60.80,63.50,59.60,63.05,63.05,"144,720","Jul 31, 2023"
28-07-2023,62.95,64.00,59.45,61.20,61.20,"68,561","Jul 28, 2023"
27-07-2023,63.90,63.90,60.55,62.55,62.55,"18,936","Jul 27, 2023"
26-07-2023,63.75,63.75,60.05,62.55,62.55,"62,947","Jul 26, 2023"
25-07-2023,62.75,62.75,60.90,61.10,61.10,"12,258","Jul 25, 2023"
24-07-2023,60.45,62.40,59.05,62.10,62.10,"93,823","Jul 24, 2023"
21-07-2023,59.70,60.50,58.55,59.80,59.80,"22,072","Jul 21, 2023"
