date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"2,204.00","2,344.00","2,195.30","2,256.75","2,256.75","661,371","Aug 25, 2023"
24-08-2023,"2,166.00","2,253.30","2,161.05","2,200.45","2,200.45","144,656","Aug 24, 2023"
23-08-2023,"2,120.95","2,154.00","2,120.95","2,150.35","2,150.35","65,123","Aug 23, 2023"
22-08-2023,"2,112.30","2,149.00","2,101.50","2,116.95","2,116.95","45,003","Aug 22, 2023"
21-08-2023,"2,113.30","2,120.70","2,075.60","2,100.95","2,100.95","60,578","Aug 21, 2023"
18-08-2023,"2,081.00","2,116.00","2,060.00","2,103.40","2,103.40","79,755","Aug 18, 2023"
17-08-2023,"2,171.00","2,179.95","2,051.00","2,083.10","2,083.10","106,314","Aug 17, 2023"
16-08-2023,"2,134.35","2,199.90","2,120.75","2,159.05","2,159.05","189,588","Aug 16, 2023"
14-08-2023,"2,059.00","2,154.60","2,034.50","2,135.45","2,135.45","192,955","Aug 14, 2023"
11-08-2023,"2,074.10","2,078.80","2,045.10","2,059.00","2,059.00","95,822","Aug 11, 2023"
10-08-2023,"2,045.45","2,070.00","2,029.80","2,051.30","2,051.30","47,894","Aug 10, 2023"
09-08-2023,"2,060.95","2,078.40","2,030.10","2,037.30","2,037.30","57,415","Aug 09, 2023"
08-08-2023,"2,057.90","2,060.00","2,016.25","2,048.65","2,048.65","70,870","Aug 08, 2023"
07-08-2023,"1,975.00","2,063.40","1,975.00","2,046.20","2,046.20","122,125","Aug 07, 2023"
04-08-2023,"1,995.00","2,019.35","1,964.00","1,972.55","1,972.55","196,959","Aug 04, 2023"
03-08-2023,"1,990.00","2,000.60","1,975.00","1,988.25","1,988.25","108,358","Aug 03, 2023"
02-08-2023,"2,025.00","2,026.00","1,981.55","1,997.35","1,997.35","55,642","Aug 02, 2023"
01-08-2023,"2,050.00","2,063.85","2,012.60","2,026.00","2,026.00","93,655","Aug 01, 2023"
31-07-2023,"2,042.90","2,077.90","1,995.00","2,025.60","2,025.60","150,376","Jul 31, 2023"
28-07-2023,"2,106.95","2,106.95","2,012.20","2,020.75","2,020.75","250,838","Jul 28, 2023"
