date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,158.00,159.90,150.15,152.60,152.60,"171,456","Aug 25, 2023"
24-08-2023,157.70,160.00,156.10,156.50,156.50,"68,535","Aug 24, 2023"
23-08-2023,158.80,160.75,155.75,156.60,156.60,"127,625","Aug 23, 2023"
22-08-2023,158.90,162.00,154.20,155.75,155.75,"121,571","Aug 22, 2023"
21-08-2023,161.70,164.70,157.20,158.90,158.90,"143,175","Aug 21, 2023"
18-08-2023,156.25,161.00,156.25,159.60,159.60,"106,210","Aug 18, 2023"
17-08-2023,162.75,162.75,154.10,155.55,155.55,"145,276","Aug 17, 2023"
16-08-2023,162.90,166.60,160.70,161.65,161.65,"151,571","Aug 16, 2023"
14-08-2023,162.25,165.80,150.40,159.35,159.35,"939,946","Aug 14, 2023"
11-08-2023,175.70,180.95,171.05,172.60,172.60,"172,949","Aug 11, 2023"
10-08-2023,170.95,176.50,170.75,174.80,174.80,"170,104","Aug 10, 2023"
09-08-2023,170.00,176.20,168.55,170.80,170.80,"160,351","Aug 09, 2023"
08-08-2023,174.45,175.25,167.65,168.85,168.85,"173,639","Aug 08, 2023"
07-08-2023,175.00,178.15,170.80,173.70,173.70,"278,858","Aug 07, 2023"
04-08-2023,178.55,190.90,173.80,176.80,176.80,"634,862","Aug 04, 2023"
03-08-2023,175.65,181.00,171.75,177.10,177.10,"213,577","Aug 03, 2023"
02-08-2023,182.80,182.80,168.60,176.05,176.05,"497,659","Aug 02, 2023"
01-08-2023,175.70,195.00,173.50,183.85,183.85,"1,058,612","Aug 01, 2023"
31-07-2023,162.20,174.80,159.95,173.50,173.50,"439,879","Jul 31, 2023"
28-07-2023,163.00,163.70,158.35,160.05,160.05,"73,008","Jul 28, 2023"
27-07-2023,157.95,163.50,157.30,161.55,161.55,"163,825","Jul 27, 2023"
26-07-2023,159.75,161.20,155.05,157.50,157.50,"90,746","Jul 26, 2023"
25-07-2023,159.75,162.45,154.95,158.20,158.20,"147,601","Jul 25, 2023"
24-07-2023,158.15,164.75,157.00,158.25,158.25,"234,616","Jul 24, 2023"
21-07-2023,149.70,167.00,147.00,158.15,158.15,"1,333,302","Jul 21, 2023"
