date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,925.00,945.00,911.00,942.15,942.15,"4,240","Aug 25, 2023"
24-08-2023,924.80,949.00,901.00,906.25,906.25,"2,923","Aug 24, 2023"
23-08-2023,890.00,910.00,881.05,909.00,909.00,"3,268","Aug 23, 2023"
22-08-2023,902.00,902.00,885.10,891.50,891.50,"1,805","Aug 22, 2023"
21-08-2023,913.90,913.90,890.00,901.15,901.15,"2,491","Aug 21, 2023"
18-08-2023,935.00,947.95,891.30,898.85,898.85,"3,532","Aug 18, 2023"
17-08-2023,960.00,960.00,927.00,938.20,938.20,"2,017","Aug 17, 2023"
16-08-2023,921.00,944.75,921.00,940.85,940.85,"1,961","Aug 16, 2023"
14-08-2023,943.50,968.00,915.00,936.60,936.60,"4,535","Aug 14, 2023"
11-08-2023,931.00,959.90,928.10,943.50,943.50,"7,226","Aug 11, 2023"
10-08-2023,917.90,930.00,900.00,921.05,921.05,"2,001","Aug 10, 2023"
09-08-2023,913.00,920.00,894.00,917.90,917.90,"1,253","Aug 09, 2023"
08-08-2023,919.90,934.90,890.00,914.40,914.40,"2,396","Aug 08, 2023"
07-08-2023,925.00,930.00,902.00,919.45,919.45,"2,078","Aug 07, 2023"
04-08-2023,899.80,915.00,881.35,910.15,910.15,"1,880","Aug 04, 2023"
03-08-2023,880.50,904.00,880.50,899.10,899.10,"1,252","Aug 03, 2023"
02-08-2023,891.00,906.00,881.00,891.60,891.60,"2,604","Aug 02, 2023"
01-08-2023,911.00,911.00,880.00,896.55,896.55,"2,428","Aug 01, 2023"
31-07-2023,875.05,895.00,845.00,894.95,894.95,"4,787","Jul 31, 2023"
28-07-2023,903.80,920.50,860.70,874.75,874.75,"2,701","Jul 28, 2023"
27-07-2023,950.00,950.00,900.00,903.80,903.80,"1,039","Jul 27, 2023"
26-07-2023,943.00,947.70,920.00,925.90,925.90,"2,575","Jul 26, 2023"
25-07-2023,956.00,956.00,920.10,944.40,944.40,"9,793","Jul 25, 2023"
24-07-2023,870.00,919.35,870.00,918.75,918.75,"9,291","Jul 24, 2023"
21-07-2023,880.00,888.95,870.00,875.60,875.60,"1,026","Jul 21, 2023"
20-07-2023,874.95,875.00,865.10,870.00,870.00,"1,933","Jul 20, 2023"
19-07-2023,865.25,875.00,855.00,869.95,869.95,"2,313","Jul 19, 2023"
18-07-2023,867.95,869.95,852.10,865.25,865.25,"2,655","Jul 18, 2023"
