date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,861.00","1,886.00","1,826.00","1,839.35","1,839.35","811,088","Aug 25, 2023"
24-08-2023,"1,890.55","1,896.50","1,851.05","1,858.65","1,858.65","596,005","Aug 24, 2023"
23-08-2023,"1,875.20","1,911.00","1,856.65","1,873.85","1,873.85","1,435,288","Aug 23, 2023"
22-08-2023,"1,877.90","1,904.00","1,850.00","1,867.35","1,867.35","764,528","Aug 22, 2023"
21-08-2023,"1,881.00","1,926.05","1,850.00","1,868.10","1,868.10","1,250,056","Aug 21, 2023"
18-08-2023,"1,932.00","1,944.15","1,852.00","1,872.00","1,872.00","1,362,017","Aug 18, 2023"
17-08-2023,"1,943.25","1,985.95","1,904.40","1,923.15","1,923.15","2,387,096","Aug 17, 2023"
16-08-2023,"1,873.00","1,976.00","1,864.00","1,935.70","1,935.70","5,842,370","Aug 16, 2023"
14-08-2023,"1,741.30","1,918.80","1,719.00","1,863.10","1,863.10","7,572,770","Aug 14, 2023"
11-08-2023,"1,799.00","1,819.00","1,714.05","1,741.30","1,741.30","1,873,820","Aug 11, 2023"
10-08-2023,"1,829.00","1,843.90","1,781.05","1,794.20","1,794.20","730,147","Aug 10, 2023"
09-08-2023,"1,828.20","1,879.80","1,811.00","1,818.40","1,818.40","1,585,849","Aug 09, 2023"
08-08-2023,"1,824.85","1,854.00","1,804.45","1,819.10","1,819.10","803,714","Aug 08, 2023"
07-08-2023,"1,885.00","1,910.00","1,800.00","1,810.45","1,810.45","1,566,160","Aug 07, 2023"
04-08-2023,"1,859.00","1,879.00","1,832.00","1,843.85","1,843.85","708,753","Aug 04, 2023"
03-08-2023,"1,811.95","1,884.90","1,811.95","1,847.40","1,847.40","1,358,366","Aug 03, 2023"
02-08-2023,"1,859.75","1,892.60","1,780.00","1,811.95","1,811.95","1,767,412","Aug 02, 2023"
01-08-2023,"1,910.00","1,913.95","1,851.00","1,859.75","1,859.75","835,799","Aug 01, 2023"
31-07-2023,"1,968.00","1,968.00","1,885.25","1,897.00","1,897.00","1,313,073","Jul 31, 2023"
28-07-2023,"1,920.00","1,974.90","1,912.90","1,961.50","1,961.50","1,521,290","Jul 28, 2023"
27-07-2023,"1,888.30","1,930.00","1,845.00","1,902.15","1,902.15","1,660,651","Jul 27, 2023"
26-07-2023,"1,860.80","1,909.00","1,792.30","1,863.50","1,863.50","2,392,489","Jul 26, 2023"
25-07-2023,"2,000.00","2,042.00","1,857.25","1,860.00","1,860.00","3,938,335","Jul 25, 2023"
24-07-2023,"1,882.00","1,957.80","1,868.05","1,955.00","1,955.00","2,439,254","Jul 24, 2023"
21-07-2023,"1,839.00","1,909.70","1,831.40","1,864.60","1,864.60","3,187,357","Jul 21, 2023"
20-07-2023,"1,735.30","1,819.65","1,726.00","1,819.65","1,819.65","3,045,538","Jul 20, 2023"
19-07-2023,"1,738.90","1,757.00","1,719.15","1,733.00","1,733.00","868,967","Jul 19, 2023"
18-07-2023,"1,749.20","1,773.30","1,704.00","1,738.40","1,738.40","2,361,092","Jul 18, 2023"
17-07-2023,"1,629.55","1,720.75","1,591.15","1,720.75","1,720.75","5,221,792","Jul 17, 2023"
14-07-2023,"1,730.00","1,740.00","1,635.95","1,638.85","1,638.85","3,564,269","Jul 14, 2023"
13-07-2023,"1,734.00","1,766.70","1,677.70","1,722.05","1,722.05","7,421,815","Jul 13, 2023"
12-07-2023,"1,658.00","1,751.00","1,620.30","1,731.85","1,731.85","13,576,513","Jul 12, 2023"
11-07-2023,"1,490.00","1,591.85","1,486.10","1,591.85","1,591.85","6,003,741","Jul 11, 2023"
10-07-2023,"1,325.00","1,454.85","1,302.30","1,447.15","1,447.15","7,601,895","Jul 10, 2023"
07-07-2023,"1,292.00","1,348.00","1,280.00","1,322.60","1,322.60","3,155,330","Jul 07, 2023"
06-07-2023,"1,306.80","1,307.70","1,284.00","1,292.55","1,292.55","970,187","Jul 06, 2023"
