date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,22.50,23.95,21.80,22.00,22.00,"3,190,905","Aug 25, 2023"
24-08-2023,19.55,22.80,19.30,22.35,22.35,"8,078,158","Aug 24, 2023"
23-08-2023,19.50,20.10,19.25,19.40,19.40,"393,795","Aug 23, 2023"
22-08-2023,18.65,20.10,18.65,19.50,19.50,"727,844","Aug 22, 2023"
21-08-2023,19.15,19.30,18.15,18.55,18.55,"421,633","Aug 21, 2023"
18-08-2023,19.65,19.90,19.00,19.15,19.15,"284,386","Aug 18, 2023"
17-08-2023,19.45,20.50,19.25,19.70,19.70,"898,433","Aug 17, 2023"
16-08-2023,18.90,20.60,18.65,19.60,19.60,"1,820,462","Aug 16, 2023"
14-08-2023,19.00,19.30,18.75,19.15,19.15,"201,313","Aug 14, 2023"
11-08-2023,19.00,19.40,18.90,19.15,19.15,"278,850","Aug 11, 2023"
10-08-2023,19.00,19.70,18.85,19.20,19.20,"657,769","Aug 10, 2023"
09-08-2023,18.75,19.20,18.65,18.75,18.75,"320,824","Aug 09, 2023"
08-08-2023,19.15,19.30,18.85,18.95,18.95,"196,950","Aug 08, 2023"
07-08-2023,19.50,19.80,18.70,19.15,19.15,"1,503,491","Aug 07, 2023"
04-08-2023,18.15,18.70,17.95,18.40,18.40,"315,969","Aug 04, 2023"
03-08-2023,18.25,18.45,17.95,18.00,18.00,"403,672","Aug 03, 2023"
02-08-2023,18.40,18.60,18.10,18.25,18.25,"234,795","Aug 02, 2023"
01-08-2023,18.40,18.80,18.10,18.35,18.35,"391,875","Aug 01, 2023"
31-07-2023,18.55,18.95,18.00,18.25,18.25,"591,395","Jul 31, 2023"
28-07-2023,18.70,19.40,18.50,18.80,18.80,"1,175,070","Jul 28, 2023"
27-07-2023,18.80,19.35,18.50,18.90,18.90,"776,082","Jul 27, 2023"
26-07-2023,18.55,18.85,18.35,18.50,18.50,"584,649","Jul 26, 2023"
25-07-2023,18.45,18.70,18.25,18.40,18.40,"579,970","Jul 25, 2023"
24-07-2023,18.30,18.55,18.25,18.40,18.40,"472,250","Jul 24, 2023"
21-07-2023,18.25,18.50,18.25,18.40,18.40,"529,205","Jul 21, 2023"
20-07-2023,18.50,18.75,18.25,18.30,18.30,"474,014","Jul 20, 2023"
19-07-2023,18.35,18.65,18.25,18.45,18.45,"413,444","Jul 19, 2023"
18-07-2023,18.80,19.00,18.20,18.30,18.30,"1,148,129","Jul 18, 2023"
17-07-2023,19.65,19.65,18.50,18.60,18.60,"653,105","Jul 17, 2023"
14-07-2023,18.60,19.80,18.25,19.25,19.25,"3,501,129","Jul 14, 2023"
13-07-2023,20.00,20.00,18.40,18.55,18.55,"1,532,995","Jul 13, 2023"
12-07-2023,20.60,21.15,19.50,19.70,19.70,"562,932","Jul 12, 2023"
11-07-2023,21.20,21.70,20.05,20.50,20.50,"2,007,421","Jul 11, 2023"
10-07-2023,19.05,20.95,18.95,19.95,19.95,"1,613,977","Jul 10, 2023"
07-07-2023,18.55,19.30,18.50,19.05,19.05,"347,674","Jul 07, 2023"
06-07-2023,19.00,19.00,18.45,18.65,18.65,"248,096","Jul 06, 2023"
05-07-2023,18.30,19.00,18.30,18.75,18.75,"144,554","Jul 05, 2023"
04-07-2023,18.60,18.85,18.10,18.35,18.35,"378,447","Jul 04, 2023"
03-07-2023,18.20,19.00,18.15,18.80,18.80,"442,820","Jul 03, 2023"
30-06-2023,17.95,18.40,17.95,18.10,18.10,"300,319","Jun 30, 2023"
