date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,79.95,81.80,78.00,80.55,80.55,"330,315","Aug 25, 2023"
24-08-2023,82.00,82.00,77.90,79.75,79.75,"199,201","Aug 24, 2023"
23-08-2023,81.80,81.80,79.65,81.20,81.20,"98,149","Aug 23, 2023"
22-08-2023,80.90,81.90,78.90,80.75,80.75,"325,417","Aug 22, 2023"
21-08-2023,82.20,83.55,80.00,80.90,80.90,"330,644","Aug 21, 2023"
18-08-2023,80.85,83.00,80.00,82.20,82.20,"576,666","Aug 18, 2023"
17-08-2023,80.80,82.00,79.35,80.85,80.85,"158,419","Aug 17, 2023"
16-08-2023,78.85,80.50,77.25,79.60,79.60,"202,345","Aug 16, 2023"
14-08-2023,79.50,79.50,76.20,77.85,77.85,"36,706","Aug 14, 2023"
11-08-2023,79.95,79.95,77.20,78.00,78.00,"669,034","Aug 11, 2023"
10-08-2023,79.90,80.00,75.20,78.25,78.25,"305,128","Aug 10, 2023"
09-08-2023,80.50,80.50,78.15,78.75,78.75,"200,981","Aug 09, 2023"
08-08-2023,79.90,79.90,78.20,79.00,79.00,"159,685","Aug 08, 2023"
07-08-2023,79.05,80.85,77.00,79.10,79.10,"921,924","Aug 07, 2023"
04-08-2023,81.30,81.30,78.40,79.95,79.95,"135,779","Aug 04, 2023"
03-08-2023,79.55,79.55,78.10,79.05,79.05,"130,823","Aug 03, 2023"
02-08-2023,78.85,80.10,77.60,79.55,79.55,"749,699","Aug 02, 2023"
01-08-2023,79.55,80.90,78.50,78.85,78.85,"180,324","Aug 01, 2023"
31-07-2023,81.00,81.60,78.50,79.75,79.75,"328,047","Jul 31, 2023"
28-07-2023,80.30,80.90,79.00,80.00,80.00,"314,548","Jul 28, 2023"
27-07-2023,81.00,81.00,77.85,79.45,79.45,"214,912","Jul 27, 2023"
26-07-2023,80.95,80.95,77.80,78.65,78.65,"149,440","Jul 26, 2023"
25-07-2023,81.00,81.20,76.40,80.45,80.45,"320,609","Jul 25, 2023"
24-07-2023,80.25,82.00,79.15,80.40,80.40,"35,307","Jul 24, 2023"
21-07-2023,82.40,82.40,77.55,80.25,80.25,"51,300","Jul 21, 2023"
20-07-2023,80.95,81.80,79.10,80.75,80.75,"161,029","Jul 20, 2023"
19-07-2023,76.90,80.70,75.25,79.60,79.60,"475,340","Jul 19, 2023"
18-07-2023,74.10,77.60,74.10,76.90,76.90,"240,494","Jul 18, 2023"
17-07-2023,74.50,77.05,73.70,76.60,76.60,"342,374","Jul 17, 2023"
14-07-2023,74.10,75.00,73.40,74.50,74.50,"158,567","Jul 14, 2023"
13-07-2023,76.00,76.00,73.20,74.85,74.85,"167,826","Jul 13, 2023"
12-07-2023,71.10,74.95,69.40,74.45,74.45,"498,709","Jul 12, 2023"
11-07-2023,71.60,72.80,70.55,71.40,71.40,"386,866","Jul 11, 2023"
