date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,890.00,912.00,886.50,895.65,895.65,"55,952","Aug 25, 2023"
24-08-2023,898.25,901.60,890.00,895.45,895.45,"23,953","Aug 24, 2023"
23-08-2023,898.00,909.70,888.00,893.85,893.85,"35,902","Aug 23, 2023"
22-08-2023,903.75,911.80,890.00,897.30,897.30,"120,131","Aug 22, 2023"
21-08-2023,883.00,902.90,869.05,897.60,897.60,"135,619","Aug 21, 2023"
18-08-2023,905.00,908.30,877.45,883.50,883.50,"41,939","Aug 18, 2023"
17-08-2023,908.90,915.05,893.65,902.75,902.75,"93,365","Aug 17, 2023"
16-08-2023,900.00,912.00,893.05,903.75,903.75,"103,484","Aug 16, 2023"
14-08-2023,876.90,896.00,869.05,890.20,890.20,"114,438","Aug 14, 2023"
11-08-2023,879.80,879.80,835.00,867.45,867.45,"171,106","Aug 11, 2023"
10-08-2023,895.00,901.70,865.00,870.60,870.60,"98,935","Aug 10, 2023"
09-08-2023,905.00,908.00,888.55,896.95,896.95,"447,861","Aug 09, 2023"
08-08-2023,942.30,945.00,900.00,909.20,909.20,"322,994","Aug 08, 2023"
07-08-2023,952.95,960.00,940.15,951.25,951.25,"47,947","Aug 07, 2023"
04-08-2023,959.05,967.35,932.80,938.30,938.30,"34,102","Aug 04, 2023"
03-08-2023,940.70,964.00,940.70,957.10,957.10,"153,330","Aug 03, 2023"
02-08-2023,955.05,957.00,933.40,945.65,945.65,"60,716","Aug 02, 2023"
01-08-2023,960.90,968.95,945.60,949.30,949.30,"50,514","Aug 01, 2023"
31-07-2023,960.40,978.00,945.00,959.05,959.05,"160,476","Jul 31, 2023"
28-07-2023,949.00,969.00,936.05,952.25,952.25,"163,029","Jul 28, 2023"
27-07-2023,932.05,962.65,931.50,939.50,939.50,"167,677","Jul 27, 2023"
26-07-2023,957.10,958.80,932.00,935.30,935.30,"68,421","Jul 26, 2023"
25-07-2023,926.65,961.00,911.70,948.60,948.60,"279,896","Jul 25, 2023"
24-07-2023,936.50,958.10,915.90,921.30,921.30,"189,375","Jul 24, 2023"
21-07-2023,916.00,975.00,910.00,941.25,941.25,"422,471","Jul 21, 2023"
20-07-2023,919.70,921.00,905.95,918.45,918.45,"67,878","Jul 20, 2023"
19-07-2023,902.00,928.00,894.05,913.20,913.20,"77,160","Jul 19, 2023"
18-07-2023,894.65,943.70,881.00,901.75,901.75,"909,493","Jul 18, 2023"
17-07-2023,876.90,908.20,862.50,888.70,888.70,"295,187","Jul 17, 2023"
14-07-2023,832.05,889.90,828.75,870.30,870.30,"528,301","Jul 14, 2023"
13-07-2023,855.00,855.65,823.65,832.05,832.05,"88,464","Jul 13, 2023"
12-07-2023,834.75,864.00,826.75,844.15,844.15,"238,746","Jul 12, 2023"
11-07-2023,815.00,843.75,815.00,834.75,834.75,"114,344","Jul 11, 2023"
10-07-2023,825.00,829.90,804.95,814.10,814.10,"92,732","Jul 10, 2023"
07-07-2023,833.55,844.85,815.05,820.55,820.55,"139,066","Jul 07, 2023"
06-07-2023,819.90,839.95,813.95,836.05,836.05,"92,898","Jul 06, 2023"
05-07-2023,831.00,841.05,813.00,818.85,818.85,"156,831","Jul 05, 2023"
04-07-2023,792.00,847.00,782.00,829.30,829.30,"601,008","Jul 04, 2023"
03-07-2023,789.00,792.00,771.20,788.45,788.45,"112,922","Jul 03, 2023"
30-06-2023,774.80,784.70,767.85,774.90,774.90,"110,263","Jun 30, 2023"
28-06-2023,766.10,766.10,766.10,766.10,766.10,-,"Jun 28, 2023"
27-06-2023,775.35,784.75,760.05,766.10,766.10,"105,076","Jun 27, 2023"
26-06-2023,789.90,789.90,771.00,773.20,773.20,"128,983","Jun 26, 2023"
23-06-2023,800.00,800.00,780.05,782.95,782.95,"61,702","Jun 23, 2023"
22-06-2023,816.10,819.15,792.00,794.85,794.85,"70,347","Jun 22, 2023"
21-06-2023,818.95,818.95,801.00,808.00,808.00,"121,416","Jun 21, 2023"
20-06-2023,800.00,835.25,800.00,810.90,810.90,"234,780","Jun 20, 2023"
19-06-2023,799.00,815.10,778.95,800.15,800.15,"222,113","Jun 19, 2023"
16-06-2023,785.90,806.60,780.55,798.90,798.90,"153,794","Jun 16, 2023"
15-06-2023,771.95,786.00,766.85,778.90,778.90,"52,085","Jun 15, 2023"
14-06-2023,777.90,785.85,767.95,771.45,771.45,"58,695","Jun 14, 2023"
13-06-2023,783.05,788.90,770.15,776.90,776.90,"64,455","Jun 13, 2023"
12-06-2023,788.80,788.80,774.70,781.05,781.05,"140,887","Jun 12, 2023"
09-06-2023,812.95,822.75,775.25,776.85,776.85,"389,766","Jun 09, 2023"
08-06-2023,835.15,835.15,808.00,811.55,811.55,"53,343","Jun 08, 2023"
07-06-2023,834.00,847.35,820.00,826.90,826.90,"163,620","Jun 07, 2023"
06-06-2023,806.80,839.80,799.60,819.75,819.75,"264,948","Jun 06, 2023"
05-06-2023,812.65,817.00,795.20,805.75,805.75,"99,381","Jun 05, 2023"
02-06-2023,801.50,815.00,798.00,812.65,812.65,"94,041","Jun 02, 2023"
01-06-2023,817.00,817.00,795.45,803.85,803.85,"136,294","Jun 01, 2023"
31-05-2023,817.00,817.00,792.20,811.95,811.95,"335,805","May 31, 2023"
30-05-2023,790.90,815.00,778.05,811.25,811.25,"1,107,260","May 30, 2023"
29-05-2023,800.00,865.00,787.40,799.80,799.80,"1,757,479","May 29, 2023"
26-05-2023,738.00,827.70,730.35,813.10,813.10,"4,098,903","May 26, 2023"
25-05-2023,692.95,700.00,683.55,689.75,689.75,"20,517","May 25, 2023"
24-05-2023,689.00,698.95,673.50,692.95,692.95,"33,679","May 24, 2023"
23-05-2023,687.00,696.35,674.15,679.20,679.20,"70,307","May 23, 2023"
22-05-2023,687.00,690.95,676.60,683.70,683.70,"31,560","May 22, 2023"
19-05-2023,690.00,697.70,675.05,687.00,687.00,"49,749","May 19, 2023"
18-05-2023,710.95,714.95,689.00,694.20,694.20,"38,513","May 18, 2023"
17-05-2023,708.70,729.00,700.00,702.90,702.90,"37,530","May 17, 2023"
16-05-2023,720.00,735.20,703.35,708.65,708.65,"55,851","May 16, 2023"
15-05-2023,723.05,730.30,715.75,727.40,727.40,"25,141","May 15, 2023"
12-05-2023,741.00,742.05,720.00,721.65,721.65,"54,237","May 12, 2023"
11-05-2023,750.50,757.95,741.50,743.45,743.45,"28,423","May 11, 2023"
10-05-2023,744.80,776.95,730.05,758.90,758.90,"303,841","May 10, 2023"
09-05-2023,733.45,742.00,733.45,740.40,740.40,"25,317","May 09, 2023"
08-05-2023,724.95,743.65,719.10,733.45,733.45,"39,211","May 08, 2023"
05-05-2023,745.85,745.85,712.70,719.15,719.15,"34,230","May 05, 2023"
04-05-2023,727.85,745.90,726.90,740.55,740.55,"77,761","May 04, 2023"
03-05-2023,725.80,734.80,711.70,721.95,721.95,"21,399","May 03, 2023"
02-05-2023,745.00,745.00,721.95,725.95,725.95,"37,296","May 02, 2023"
28-04-2023,724.10,745.00,724.10,739.55,739.55,"16,696","Apr 28, 2023"
27-04-2023,731.35,744.05,731.35,735.05,735.05,"30,128","Apr 27, 2023"
26-04-2023,740.70,742.45,729.35,738.75,738.75,"11,794","Apr 26, 2023"
25-04-2023,725.85,745.50,722.40,740.65,740.65,"30,414","Apr 25, 2023"
24-04-2023,740.00,740.00,726.00,729.20,729.20,"32,616","Apr 24, 2023"
21-04-2023,728.00,756.35,706.05,744.55,744.55,"76,628","Apr 21, 2023"
20-04-2023,742.00,744.65,723.35,729.85,729.85,"24,473","Apr 20, 2023"
19-04-2023,734.00,744.95,728.05,739.70,739.70,"36,400","Apr 19, 2023"
18-04-2023,734.00,742.20,725.00,734.10,734.10,"45,277","Apr 18, 2023"
17-04-2023,715.00,732.05,711.05,728.35,728.35,"71,495","Apr 17, 2023"
13-04-2023,741.00,749.00,705.00,715.90,715.90,"176,826","Apr 13, 2023"
12-04-2023,704.80,741.00,693.55,731.15,731.15,"408,223","Apr 12, 2023"
11-04-2023,675.95,714.50,670.20,692.00,692.00,"271,862","Apr 11, 2023"
10-04-2023,657.40,675.00,654.10,671.30,671.30,"59,328","Apr 10, 2023"
06-04-2023,641.95,673.15,633.10,655.15,655.15,"114,174","Apr 06, 2023"
05-04-2023,636.35,643.85,627.00,640.35,640.35,"46,279","Apr 05, 2023"
03-04-2023,654.95,665.00,633.10,636.50,636.50,"55,109","Apr 03, 2023"
31-03-2023,634.55,673.70,634.55,649.70,649.70,"286,707","Mar 31, 2023"
29-03-2023,666.95,671.60,612.05,634.55,634.55,"86,922","Mar 29, 2023"
28-03-2023,660.10,672.00,654.85,660.65,660.65,"76,972","Mar 28, 2023"
27-03-2023,665.00,674.65,656.00,661.90,661.90,"91,350","Mar 27, 2023"
24-03-2023,707.75,708.35,665.00,669.50,669.50,"187,238","Mar 24, 2023"
23-03-2023,717.90,723.45,702.00,712.85,712.85,"187,456","Mar 23, 2023"
22-03-2023,751.25,759.50,718.10,724.55,724.55,"106,507","Mar 22, 2023"
21-03-2023,758.00,767.00,748.05,760.60,760.60,"178,694","Mar 21, 2023"
20-03-2023,770.05,780.00,732.00,754.65,754.65,"398,807","Mar 20, 2023"
17-03-2023,700.80,793.00,700.80,772.45,772.45,"813,761","Mar 17, 2023"
16-03-2023,642.15,732.00,632.45,718.80,718.80,"517,816","Mar 16, 2023"
15-03-2023,679.55,689.90,635.50,648.65,648.65,"65,180","Mar 15, 2023"
14-03-2023,675.00,705.75,666.20,672.60,672.60,"132,154","Mar 14, 2023"
13-03-2023,686.35,699.75,667.10,675.90,675.90,"57,131","Mar 13, 2023"
10-03-2023,679.45,703.00,677.00,692.45,692.45,"81,945","Mar 10, 2023"
09-03-2023,694.55,701.55,679.25,683.50,683.50,"45,100","Mar 09, 2023"
08-03-2023,706.00,706.00,679.90,688.30,688.30,"363,796","Mar 08, 2023"
06-03-2023,691.00,714.00,683.15,706.05,706.05,"101,086","Mar 06, 2023"
03-03-2023,700.00,705.00,691.00,698.75,698.75,"58,247","Mar 03, 2023"
02-03-2023,666.50,709.00,662.80,693.10,693.10,"145,217","Mar 02, 2023"
01-03-2023,660.10,680.45,651.10,674.80,674.80,"63,847","Mar 01, 2023"
28-02-2023,657.90,677.30,652.65,665.60,665.60,"175,770","Feb 28, 2023"
27-02-2023,646.30,664.00,636.85,659.25,659.25,"334,251","Feb 27, 2023"
24-02-2023,640.00,650.50,625.00,646.30,646.30,"47,443","Feb 24, 2023"
23-02-2023,620.25,647.50,609.60,639.25,639.25,"170,908","Feb 23, 2023"
22-02-2023,606.50,619.95,606.50,611.10,611.10,"29,726","Feb 22, 2023"
21-02-2023,627.00,633.35,605.00,608.95,608.95,"41,059","Feb 21, 2023"
