date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,398.70,412.00,395.30,402.65,402.65,"1,542,952","Aug 25, 2023"
24-08-2023,419.00,426.30,395.30,398.20,398.20,"3,181,957","Aug 24, 2023"
23-08-2023,396.80,416.80,395.60,408.10,408.10,"4,129,617","Aug 23, 2023"
22-08-2023,393.00,399.00,390.05,394.85,394.85,"895,753","Aug 22, 2023"
21-08-2023,391.65,399.00,384.00,391.95,391.95,"1,413,930","Aug 21, 2023"
18-08-2023,382.65,403.25,379.05,390.15,390.15,"3,093,907","Aug 18, 2023"
17-08-2023,385.00,394.90,378.65,382.65,382.65,"1,803,871","Aug 17, 2023"
16-08-2023,346.95,398.40,346.10,384.70,384.70,"7,079,042","Aug 16, 2023"
14-08-2023,354.95,354.95,340.00,347.80,347.80,"751,512","Aug 14, 2023"
11-08-2023,354.90,362.80,353.55,355.80,355.80,"740,224","Aug 11, 2023"
10-08-2023,350.00,356.10,348.45,352.55,352.55,"902,374","Aug 10, 2023"
09-08-2023,360.00,360.00,344.15,346.15,346.15,"2,517,011","Aug 09, 2023"
08-08-2023,361.15,381.65,357.00,372.75,372.75,"1,394,829","Aug 08, 2023"
07-08-2023,374.50,375.80,361.95,365.50,365.50,"1,277,779","Aug 07, 2023"
04-08-2023,380.40,390.00,372.65,374.45,374.45,"1,898,102","Aug 04, 2023"
03-08-2023,366.20,382.00,361.50,378.75,378.75,"2,689,751","Aug 03, 2023"
02-08-2023,354.00,381.70,352.70,368.90,368.90,"5,873,134","Aug 02, 2023"
01-08-2023,340.00,359.55,335.70,356.65,356.65,"3,648,706","Aug 01, 2023"
31-07-2023,318.40,345.70,315.50,337.15,337.15,"4,585,651","Jul 31, 2023"
28-07-2023,315.25,319.95,310.75,316.15,316.15,"895,274","Jul 28, 2023"
27-07-2023,318.10,320.30,312.85,316.15,316.15,"548,151","Jul 27, 2023"
26-07-2023,312.50,322.25,312.45,317.85,317.85,"1,133,503","Jul 26, 2023"
25-07-2023,306.40,320.70,306.40,311.10,311.10,"1,217,477","Jul 25, 2023"
24-07-2023,306.00,314.00,304.00,305.35,305.35,"698,508","Jul 24, 2023"
21-07-2023,309.00,312.90,305.00,306.30,306.30,"496,048","Jul 21, 2023"
20-07-2023,308.10,317.50,307.45,311.45,311.45,"771,725","Jul 20, 2023"
19-07-2023,308.15,310.75,305.05,308.35,308.35,"448,960","Jul 19, 2023"
18-07-2023,315.95,317.30,305.60,307.65,307.65,"769,623","Jul 18, 2023"
