date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,20.90,20.90,20.90,20.90,20.90,"263,212","Aug 25, 2023"
24-08-2023,20.50,20.50,20.50,20.50,20.50,"586,216","Aug 24, 2023"
23-08-2023,20.10,20.10,19.35,20.10,20.10,"1,044,640","Aug 23, 2023"
22-08-2023,19.75,19.75,19.75,19.75,19.75,"60,407","Aug 22, 2023"
21-08-2023,20.15,20.15,20.15,20.15,20.15,"39,869","Aug 21, 2023"
18-08-2023,20.55,20.55,20.55,20.55,20.55,"31,498","Aug 18, 2023"
17-08-2023,20.95,20.95,20.95,20.95,20.95,"4,143","Aug 17, 2023"
16-08-2023,21.35,21.35,21.35,21.35,21.35,"28,663","Aug 16, 2023"
14-08-2023,21.75,21.75,21.75,21.75,21.75,"15,714","Aug 14, 2023"
11-08-2023,22.20,22.20,22.20,22.20,22.20,"30,824","Aug 11, 2023"
10-08-2023,23.30,23.30,22.20,22.65,22.65,"919,492","Aug 10, 2023"
09-08-2023,23.40,23.50,21.70,23.25,23.25,"1,244,798","Aug 09, 2023"
08-08-2023,21.75,22.80,21.65,22.80,22.80,"1,643,358","Aug 08, 2023"
07-08-2023,21.65,21.75,21.15,21.75,21.75,"633,714","Aug 07, 2023"
04-08-2023,20.10,20.75,19.75,20.75,20.75,"589,793","Aug 04, 2023"
03-08-2023,19.80,20.00,19.10,19.80,19.80,"226,798","Aug 03, 2023"
02-08-2023,20.55,21.10,19.70,20.00,20.00,"456,660","Aug 02, 2023"
01-08-2023,21.20,21.50,20.50,20.70,20.70,"681,620","Aug 01, 2023"
31-07-2023,20.95,21.25,20.40,21.05,21.05,"336,962","Jul 31, 2023"
28-07-2023,20.85,21.50,20.20,20.90,20.90,"404,271","Jul 28, 2023"
27-07-2023,19.25,20.55,18.80,20.50,20.50,"459,224","Jul 27, 2023"
26-07-2023,20.50,21.00,19.55,19.60,19.60,"429,919","Jul 26, 2023"
25-07-2023,20.95,21.25,20.20,20.55,20.55,"449,792","Jul 25, 2023"
24-07-2023,21.45,21.75,20.40,20.50,20.50,"680,043","Jul 24, 2023"
21-07-2023,21.80,21.85,21.00,21.45,21.45,"741,718","Jul 21, 2023"
20-07-2023,22.50,22.70,21.80,22.10,22.10,"1,090,261","Jul 20, 2023"
19-07-2023,21.70,22.80,20.95,22.50,22.50,"1,697,174","Jul 19, 2023"
18-07-2023,22.70,23.10,21.35,21.55,21.55,"1,530,182","Jul 18, 2023"
17-07-2023,22.85,23.25,22.25,22.65,22.65,"1,140,726","Jul 17, 2023"
14-07-2023,22.90,23.10,21.55,22.85,22.85,"1,823,264","Jul 14, 2023"
13-07-2023,22.25,23.95,21.75,22.40,22.40,"4,943,932","Jul 13, 2023"
12-07-2023,22.25,23.55,22.10,22.30,22.30,"11,471,454","Jul 12, 2023"
11-07-2023,18.05,21.65,17.90,21.65,21.65,"10,748,225","Jul 11, 2023"
10-07-2023,18.00,18.20,17.80,18.05,18.05,"399,944","Jul 10, 2023"
07-07-2023,18.90,18.90,17.40,17.85,17.85,"780,908","Jul 07, 2023"
