date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,203.00,203.00,199.05,203.95,203.95,"16,311","Aug 25, 2023"
24-08-2023,204.95,205.00,202.00,203.10,203.10,"25,465","Aug 24, 2023"
23-08-2023,195.20,207.00,195.20,202.55,202.55,"22,282","Aug 23, 2023"
22-08-2023,206.05,206.05,195.00,202.10,202.10,"16,574","Aug 22, 2023"
21-08-2023,207.00,207.00,200.00,202.00,202.00,"20,659","Aug 21, 2023"
18-08-2023,200.35,205.00,196.05,200.10,200.10,"10,791","Aug 18, 2023"
18-08-2023,1 Dividend,,,,,,"Aug 18, 2023"
17-08-2023,200.00,202.00,198.00,198.10,197.10,"8,674","Aug 17, 2023"
16-08-2023,203.00,203.00,195.00,202.90,201.88,"12,091","Aug 16, 2023"
14-08-2023,202.50,205.00,201.00,203.10,202.07,"3,191","Aug 14, 2023"
11-08-2023,202.10,206.00,202.00,203.30,202.27,"6,894","Aug 11, 2023"
10-08-2023,207.05,207.05,203.50,204.80,203.77,"3,934","Aug 10, 2023"
09-08-2023,203.20,207.00,203.00,206.00,204.96,"10,267","Aug 09, 2023"
08-08-2023,200.00,212.70,200.00,207.95,206.90,"32,412","Aug 08, 2023"
07-08-2023,205.05,205.05,202.00,202.60,201.58,"23,889","Aug 07, 2023"
04-08-2023,200.00,205.00,200.00,204.90,203.87,"5,077","Aug 04, 2023"
03-08-2023,200.00,205.00,200.00,202.30,201.28,"6,988","Aug 03, 2023"
02-08-2023,206.00,210.00,203.00,204.55,203.52,"32,287","Aug 02, 2023"
01-08-2023,197.60,210.00,197.60,206.85,205.81,"10,440","Aug 01, 2023"
31-07-2023,194.50,207.00,194.50,203.50,202.47,"39,885","Jul 31, 2023"
28-07-2023,204.70,205.00,204.70,204.70,203.67,"59,745","Jul 28, 2023"
27-07-2023,206.00,206.50,205.00,206.00,204.96,"61,750","Jul 27, 2023"
26-07-2023,205.00,205.00,203.00,205.00,203.97,"23,979","Jul 26, 2023"
25-07-2023,204.00,211.75,203.45,204.00,202.97,"132,676","Jul 25, 2023"
24-07-2023,207.60,207.60,207.60,207.60,206.55,"94,217","Jul 24, 2023"
21-07-2023,203.55,203.55,203.55,203.55,202.52,-,"Jul 21, 2023"
20-07-2023,203.55,203.55,203.55,203.55,202.52,-,"Jul 20, 2023"
