date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,15.20,15.35,14.80,15.00,15.00,"27,229","Aug 25, 2023"
24-08-2023,15.30,15.35,14.85,15.20,15.20,"48,290","Aug 24, 2023"
23-08-2023,15.25,15.25,14.85,15.10,15.10,"19,629","Aug 23, 2023"
22-08-2023,14.85,15.35,13.50,14.80,14.80,"31,708","Aug 22, 2023"
21-08-2023,14.65,15.55,14.65,14.90,14.90,"18,970","Aug 21, 2023"
18-08-2023,15.65,15.65,14.65,14.90,14.90,"9,888","Aug 18, 2023"
17-08-2023,15.00,15.20,14.65,14.75,14.75,"18,175","Aug 17, 2023"
16-08-2023,14.95,15.30,14.70,14.85,14.85,"24,218","Aug 16, 2023"
14-08-2023,15.85,15.85,15.10,15.35,15.35,"34,007","Aug 14, 2023"
11-08-2023,16.10,16.70,15.40,15.70,15.70,"23,024","Aug 11, 2023"
10-08-2023,16.15,16.15,15.55,15.75,15.75,"27,354","Aug 10, 2023"
09-08-2023,15.95,16.45,15.55,15.80,15.80,"95,773","Aug 09, 2023"
08-08-2023,13.85,16.40,13.50,15.95,15.95,"455,012","Aug 08, 2023"
07-08-2023,14.65,14.65,13.55,13.70,13.70,"6,604","Aug 07, 2023"
04-08-2023,14.55,14.55,13.10,13.65,13.65,"24,389","Aug 04, 2023"
03-08-2023,13.95,14.30,13.50,13.95,13.95,"10,032","Aug 03, 2023"
02-08-2023,14.80,14.80,13.85,13.95,13.95,"26,175","Aug 02, 2023"
01-08-2023,14.10,14.20,13.65,13.85,13.85,"6,020","Aug 01, 2023"
31-07-2023,14.60,14.60,13.50,14.10,14.10,"24,935","Jul 31, 2023"
28-07-2023,13.75,14.00,13.45,13.80,13.80,"12,475","Jul 28, 2023"
27-07-2023,13.50,14.05,13.30,13.75,13.75,"11,726","Jul 27, 2023"
26-07-2023,13.60,13.85,13.60,13.65,13.65,"6,472","Jul 26, 2023"
25-07-2023,13.75,15.40,13.50,13.55,13.55,"52,111","Jul 25, 2023"
24-07-2023,14.00,14.05,13.50,13.50,13.50,"11,834","Jul 24, 2023"
21-07-2023,14.10,14.20,13.90,13.95,13.95,"7,772","Jul 21, 2023"
20-07-2023,13.90,14.25,13.90,14.00,14.00,"11,723","Jul 20, 2023"
19-07-2023,14.20,14.50,14.00,14.10,14.10,"24,474","Jul 19, 2023"
18-07-2023,14.00,14.45,13.80,14.10,14.10,"19,585","Jul 18, 2023"
17-07-2023,14.35,14.80,13.85,14.00,14.00,"8,682","Jul 17, 2023"
14-07-2023,14.25,14.45,14.00,14.15,14.15,"5,678","Jul 14, 2023"
13-07-2023,14.10,14.40,13.85,14.05,14.05,"7,454","Jul 13, 2023"
12-07-2023,14.45,14.55,14.20,14.25,14.25,"3,034","Jul 12, 2023"
11-07-2023,14.60,14.65,14.40,14.40,14.40,"2,099","Jul 11, 2023"
10-07-2023,15.10,15.10,14.45,14.50,14.50,"5,197","Jul 10, 2023"
07-07-2023,14.60,14.80,14.50,14.65,14.65,"8,557","Jul 07, 2023"
06-07-2023,14.80,15.05,14.50,14.60,14.60,"6,970","Jul 06, 2023"
05-07-2023,14.75,14.95,14.50,14.60,14.60,"14,189","Jul 05, 2023"
04-07-2023,14.85,14.85,14.45,14.60,14.60,"6,296","Jul 04, 2023"
03-07-2023,14.60,15.20,14.50,14.85,14.85,"4,609","Jul 03, 2023"
30-06-2023,14.75,15.00,14.45,14.80,14.80,"15,441","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,15.30,15.30,14.60,14.95,14.95,"4,864","Jun 27, 2023"
26-06-2023,15.05,15.05,14.50,14.90,14.90,"3,704","Jun 26, 2023"
23-06-2023,15.10,15.10,14.50,14.65,14.65,"6,299","Jun 23, 2023"
22-06-2023,15.50,15.50,14.35,14.65,14.65,"13,981","Jun 22, 2023"
21-06-2023,15.15,15.20,15.05,15.10,15.10,"8,406","Jun 21, 2023"
20-06-2023,15.45,15.45,15.00,15.20,15.20,"10,347","Jun 20, 2023"
19-06-2023,15.55,15.55,15.00,15.05,15.05,"3,726","Jun 19, 2023"
16-06-2023,15.15,15.45,15.05,15.15,15.15,"5,203","Jun 16, 2023"
15-06-2023,15.45,15.45,15.00,15.15,15.15,"11,685","Jun 15, 2023"
14-06-2023,15.20,15.25,14.85,14.95,14.95,"16,433","Jun 14, 2023"
13-06-2023,15.65,15.65,15.10,15.15,15.15,"16,252","Jun 13, 2023"
12-06-2023,15.85,15.85,15.10,15.35,15.35,"4,727","Jun 12, 2023"
09-06-2023,15.25,15.60,15.20,15.40,15.40,"4,148","Jun 09, 2023"
08-06-2023,15.50,15.65,15.10,15.30,15.30,"6,909","Jun 08, 2023"
07-06-2023,15.75,15.75,15.10,15.15,15.15,"17,730","Jun 07, 2023"
06-06-2023,15.55,15.85,15.05,15.45,15.45,"5,688","Jun 06, 2023"
05-06-2023,15.80,16.05,15.40,15.60,15.60,"11,062","Jun 05, 2023"
02-06-2023,15.15,16.05,15.15,15.75,15.75,"18,040","Jun 02, 2023"
01-06-2023,14.85,15.50,14.65,15.15,15.15,"20,849","Jun 01, 2023"
31-05-2023,15.00,15.35,14.35,14.85,14.85,"30,345","May 31, 2023"
30-05-2023,15.50,15.80,14.95,15.15,15.15,"15,774","May 30, 2023"
29-05-2023,17.00,17.00,14.40,15.45,15.45,"35,555","May 29, 2023"
26-05-2023,15.95,15.95,15.10,15.65,15.65,"18,243","May 26, 2023"
25-05-2023,15.15,15.55,15.15,15.30,15.30,"5,459","May 25, 2023"
24-05-2023,15.20,16.00,15.20,15.45,15.45,"11,782","May 24, 2023"
23-05-2023,15.50,16.00,15.25,15.40,15.40,"17,359","May 23, 2023"
22-05-2023,15.60,15.95,15.30,15.45,15.45,"9,120","May 22, 2023"
19-05-2023,15.75,16.00,15.50,15.65,15.65,"6,440","May 19, 2023"
18-05-2023,15.10,15.90,15.10,15.70,15.70,"10,956","May 18, 2023"
17-05-2023,15.50,16.20,15.15,15.35,15.35,"19,228","May 17, 2023"
16-05-2023,16.10,16.55,15.50,15.60,15.60,"21,956","May 16, 2023"
15-05-2023,16.35,16.70,16.00,16.10,16.10,"20,353","May 15, 2023"
12-05-2023,18.30,18.85,16.10,16.35,16.35,"429,671","May 12, 2023"
