date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,80.50,82.05,80.00,80.65,80.65,"333,481","Aug 25, 2023"
24-08-2023,80.50,82.25,80.50,81.00,81.00,"687,826","Aug 24, 2023"
23-08-2023,81.30,82.50,79.05,80.30,80.30,"617,361","Aug 23, 2023"
22-08-2023,79.20,83.90,79.00,81.45,81.45,"1,359,185","Aug 22, 2023"
21-08-2023,78.00,80.00,77.10,78.75,78.75,"503,419","Aug 21, 2023"
18-08-2023,79.00,80.10,78.40,78.65,78.65,"411,230","Aug 18, 2023"
17-08-2023,79.05,80.15,78.80,79.40,79.40,"471,487","Aug 17, 2023"
16-08-2023,77.95,79.40,76.00,78.20,78.20,"1,162,801","Aug 16, 2023"
14-08-2023,83.45,83.45,77.70,78.25,78.25,"2,131,002","Aug 14, 2023"
11-08-2023,84.75,85.10,82.85,83.25,83.25,"551,108","Aug 11, 2023"
10-08-2023,84.75,86.45,83.60,84.35,84.35,"930,703","Aug 10, 2023"
09-08-2023,84.45,85.20,84.00,84.35,84.35,"558,561","Aug 09, 2023"
08-08-2023,83.30,84.20,83.05,84.00,84.00,"357,571","Aug 08, 2023"
07-08-2023,84.15,84.40,82.70,83.05,83.05,"584,783","Aug 07, 2023"
04-08-2023,84.75,85.45,83.75,84.15,84.15,"630,172","Aug 04, 2023"
03-08-2023,83.40,85.10,83.05,84.20,84.20,"551,308","Aug 03, 2023"
02-08-2023,83.30,85.25,82.60,83.55,83.55,"1,174,433","Aug 02, 2023"
01-08-2023,82.00,84.00,81.25,82.90,82.90,"1,279,613","Aug 01, 2023"
31-07-2023,82.75,83.25,81.45,81.65,81.65,"662,541","Jul 31, 2023"
28-07-2023,83.00,83.40,82.25,82.75,82.75,"415,294","Jul 28, 2023"
27-07-2023,81.20,84.00,80.30,82.85,82.85,"1,213,166","Jul 27, 2023"
26-07-2023,81.15,81.80,80.30,80.65,80.65,"861,042","Jul 26, 2023"
25-07-2023,81.80,82.80,80.75,81.15,81.15,"679,044","Jul 25, 2023"
24-07-2023,82.90,84.20,81.70,81.85,81.85,"890,933","Jul 24, 2023"
