date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,58.75,64.95,58.65,60.70,60.70,"143,982","Aug 25, 2023"
24-08-2023,58.95,58.95,57.55,58.15,58.15,"9,676","Aug 24, 2023"
23-08-2023,59.05,59.80,56.30,58.50,58.50,"53,682","Aug 23, 2023"
22-08-2023,57.80,59.20,57.05,57.95,57.95,"13,232","Aug 22, 2023"
21-08-2023,59.70,59.70,57.10,58.15,58.15,"11,404","Aug 21, 2023"
18-08-2023,59.90,59.90,57.50,57.65,57.65,"6,527","Aug 18, 2023"
17-08-2023,59.85,60.00,58.50,58.90,58.90,"11,250","Aug 17, 2023"
16-08-2023,57.00,60.95,57.00,59.45,59.45,"19,579","Aug 16, 2023"
14-08-2023,60.00,61.80,56.25,57.55,57.55,"41,990","Aug 14, 2023"
11-08-2023,63.70,63.70,59.50,59.80,59.80,"61,611","Aug 11, 2023"
10-08-2023,58.45,64.00,58.00,62.45,62.45,"63,623","Aug 10, 2023"
09-08-2023,59.65,59.65,58.00,58.25,58.25,"27,214","Aug 09, 2023"
08-08-2023,58.80,61.00,58.00,58.90,58.90,"34,746","Aug 08, 2023"
07-08-2023,59.90,59.90,57.85,58.50,58.50,"25,762","Aug 07, 2023"
04-08-2023,58.10,60.25,57.50,58.70,58.70,"17,070","Aug 04, 2023"
03-08-2023,59.60,59.90,58.00,58.40,58.40,"20,198","Aug 03, 2023"
02-08-2023,60.70,60.70,58.20,58.40,58.40,"17,796","Aug 02, 2023"
01-08-2023,59.75,60.35,58.15,59.75,59.75,"19,646","Aug 01, 2023"
31-07-2023,59.50,60.95,57.95,59.25,59.25,"17,458","Jul 31, 2023"
28-07-2023,58.95,62.80,57.50,60.30,60.30,"41,745","Jul 28, 2023"
27-07-2023,60.00,60.30,58.10,58.60,58.60,"6,598","Jul 27, 2023"
26-07-2023,59.70,61.00,59.10,59.55,59.55,"16,978","Jul 26, 2023"
25-07-2023,60.00,61.40,58.50,58.80,58.80,"20,282","Jul 25, 2023"
24-07-2023,63.45,63.90,59.15,59.85,59.85,"24,750","Jul 24, 2023"
21-07-2023,64.00,64.15,62.50,63.20,63.20,"34,861","Jul 21, 2023"
20-07-2023,58.35,68.90,56.85,64.05,64.05,"612,377","Jul 20, 2023"
19-07-2023,55.30,58.60,55.30,57.45,57.45,"12,416","Jul 19, 2023"
18-07-2023,58.00,59.00,56.00,56.55,56.55,"15,680","Jul 18, 2023"
17-07-2023,56.00,57.90,56.00,57.15,57.15,"11,929","Jul 17, 2023"
14-07-2023,56.60,56.60,55.05,55.95,55.95,"10,446","Jul 14, 2023"
13-07-2023,58.55,59.15,55.05,55.65,55.65,"35,421","Jul 13, 2023"
12-07-2023,61.35,61.35,57.00,57.45,57.45,"37,958","Jul 12, 2023"
11-07-2023,62.85,63.00,59.65,60.20,60.20,"18,967","Jul 11, 2023"
10-07-2023,60.05,63.20,59.65,61.70,61.70,"110,863","Jul 10, 2023"
07-07-2023,54.80,63.45,54.15,59.90,59.90,"404,451","Jul 07, 2023"
06-07-2023,54.90,54.90,53.25,53.80,53.80,"3,275","Jul 06, 2023"
05-07-2023,54.35,55.00,53.75,54.25,54.25,"4,164","Jul 05, 2023"
04-07-2023,55.70,55.70,53.00,53.35,53.35,"10,151","Jul 04, 2023"
03-07-2023,54.65,55.70,53.50,54.25,54.25,"7,658","Jul 03, 2023"
30-06-2023,55.65,55.65,53.60,53.65,53.65,"2,646","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,55.50,56.00,54.20,55.45,55.45,"14,982","Jun 27, 2023"
26-06-2023,55.50,55.50,52.80,53.80,53.80,"7,989","Jun 26, 2023"
23-06-2023,55.50,56.00,53.25,53.70,53.70,"6,061","Jun 23, 2023"
22-06-2023,54.30,55.60,54.10,54.30,54.30,"4,447","Jun 22, 2023"
21-06-2023,55.25,56.00,54.00,54.55,54.55,"9,455","Jun 21, 2023"
20-06-2023,55.50,56.20,53.35,55.25,55.25,"14,304","Jun 20, 2023"
19-06-2023,54.35,56.00,53.65,54.30,54.30,"11,613","Jun 19, 2023"
16-06-2023,57.00,57.00,54.45,54.95,54.95,"7,789","Jun 16, 2023"
15-06-2023,56.00,57.90,54.10,55.75,55.75,"14,710","Jun 15, 2023"
14-06-2023,54.00,56.30,52.45,55.05,55.05,"32,473","Jun 14, 2023"
13-06-2023,52.75,54.00,52.75,53.05,53.05,"5,188","Jun 13, 2023"
12-06-2023,54.50,54.50,52.50,52.75,52.75,"7,081","Jun 12, 2023"
09-06-2023,53.95,54.15,52.65,53.45,53.45,"3,322","Jun 09, 2023"
08-06-2023,54.30,54.30,53.00,53.40,53.40,"4,667","Jun 08, 2023"
07-06-2023,54.80,54.80,53.00,53.50,53.50,"12,804","Jun 07, 2023"
06-06-2023,54.95,54.95,52.50,53.05,53.05,"9,362","Jun 06, 2023"
05-06-2023,51.50,57.90,51.40,53.65,53.65,"65,224","Jun 05, 2023"
02-06-2023,53.60,53.60,51.75,52.00,52.00,"8,286","Jun 02, 2023"
01-06-2023,53.00,53.35,51.80,52.70,52.70,"4,562","Jun 01, 2023"
31-05-2023,51.40,52.95,51.30,51.55,51.55,"3,533","May 31, 2023"
30-05-2023,54.50,54.50,51.25,51.85,51.85,"12,767","May 30, 2023"
29-05-2023,54.90,54.90,52.60,53.10,53.10,"4,667","May 29, 2023"
26-05-2023,54.00,54.80,52.25,54.30,54.30,"6,031","May 26, 2023"
25-05-2023,52.70,53.50,51.50,53.15,53.15,"6,078","May 25, 2023"
24-05-2023,52.50,53.70,52.50,52.70,52.70,"3,688","May 24, 2023"
23-05-2023,53.55,53.90,51.50,52.65,52.65,"24,360","May 23, 2023"
22-05-2023,55.25,55.25,52.75,52.95,52.95,"14,822","May 22, 2023"
19-05-2023,56.65,56.65,54.40,54.70,54.70,"3,714","May 19, 2023"
18-05-2023,56.50,57.00,55.30,55.70,55.70,"2,861","May 18, 2023"
17-05-2023,57.90,57.90,55.70,56.20,56.20,"1,932","May 17, 2023"
16-05-2023,57.30,57.45,56.00,56.95,56.95,"3,059","May 16, 2023"
15-05-2023,55.00,57.00,54.65,56.80,56.80,"5,563","May 15, 2023"
12-05-2023,56.50,56.50,54.65,54.80,54.80,"3,312","May 12, 2023"
11-05-2023,56.40,56.40,54.55,55.15,55.15,"9,619","May 11, 2023"
10-05-2023,56.05,56.05,54.75,55.25,55.25,"15,194","May 10, 2023"
09-05-2023,56.00,57.90,55.15,56.50,56.50,"10,062","May 09, 2023"
08-05-2023,55.70,57.05,55.70,56.45,56.45,"14,108","May 08, 2023"
05-05-2023,56.05,56.90,55.55,55.70,55.70,"2,888","May 05, 2023"
04-05-2023,56.40,57.40,55.60,56.50,56.50,"7,463","May 04, 2023"
03-05-2023,56.80,56.80,54.75,55.65,55.65,"6,217","May 03, 2023"
02-05-2023,56.00,57.00,54.65,55.30,55.30,"11,145","May 02, 2023"
28-04-2023,55.30,56.95,55.30,55.70,55.70,"5,626","Apr 28, 2023"
27-04-2023,55.80,57.00,55.00,55.95,55.95,"3,926","Apr 27, 2023"
26-04-2023,56.95,57.65,55.60,55.95,55.95,"22,617","Apr 26, 2023"
