date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,57.95,62.40,57.70,58.45,58.45,"192,456","Aug 25, 2023"
24-08-2023,58.20,58.90,56.60,58.00,58.00,"36,377","Aug 24, 2023"
23-08-2023,57.50,61.80,56.15,58.00,58.00,"276,906","Aug 23, 2023"
22-08-2023,56.85,60.00,56.05,57.00,57.00,"124,816","Aug 22, 2023"
21-08-2023,60.00,60.60,55.50,56.75,56.75,"191,485","Aug 21, 2023"
18-08-2023,52.80,62.30,52.15,58.65,58.65,"1,370,008","Aug 18, 2023"
17-08-2023,51.50,52.50,50.75,51.95,51.95,"47,467","Aug 17, 2023"
16-08-2023,51.10,52.50,50.50,50.80,50.80,"38,322","Aug 16, 2023"
14-08-2023,51.30,52.75,50.25,51.00,51.00,"81,598","Aug 14, 2023"
11-08-2023,51.75,52.80,50.75,51.60,51.60,"21,855","Aug 11, 2023"
10-08-2023,50.00,52.55,49.95,50.85,50.85,"61,485","Aug 10, 2023"
09-08-2023,52.35,53.30,49.35,49.75,49.75,"87,038","Aug 09, 2023"
08-08-2023,54.50,54.50,52.15,53.00,53.00,"18,592","Aug 08, 2023"
07-08-2023,53.85,53.85,51.85,52.10,52.10,"10,600","Aug 07, 2023"
04-08-2023,53.20,53.20,51.60,52.90,52.90,"32,019","Aug 04, 2023"
03-08-2023,53.40,53.45,51.90,52.05,52.05,"11,859","Aug 03, 2023"
02-08-2023,52.95,53.50,52.20,52.25,52.25,"13,146","Aug 02, 2023"
01-08-2023,52.90,55.70,51.60,52.55,52.55,"74,835","Aug 01, 2023"
31-07-2023,53.00,54.40,52.65,53.05,53.05,"32,783","Jul 31, 2023"
28-07-2023,52.55,53.00,50.80,52.90,52.90,"27,656","Jul 28, 2023"
27-07-2023,52.80,53.60,52.40,53.05,53.05,"13,138","Jul 27, 2023"
26-07-2023,52.80,53.50,52.50,53.00,53.00,"10,340","Jul 26, 2023"
25-07-2023,53.95,53.95,52.35,53.20,53.20,"15,163","Jul 25, 2023"
24-07-2023,53.00,53.70,51.60,53.10,53.10,"35,265","Jul 24, 2023"
21-07-2023,49.20,54.70,48.90,52.60,52.60,"166,048","Jul 21, 2023"
20-07-2023,49.40,50.05,48.60,49.40,49.40,"7,323","Jul 20, 2023"
19-07-2023,49.60,50.20,49.10,49.50,49.50,"5,260","Jul 19, 2023"
18-07-2023,50.85,50.85,49.60,50.15,50.15,"3,223","Jul 18, 2023"
17-07-2023,50.75,50.90,50.00,50.05,50.05,"7,241","Jul 17, 2023"
14-07-2023,49.80,50.95,49.70,50.75,50.75,"5,382","Jul 14, 2023"
13-07-2023,50.00,50.55,49.65,49.80,49.80,"4,513","Jul 13, 2023"
12-07-2023,50.00,51.50,49.10,49.75,49.75,"48,375","Jul 12, 2023"
11-07-2023,50.00,50.80,48.85,49.50,49.50,"5,304","Jul 11, 2023"
10-07-2023,50.80,52.50,49.70,50.05,50.05,"33,673","Jul 10, 2023"
07-07-2023,51.45,51.90,50.35,50.80,50.80,"7,704","Jul 07, 2023"
06-07-2023,51.35,51.90,50.50,50.80,50.80,"9,460","Jul 06, 2023"
05-07-2023,50.75,51.80,49.80,50.40,50.40,"16,390","Jul 05, 2023"
04-07-2023,51.10,52.65,50.75,51.50,51.50,"45,035","Jul 04, 2023"
03-07-2023,49.45,51.00,49.00,50.95,50.95,"19,775","Jul 03, 2023"
30-06-2023,51.60,51.60,49.30,49.55,49.55,"7,954","Jun 30, 2023"
28-06-2023,49.85,49.85,49.85,49.85,49.85,-,"Jun 28, 2023"
27-06-2023,48.55,51.70,48.55,49.85,49.85,"34,870","Jun 27, 2023"
26-06-2023,50.95,50.95,48.70,49.05,49.05,"2,312","Jun 26, 2023"
23-06-2023,49.25,49.90,49.25,49.45,49.45,"3,100","Jun 23, 2023"
22-06-2023,49.55,50.40,48.80,49.25,49.25,"2,145","Jun 22, 2023"
21-06-2023,51.70,51.70,49.00,49.50,49.50,"15,020","Jun 21, 2023"
20-06-2023,50.85,51.35,49.85,50.00,50.00,"7,378","Jun 20, 2023"
19-06-2023,50.30,51.35,50.30,50.65,50.65,"7,154","Jun 19, 2023"
16-06-2023,52.35,52.90,50.10,50.55,50.55,"14,003","Jun 16, 2023"
15-06-2023,50.55,53.35,49.30,51.05,51.05,"43,088","Jun 15, 2023"
14-06-2023,49.85,50.75,49.30,49.55,49.55,"6,609","Jun 14, 2023"
13-06-2023,50.90,50.90,49.80,49.90,49.90,"4,396","Jun 13, 2023"
12-06-2023,50.00,51.35,49.85,50.20,50.20,"2,635","Jun 12, 2023"
09-06-2023,50.55,50.75,49.70,50.15,50.15,"2,891","Jun 09, 2023"
08-06-2023,51.25,51.30,50.30,50.40,50.40,"3,961","Jun 08, 2023"
07-06-2023,52.00,52.40,50.80,51.00,51.00,"6,474","Jun 07, 2023"
06-06-2023,50.60,51.90,50.60,51.35,51.35,"1,444","Jun 06, 2023"
05-06-2023,51.35,52.30,50.60,51.45,51.45,"9,680","Jun 05, 2023"
02-06-2023,50.90,51.95,50.60,51.35,51.35,"9,765","Jun 02, 2023"
01-06-2023,51.00,52.00,50.15,50.55,50.55,"9,349","Jun 01, 2023"
31-05-2023,49.35,53.15,48.90,51.00,51.00,"34,300","May 31, 2023"
30-05-2023,49.40,49.65,48.50,49.00,49.00,"3,706","May 30, 2023"
29-05-2023,49.00,49.70,48.60,49.10,49.10,"7,737","May 29, 2023"
26-05-2023,50.00,50.95,48.35,49.95,49.95,"20,040","May 26, 2023"
25-05-2023,51.85,53.00,49.80,50.35,50.35,"12,237","May 25, 2023"
24-05-2023,53.30,53.70,49.15,50.65,50.65,"10,978","May 24, 2023"
23-05-2023,53.15,53.90,52.90,53.25,53.25,"4,073","May 23, 2023"
22-05-2023,53.30,54.10,52.90,53.55,53.55,"3,859","May 22, 2023"
19-05-2023,53.25,54.45,52.75,53.05,53.05,"3,491","May 19, 2023"
18-05-2023,54.00,54.45,53.20,53.55,53.55,"4,509","May 18, 2023"
17-05-2023,54.00,54.55,53.15,53.45,53.45,"1,621","May 17, 2023"
16-05-2023,54.95,55.20,53.70,54.65,54.65,"3,110","May 16, 2023"
15-05-2023,53.95,55.45,53.80,54.00,54.00,"9,358","May 15, 2023"
12-05-2023,53.10,53.85,53.10,53.10,53.10,385,"May 12, 2023"
11-05-2023,54.50,54.50,53.05,53.80,53.80,"4,184","May 11, 2023"
10-05-2023,53.45,54.20,52.90,53.75,53.75,"2,485","May 10, 2023"
09-05-2023,52.25,54.00,52.25,53.50,53.50,"9,749","May 09, 2023"
08-05-2023,52.75,53.95,52.50,53.35,53.35,"9,843","May 08, 2023"
05-05-2023,54.00,54.00,53.05,53.15,53.15,"1,418","May 05, 2023"
04-05-2023,53.50,54.45,53.40,53.75,53.75,"14,025","May 04, 2023"
03-05-2023,54.90,54.90,53.50,53.55,53.55,"5,886","May 03, 2023"
02-05-2023,53.00,58.80,52.20,54.05,54.05,"84,233","May 02, 2023"
28-04-2023,53.00,53.80,52.70,53.00,53.00,"2,120","Apr 28, 2023"
27-04-2023,53.85,53.95,52.50,52.60,52.60,"5,322","Apr 27, 2023"
26-04-2023,54.65,54.65,53.05,53.40,53.40,"7,625","Apr 26, 2023"
25-04-2023,52.95,55.00,52.95,54.10,54.10,"13,525","Apr 25, 2023"
24-04-2023,53.55,53.55,52.25,52.50,52.50,"5,797","Apr 24, 2023"
