date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,60.95,61.70,60.20,60.95,60.95,"273,417","Aug 25, 2023"
25-08-2023,2 Dividend,,,,,,"Aug 25, 2023"
24-08-2023,64.95,64.95,61.10,62.75,60.75,"463,361","Aug 24, 2023"
24-08-2023,2 Dividend,,,,,,"Aug 24, 2023"
23-08-2023,62.70,66.20,62.00,64.00,60.02,"1,212,908","Aug 23, 2023"
22-08-2023,59.85,62.70,59.50,62.00,58.15,"619,918","Aug 22, 2023"
21-08-2023,59.50,60.00,59.25,59.35,55.66,"140,694","Aug 21, 2023"
18-08-2023,60.20,60.95,59.00,59.35,55.66,"207,649","Aug 18, 2023"
17-08-2023,60.20,60.90,59.75,59.90,56.18,"201,553","Aug 17, 2023"
16-08-2023,59.90,60.80,58.75,59.60,55.90,"287,025","Aug 16, 2023"
14-08-2023,62.45,62.90,58.50,60.00,56.27,"1,124,626","Aug 14, 2023"
11-08-2023,58.80,62.75,58.15,61.25,57.44,"1,353,088","Aug 11, 2023"
10-08-2023,59.00,59.50,57.90,58.80,55.15,"515,738","Aug 10, 2023"
09-08-2023,57.30,58.10,57.05,57.75,54.16,"179,164","Aug 09, 2023"
08-08-2023,55.50,58.45,55.50,57.15,53.60,"359,624","Aug 08, 2023"
07-08-2023,55.35,56.80,55.35,55.80,52.33,"238,098","Aug 07, 2023"
04-08-2023,56.85,57.00,56.10,56.35,52.85,"127,755","Aug 04, 2023"
03-08-2023,55.95,56.70,55.35,56.25,52.76,"129,831","Aug 03, 2023"
02-08-2023,57.25,57.60,54.30,55.45,52.01,"358,608","Aug 02, 2023"
01-08-2023,59.80,61.50,57.00,57.10,53.55,"932,175","Aug 01, 2023"
31-07-2023,56.50,57.65,56.45,56.95,53.41,"278,324","Jul 31, 2023"
28-07-2023,56.80,57.35,55.70,56.05,52.57,"208,278","Jul 28, 2023"
27-07-2023,56.90,57.15,56.15,56.45,52.94,"136,975","Jul 27, 2023"
26-07-2023,57.00,57.45,56.05,56.25,52.76,"154,452","Jul 26, 2023"
25-07-2023,57.30,58.35,56.15,56.65,53.13,"156,038","Jul 25, 2023"
24-07-2023,57.40,59.10,57.00,57.25,53.69,"353,220","Jul 24, 2023"
21-07-2023,57.55,58.30,56.75,57.00,53.46,"197,895","Jul 21, 2023"
20-07-2023,58.25,60.00,57.65,58.00,54.40,"698,757","Jul 20, 2023"
19-07-2023,57.00,59.35,56.10,57.95,54.35,"801,398","Jul 19, 2023"
18-07-2023,55.80,58.40,55.65,56.85,53.32,"812,794","Jul 18, 2023"
17-07-2023,55.45,56.10,55.10,55.65,52.19,"161,835","Jul 17, 2023"
14-07-2023,55.55,56.25,54.80,55.15,51.72,"121,515","Jul 14, 2023"
13-07-2023,54.70,57.50,54.50,55.25,51.82,"645,544","Jul 13, 2023"
12-07-2023,54.40,55.80,54.15,54.70,51.30,"184,651","Jul 12, 2023"
11-07-2023,54.25,55.00,53.75,54.05,50.69,"162,319","Jul 11, 2023"
