date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,16.05,17.00,16.05,16.95,16.95,596,"Aug 25, 2023"
24-08-2023,17.00,17.00,16.50,16.70,16.70,"1,213","Aug 24, 2023"
23-08-2023,16.70,17.45,16.50,17.00,17.00,"4,360","Aug 23, 2023"
22-08-2023,17.10,17.15,16.70,17.15,17.15,"1,985","Aug 22, 2023"
21-08-2023,17.85,17.85,16.65,17.15,17.15,"2,502","Aug 21, 2023"
18-08-2023,18.20,18.20,16.65,17.50,17.50,"4,036","Aug 18, 2023"
17-08-2023,17.50,17.50,17.00,17.35,17.35,"5,085","Aug 17, 2023"
16-08-2023,18.30,18.30,16.80,17.55,17.55,627,"Aug 16, 2023"
14-08-2023,18.30,18.30,16.70,17.45,17.45,"2,701","Aug 14, 2023"
11-08-2023,16.15,17.85,16.15,17.45,17.45,"3,839","Aug 11, 2023"
10-08-2023,17.50,17.50,16.80,17.00,17.00,"2,326","Aug 10, 2023"
09-08-2023,18.35,18.35,16.65,16.80,16.80,"3,934","Aug 09, 2023"
08-08-2023,16.60,17.80,16.60,17.50,17.50,"12,280","Aug 08, 2023"
07-08-2023,18.60,18.60,17.00,17.40,17.40,"6,397","Aug 07, 2023"
04-08-2023,18.90,18.90,17.15,17.75,17.75,"8,277","Aug 04, 2023"
03-08-2023,17.90,18.35,17.45,18.05,18.05,"3,587","Aug 03, 2023"
02-08-2023,17.95,18.65,17.80,17.80,17.80,"6,624","Aug 02, 2023"
01-08-2023,18.90,18.90,17.80,17.95,17.95,"8,915","Aug 01, 2023"
31-07-2023,18.90,18.90,17.95,18.70,18.70,"2,694","Jul 31, 2023"
28-07-2023,19.50,19.50,18.50,18.90,18.90,"2,565","Jul 28, 2023"
27-07-2023,19.10,19.20,18.55,19.10,19.10,"3,815","Jul 27, 2023"
26-07-2023,19.40,19.50,18.50,18.85,18.85,"1,407","Jul 26, 2023"
25-07-2023,18.85,19.30,18.50,19.30,19.30,"3,648","Jul 25, 2023"
24-07-2023,19.15,19.70,18.50,18.80,18.80,"4,562","Jul 24, 2023"
21-07-2023,19.95,19.95,18.50,19.15,19.15,"5,690","Jul 21, 2023"
20-07-2023,18.80,19.60,18.40,19.20,19.20,"13,120","Jul 20, 2023"
19-07-2023,19.30,19.80,18.50,18.75,18.75,"7,567","Jul 19, 2023"
18-07-2023,18.95,19.50,18.25,19.20,19.20,"21,118","Jul 18, 2023"
17-07-2023,19.00,19.50,18.60,18.95,18.95,"12,620","Jul 17, 2023"
14-07-2023,18.70,20.25,18.70,19.30,19.30,"4,734","Jul 14, 2023"
13-07-2023,19.80,20.00,19.15,19.60,19.60,"8,874","Jul 13, 2023"
12-07-2023,19.65,20.15,19.30,20.10,20.10,"6,416","Jul 12, 2023"
11-07-2023,20.60,20.60,19.60,19.60,19.60,"24,522","Jul 11, 2023"
10-07-2023,22.00,22.00,20.60,20.60,20.60,"10,475","Jul 10, 2023"
07-07-2023,21.70,22.50,20.65,21.65,21.65,"4,475","Jul 07, 2023"
06-07-2023,22.45,24.60,21.20,21.70,21.70,"69,510","Jul 06, 2023"
05-07-2023,23.25,23.25,22.00,22.40,22.40,"13,356","Jul 05, 2023"
04-07-2023,23.85,23.85,22.55,22.65,22.65,"19,715","Jul 04, 2023"
03-07-2023,21.85,23.45,21.25,22.95,22.95,"87,390","Jul 03, 2023"
30-06-2023,20.35,21.85,19.90,21.50,21.50,"39,606","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,20.10,20.75,19.80,20.00,20.00,"6,211","Jun 27, 2023"
26-06-2023,19.85,21.00,19.30,19.85,19.85,"9,525","Jun 26, 2023"
23-06-2023,20.85,20.90,19.75,19.90,19.90,"16,929","Jun 23, 2023"
22-06-2023,19.95,20.90,19.95,20.40,20.40,"8,144","Jun 22, 2023"
21-06-2023,20.75,20.85,20.05,20.15,20.15,"9,398","Jun 21, 2023"
20-06-2023,20.30,20.90,20.30,20.75,20.75,"4,519","Jun 20, 2023"
19-06-2023,21.35,21.75,20.15,20.60,20.60,"27,132","Jun 19, 2023"
16-06-2023,21.50,21.70,20.00,21.35,21.35,"40,030","Jun 16, 2023"
15-06-2023,20.70,20.95,20.40,20.60,20.60,"27,245","Jun 15, 2023"
14-06-2023,21.40,21.40,20.50,20.65,20.65,"10,534","Jun 14, 2023"
13-06-2023,23.50,23.50,21.00,21.35,21.35,"52,415","Jun 13, 2023"
12-06-2023,19.80,21.90,19.80,21.90,21.90,"90,095","Jun 12, 2023"
09-06-2023,20.50,20.50,19.45,19.95,19.95,"11,058","Jun 09, 2023"
08-06-2023,20.40,20.45,20.10,20.10,20.10,"13,904","Jun 08, 2023"
07-06-2023,21.45,21.50,19.80,20.35,20.35,"10,167","Jun 07, 2023"
06-06-2023,20.50,20.80,20.00,20.10,20.10,"3,190","Jun 06, 2023"
05-06-2023,21.20,21.20,19.60,20.30,20.30,"18,513","Jun 05, 2023"
02-06-2023,19.45,20.55,19.45,20.30,20.30,"24,065","Jun 02, 2023"
01-06-2023,20.20,20.45,19.45,19.60,19.60,"30,268","Jun 01, 2023"
31-05-2023,20.40,21.60,20.20,20.20,20.20,"33,045","May 31, 2023"
30-05-2023,21.30,22.25,21.05,21.25,21.25,"21,260","May 30, 2023"
29-05-2023,22.40,23.30,22.00,22.10,22.10,"18,496","May 29, 2023"
26-05-2023,22.85,23.15,22.45,22.45,22.45,"7,006","May 26, 2023"
25-05-2023,22.80,24.30,22.60,22.85,22.85,"14,213","May 25, 2023"
24-05-2023,24.85,24.85,23.20,23.40,23.40,"133,979","May 24, 2023"
23-05-2023,23.25,24.40,22.30,24.40,24.40,"47,258","May 23, 2023"
22-05-2023,24.40,24.60,23.00,23.25,23.25,"18,286","May 22, 2023"
19-05-2023,24.85,24.85,22.70,23.80,23.80,"36,669","May 19, 2023"
18-05-2023,23.20,23.85,22.30,23.80,23.80,"35,969","May 18, 2023"
17-05-2023,23.10,23.10,21.40,22.75,22.75,"35,975","May 17, 2023"
16-05-2023,21.00,22.05,20.30,22.05,22.05,"38,962","May 16, 2023"
15-05-2023,19.70,21.00,19.55,21.00,21.00,"20,947","May 15, 2023"
12-05-2023,20.40,20.45,19.65,20.00,20.00,"5,345","May 12, 2023"
11-05-2023,20.00,20.75,20.00,20.05,20.05,"3,890","May 11, 2023"
10-05-2023,20.20,20.40,20.00,20.00,20.00,"11,479","May 10, 2023"
09-05-2023,20.65,21.15,20.20,20.20,20.20,"5,823","May 09, 2023"
08-05-2023,20.85,20.90,20.35,20.65,20.65,"3,309","May 08, 2023"
05-05-2023,20.35,21.45,20.35,20.85,20.85,"4,430","May 05, 2023"
04-05-2023,20.75,21.10,20.20,20.85,20.85,"24,238","May 04, 2023"
03-05-2023,21.60,22.20,20.60,21.25,21.25,"20,303","May 03, 2023"
02-05-2023,22.30,22.85,21.40,21.60,21.60,"49,421","May 02, 2023"
28-04-2023,22.20,23.00,21.55,21.80,21.80,"19,562","Apr 28, 2023"
27-04-2023,23.00,23.00,22.00,22.30,22.30,"16,608","Apr 27, 2023"
26-04-2023,21.45,23.00,21.45,22.40,22.40,"31,041","Apr 26, 2023"
25-04-2023,22.05,22.20,21.20,22.00,22.00,"64,068","Apr 25, 2023"
24-04-2023,20.15,21.15,19.45,21.15,21.15,"25,820","Apr 24, 2023"
21-04-2023,20.30,20.60,19.60,20.15,20.15,"13,733","Apr 21, 2023"
20-04-2023,21.35,21.40,20.30,20.40,20.40,"20,727","Apr 20, 2023"
19-04-2023,21.30,21.85,20.15,21.35,21.35,"19,760","Apr 19, 2023"
18-04-2023,22.00,22.95,20.80,20.85,20.85,"86,449","Apr 18, 2023"
17-04-2023,20.20,21.90,20.20,21.90,21.90,"23,957","Apr 17, 2023"
13-04-2023,20.85,21.00,20.55,20.90,20.90,"21,353","Apr 13, 2023"
12-04-2023,21.30,22.25,20.35,20.95,20.95,"26,514","Apr 12, 2023"
11-04-2023,22.00,22.40,20.75,21.35,21.35,"36,921","Apr 11, 2023"
10-04-2023,24.00,24.05,21.80,21.80,21.80,"89,469","Apr 10, 2023"
06-04-2023,20.80,22.95,20.80,22.95,22.95,"120,894","Apr 06, 2023"
05-04-2023,21.90,21.90,21.90,21.90,21.90,"4,031","Apr 05, 2023"
03-04-2023,23.05,23.05,23.05,23.05,23.05,"7,955","Apr 03, 2023"
31-03-2023,24.25,24.25,24.25,24.25,24.25,"2,486","Mar 31, 2023"
29-03-2023,28.10,28.10,25.50,25.50,25.50,"46,507","Mar 29, 2023"
28-03-2023,26.80,26.80,26.80,26.80,26.80,"37,002","Mar 28, 2023"
27-03-2023,25.55,25.55,24.95,25.55,25.55,"54,537","Mar 27, 2023"
24-03-2023,24.35,24.35,24.20,24.35,24.35,"33,349","Mar 24, 2023"
23-03-2023,22.40,23.20,21.00,23.20,23.20,"82,956","Mar 23, 2023"
22-03-2023,18.90,21.10,18.75,21.10,21.10,"70,439","Mar 22, 2023"
21-03-2023,18.40,19.25,17.35,19.20,19.20,"35,328","Mar 21, 2023"
20-03-2023,19.30,19.30,17.15,17.50,17.50,"19,940","Mar 20, 2023"
17-03-2023,17.15,18.85,17.00,18.80,18.80,"39,040","Mar 17, 2023"
16-03-2023,17.15,17.60,16.95,17.15,17.15,"4,388","Mar 16, 2023"
15-03-2023,17.10,17.90,17.05,17.25,17.25,"7,924","Mar 15, 2023"
14-03-2023,18.00,18.00,17.10,17.25,17.25,"3,090","Mar 14, 2023"
13-03-2023,18.10,18.30,17.10,17.35,17.35,"11,891","Mar 13, 2023"
10-03-2023,18.60,18.85,17.50,18.10,18.10,"3,713","Mar 10, 2023"
09-03-2023,20.75,20.95,18.50,18.95,18.95,"44,639","Mar 09, 2023"
08-03-2023,18.30,19.50,17.00,19.30,19.30,"44,137","Mar 08, 2023"
06-03-2023,18.25,18.25,17.40,17.75,17.75,"3,429","Mar 06, 2023"
