date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,42.00,43.45,40.55,42.70,42.70,"4,806","Aug 25, 2023"
24-08-2023,43.05,45.00,41.90,42.00,42.00,"13,622","Aug 24, 2023"
23-08-2023,44.40,44.40,42.90,43.95,43.95,"3,551","Aug 23, 2023"
22-08-2023,42.15,43.90,42.15,42.75,42.75,"8,829","Aug 22, 2023"
21-08-2023,43.80,44.00,42.00,43.00,43.00,"4,440","Aug 21, 2023"
18-08-2023,43.45,43.45,40.65,42.70,42.70,"7,564","Aug 18, 2023"
17-08-2023,43.00,43.00,40.65,41.85,41.85,"4,688","Aug 17, 2023"
16-08-2023,42.05,43.65,42.05,42.45,42.45,"14,354","Aug 16, 2023"
14-08-2023,47.20,47.20,43.80,44.25,44.25,"9,534","Aug 14, 2023"
11-08-2023,47.00,48.00,44.35,45.80,45.80,"8,610","Aug 11, 2023"
10-08-2023,48.85,48.85,46.45,46.65,46.65,"4,222","Aug 10, 2023"
09-08-2023,48.10,48.10,46.50,47.65,47.65,"26,943","Aug 09, 2023"
08-08-2023,45.95,46.00,45.05,45.85,45.85,"13,935","Aug 08, 2023"
07-08-2023,45.00,45.75,44.10,44.25,44.25,961,"Aug 07, 2023"
04-08-2023,45.90,45.90,43.60,44.35,44.35,"10,359","Aug 04, 2023"
03-08-2023,46.95,46.95,45.00,45.90,45.90,"11,712","Aug 03, 2023"
02-08-2023,42.50,45.15,42.50,45.10,45.10,"14,962","Aug 02, 2023"
01-08-2023,42.55,43.80,42.55,43.00,43.00,"3,955","Aug 01, 2023"
31-07-2023,43.50,43.50,42.10,42.55,42.55,"2,337","Jul 31, 2023"
28-07-2023,42.40,43.60,41.00,42.25,42.25,"4,248","Jul 28, 2023"
27-07-2023,42.40,43.40,42.30,42.75,42.75,"5,774","Jul 27, 2023"
26-07-2023,43.80,44.00,41.00,41.85,41.85,"31,695","Jul 26, 2023"
25-07-2023,44.75,45.90,42.60,42.60,42.60,"22,667","Jul 25, 2023"
24-07-2023,45.95,45.95,43.65,44.85,44.85,"6,855","Jul 24, 2023"
21-07-2023,45.20,46.80,44.60,45.95,45.95,"6,502","Jul 21, 2023"
20-07-2023,45.55,45.90,44.55,45.25,45.25,"6,420","Jul 20, 2023"
19-07-2023,45.30,46.40,44.55,45.90,45.90,"2,346","Jul 19, 2023"
18-07-2023,47.00,47.00,44.65,45.50,45.50,"11,173","Jul 18, 2023"
17-07-2023,48.50,48.50,46.00,46.80,46.80,"5,219","Jul 17, 2023"
14-07-2023,47.00,48.10,46.10,47.50,47.50,"3,846","Jul 14, 2023"
13-07-2023,46.40,47.15,46.10,47.00,47.00,"9,106","Jul 13, 2023"
12-07-2023,47.00,47.40,45.75,46.25,46.25,"7,151","Jul 12, 2023"
11-07-2023,48.15,48.15,46.75,47.00,47.00,"2,198","Jul 11, 2023"
10-07-2023,49.85,49.85,46.65,48.20,48.20,"6,506","Jul 10, 2023"
07-07-2023,48.90,49.10,46.75,48.80,48.80,"10,264","Jul 07, 2023"
06-07-2023,48.20,49.20,48.20,49.15,49.15,"3,556","Jul 06, 2023"
05-07-2023,47.55,49.65,47.55,48.20,48.20,"4,506","Jul 05, 2023"
04-07-2023,46.70,48.95,46.70,47.50,47.50,"13,750","Jul 04, 2023"
03-07-2023,47.40,49.50,47.00,47.35,47.35,"8,177","Jul 03, 2023"
30-06-2023,48.00,48.60,46.50,48.20,48.20,"8,524","Jun 30, 2023"
28-06-2023,48.25,48.25,48.25,48.25,48.25,-,"Jun 28, 2023"
27-06-2023,47.75,49.60,46.00,48.25,48.25,"9,370","Jun 27, 2023"
26-06-2023,48.75,49.00,47.35,47.75,47.75,"4,179","Jun 26, 2023"
23-06-2023,48.80,50.90,48.80,49.70,49.70,"7,335","Jun 23, 2023"
22-06-2023,50.90,50.90,48.05,48.80,48.80,"14,553","Jun 22, 2023"
21-06-2023,52.40,52.40,49.80,50.15,50.15,"22,665","Jun 21, 2023"
20-06-2023,56.15,56.15,52.05,52.40,52.40,"34,578","Jun 20, 2023"
19-06-2023,55.05,57.50,54.75,54.75,54.75,"30,558","Jun 19, 2023"
16-06-2023,59.90,59.90,56.55,57.60,57.60,"25,205","Jun 16, 2023"
15-06-2023,60.00,62.30,59.40,59.40,59.40,"45,765","Jun 15, 2023"
14-06-2023,65.95,68.00,61.45,62.50,62.50,"533,550","Jun 14, 2023"
13-06-2023,55.05,63.90,55.05,63.70,63.70,"1,524,759","Jun 13, 2023"
12-06-2023,44.40,53.25,44.40,53.25,53.25,"229,520","Jun 12, 2023"
09-06-2023,46.60,47.00,44.10,44.40,44.40,"28,306","Jun 09, 2023"
08-06-2023,48.00,48.40,45.25,46.60,46.60,"35,229","Jun 08, 2023"
07-06-2023,49.90,50.50,47.30,47.85,47.85,"49,435","Jun 07, 2023"
06-06-2023,50.75,51.00,48.00,49.20,49.20,"52,154","Jun 06, 2023"
05-06-2023,46.80,50.75,46.80,48.95,48.95,"152,352","Jun 05, 2023"
02-06-2023,41.60,48.50,41.60,46.70,46.70,"203,400","Jun 02, 2023"
01-06-2023,43.00,43.00,40.65,42.30,42.30,"20,241","Jun 01, 2023"
31-05-2023,43.40,43.40,41.30,42.10,42.10,"42,876","May 31, 2023"
30-05-2023,43.95,44.45,40.00,40.45,40.45,"72,830","May 30, 2023"
29-05-2023,39.00,43.90,37.30,43.80,43.80,"351,267","May 29, 2023"
26-05-2023,36.90,36.95,36.05,36.60,36.60,"4,094","May 26, 2023"
25-05-2023,36.05,36.90,36.05,36.35,36.35,"7,531","May 25, 2023"
24-05-2023,35.60,36.55,35.60,36.00,36.00,"1,487","May 24, 2023"
