date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,283.20,286.40,278.00,282.65,282.65,"7,065","Aug 25, 2023"
24-08-2023,281.10,288.00,279.05,282.60,282.60,"10,352","Aug 24, 2023"
23-08-2023,280.10,284.00,276.05,280.70,280.70,"11,231","Aug 23, 2023"
22-08-2023,277.50,284.20,277.50,280.45,280.45,"6,911","Aug 22, 2023"
21-08-2023,279.45,286.85,277.50,278.60,278.60,"5,100","Aug 21, 2023"
18-08-2023,281.95,284.00,277.00,279.25,279.25,"8,514","Aug 18, 2023"
17-08-2023,275.05,285.45,272.00,282.10,282.10,"4,507","Aug 17, 2023"
16-08-2023,271.60,276.90,268.20,274.60,274.60,"4,564","Aug 16, 2023"
14-08-2023,280.00,280.00,268.90,272.30,272.30,"12,603","Aug 14, 2023"
11-08-2023,283.75,285.95,280.15,281.40,281.40,"7,891","Aug 11, 2023"
10-08-2023,288.00,289.90,282.05,283.75,283.75,"15,671","Aug 10, 2023"
09-08-2023,295.25,295.25,286.00,292.00,292.00,"5,196","Aug 09, 2023"
08-08-2023,290.00,292.95,284.95,286.65,286.65,"15,120","Aug 08, 2023"
07-08-2023,287.05,296.00,287.00,294.40,294.40,"11,688","Aug 07, 2023"
04-08-2023,286.00,291.85,286.00,287.00,287.00,"6,989","Aug 04, 2023"
03-08-2023,290.60,294.95,282.05,285.60,285.60,"7,056","Aug 03, 2023"
02-08-2023,295.00,297.60,286.00,287.45,287.45,"7,504","Aug 02, 2023"
01-08-2023,295.00,297.80,291.00,291.55,291.55,"5,444","Aug 01, 2023"
31-07-2023,292.00,297.50,287.55,292.70,292.70,"6,342","Jul 31, 2023"
28-07-2023,290.00,296.00,286.80,287.75,287.75,"3,875","Jul 28, 2023"
27-07-2023,289.00,293.90,288.00,289.70,289.70,"4,490","Jul 27, 2023"
26-07-2023,292.00,296.90,285.55,289.30,289.30,"6,587","Jul 26, 2023"
25-07-2023,299.10,300.50,287.35,290.55,290.55,"7,011","Jul 25, 2023"
24-07-2023,297.45,303.35,294.85,295.65,295.65,"3,234","Jul 24, 2023"
21-07-2023,303.45,303.45,294.05,297.45,297.45,"4,350","Jul 21, 2023"
20-07-2023,304.80,306.25,296.15,297.55,297.55,"7,558","Jul 20, 2023"
19-07-2023,295.20,304.00,295.00,299.20,299.20,"15,449","Jul 19, 2023"
18-07-2023,299.60,301.35,292.00,293.35,293.35,"6,742","Jul 18, 2023"
17-07-2023,303.45,307.45,293.75,296.60,296.60,"18,081","Jul 17, 2023"
14-07-2023,303.75,303.75,292.55,297.55,297.55,"9,096","Jul 14, 2023"
13-07-2023,308.85,308.90,293.55,298.30,298.30,"12,963","Jul 13, 2023"
12-07-2023,283.90,308.45,283.60,303.30,303.30,"19,560","Jul 12, 2023"
11-07-2023,286.00,291.15,282.20,283.90,283.90,"5,076","Jul 11, 2023"
10-07-2023,298.00,298.00,285.00,285.50,285.50,"4,659","Jul 10, 2023"
07-07-2023,295.75,296.40,286.45,290.50,290.50,"6,360","Jul 07, 2023"
06-07-2023,293.55,298.75,286.00,291.00,291.00,"11,181","Jul 06, 2023"
05-07-2023,290.00,297.95,290.00,293.35,293.35,"3,734","Jul 05, 2023"
04-07-2023,296.20,299.00,292.00,294.30,294.30,"5,370","Jul 04, 2023"
03-07-2023,297.00,299.85,290.00,293.65,293.65,"5,447","Jul 03, 2023"
30-06-2023,294.00,299.00,294.00,297.20,297.20,"6,734","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,300.70,303.00,292.15,293.15,293.15,"12,053","Jun 27, 2023"
26-06-2023,307.00,307.00,296.00,296.25,296.25,"5,045","Jun 26, 2023"
23-06-2023,309.50,311.95,300.10,303.05,303.05,"8,590","Jun 23, 2023"
22-06-2023,309.50,313.00,300.75,305.65,305.65,"21,029","Jun 22, 2023"
21-06-2023,305.00,309.95,302.05,303.00,303.00,"12,986","Jun 21, 2023"
20-06-2023,303.35,307.70,300.45,301.95,301.95,"9,242","Jun 20, 2023"
19-06-2023,302.90,310.00,299.10,303.35,303.35,"35,938","Jun 19, 2023"
16-06-2023,289.00,301.00,289.00,297.90,297.90,"10,603","Jun 16, 2023"
15-06-2023,299.80,302.90,291.55,292.25,292.25,"16,671","Jun 15, 2023"
14-06-2023,283.90,304.00,283.90,297.50,297.50,"52,402","Jun 14, 2023"
13-06-2023,278.00,297.00,273.80,281.00,281.00,"35,411","Jun 13, 2023"
12-06-2023,268.50,275.40,268.50,273.50,273.50,"3,429","Jun 12, 2023"
09-06-2023,273.00,277.30,272.05,273.40,273.40,"5,267","Jun 09, 2023"
08-06-2023,273.05,277.00,272.00,273.20,273.20,"7,685","Jun 08, 2023"
07-06-2023,277.50,277.85,273.05,274.85,274.85,"11,342","Jun 07, 2023"
06-06-2023,275.00,279.95,272.50,273.85,273.85,"17,223","Jun 06, 2023"
05-06-2023,278.50,278.50,271.50,272.80,272.80,"5,771","Jun 05, 2023"
02-06-2023,280.50,280.50,271.10,271.80,271.80,"7,362","Jun 02, 2023"
01-06-2023,278.95,279.95,273.00,273.85,273.85,"8,275","Jun 01, 2023"
31-05-2023,285.50,285.50,273.00,275.25,275.25,"7,005","May 31, 2023"
30-05-2023,285.40,286.05,279.15,280.40,280.40,"8,829","May 30, 2023"
29-05-2023,281.00,293.90,277.10,282.05,282.05,"16,060","May 29, 2023"
26-05-2023,285.50,288.00,276.05,280.65,280.65,"11,675","May 26, 2023"
25-05-2023,280.00,283.95,277.55,280.25,280.25,"8,146","May 25, 2023"
