date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,238.40,247.90,237.05,242.90,242.90,"37,537","Aug 25, 2023"
24-08-2023,241.00,241.40,237.00,238.80,238.80,"20,543","Aug 24, 2023"
23-08-2023,244.15,244.25,235.05,236.65,236.65,"17,774","Aug 23, 2023"
22-08-2023,240.05,245.50,238.55,240.55,240.55,"27,031","Aug 22, 2023"
21-08-2023,240.15,243.85,234.00,239.60,239.60,"31,996","Aug 21, 2023"
18-08-2023,232.20,238.35,228.00,236.55,236.55,"33,540","Aug 18, 2023"
17-08-2023,230.05,235.00,228.00,232.20,232.20,"14,784","Aug 17, 2023"
16-08-2023,226.00,233.00,226.00,231.95,231.95,"13,273","Aug 16, 2023"
14-08-2023,226.75,232.00,223.15,230.55,230.55,"23,217","Aug 14, 2023"
11-08-2023,227.15,228.90,226.00,226.75,226.75,"7,722","Aug 11, 2023"
10-08-2023,228.25,231.35,226.00,227.10,227.10,"35,904","Aug 10, 2023"
09-08-2023,233.90,242.00,229.50,238.35,238.35,"20,267","Aug 09, 2023"
08-08-2023,235.55,235.95,230.35,232.90,232.90,"9,504","Aug 08, 2023"
07-08-2023,241.90,242.95,234.95,235.55,235.55,"10,615","Aug 07, 2023"
04-08-2023,270.00,270.00,236.00,238.95,238.95,"37,350","Aug 04, 2023"
03-08-2023,227.60,231.85,227.60,229.25,229.25,"10,320","Aug 03, 2023"
02-08-2023,230.70,234.85,226.65,227.60,227.60,"18,425","Aug 02, 2023"
01-08-2023,229.50,232.80,229.50,230.65,230.65,"12,943","Aug 01, 2023"
31-07-2023,223.00,231.60,223.00,229.40,229.40,"11,922","Jul 31, 2023"
28-07-2023,226.00,229.85,225.40,227.10,227.10,"12,954","Jul 28, 2023"
27-07-2023,227.00,231.45,224.05,227.25,227.25,"17,070","Jul 27, 2023"
26-07-2023,228.30,232.15,222.35,225.90,225.90,"21,315","Jul 26, 2023"
25-07-2023,228.60,232.95,226.10,227.65,227.65,"12,974","Jul 25, 2023"
24-07-2023,234.95,234.95,228.00,228.70,228.70,"11,077","Jul 24, 2023"
21-07-2023,232.15,235.00,230.00,231.35,231.35,"9,847","Jul 21, 2023"
20-07-2023,239.20,240.00,230.60,232.15,232.15,"13,163","Jul 20, 2023"
19-07-2023,228.50,242.45,226.95,237.00,237.00,"37,359","Jul 19, 2023"
18-07-2023,233.00,237.10,225.05,227.40,227.40,"47,893","Jul 18, 2023"
17-07-2023,237.00,239.00,230.50,233.75,233.75,"31,958","Jul 17, 2023"
14-07-2023,237.05,239.95,234.00,236.00,236.00,"16,311","Jul 14, 2023"
13-07-2023,246.90,246.90,231.00,234.90,234.90,"36,148","Jul 13, 2023"
12-07-2023,247.80,247.80,239.10,245.55,245.55,"25,107","Jul 12, 2023"
11-07-2023,247.00,247.20,243.00,243.70,243.70,"5,396","Jul 11, 2023"
10-07-2023,240.00,248.00,240.00,242.85,242.85,"9,318","Jul 10, 2023"
07-07-2023,247.35,248.20,242.50,244.15,244.15,"9,670","Jul 07, 2023"
06-07-2023,246.85,248.95,244.00,245.15,245.15,"8,314","Jul 06, 2023"
05-07-2023,246.05,248.90,242.70,244.50,244.50,"15,039","Jul 05, 2023"
04-07-2023,249.55,255.00,245.00,245.85,245.85,"12,871","Jul 04, 2023"
03-07-2023,251.95,252.00,243.70,245.75,245.75,"11,692","Jul 03, 2023"
30-06-2023,250.55,251.75,246.00,246.70,246.70,"10,303","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,252.55,254.60,251.05,252.75,252.75,"6,226","Jun 27, 2023"
26-06-2023,250.65,253.20,247.00,248.55,248.55,"8,600","Jun 26, 2023"
23-06-2023,258.20,258.20,248.00,250.65,250.65,"21,041","Jun 23, 2023"
22-06-2023,263.10,267.00,253.80,254.70,254.70,"21,902","Jun 22, 2023"
21-06-2023,258.60,267.00,258.60,260.50,260.50,"21,739","Jun 21, 2023"
20-06-2023,261.00,262.45,256.00,256.50,256.50,"11,334","Jun 20, 2023"
19-06-2023,264.55,270.90,259.15,260.55,260.55,"43,730","Jun 19, 2023"
16-06-2023,260.35,264.90,260.10,261.95,261.95,"26,814","Jun 16, 2023"
15-06-2023,263.05,264.85,255.00,257.80,257.80,"17,716","Jun 15, 2023"
14-06-2023,259.90,270.95,258.55,263.05,263.05,"62,394","Jun 14, 2023"
13-06-2023,242.85,268.80,241.55,258.25,258.25,"104,909","Jun 13, 2023"
12-06-2023,242.10,243.55,240.00,240.95,240.95,"8,019","Jun 12, 2023"
09-06-2023,244.30,244.40,239.60,241.80,241.80,"9,383","Jun 09, 2023"
08-06-2023,244.55,246.05,239.10,240.95,240.95,"18,120","Jun 08, 2023"
07-06-2023,246.50,246.50,241.35,242.40,242.40,"25,856","Jun 07, 2023"
06-06-2023,239.40,246.00,239.40,243.70,243.70,"22,390","Jun 06, 2023"
05-06-2023,241.00,243.30,239.30,240.70,240.70,"41,627","Jun 05, 2023"
02-06-2023,246.95,249.45,238.55,240.85,240.85,"50,975","Jun 02, 2023"
01-06-2023,245.00,248.50,244.90,246.60,246.60,"14,994","Jun 01, 2023"
31-05-2023,258.75,258.75,245.55,247.10,247.10,"42,065","May 31, 2023"
30-05-2023,262.10,269.00,250.60,259.05,259.05,"12,153","May 30, 2023"
29-05-2023,266.00,269.90,259.30,262.80,262.80,"25,250","May 29, 2023"
26-05-2023,257.00,263.45,257.00,261.85,261.85,"7,027","May 26, 2023"
25-05-2023,261.40,261.40,255.50,259.95,259.95,"11,889","May 25, 2023"
24-05-2023,255.20,262.25,253.00,257.55,257.55,"10,312","May 24, 2023"
23-05-2023,264.05,265.85,256.35,258.05,258.05,"9,903","May 23, 2023"
22-05-2023,261.90,265.45,257.00,262.25,262.25,"13,549","May 22, 2023"
19-05-2023,264.00,266.15,256.30,258.35,258.35,"10,213","May 19, 2023"
18-05-2023,261.70,269.90,261.65,263.20,263.20,"13,065","May 18, 2023"
17-05-2023,272.50,273.90,261.00,261.65,261.65,"14,515","May 17, 2023"
16-05-2023,265.00,272.00,265.00,268.00,268.00,"17,472","May 16, 2023"
15-05-2023,269.05,269.05,261.05,261.90,261.90,"12,097","May 15, 2023"
12-05-2023,266.75,270.00,264.00,266.70,266.70,"6,102","May 12, 2023"
11-05-2023,267.70,270.75,265.15,266.75,266.75,"9,146","May 11, 2023"
10-05-2023,275.40,275.40,264.00,267.70,267.70,"18,195","May 10, 2023"
09-05-2023,273.55,283.00,271.35,273.35,273.35,"39,607","May 09, 2023"
08-05-2023,271.10,277.25,270.25,271.30,271.30,"13,894","May 08, 2023"
05-05-2023,273.60,277.00,272.15,272.60,272.60,"15,266","May 05, 2023"
04-05-2023,276.85,278.70,270.50,272.00,272.00,"44,727","May 04, 2023"
03-05-2023,276.45,289.60,275.10,276.85,276.85,"70,361","May 03, 2023"
02-05-2023,276.50,283.80,275.10,276.55,276.55,"32,040","May 02, 2023"
28-04-2023,278.80,280.00,272.05,274.05,274.05,"17,228","Apr 28, 2023"
