date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,312.90,314.15,308.85,310.05,310.05,"152,491","Aug 25, 2023"
24-08-2023,315.00,318.00,311.80,313.35,313.35,"328,964","Aug 24, 2023"
23-08-2023,315.00,315.00,310.00,311.05,311.05,"2,832,796","Aug 23, 2023"
22-08-2023,315.75,316.90,308.50,310.35,310.35,"650,251","Aug 22, 2023"
21-08-2023,311.00,315.80,310.50,314.95,314.95,"262,822","Aug 21, 2023"
18-08-2023,318.75,318.75,310.00,312.35,312.35,"258,579","Aug 18, 2023"
17-08-2023,314.95,320.40,309.60,317.95,317.95,"492,058","Aug 17, 2023"
16-08-2023,312.50,315.75,310.10,314.00,314.00,"378,562","Aug 16, 2023"
14-08-2023,319.65,319.70,310.05,314.65,314.65,"418,967","Aug 14, 2023"
11-08-2023,322.60,323.95,318.20,319.65,319.65,"234,140","Aug 11, 2023"
10-08-2023,318.00,326.55,316.05,320.90,320.90,"682,740","Aug 10, 2023"
09-08-2023,311.50,318.00,310.00,316.00,316.00,"596,091","Aug 09, 2023"
08-08-2023,310.05,315.10,307.20,309.90,309.90,"248,510","Aug 08, 2023"
07-08-2023,312.05,312.70,306.05,310.05,310.05,"267,510","Aug 07, 2023"
04-08-2023,314.35,315.10,307.85,311.05,311.05,"344,588","Aug 04, 2023"
03-08-2023,312.00,314.55,311.00,312.65,312.65,"285,453","Aug 03, 2023"
02-08-2023,316.25,318.95,310.20,313.05,313.05,"974,176","Aug 02, 2023"
01-08-2023,318.00,322.45,312.75,316.10,316.10,"596,568","Aug 01, 2023"
31-07-2023,320.60,320.60,312.50,316.30,316.30,"447,631","Jul 31, 2023"
28-07-2023,318.60,322.50,315.60,318.95,318.95,"795,480","Jul 28, 2023"
27-07-2023,309.65,318.50,309.65,316.95,316.95,"1,024,648","Jul 27, 2023"
26-07-2023,315.70,318.00,309.00,312.20,312.20,"724,463","Jul 26, 2023"
25-07-2023,317.00,317.95,312.85,315.70,315.70,"378,173","Jul 25, 2023"
24-07-2023,311.80,316.85,307.30,316.00,316.00,"679,645","Jul 24, 2023"
21-07-2023,311.70,315.70,307.00,312.30,312.30,"1,132,492","Jul 21, 2023"
20-07-2023,300.00,312.95,297.05,311.30,311.30,"3,268,606","Jul 20, 2023"
19-07-2023,299.95,300.00,295.70,297.05,297.05,"284,790","Jul 19, 2023"
18-07-2023,299.95,299.95,296.00,298.60,298.60,"377,851","Jul 18, 2023"
17-07-2023,298.55,299.35,296.10,298.55,298.55,"299,707","Jul 17, 2023"
14-07-2023,293.00,300.00,292.70,297.05,297.05,"624,869","Jul 14, 2023"
13-07-2023,299.00,300.00,290.25,292.45,292.45,"556,629","Jul 13, 2023"
12-07-2023,295.50,301.00,295.50,297.45,297.45,"1,270,653","Jul 12, 2023"
11-07-2023,287.25,294.15,285.15,293.25,293.25,"759,485","Jul 11, 2023"
10-07-2023,286.50,289.50,285.10,286.90,286.90,"334,228","Jul 10, 2023"
07-07-2023,287.70,290.90,280.35,286.50,286.50,"790,637","Jul 07, 2023"
06-07-2023,285.95,291.45,284.10,286.35,286.35,"1,664,631","Jul 06, 2023"
05-07-2023,285.70,291.70,283.00,285.20,285.20,"601,579","Jul 05, 2023"
04-07-2023,285.00,287.00,281.50,285.05,285.05,"778,130","Jul 04, 2023"
03-07-2023,289.95,293.00,282.00,285.30,285.30,"2,486,662","Jul 03, 2023"
30-06-2023,260.00,300.80,260.00,288.15,288.15,"15,887,417","Jun 30, 2023"
30-06-2023,7.5 Dividend,,,,,,"Jun 30, 2023"
29-06-2023,7.5 Dividend,,,,,,"Jun 29, 2023"
28-06-2023,258.20,258.20,258.20,258.20,243.42,-,"Jun 28, 2023"
27-06-2023,257.00,261.00,255.80,258.20,243.42,"460,910","Jun 27, 2023"
26-06-2023,250.95,257.95,249.80,256.00,241.34,"326,263","Jun 26, 2023"
23-06-2023,254.20,257.00,248.75,250.50,236.16,"460,552","Jun 23, 2023"
22-06-2023,255.95,262.00,252.75,254.05,239.51,"1,230,580","Jun 22, 2023"
21-06-2023,255.00,256.40,252.50,254.85,240.26,"613,407","Jun 21, 2023"
20-06-2023,247.80,254.00,247.35,252.30,237.86,"1,162,399","Jun 20, 2023"
19-06-2023,247.55,248.50,245.10,246.20,232.10,"329,916","Jun 19, 2023"
16-06-2023,246.40,249.70,245.25,246.35,232.25,"494,029","Jun 16, 2023"
15-06-2023,244.25,247.95,243.05,245.25,231.21,"322,988","Jun 15, 2023"
14-06-2023,245.10,246.90,243.00,244.10,230.13,"239,490","Jun 14, 2023"
13-06-2023,246.15,246.15,244.50,244.90,230.88,"246,386","Jun 13, 2023"
12-06-2023,246.65,246.65,244.10,244.95,230.93,"172,875","Jun 12, 2023"
09-06-2023,251.15,251.20,244.45,244.85,230.83,"342,322","Jun 09, 2023"
08-06-2023,256.55,256.80,249.50,250.15,235.83,"350,650","Jun 08, 2023"
07-06-2023,257.10,258.00,255.15,256.55,241.86,"336,709","Jun 07, 2023"
06-06-2023,251.85,256.50,250.75,255.15,240.54,"826,686","Jun 06, 2023"
05-06-2023,248.40,251.60,247.35,250.40,236.06,"306,774","Jun 05, 2023"
02-06-2023,249.20,251.00,246.50,247.05,232.91,"165,988","Jun 02, 2023"
01-06-2023,250.00,251.50,246.15,247.85,233.66,"296,798","Jun 01, 2023"
31-05-2023,245.75,251.00,242.00,249.75,235.45,"463,927","May 31, 2023"
30-05-2023,247.00,247.00,243.50,245.75,231.68,"591,436","May 30, 2023"
29-05-2023,237.95,246.00,237.55,244.15,230.17,"969,898","May 29, 2023"
26-05-2023,231.10,237.20,231.05,236.70,223.15,"279,633","May 26, 2023"
25-05-2023,232.50,234.45,230.30,231.10,217.87,"210,982","May 25, 2023"
24-05-2023,235.00,236.15,231.90,232.80,219.47,"185,040","May 24, 2023"
23-05-2023,237.80,237.80,234.00,235.30,221.83,"257,897","May 23, 2023"
22-05-2023,236.30,237.50,232.50,237.00,223.43,"864,645","May 22, 2023"
19-05-2023,234.50,237.40,233.10,236.30,222.77,"295,938","May 19, 2023"
18-05-2023,236.55,239.00,235.50,235.95,222.44,"119,217","May 18, 2023"
17-05-2023,237.95,238.45,234.50,235.90,222.39,"138,609","May 17, 2023"
16-05-2023,240.00,240.55,237.00,237.50,223.90,"164,866","May 16, 2023"
15-05-2023,236.95,242.00,235.55,240.15,226.40,"290,797","May 15, 2023"
12-05-2023,237.75,239.55,235.30,236.95,223.38,"315,069","May 12, 2023"
11-05-2023,236.50,238.90,234.95,237.80,224.19,"564,932","May 11, 2023"
10-05-2023,240.00,240.00,235.10,236.25,222.72,"300,357","May 10, 2023"
09-05-2023,237.50,241.85,236.30,239.10,225.41,"684,652","May 09, 2023"
08-05-2023,236.75,238.50,234.75,235.65,222.16,"847,717","May 08, 2023"
05-05-2023,237.00,237.60,231.80,235.00,221.55,"1,381,830","May 05, 2023"
04-05-2023,240.10,242.55,236.00,236.65,223.10,"256,662","May 04, 2023"
03-05-2023,237.25,244.10,237.25,238.90,225.22,"310,886","May 03, 2023"
02-05-2023,238.50,239.65,237.10,238.15,224.52,"434,702","May 02, 2023"
28-04-2023,237.70,240.00,235.40,238.20,224.56,"187,723","Apr 28, 2023"
27-04-2023,236.50,238.50,236.15,236.70,223.15,"211,006","Apr 27, 2023"
26-04-2023,235.20,237.55,232.05,236.15,222.63,"282,465","Apr 26, 2023"
25-04-2023,234.25,237.45,232.50,235.15,221.69,"154,611","Apr 25, 2023"
24-04-2023,240.00,240.00,233.45,234.55,221.12,"128,070","Apr 24, 2023"
21-04-2023,235.80,238.30,233.80,237.10,223.53,"383,879","Apr 21, 2023"
20-04-2023,232.90,237.80,232.35,235.65,222.16,"624,601","Apr 20, 2023"
19-04-2023,240.00,240.00,230.85,231.85,218.58,"204,694","Apr 19, 2023"
