date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,887.00,891.45,875.50,884.30,884.30,"454,794","Aug 25, 2023"
24-08-2023,896.10,904.00,890.00,891.70,891.70,"590,842","Aug 24, 2023"
23-08-2023,881.30,895.00,878.10,889.85,889.85,"865,444","Aug 23, 2023"
22-08-2023,857.00,892.60,856.95,876.85,876.85,"955,158","Aug 22, 2023"
22-08-2023,7 Dividend,,,,,,"Aug 22, 2023"
21-08-2023,869.00,876.00,860.00,861.50,854.50,"566,804","Aug 21, 2023"
18-08-2023,860.30,872.90,853.05,864.95,857.92,"1,010,173","Aug 18, 2023"
17-08-2023,834.55,860.00,834.05,856.15,849.19,"1,026,231","Aug 17, 2023"
16-08-2023,820.40,841.95,812.00,831.50,824.74,"841,353","Aug 16, 2023"
14-08-2023,845.10,852.25,818.95,825.35,818.64,"669,589","Aug 14, 2023"
11-08-2023,882.40,887.45,845.10,848.25,841.36,"834,032","Aug 11, 2023"
10-08-2023,916.00,916.00,867.25,876.05,868.93,"1,452,810","Aug 10, 2023"
09-08-2023,883.90,916.60,882.60,893.65,886.39,"2,997,852","Aug 09, 2023"
08-08-2023,845.10,880.80,845.10,875.85,868.73,"1,239,441","Aug 08, 2023"
07-08-2023,843.70,850.95,827.55,844.95,838.08,"563,598","Aug 07, 2023"
04-08-2023,813.00,841.50,812.55,833.80,827.03,"674,194","Aug 04, 2023"
03-08-2023,801.85,816.30,793.60,807.25,800.69,"393,264","Aug 03, 2023"
02-08-2023,821.30,824.75,785.00,801.90,795.38,"611,555","Aug 02, 2023"
01-08-2023,837.00,838.90,820.00,824.75,818.05,"390,461","Aug 01, 2023"
31-07-2023,840.00,859.70,825.25,833.95,827.17,"1,010,823","Jul 31, 2023"
28-07-2023,841.00,844.00,816.50,827.20,820.48,"839,456","Jul 28, 2023"
27-07-2023,800.00,834.00,796.45,828.95,822.21,"1,391,520","Jul 27, 2023"
26-07-2023,785.15,797.80,773.65,793.85,787.40,"511,459","Jul 26, 2023"
25-07-2023,771.00,784.00,755.30,779.60,773.27,"503,812","Jul 25, 2023"
24-07-2023,772.45,773.00,748.00,769.75,763.50,"653,789","Jul 24, 2023"
21-07-2023,780.00,780.00,750.00,768.50,762.26,"1,132,997","Jul 21, 2023"
20-07-2023,717.00,758.80,716.95,752.95,746.83,"1,760,161","Jul 20, 2023"
19-07-2023,714.90,739.70,711.75,714.65,708.84,"698,978","Jul 19, 2023"
18-07-2023,722.70,726.70,708.05,713.60,707.80,"370,935","Jul 18, 2023"
17-07-2023,721.00,729.95,708.15,719.10,713.26,"697,909","Jul 17, 2023"
14-07-2023,690.00,721.95,687.50,714.00,708.20,"1,881,755","Jul 14, 2023"
13-07-2023,678.00,685.00,672.30,681.40,675.86,"426,841","Jul 13, 2023"
12-07-2023,676.25,684.80,667.80,671.15,665.70,"321,508","Jul 12, 2023"
