date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,25.50,26.30,25.15,25.90,25.90,"589,744","Aug 25, 2023"
24-08-2023,25.70,27.40,25.50,25.80,25.80,"1,126,389","Aug 24, 2023"
23-08-2023,25.20,25.65,25.10,25.50,25.50,"360,232","Aug 23, 2023"
22-08-2023,24.85,25.65,24.80,25.05,25.05,"547,826","Aug 22, 2023"
21-08-2023,24.20,24.80,24.00,24.60,24.60,"279,027","Aug 21, 2023"
18-08-2023,24.15,24.65,23.75,24.05,24.05,"268,862","Aug 18, 2023"
17-08-2023,24.85,25.35,24.15,24.35,24.35,"417,237","Aug 17, 2023"
16-08-2023,24.75,25.30,24.10,24.75,24.75,"482,996","Aug 16, 2023"
14-08-2023,26.50,26.85,24.50,24.70,24.70,"1,059,498","Aug 14, 2023"
11-08-2023,27.20,27.90,26.50,26.70,26.70,"688,122","Aug 11, 2023"
10-08-2023,26.25,28.25,26.15,27.05,27.05,"1,992,236","Aug 10, 2023"
09-08-2023,26.05,26.55,25.85,26.30,26.30,"632,768","Aug 09, 2023"
08-08-2023,26.20,26.55,25.55,25.80,25.80,"686,665","Aug 08, 2023"
07-08-2023,24.95,26.30,24.75,26.05,26.05,"1,010,281","Aug 07, 2023"
04-08-2023,25.45,25.45,24.55,24.75,24.75,"264,413","Aug 04, 2023"
03-08-2023,24.20,25.75,24.10,25.15,25.15,"767,385","Aug 03, 2023"
02-08-2023,24.80,25.40,23.60,24.00,24.00,"830,884","Aug 02, 2023"
01-08-2023,24.55,25.65,24.45,24.60,24.60,"439,805","Aug 01, 2023"
31-07-2023,25.60,25.80,24.05,24.75,24.75,"510,518","Jul 31, 2023"
28-07-2023,26.40,26.45,25.30,25.55,25.55,"1,095,948","Jul 28, 2023"
27-07-2023,23.10,27.15,22.90,26.40,26.40,"6,026,953","Jul 27, 2023"
26-07-2023,21.75,23.65,21.50,22.95,22.95,"1,409,404","Jul 26, 2023"
25-07-2023,21.45,21.75,21.30,21.50,21.50,"202,862","Jul 25, 2023"
24-07-2023,21.55,21.85,21.30,21.40,21.40,"165,261","Jul 24, 2023"
21-07-2023,21.45,21.70,21.30,21.55,21.55,"266,980","Jul 21, 2023"
20-07-2023,21.80,21.80,21.45,21.50,21.50,"191,029","Jul 20, 2023"
19-07-2023,21.90,22.60,21.45,21.65,21.65,"492,152","Jul 19, 2023"
18-07-2023,21.50,21.95,21.35,21.55,21.55,"216,936","Jul 18, 2023"
17-07-2023,21.25,21.85,21.25,21.50,21.50,"209,938","Jul 17, 2023"
14-07-2023,21.45,21.90,21.25,21.55,21.55,"230,330","Jul 14, 2023"
13-07-2023,21.65,21.65,21.20,21.45,21.45,"391,009","Jul 13, 2023"
12-07-2023,21.35,21.90,20.60,21.25,21.25,"403,290","Jul 12, 2023"
11-07-2023,21.60,21.80,21.15,21.25,21.25,"161,102","Jul 11, 2023"
10-07-2023,21.60,21.75,21.35,21.55,21.55,"330,376","Jul 10, 2023"
07-07-2023,20.60,22.15,20.60,21.45,21.45,"1,045,320","Jul 07, 2023"
06-07-2023,20.50,21.15,20.45,20.65,20.65,"305,143","Jul 06, 2023"
05-07-2023,20.00,21.25,19.80,20.45,20.45,"622,286","Jul 05, 2023"
04-07-2023,20.50,20.50,19.85,19.95,19.95,"174,385","Jul 04, 2023"
03-07-2023,20.75,20.75,20.00,20.25,20.25,"227,908","Jul 03, 2023"
30-06-2023,19.15,21.30,19.00,20.50,20.50,"935,723","Jun 30, 2023"
28-06-2023,19.40,19.40,19.40,19.40,19.40,-,"Jun 28, 2023"
27-06-2023,18.75,19.75,18.75,19.40,19.40,"272,771","Jun 27, 2023"
26-06-2023,19.00,19.15,18.65,18.80,18.80,"186,587","Jun 26, 2023"
23-06-2023,19.50,19.55,18.95,19.05,19.05,"205,619","Jun 23, 2023"
22-06-2023,20.05,20.05,19.40,19.50,19.50,"186,686","Jun 22, 2023"
21-06-2023,20.00,20.20,19.80,19.80,19.80,"410,988","Jun 21, 2023"
20-06-2023,19.85,20.45,19.55,19.90,19.90,"830,577","Jun 20, 2023"
19-06-2023,20.10,20.45,19.25,19.55,19.55,"633,296","Jun 19, 2023"
16-06-2023,21.35,21.35,19.90,20.00,20.00,"1,187,160","Jun 16, 2023"
15-06-2023,18.00,21.50,17.95,21.40,21.40,"8,171,444","Jun 15, 2023"
14-06-2023,17.80,18.00,17.75,17.95,17.95,"156,644","Jun 14, 2023"
13-06-2023,17.85,18.00,17.65,17.80,17.80,"221,541","Jun 13, 2023"
12-06-2023,17.85,17.85,17.50,17.60,17.60,"116,287","Jun 12, 2023"
09-06-2023,18.00,18.00,17.50,17.55,17.55,"119,352","Jun 09, 2023"
08-06-2023,17.80,18.05,17.65,17.75,17.75,"270,788","Jun 08, 2023"
