date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,900.00,920.70,851.05,865.25,865.25,"471,674","Aug 25, 2023"
24-08-2023,810.10,887.50,810.05,887.50,887.50,"575,497","Aug 24, 2023"
23-08-2023,794.95,828.70,792.05,806.85,806.85,"426,957","Aug 23, 2023"
22-08-2023,799.90,812.00,789.00,792.50,792.50,"102,884","Aug 22, 2023"
21-08-2023,816.45,823.90,782.70,796.30,796.30,"306,496","Aug 21, 2023"
18-08-2023,825.00,832.95,810.05,815.10,815.10,"302,005","Aug 18, 2023"
17-08-2023,830.00,836.55,811.00,823.10,823.10,"137,513","Aug 17, 2023"
16-08-2023,849.20,856.25,823.30,826.15,826.15,"175,004","Aug 16, 2023"
14-08-2023,811.00,879.00,811.00,849.20,849.20,"352,837","Aug 14, 2023"
11-08-2023,865.00,882.80,856.70,871.00,871.00,"254,524","Aug 11, 2023"
10-08-2023,850.05,869.95,840.00,860.80,860.80,"197,721","Aug 10, 2023"
09-08-2023,861.00,866.90,849.80,852.05,852.05,"181,125","Aug 09, 2023"
08-08-2023,886.10,889.00,854.45,858.65,858.65,"168,235","Aug 08, 2023"
07-08-2023,893.80,899.90,880.00,887.95,887.95,"225,091","Aug 07, 2023"
04-08-2023,898.80,905.00,885.00,892.80,892.80,"491,660","Aug 04, 2023"
03-08-2023,845.65,911.55,845.00,890.30,890.30,"670,122","Aug 03, 2023"
02-08-2023,881.40,888.00,849.85,856.65,856.65,"389,813","Aug 02, 2023"
01-08-2023,879.00,898.95,872.15,881.15,881.15,"432,785","Aug 01, 2023"
31-07-2023,900.00,900.00,857.00,875.55,875.55,"752,821","Jul 31, 2023"
28-07-2023,916.80,934.25,885.20,898.45,898.45,"1,687,691","Jul 28, 2023"
27-07-2023,947.00,952.00,876.05,910.40,910.40,"17,045,692","Jul 27, 2023"
