date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"4,049.00","4,079.90","3,870.80","3,942.30","3,942.30","41,266","Aug 25, 2023"
24-08-2023,"4,000.00","4,124.00","3,990.00","4,041.10","4,041.10","36,386","Aug 24, 2023"
23-08-2023,"3,830.95","3,990.60","3,830.95","3,966.80","3,966.80","29,409","Aug 23, 2023"
22-08-2023,"3,957.95","3,969.00","3,762.20","3,818.25","3,818.25","42,499","Aug 22, 2023"
21-08-2023,"3,789.00","3,971.10","3,750.00","3,923.10","3,923.10","42,298","Aug 21, 2023"
18-08-2023,"4,124.00","4,154.00","3,661.00","3,763.00","3,763.00","113,451","Aug 18, 2023"
17-08-2023,"4,290.05","4,340.00","4,080.35","4,167.60","4,167.60","32,884","Aug 17, 2023"
16-08-2023,"4,042.00","4,335.00","4,011.55","4,290.50","4,290.50","48,677","Aug 16, 2023"
14-08-2023,"4,112.65","4,131.60","3,925.80","4,045.30","4,045.30","30,912","Aug 14, 2023"
11-08-2023,"4,010.05","4,149.00","4,002.10","4,110.85","4,110.85","77,933","Aug 11, 2023"
10-08-2023,"3,990.00","4,026.70","3,901.40","4,010.05","4,010.05","70,239","Aug 10, 2023"
09-08-2023,"3,860.45","3,998.85","3,793.75","3,953.60","3,953.60","81,378","Aug 09, 2023"
08-08-2023,"3,834.75","3,879.80","3,709.05","3,860.45","3,860.45","35,587","Aug 08, 2023"
07-08-2023,"3,759.95","3,849.80","3,654.10","3,834.75","3,834.75","45,582","Aug 07, 2023"
04-08-2023,"3,534.00","3,784.00","3,458.05","3,745.20","3,745.20","128,256","Aug 04, 2023"
03-08-2023,"3,464.05","3,699.80","3,350.00","3,555.60","3,555.60","154,055","Aug 03, 2023"
02-08-2023,"3,479.90","3,515.00","3,302.30","3,446.55","3,446.55","39,776","Aug 02, 2023"
01-08-2023,"3,507.10","3,550.00","3,430.00","3,487.50","3,487.50","60,550","Aug 01, 2023"
31-07-2023,"3,437.40","3,500.00","3,409.10","3,473.70","3,473.70","26,481","Jul 31, 2023"
28-07-2023,"3,442.95","3,477.40","3,380.00","3,409.10","3,409.10","22,117","Jul 28, 2023"
27-07-2023,"3,348.90","3,519.95","3,286.60","3,444.25","3,444.25","67,054","Jul 27, 2023"
26-07-2023,"3,265.05","3,375.00","3,265.00","3,300.50","3,300.50","34,974","Jul 26, 2023"
25-07-2023,"3,222.95","3,316.30","3,174.60","3,265.15","3,265.15","30,306","Jul 25, 2023"
24-07-2023,"3,348.95","3,411.90","3,185.05","3,212.00","3,212.00","47,467","Jul 24, 2023"
21-07-2023,"3,218.35","3,395.00","3,185.00","3,292.00","3,292.00","61,582","Jul 21, 2023"
20-07-2023,"3,133.00","3,275.00","3,133.00","3,218.35","3,218.35","48,072","Jul 20, 2023"
19-07-2023,"3,173.00","3,253.60","3,120.00","3,133.05","3,133.05","34,397","Jul 19, 2023"
18-07-2023,"2,995.00","3,288.95","2,985.00","3,173.05","3,173.05","145,418","Jul 18, 2023"
17-07-2023,"2,997.55","3,001.00","2,900.05","2,941.55","2,941.55","32,882","Jul 17, 2023"
14-07-2023,"2,939.00","3,015.00","2,903.05","2,967.90","2,967.90","26,353","Jul 14, 2023"
13-07-2023,"2,978.95","3,030.00","2,870.10","2,884.45","2,884.45","65,686","Jul 13, 2023"
