date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,43.55,44.30,42.90,43.95,43.95,"4,201","Aug 25, 2023"
24-08-2023,44.15,45.00,43.00,43.55,43.55,"15,804","Aug 24, 2023"
23-08-2023,43.15,45.45,43.15,44.15,44.15,"3,264","Aug 23, 2023"
22-08-2023,44.85,44.85,43.05,44.20,44.20,"4,377","Aug 22, 2023"
21-08-2023,43.60,44.95,42.55,44.50,44.50,"6,960","Aug 21, 2023"
18-08-2023,45.95,45.95,43.00,43.60,43.60,"6,269","Aug 18, 2023"
17-08-2023,44.75,44.75,43.80,44.40,44.40,"5,779","Aug 17, 2023"
16-08-2023,44.40,45.35,43.50,43.70,43.70,"4,179","Aug 16, 2023"
14-08-2023,44.90,44.90,44.00,44.55,44.55,"1,767","Aug 14, 2023"
11-08-2023,45.50,45.50,43.65,44.00,44.00,"5,530","Aug 11, 2023"
10-08-2023,45.15,45.15,44.00,44.40,44.40,"17,138","Aug 10, 2023"
09-08-2023,46.00,46.00,44.00,44.10,44.10,"36,132","Aug 09, 2023"
08-08-2023,48.40,48.40,45.65,46.05,46.05,"21,354","Aug 08, 2023"
07-08-2023,49.75,49.75,47.70,48.05,48.05,"8,397","Aug 07, 2023"
04-08-2023,49.70,50.50,49.30,49.75,49.75,"1,735","Aug 04, 2023"
03-08-2023,50.00,50.60,49.30,49.60,49.60,"3,360","Aug 03, 2023"
02-08-2023,51.60,51.60,49.75,49.95,49.95,"11,753","Aug 02, 2023"
01-08-2023,52.50,52.50,49.70,50.60,50.60,"9,492","Aug 01, 2023"
31-07-2023,52.30,52.30,49.65,50.15,50.15,"2,484","Jul 31, 2023"
28-07-2023,53.60,53.60,50.00,50.20,50.20,"11,382","Jul 28, 2023"
27-07-2023,50.75,51.75,49.75,51.40,51.40,"5,430","Jul 27, 2023"
26-07-2023,52.50,52.80,50.35,50.65,50.65,"5,351","Jul 26, 2023"
25-07-2023,52.00,53.35,50.35,52.50,52.50,"1,558","Jul 25, 2023"
24-07-2023,53.50,54.85,51.55,51.70,51.70,"3,938","Jul 24, 2023"
21-07-2023,53.10,55.40,52.15,52.45,52.45,"7,490","Jul 21, 2023"
20-07-2023,54.25,54.25,53.00,53.10,53.10,"3,378","Jul 20, 2023"
19-07-2023,54.65,55.75,53.00,53.05,53.05,"3,038","Jul 19, 2023"
18-07-2023,55.90,55.90,54.00,54.65,54.65,"4,713","Jul 18, 2023"
17-07-2023,56.90,56.90,54.10,55.90,55.90,"2,504","Jul 17, 2023"
14-07-2023,57.00,58.95,55.20,56.90,56.90,"2,262","Jul 14, 2023"
13-07-2023,56.20,57.85,56.15,56.45,56.45,617,"Jul 13, 2023"
12-07-2023,59.30,59.30,56.00,56.15,56.15,356,"Jul 12, 2023"
11-07-2023,59.00,59.00,57.00,57.45,57.45,229,"Jul 11, 2023"
10-07-2023,55.90,59.90,55.25,57.55,57.55,"1,156","Jul 10, 2023"
07-07-2023,59.00,59.15,56.05,57.45,57.45,"2,162","Jul 07, 2023"
06-07-2023,58.10,58.50,55.75,57.80,57.80,"2,075","Jul 06, 2023"
05-07-2023,55.15,59.50,55.15,55.80,55.80,"1,507","Jul 05, 2023"
04-07-2023,58.20,58.20,55.70,58.00,58.00,275,"Jul 04, 2023"
03-07-2023,55.70,58.45,55.00,58.30,58.30,"1,423","Jul 03, 2023"
30-06-2023,57.00,58.50,55.50,55.70,55.70,667,"Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,57.85,57.85,56.60,56.60,56.60,"2,087","Jun 27, 2023"
26-06-2023,58.70,58.70,55.10,56.80,56.80,"11,947","Jun 26, 2023"
23-06-2023,58.90,58.90,55.80,57.00,57.00,"3,966","Jun 23, 2023"
22-06-2023,59.80,59.80,57.00,58.70,58.70,"2,744","Jun 22, 2023"
21-06-2023,59.95,60.00,57.00,59.90,59.90,"8,282","Jun 21, 2023"
20-06-2023,61.00,61.00,58.20,59.70,59.70,"1,961","Jun 20, 2023"
19-06-2023,61.50,62.90,57.30,60.00,60.00,"44,821","Jun 19, 2023"
16-06-2023,62.90,62.90,57.15,60.00,60.00,"50,758","Jun 16, 2023"
15-06-2023,59.05,62.50,59.00,60.00,60.00,"54,897","Jun 15, 2023"
14-06-2023,62.70,62.70,59.00,60.00,60.00,"11,092","Jun 14, 2023"
