date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,129.60,130.45,126.60,128.50,128.50,"710,464","Aug 25, 2023"
24-08-2023,131.80,134.90,130.10,130.75,130.75,"1,528,119","Aug 24, 2023"
23-08-2023,132.00,132.90,130.10,131.05,131.05,"1,459,728","Aug 23, 2023"
22-08-2023,124.55,136.10,124.30,131.20,131.20,"12,217,181","Aug 22, 2023"
21-08-2023,125.15,125.15,123.35,123.85,123.85,"251,363","Aug 21, 2023"
18-08-2023,125.50,126.20,123.75,124.70,124.70,"436,947","Aug 18, 2023"
17-08-2023,123.35,126.50,122.60,125.60,125.60,"537,682","Aug 17, 2023"
16-08-2023,124.80,124.80,122.90,123.30,123.30,"378,892","Aug 16, 2023"
14-08-2023,128.60,128.60,123.00,125.10,125.10,"562,967","Aug 14, 2023"
11-08-2023,127.40,128.20,125.20,125.70,125.70,"416,463","Aug 11, 2023"
10-08-2023,126.85,128.45,125.50,126.25,126.25,"377,145","Aug 10, 2023"
09-08-2023,127.55,127.55,125.75,126.85,126.85,"389,654","Aug 09, 2023"
08-08-2023,128.90,131.75,126.55,127.10,127.10,"1,112,512","Aug 08, 2023"
07-08-2023,127.15,129.55,126.75,128.25,128.25,"1,222,714","Aug 07, 2023"
04-08-2023,122.95,129.05,122.90,126.05,126.05,"1,662,794","Aug 04, 2023"
03-08-2023,123.50,124.70,121.10,122.25,122.25,"811,073","Aug 03, 2023"
02-08-2023,126.00,129.00,122.40,123.80,123.80,"1,259,097","Aug 02, 2023"
01-08-2023,125.00,130.35,124.50,126.20,126.20,"3,631,263","Aug 01, 2023"
31-07-2023,122.55,125.60,120.70,124.30,124.30,"1,012,029","Jul 31, 2023"
28-07-2023,121.80,122.90,120.70,121.60,121.60,"501,309","Jul 28, 2023"
27-07-2023,122.20,124.70,121.25,121.70,121.70,"536,361","Jul 27, 2023"
26-07-2023,124.50,124.50,122.00,122.20,122.20,"452,466","Jul 26, 2023"
25-07-2023,124.30,126.00,123.20,123.75,123.75,"1,005,464","Jul 25, 2023"
24-07-2023,119.85,126.40,119.45,123.35,123.35,"4,949,112","Jul 24, 2023"
21-07-2023,116.00,120.90,115.85,118.95,118.95,"1,799,843","Jul 21, 2023"
20-07-2023,116.20,117.10,115.90,116.15,116.15,"351,887","Jul 20, 2023"
19-07-2023,116.45,116.75,115.70,116.20,116.20,"449,584","Jul 19, 2023"
18-07-2023,117.30,117.90,115.20,115.60,115.60,"482,211","Jul 18, 2023"
17-07-2023,117.00,118.00,116.50,116.90,116.90,"340,931","Jul 17, 2023"
14-07-2023,117.70,118.30,116.40,116.75,116.75,"393,388","Jul 14, 2023"
13-07-2023,118.40,119.80,116.35,117.35,117.35,"482,604","Jul 13, 2023"
12-07-2023,119.90,120.45,117.45,117.85,117.85,"523,980","Jul 12, 2023"
11-07-2023,120.70,122.50,119.50,119.85,119.85,"590,978","Jul 11, 2023"
10-07-2023,119.35,122.20,117.90,120.05,120.05,"1,482,463","Jul 10, 2023"
07-07-2023,118.50,120.70,117.60,118.65,118.65,"809,612","Jul 07, 2023"
06-07-2023,116.60,119.40,116.15,118.25,118.25,"568,714","Jul 06, 2023"
05-07-2023,116.40,117.25,115.20,116.15,116.15,"580,841","Jul 05, 2023"
04-07-2023,118.40,118.70,115.40,116.40,116.40,"495,972","Jul 04, 2023"
03-07-2023,117.75,119.50,116.85,117.50,117.50,"471,131","Jul 03, 2023"
30-06-2023,117.95,118.00,116.55,116.95,116.95,"271,400","Jun 30, 2023"
28-06-2023,118.30,118.30,118.30,118.30,118.30,-,"Jun 28, 2023"
27-06-2023,116.55,119.25,116.55,118.30,118.30,"454,240","Jun 27, 2023"
26-06-2023,114.85,117.35,114.05,116.55,116.55,"439,334","Jun 26, 2023"
23-06-2023,118.05,119.00,113.90,114.35,114.35,"874,641","Jun 23, 2023"
22-06-2023,120.80,121.65,117.75,118.35,118.35,"453,720","Jun 22, 2023"
21-06-2023,122.60,123.70,120.15,120.55,120.55,"506,894","Jun 21, 2023"
20-06-2023,121.00,124.10,120.70,122.60,122.60,"730,513","Jun 20, 2023"
19-06-2023,123.90,126.65,121.40,122.05,122.05,"1,358,174","Jun 19, 2023"
16-06-2023,120.70,124.40,119.65,123.05,123.05,"1,545,231","Jun 16, 2023"
15-06-2023,120.50,122.45,120.00,120.15,120.15,"665,469","Jun 15, 2023"
14-06-2023,119.10,121.95,118.20,120.30,120.30,"896,670","Jun 14, 2023"
13-06-2023,118.80,119.25,117.95,118.65,118.65,"243,834","Jun 13, 2023"
12-06-2023,118.70,119.25,117.35,118.30,118.30,"345,272","Jun 12, 2023"
09-06-2023,120.80,120.90,117.45,117.95,117.95,"664,193","Jun 09, 2023"
08-06-2023,121.50,126.00,119.65,120.45,120.45,"2,068,682","Jun 08, 2023"
07-06-2023,120.90,122.50,120.05,121.20,121.20,"1,648,582","Jun 07, 2023"
06-06-2023,118.00,119.15,117.20,118.25,118.25,"325,937","Jun 06, 2023"
05-06-2023,119.30,119.85,117.50,117.85,117.85,"376,570","Jun 05, 2023"
02-06-2023,120.40,120.90,118.70,119.00,119.00,"547,877","Jun 02, 2023"
01-06-2023,118.75,121.50,118.60,119.50,119.50,"651,501","Jun 01, 2023"
31-05-2023,120.60,122.00,116.60,118.90,118.90,"1,522,186","May 31, 2023"
30-05-2023,118.70,124.00,116.90,119.45,119.45,"1,159,581","May 30, 2023"
29-05-2023,120.10,120.70,118.00,118.65,118.65,"438,260","May 29, 2023"
26-05-2023,120.00,123.00,119.00,119.80,119.80,"1,046,004","May 26, 2023"
25-05-2023,118.75,122.00,118.20,119.35,119.35,"720,098","May 25, 2023"
24-05-2023,116.30,120.60,115.10,118.85,118.85,"798,578","May 24, 2023"
23-05-2023,115.45,119.20,115.45,116.65,116.65,"663,292","May 23, 2023"
22-05-2023,117.45,118.90,115.75,116.35,116.35,"488,427","May 22, 2023"
19-05-2023,120.55,120.85,116.10,117.45,117.45,"553,872","May 19, 2023"
18-05-2023,119.55,123.60,119.20,119.90,119.90,"1,267,169","May 18, 2023"
17-05-2023,119.45,121.50,118.15,119.45,119.45,"921,394","May 17, 2023"
16-05-2023,115.85,124.50,115.60,118.90,118.90,"6,016,180","May 16, 2023"
15-05-2023,115.40,118.00,114.00,115.55,115.55,"749,708","May 15, 2023"
12-05-2023,116.75,117.25,114.25,115.05,115.05,"472,881","May 12, 2023"
11-05-2023,118.00,118.80,116.20,117.15,117.15,"895,196","May 11, 2023"
10-05-2023,114.80,120.30,112.80,117.30,117.30,"3,067,140","May 10, 2023"
09-05-2023,116.30,118.45,113.00,114.25,114.25,"1,223,014","May 09, 2023"
08-05-2023,118.85,119.00,115.20,115.90,115.90,"1,266,498","May 08, 2023"
05-05-2023,121.15,124.00,118.10,118.85,118.85,"3,967,764","May 05, 2023"
04-05-2023,110.15,129.75,110.10,126.65,126.65,"22,228,552","May 04, 2023"
03-05-2023,111.30,112.55,109.20,109.95,109.95,"777,273","May 03, 2023"
02-05-2023,106.65,113.30,106.25,110.60,110.60,"3,069,204","May 02, 2023"
28-04-2023,105.30,107.50,105.00,105.80,105.80,"503,384","Apr 28, 2023"
27-04-2023,106.40,106.50,104.50,105.00,105.00,"271,292","Apr 27, 2023"
26-04-2023,103.10,106.70,102.60,105.80,105.80,"776,608","Apr 26, 2023"
25-04-2023,104.00,104.00,102.40,103.05,103.05,"216,696","Apr 25, 2023"
24-04-2023,102.95,104.35,101.65,102.95,102.95,"334,741","Apr 24, 2023"
21-04-2023,103.75,104.65,102.40,102.90,102.90,"221,469","Apr 21, 2023"
20-04-2023,105.00,105.25,103.10,103.65,103.65,"400,503","Apr 20, 2023"
19-04-2023,103.00,107.55,102.95,104.85,104.85,"913,147","Apr 19, 2023"
18-04-2023,103.35,104.20,102.55,103.15,103.15,"213,628","Apr 18, 2023"
17-04-2023,102.40,104.60,101.80,103.15,103.15,"255,373","Apr 17, 2023"
13-04-2023,102.70,103.00,101.55,102.50,102.50,"159,043","Apr 13, 2023"
12-04-2023,102.70,103.00,101.55,102.70,102.70,"187,996","Apr 12, 2023"
11-04-2023,102.50,104.00,101.95,102.40,102.40,"250,853","Apr 11, 2023"
10-04-2023,102.25,103.50,101.40,102.30,102.30,"371,412","Apr 10, 2023"
06-04-2023,102.00,102.60,101.00,101.55,101.55,"241,577","Apr 06, 2023"
05-04-2023,99.60,103.50,98.80,101.75,101.75,"925,354","Apr 05, 2023"
03-04-2023,99.40,100.00,97.85,98.80,98.80,"354,114","Apr 03, 2023"
31-03-2023,99.00,99.20,96.75,97.30,97.30,"406,717","Mar 31, 2023"
29-03-2023,95.85,99.00,94.80,97.85,97.85,"420,805","Mar 29, 2023"
28-03-2023,98.05,99.00,94.60,95.00,95.00,"388,683","Mar 28, 2023"
27-03-2023,100.40,100.80,98.00,98.30,98.30,"279,789","Mar 27, 2023"
